sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
949e8bb090e3fcefb9ca13bcc9d228368600b22f,False,1,13,116,27,8.923076923076923,63,57,-6,1.0,0.0,1.0,39026,4180,756,30,"use ""container name witout project"" for both logs and events

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1615977523
74de423cc33db21f21668e58e87a9b3f674a91bf,False,1,5,169,91,33.8,42,127,85,0.7272727272727273,0.7727272727272727,0.8181818181818182,3242,548,104,12,"reuse ECS logConsumer to implement formatted compose log output

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1605608888
0368f190303b28e142f983257171a6f554749313,False,1,8,75,23,9.375,34,104,70,0.8823529411764706,0.8823529411764706,1.0,9590,1313,211,20,"distinguish stdout and stderr in `up` logs

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1670938962
ca734ce565dae69cd3812f693981a5b8a89b0206,False,1,1,4,4,4.0,1,3,2,1.0,1.0,1.0,698,126,24,2,"don't clear line when navigation is disabled

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1713276263
84ea395d5d191ae2f5b740bf0ed93eb47417c9de,False,1,3,22,13,7.333333333333333,6,27,21,0.8571428571428571,1.0,0.14285714285714285,2322,367,68,6,"introduce --timestamp option on compose up

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1671102862
e9dc82011f477abb3118676b1574127d7a80286e,False,1,14,614,321,43.857142857142854,47,589,542,0.6941896024464832,0.8593272171253823,0.7675840978593272,24821,4041,823,61,"Add Navigation Menu to compose up

Signed-off-by: Joana Hrotko <joana.hrotko@docker.com>",1711126105
cc47e5385be4eaa51f2f9e0e8181201fb2eca8ff,False,1,1,37,37,37.0,15,22,7,1.0,1.0,1.0,504,91,16,7,"use a sync.Map to avoid concurrency issue accessing log presenters

Signed-off-by: Nicolas De Loof <nicolas.deloof@gmail.com>",1631271264
1b5fa3b93ff4488c2d14a1195b7ca1efd1c2bf79,False,1,10,320,85,32.0,90,230,140,0.6857142857142857,0.9714285714285714,0.9857142857142858,7801,1259,255,22,"feat(experiments): add experimental feature state (#11633)

Use environment variable for global opt-out and Docker Desktop (if
available) to determine specific experiment states.

In the future, we'll allow per-feature opt-in/opt-out via env vars
as well, but currently there is a single `COMPOSE_EXPERIMENTAL` env
var that can be used to opt-out of all experimental features
independently of Docker Desktop configuration.",1710942267
3371227794f5f3645f4f19829c60a741635ed329,False,1,4,53,31,13.25,2,51,49,0.42424242424242425,1.0,1.0,11259,1759,409,6,"chore(desktop): revised feature detection for file shares

Unfortunately, the feature flag mechanism for experimental features
isn't adequate. To avoid some edge cases where Compose might try to
use Synchronized file shares with Desktop when the feature isn't
available, we need to query a new endpoint.

Before we move any of this out of experimental, we need to improve
the integration here with Desktop & Compose so that we get all the
necessary feature/experiment state up-front to reduce the quantity
of IPC calls needed up-front.

For now, there's some intentional redundancy to avoid making this
extra call if we can avoid it. The actual endpoint is very cheap/
fast, but every IPC call is a potential point of of failure, so
it's worth it.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1711127787
db4ed89528b9bd496d5460c65de70e37d964cb24,False,1,14,930,387,66.42857142857143,131,858,727,0.2412280701754386,0.44298245614035087,0.7236842105263158,21151,3467,819,47,feat(desktop): synchronized file share integration (#11614),1710960084
3c8a56dbf3b7db165f723f651da0851f9dac3c61,False,1,8,479,151,59.875,23,534,511,0.38636363636363635,0.5772727272727273,1.0,1831,349,60,19,"trace: add OTEL initialization (#10526)

This is a bunch of OTEL initialization code. It's all in
`internal/` because there are re-usable parts here, but Compose
isn't the right spot. Once we've stabilized the interfaces a bit
and the need arises, we can move it to a separate module.

Currently, a single span is produced to wrap the root Compose
command.

Compose will respect the standard OTEL environment variables
as well as OTEL metadata from the Docker context. Both can be
used simultaneously. The latter is intended for local system
integration and is restricted to Unix sockets / named pipes.

None of this is enabled by default. It requires setting the
`COMPOSE_EXPERIMENTAL_OTEL=1` environment variable to
gate it during development.

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1686257167
680763f8b7d7ff9794052a4a297108693c7c50dd,False,1,2,315,202,157.5,112,228,116,0.7971014492753623,1.0,1.0,2557,394,92,11,"down: refactor image pruning

Signed-off-by: Milas Bowman <milas.bowman@docker.com>",1663086224
