sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
18b29c45c491e492e7eecb29df4d90043a4d937a,False,1,101,14136,988,139.96039603960395,5879,20202,14323,0.24044566910267162,0.8284413561758716,0.8772013897208578,175945,27701,5799,830,"New ACLs (#4791)

This PR is almost a complete rewrite of the ACL system within Consul. It brings the features more in line with other HashiCorp products. Obviously there is quite a bit left to do here but most of it is related docs, testing and finishing the last few commands in the CLI. I will update the PR description and check off the todos as I finish them over the next few days/week.
Description

At a high level this PR is mainly to split ACL tokens from Policies and to split the concepts of Authorization from Identities. A lot of this PR is mostly just to support CRUD operations on ACLTokens and ACLPolicies. These in and of themselves are not particularly interesting. The bigger conceptual changes are in how tokens get resolved, how backwards compatibility is handled and the separation of policy from identity which could lead the way to allowing for alternative identity providers.

On the surface and with a new cluster the ACL system will look very similar to that of Nomads. Both have tokens and policies. Both have local tokens. The ACL management APIs for both are very similar. I even ripped off Nomad's ACL bootstrap resetting procedure. There are a few key differences though.

    Nomad requires token and policy replication where Consul only requires policy replication with token replication being opt-in. In Consul local tokens only work with token replication being enabled though.
    All policies in Nomad are globally applicable. In Consul all policies are stored and replicated globally but can be scoped to a subset of the datacenters. This allows for more granular access management.
    Unlike Nomad, Consul has legacy baggage in the form of the original ACL system. The ramifications of this are:
        A server running the new system must still support other clients using the legacy system.
        A client running the new system must be able to use the legacy RPCs when the servers in its datacenter are running the legacy system.
        The primary ACL DC's servers running in legacy mode needs to be a gate that keeps everything else in the entire multi-DC cluster running in legacy mode.

So not only does this PR implement the new ACL system but has a legacy mode built in for when the cluster isn't ready for new ACLs. Also detecting that new ACLs can be used is automatic and requires no configuration on the part of administrators. This process is detailed more in the ""Transitioning from Legacy to New ACL Mode"" section below.",1539965047
9199e99e21126e06ec2c0ea43cd47663edd4da90,False,1,23,369,48,16.043478260869566,261,304,43,0.06666666666666667,0.26666666666666666,1.0,70011,10724,2262,67,"Update token language to distinguish Accessor and Secret ID usage (#16044)

* remove legacy tokens

* remove lingering legacy token references from docs

* update language and naming for token secrets and accessor IDs

* updates all tokenID references to clarify accessorID

* remove token type references and lookup tokens by accessorID index

* remove unnecessary constants

* replace additional tokenID param names

* Add warning info for deprecated -id parameter

Co-authored-by: Paul Glass <pglass@hashicorp.com>

* Update field comment

Co-authored-by: Paul Glass <pglass@hashicorp.com>

---------

Co-authored-by: Paul Glass <pglass@hashicorp.com>",1675794390
a5397b1f23d89a956112f8afe6d7d27146a4ad2c,False,1,6,333,113,55.5,268,245,-23,0.6923076923076923,1.0,1.0,20143,3166,708,40,"Connect CA Primary Provider refactor (#16749)

* Rename Intermediate cert references to LeafSigningCert

Within the Consul CA subsystem, the term ""Intermediate""
is confusing because the meaning changes depending on
provider and datacenter (primary vs secondary). For
example, when using the Consul CA the ""ActiveIntermediate""
may return the root certificate in a primary datacenter.

At a high level, we are interested in knowing which
CA is responsible for signing leaf certs, regardless of
its position in a certificate chain. This rename makes
the intent clearer.

* Move provider state check earlier

* Remove calls to GenerateLeafSigningCert

GenerateLeafSigningCert (formerly known
as GenerateIntermediate) is vestigial in
non-Vault providers, as it simply returns
the root certificate in primary
datacenters.

By folding Vault's intermediate cert logic
into `GenerateRoot` we can encapsulate
the intermediate cert handling within
`newCARoot`.

* Move GenerateLeafSigningCert out of PrimaryProvidder

Now that the Vault Provider calls
GenerateLeafSigningCert within
GenerateRoot, we can remove the method
from all other providers that never
used it in a meaningful way.

* Add test for IntermediatePEM

* Rename GenerateRoot to GenerateCAChain

""Root"" was being overloaded in the Consul CA
context, as different providers and configs
resulted in a single root certificate or
a chain originating from an external trusted
CA. Since the Vault provider also generates
intermediates, it seems more accurate to
call this a CAChain.",1680536433
4dfca64ded20512089c015f4913e969989934431,False,1,1,82,82,82.0,38,99,61,0.0,0.34210526315789475,1.0,4961,765,188,11,Vault CA provider clean up previous default issuers (#18773),1694633582
922619dfc33572c4f6076fae7e7dce0ec5fe450c,False,1,1,42,42,42.0,25,107,82,0.2,0.78,0.92,3915,641,152,5,"Fix leaked Vault LifetimeRenewers (#12607)

* Fix leaked Vault LifetimeRenewers

When the Vault CA Provider is reconfigured we do not stop the
LifetimeRenewers which can cause them to leak until the Consul processes
recycles. On Configure execute stopWatcher if it exists and is not nil
before starting a new renewal

* Add jitter before restarting the LifetimeWatcher

If we fail to login to Vault or our token is no longer valid we can
overwhelm a Vault instance with many requests very quickly by restarting
the LifetimeWatcher. Before restarting the LifetimeWatcher provide a
backoff time of 1 second or less.

* Use a retry.Waiter instead of RandomStagger

* changelog

* gofmt'd

* Swap out bool for atomic.Unit32 in test

* Provide some extra clarification in comment and changelog",1648479496
9b45107c1e907a8209ad4d38af230f2fa863fd22,False,1,7,62,17,8.857142857142858,49,74,25,0.6956521739130435,0.6956521739130435,0.9565217391304348,16844,2818,568,13,"Format certificates properly (rfc7468) with a trailing new line (#10411)

* trim carriage return from certificates when inserting rootCA in the inMemDB

* format rootCA properly when returning the CA on the connect CA endpoint

* Fix linter warnings

* Fix providers to trim certs before returning it

* trim newlines on write when possible

* add changelog

* make sure all provider return a trailing newline after the root and intermediate certs

* Fix endpoint to return trailing new line

* Fix failing test with vault provider

* make test more robust

* make sure all provider return a trailing newline after the leaf certs

* Check for suffix before removing newline and use function

* Add comment to consul provider

* Update change log

Co-authored-by: R.B. Boyer <4903+rboyer@users.noreply.github.com>

* fix typo

* simplify code callflow

Co-authored-by: R.B. Boyer <4903+rboyer@users.noreply.github.com>

* extract requireNewLine as shared func

* remove dependency to testify in testing file

* remove extra newline in vault provider

* Add cert newline fix to envoy xds

* remove new line from mock provider

* Remove adding a new line from provider and fix it when the cert is read

* Add a comment to explain the fix

* Add missing for leaf certs

* fix missing new line

* fix missing new line in leaf certs

* remove extra new line in test

* updage changelog

Co-authored-by: Daniel Nephin <dnephin@hashicorp.com>

* fix in vault provider and when reading cache (RPC call)

* fix AWS provider

* fix failing test in the provider

* remove comments and empty lines

* add check for empty cert in test

* fix linter warnings

* add new line for leaf and private key

* use string concat instead of Sprintf

* fix new lines for leaf signing

* preallocate slice and remove append

* Add new line to `SignIntermediate` and `CrossSignCA`

Co-authored-by: R.B. Boyer <4903+rboyer@users.noreply.github.com>
Co-authored-by: Daniel Nephin <dnephin@hashicorp.com>",1625100509
01ce9f5b18b23bc86aea0d2a329d08a9a35b539b,False,1,3,39,21,13.0,39,42,3,0.0,0.5,1.0,3872,669,132,4,Update CI for leader renew CA test using Vault,1602247695
900584ca826b477635c19d9d163f62f2ab468b62,False,1,5,231,166,46.2,398,926,528,0.0,0.9277899343544858,0.8183807439824945,16186,2688,562,18,"connect: ensure all vault connect CA tests use limited privilege tokens (#15669)

All of the current integration tests where Vault is the Connect CA now use non-root tokens for the test. This helps us detect privilege changes in the vault model so we can keep our guides up to date.

One larger change was that the RenewIntermediate function got refactored slightly so it could be used from a test, rather than the large duplicated function we were testing in a test which seemed error prone.",1670342796
e5d58c59c9216fd9a40195eb862874eb77fb5a2f,False,1,4,29,17,7.25,307,484,177,0.8064516129032258,1.0,0.9758064516129032,6862,1077,238,3,changes to support new PQ enterprise fields (#16793),1679956849
516eb4febc5b99980ff5206b8e354e5d781b4a08,False,1,4,823,687,205.75,0,4031,4031,0.3926247288503254,0.6746203904555315,0.9663774403470716,6447,1129,226,42,Add `builtin/ext-authz` Envoy Extension (#17495),1685128974
1b027493752b0e4c8bdf468199f572cba2fef5a8,False,1,19,1031,259,54.26315789473684,744,1099,355,0.22085889570552147,0.9141104294478528,0.9815950920245399,29598,5329,970,74,Add extension validation on config save and refactor extensions. (#16110),1675114526
779647b9486e239de1f868854ac6f367f3e5af4e,False,1,8,309,158,38.625,114,1344,1230,0.11403508771929824,0.7763157894736842,0.5,15711,2257,493,16,Add Envoy and Consul version constraints to Envoy extensions (#17612),1686234371
4a4c63bda0b779b3ccce864e28ee4e50c9411458,False,1,7,34,9,4.857142857142857,113,205,92,0.4142857142857143,0.9571428571428572,1.0,30599,4482,971,9,Ensure Consul is IPv6 compliant (#5468),1559656958
a3ef6f016e9af3b8c3ebc7d29fbc0f193b68c23e,False,1,2,77,75,38.5,119,134,15,1.0,1.0,0.0,9794,1317,298,4,refactor sidecare_service method into parts,1659017233
1e7eace0663f58d8ed0d5bc61d74a95ab792e377,False,1,14,549,146,39.214285714285715,89,1828,1739,0.04338235294117647,0.7757352941176471,0.9860294117647059,47225,7704,1008,16,"Add SidecarService Syntax sugar to Service Definition (#4686)

* Added new Config for SidecarService in ServiceDefinitions.

* WIP: all the code needed for SidecarService is written... none of it is tested other than config :). Need API updates too.

* Test coverage for the new sidecarServiceFromNodeService method.

* Test API registratrion with SidecarService

* Recursive Key Translation :facepalm:

* Add tests for nested sidecar defintion arrays to ensure they are translated correctly

* Use dedicated internal state rather than Service Meta for tracking sidecars for deregistration.

Add tests for deregistration.

* API struct for agent register. No other endpoint should be affected yet.

* Additional test cases to cover updates to API registrations",1539186934
b36d4e16b6dfad1e756021c0e79f2e524c183e26,False,1,16,1212,482,75.75,1865,2885,1020,0.09375,0.790625,1.0,81222,13394,2711,51,"Support per-listener TLS configuration ⚙️ (#12504)

Introduces the capability to configure TLS differently for Consul's
listeners/ports (i.e. HTTPS, gRPC, and the internal multiplexed RPC
port) which is useful in scenarios where you may want the HTTPS or
gRPC interfaces to present a certificate signed by a well-known/public
CA, rather than the certificate used for internal communication which
must have a SAN in the form `server.<dc>.consul`.",1647600418
0cfb6051ea906a50bc315393ba7c98950be1fc17,False,1,8,422,158,52.75,524,627,103,0.0,0.6888888888888889,0.0,14101,2311,489,15,"Add integration test for central config; fix central config WIP (#5752)

* Add integration test for central config; fix central config WIP

* Add integration test for central config; fix central config WIP

* Set proxy protocol correctly and begin adding upstream support

* Add upstreams to service config cache key and start new notify watcher if they change.

This doesn't update the tests to pass though.

* Fix some merging logic get things working manually with a hack (TODO fix properly)

* Simplification to not allow enabling sidecars centrally - it makes no sense without upstreams anyway

* Test compile again and obvious ones pass. Lots of failures locally not debugged yet but may be flakes. Pushing up to see what CI does

* Fix up service manageer and API test failures

* Remove the enable command since it no longer makes much sense without being able to turn on sidecar proxies centrally

* Remove version.go hack - will make integration test fail until release

* Remove unused code from commands and upstream merge

* Re-bump version to 1.5.0",1556753971
dbf0a0f6c0d604ae90845b941582a0b6f75678cb,False,1,1,7,7,7.0,1,13,12,0.0,0.6,1.0,1604,243,70,2,"Copy the proxy config instead of direct assignment (#5786)

This prevents modifying the data in the state store which is supposed to be immutable.",1557158999
3975cb89bfe0699cbdd2a14e87e725b2440e670e,False,1,2,8,6,4.0,0,173,173,0.1386861313868613,0.9927007299270073,1.0,4055,740,162,3,agent: blocking central config RPCs iterations should not interfere with each other (#6316),1565791726
8d953f5840cf64e3db54c7cf0fbb92f12f50860a,False,1,29,1249,283,43.06896551724138,417,2684,2267,0.15996908809891808,0.7132921174652241,0.9034003091190108,67194,10834,2099,73,"Implement Mesh Gateways

This includes both ingress and egress functionality.",1562012910
c09693e545c5138ee7da5e102e5afa9e73c25c87,False,1,52,1509,233,29.01923076923077,825,1893,1068,0.25170068027210885,0.7040816326530612,0.9030612244897959,144408,22539,4609,213,Updates to Config Entries and Connect for Namespaces (#7116),1579878298
acec711a6a8256577c0e91f2ecb55af5083f679c,False,1,6,257,177,42.833333333333336,64,948,884,0.05829015544041451,0.9196891191709845,0.9727979274611399,52031,7473,1740,8,Update server-side config resolution and client-side merging,1615435511
7bd51ff536ddd45fb0eeb26ec5af429f61cd6a68,False,1,16,671,393,41.9375,232,837,605,0.3002028397565923,0.7200811359026369,1.0,80950,13366,2782,42,"Replace TransparentProxy bool with ProxyMode

This PR replaces the original boolean used to configure transparent
proxy mode. It was replaced with a string mode that can be set to:

- """": Empty string is the default for when the setting should be
defaulted from other configuration like config entries.
- ""direct"": Direct mode is how applications originally opted into the
mesh. Proxy listeners need to be dialed directly.
- ""transparent"": Transparent mode enables configuring Envoy as a
transparent proxy. Traffic must be captured and redirected to the
inbound and outbound listeners.

This PR also adds a struct for transparent proxy specific configuration.
Initially this is not stored as a pointer. Will revisit that decision
before GA.",1618241714
fdd10dd8b872466f8a614c7ed76b3becf2c5fc4c,False,1,28,1332,348,47.57142857142857,213,3278,3065,0.19457245263696876,0.6876600102406554,0.9626216077828981,91659,15152,2877,62,"Expose HTTP-based paths through Connect proxy (#6446)

Fixes: #5396

This PR adds a proxy configuration stanza called expose. These flags register
listeners in Connect sidecar proxies to allow requests to specific HTTP paths from outside of the node. This allows services to protect themselves by only
listening on the loopback interface, while still accepting traffic from non
Connect-enabled services.

Under expose there is a boolean checks flag that would automatically expose all
registered HTTP and gRPC check paths.

This stanza also accepts a paths list to expose individual paths. The primary
use case for this functionality would be to expose paths for third parties like
Prometheus or the kubelet.

Listeners for requests to exposed paths are be configured dynamically at run
time. Any time a proxy, or check can be registered, a listener can also be
created.

In this initial implementation requests to these paths are not
authenticated/encrypted.",1569466552
bf3a53f6d04d4f4e323a00a0ef2a63705e3601cc,False,1,1,49,49,49.0,0,49,49,0.0,1.0,1.0,189,34,4,1,command/agent: added missing syslog wrapper,1400735136
33c401a16e36ce27900cacff3a7c07ed49b1b9d1,False,1,3,36,27,12.0,45,26,-19,1.0,0.42857142857142855,0.0,3117,559,78,4,"logging: Setup accept io.Writer instead of []io.Writer

Also accept a non-pointer Config, since the config is not modified",1597857641
fc14f5ab14a77166be5c7674a90669665d57c78c,False,1,9,140,31,15.555555555555555,114,52,-62,0.2857142857142857,0.0,0.14285714285714285,23114,3848,806,17,"ca: move provider creation into CAManager

This further decouples the CAManager from Server. It reduces the interface between them and
removes the need for the SetLogger method on providers.",1626096753
796de297c847c69913615948bd37d44fa45d74f1,False,1,696,216671,22055,311.30890804597703,218595,9719,-208876,0.7040474382804932,0.5295834751420269,0.20420451867947745,174793,29542,5071,6175,"connect: intermediate CA certs generated with the vault provider lack URI SANs (#6491)

This only affects vault versions >=1.1.1 because the prior code
accidentally relied upon a bug that was fixed in
https://github.com/hashicorp/vault/pull/6505

The existing tests should have caught this, but they were using a
vendored copy of vault version 0.10.3. This fixes the tests by running
an actual copy of vault instead of an in-process copy. This has the
added benefit of changing the dependency on vault to just vault/api.

Also update VaultProvider to use similar SetIntermediate validation code
as the ConsulProvider implementation.",1569258280
49056fe70f39e50a1c5b60ca2ffb3e2e02a7ba60,False,1,3,39,35,13.0,53,49,-4,1.0,1.0,1.0,9171,1505,362,9,Clean up Vault renew tests and shutdown,1599838865
