sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
167a8b5e9421e0ab51fbf44c5621632f4a1a90c5,False,1,74,1441,188,19.472972972972972,1321,1889,568,0.08376963350785341,0.3298429319371728,1.0,61644,10604,2027,172,"🚀 Feature: Add and apply more stricter golangci-lint linting rules (#2286)

* golangci-lint: add and apply more stricter linting rules

* github: drop security workflow now that we use gosec linter inside golangci-lint

* github: use official golangci-lint CI linter

* Add editorconfig and gitattributes file",1674806497
077968abec338e73e8fb4241a49bf4b6f7128609,False,1,9,995,433,110.55555555555556,1423,2305,882,0.0,0.0,1.0,21904,3412,511,23,"[v3 Maintenance]: Consolidate and Document Core Changes in v3 (#2934)

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3

* [v3 Maintenance]: Consolidate and Document Core Changes in v3",1713853099
30a704b5f94fd8746cea60982fb7b395d9a82371,False,1,3,35,13,11.666666666666666,8,97,89,0.7547169811320755,1.0,0.9811320754716981,547,100,17,3,👷 improve test coverage,1594888956
c964fda009401ff37948a39da1ec7f427653c741,False,1,3,85,67,28.333333333333332,2243,2188,-55,1.0,0.5857142857142857,0.5857142857142857,1137,180,35,1,"v3(tests): use testify for assertion (#2036)

* replace

* write

* rewrite more

* rewrite

* rewrite

* fix

* rewrite",1661147830
da85c85c14ab3f98b29b46e65b4cc54c4642c711,False,1,3,15,6,5.0,13,54,41,0.5405405405405406,1.0,1.0,4950,731,168,3,🧪 Increase test coverage: 96%,1594827810
845a7f8b8e7e0a0794eb5fc5a05a0030fd730a46,False,1,5,216,181,43.2,102,209,107,0.8157894736842105,0.8026315789473685,0.9078947368421053,11136,1787,386,8,"🧹 chore: Improve Performance of Fiber Router (#3261)

* Initial improvements

* Update test

* Improve RemoveEscapeChar performance

* Fix lint issues

* Re-add comments

* Add dedicated request handlers

* Fix lint issues

* Add test case for app.All with custom method

* Add test for custom Ctx and Request Methods

* Simplify test logic

* Simplify test",1735497274
bd20e90e6ba87dbe6f27b81b895e53d22860489e,False,1,4,245,141,61.25,34,389,355,0.9759036144578314,0.9879518072289156,1.0,8860,1338,312,10,":sparkles: feature: add initial support for hooks (#1777)

* Add initial support for hooks.

* release ctx, mutex.

* Add unit tests.

* add comment lines.

* update

* update

* remove unnecessary code.

* fix race condition.

* fix gosec.

* skip error handling for onshutdown and onresponse.

* update

* separate hooks from app.go

* make hooks field private, hook struct public and Hooks() func.

* remove onreq and onres because of they can be done by middlewares.

* OnGroupName method.

* Update hooks.go

Co-authored-by: hi019 <65871571+hi019@users.noreply.github.com>

* handle errors for name and groupname

* fix tests.

* Update app.go

* use struct fields instead of map

* add multi-handler.

* add onGroup, make prefix field public on Group struct.

* Update hooks.go

* add newhooks method.

* ✨ feature: add initial support for hooks

* remove ctx from hooks.

Co-authored-by: hi019 <65871571+hi019@users.noreply.github.com>
Co-authored-by: wernerr <rene@gofiber.io>",1646897715
709e0952e2d312c0bb68e1fb9c501b39afd16db0,False,1,4,339,165,84.75,171,176,5,0.3754646840148699,0.2527881040892193,0.0,7351,1040,164,26,":sparkles: v3 (feature): router interface changes (#2176)

* Add(methods []string, path string, handlers ...Handler) Router

* - proposed Router interface changes

Co-authored-by: rocketlaunchr-cto <rocketlaunchr.cloud@gmail.com>",1667288743
e3282f64085423e48cf5424910fb0652d80e198c,False,1,4,32,18,8.0,29,86,57,1.0,1.0,1.0,12552,1859,257,3,:recycle: v3 (enhancement): replace `c.Hostname()` -> `c.Host()` & add `c.Hostname()` that returns host without port,1662478986
64c1771c2687f66dd231eb8939ecd0f3c13541a0,False,1,7,390,159,55.714285714285715,1097,1501,404,1.0,1.0,0.9692307692307692,11936,1753,163,65,"🔥 Feature: Add Req and Res API (#2894)

* 🔥 feat: add Req and Res interfaces

Split the existing Ctx API into two separate APIs for Requests and
Responses. There are two goals to this change:

1. Reduce cognitive load by making it more obvious whether a Ctx method
   interacts with the request or the response.
2. Increase API parity with Express.

* fix(req,res): several issues

* Sprinkle in calls to Req() and Res() to a few unit tests
* Fix improper initialization caught by ^
* Add a few missing methods

* docs: organize Ctx methods by request and response

* feat(req,res): sync more missed methods

---------

Co-authored-by: Juan Calderon-Perez <835733+gaby@users.noreply.github.com>",1741158103
