sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
1f6304ca259f5d8b7e419c1f56b70a66e4fc37dd,False,1,6,258,173,43.0,133,125,-8,0.0,0.0,0.0,6758,1080,293,11,Cleaning up performance branch
6c6d97ba2e7eeaf78e20fc4344b21c4e057e2a9a,False,1,6,28,12,4.666666666666667,13,15,2,,,,8137,1238,297,12,remove hardcode instead of http status value (#1411)
f7376f7c7fc73e2fdd30623f413f87a32e73baa2,False,1,1,48,48,48.0,21,27,6,1.0,1.0,1.0,1968,310,62,3,combine var and use tmp var (#1108)
1660995a04f579b4e0d5683ff45e1af4c2a50346,False,1,1,16,16,16.0,8,8,0,,,,128,24,5,1,"Adjust the position of some functions (#3385)

Co-authored-by: fredhan <fredhan@futunn.com>"
36b0dede4b8c4a67d92c4107cebc5a068364321d,False,1,1,6,6,6.0,3,8,5,1.0,1.0,1.0,5727,820,235,2,"fix(context): check handler is nil (#3413)

* fixed #3404 2022-11-23

* up 2022-11-23

* refactor: refactor context handling and nil checks

- Refactor nil checks to improve readability in `context.go`
- Modify the control flow in `HandlerNames` and `Next` methods to continue on nil values before appending or invoking handlers in `context.go`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* test: refactor context_test.go for clarity and efficiency

- Insert a `nil` value into the `HandlersChain` array in `context_test.go`
- Remove empty test functions in `context_test.go`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

---------

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>
Co-authored-by: Bo-Yi Wu <appleboy.tw@gmail.com>"
dc4337261068402e037614671cadf380d00deca1,False,1,3,600,292,200.0,292,308,16,,,0.0,2459,370,84,30,Splitting source code in different files
2915fa0ffedb73c8cc979c144f7ce4b046006db8,False,1,7,989,556,141.28571428571428,172,909,737,0.11333333333333333,0.10888888888888888,0.8111111111111111,6334,1033,282,23,"Zero allocation router, first commit"
3ac729dc4a497d360a23b9d7e766c622b3c99f51,False,1,1,52,52,52.0,35,119,84,1.0,1.0,0.5652173913043478,3238,511,110,3,"feat(gin): support http3 using quic-go/quic-go (#3210)

* experimental support http3

* remove go1.14 and go1.15

* update quic-go package path

* only support go1.19+

* remove go19 support

* update gomod

* chore: refine CI configuration and dependencies

- Remove dynamic Go versioning in favor of pinning to major version `1`
- Update linter version from `v1.56.2` to `v1.58.1` in GitHub Actions workflow

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* chore: refactor CI workflow and improve tests

- Update the golangci-lint-action version from `v5` to `v6` in the GitHub workflow configuration

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* chore: update dependencies and CI configurations

- Update Go version requirement from `1.20` to `1.21` in `go.mod`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* style: refactor codebase and update tests

- Add an empty line in the import section of `gin.go`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* chore: enhance code quality and consistency

- Add `gin.go` to the list of files with specific linters in `.golangci.yml`, applying the `gci` linter.

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

---------

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>
Co-authored-by: Bo-Yi Wu <appleboy.tw@gmail.com>"
3fe928994b7ba7ed16b0c5114ca82a9dafa7a974,False,1,3,135,117,45.0,52,120,68,0.22388059701492538,0.5671641791044776,0.5223880597014925,11914,1841,488,7,Update the code logic for latestNode in tree.go (#2897)
62749f0db4aa5ee1045779b457fe1f28a553f467,False,1,1,10,10,10.0,0,26,26,1.0,1.0,1.0,4496,633,186,1,"Add context.HandlerNames() (#1729)

* Add context.HandlerNames()

This change adds a HandlerNames method that will return all registered handles in the context, in descending order

This is useful for debugging and troubleshooting purposes, especially in large apps

* Tests

Add tests for HandlerNames

* Fix HandlerNames test

* Simplify test"
