sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
86ff4a64c7efe1a1c875529835eeef9e15de1e86,False,1,1,14,14,14.0,3,23,20,0.7222222222222222,0.7222222222222222,1.0,3106,492,105,1,"fix(header): Allow header according to RFC 7231 (HTTP 405) (#3759)

Co-authored-by: Helios <i@shangyes.net>",1707188936
8763f33c65f7df8be5b9fe7504ab7fcf20abb41d,False,1,1,2,2,2.0,0,40,40,0.4444444444444444,1.0,1.0,3381,533,116,1,fix: prevent middleware re-entry issue in HandleContext (#3987),1742485241
e737e3e267beb4dc3bab16cc8be59e3902d98a94,False,1,1,2,2,2.0,1,1,0,,,,126,24,5,1,fix(binding): prevent duplicate decoding and add validation in decodeToml (#4193),1742484949
f875d8728306c2c2c6f504900ab08cd1d8c47f12,False,1,1,5,5,5.0,4,46,42,0.2564102564102564,1.0,1.0,6106,844,229,1,"chore(context): test context initialization and handler logic (#4087)

* enhance code imported by #3413

if it needs to check if the handler is nil, tie c.index shall
always ++

* test: refactor test context initialization and handler logic

- Remove an empty line in `TestContextInitQueryCache`
- Add `TestContextNext` function with tests for `Next` method behavior with no handlers, one handler, and multiple handlers

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

---------

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>
Co-authored-by: zjj <zhong2plus@gmail.com>",1731685748
ea53388e6ee4a6a0a1647b390c56eeed780e7e56,False,1,1,2,2,2.0,2,27,25,0.14285714285714285,0.14285714285714285,1.0,3925,652,179,1,fix(tree): Keep panic infos consistent when wildcard type build faild (#4077),1729902539
8eb5f832bac1853fc84c508a2b9406134d39492e,False,1,1,18,18,18.0,9,28,19,1.0,1.0,1.0,3814,633,175,1,"fix(router): tree bug where loop index is not decremented. (#3460)

fixes https://github.com/gin-gonic/gin/issues/3459",1673053074
28e57f58b184b2305ace192e02496bb89f6fd8cb,False,1,1,3,3,3.0,0,23,23,0.8571428571428571,0.8571428571428571,0.8571428571428571,2524,400,114,1,"fix(form): Set default value for form fields (#4047)

- Use specified default value in struct tags when binding a request input to struct for validation, even if sent empty, not only when not sent at all.
- Add string field to `TestMappingDefault` test case.
- Add test case for not sent form field to default to the value specified via code.
- Add test case for form field sent empty to default to the value specified via code.

Fixes: How to apply default value if empty value provided by client during model binding? #4042, #13042df, #a41721a",1725600079
626d55b0c02937645c21774cacc021713de88604,False,1,1,2,2,2.0,1,12,11,1.0,1.0,1.0,3371,531,116,1,"fix(gin): Do not panic when handling method not allowed on empty tree (#4003)

Signed-off-by: Pierre-Henri Symoneaux <pierre-henri.symoneaux@ovhcloud.com>",1719065944
36b0dede4b8c4a67d92c4107cebc5a068364321d,False,1,1,6,6,6.0,3,8,5,1.0,1.0,1.0,5727,820,235,2,"fix(context): check handler is nil (#3413)

* fixed #3404 2022-11-23

* up 2022-11-23

* refactor: refactor context handling and nil checks

- Refactor nil checks to improve readability in `context.go`
- Modify the control flow in `HandlerNames` and `Next` methods to continue on nil values before appending or invoking handlers in `context.go`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* test: refactor context_test.go for clarity and efficiency

- Insert a `nil` value into the `HandlersChain` array in `context_test.go`
- Remove empty test functions in `context_test.go`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

---------

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>
Co-authored-by: Bo-Yi Wu <appleboy.tw@gmail.com>",1715583341
7d147928ee232fce156ea7ce8ae6329e148aeb41,False,1,2,23,20,11.5,25,17,-8,1.0,0.0,0.0,644,148,32,3,"fix(gin): data race warning for gin mode (#1580)

* fix: data race warning (#1180)

* Fix the tests

* refactor: remove unnecessary imports and optimize codebase

- Remove unnecessary import of `flag`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

* test: refactor test assertions for mode settings

- Update test assertions for mode setting in `mode_test.go`

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>

---------

Signed-off-by: Bo-Yi Wu <appleboy.tw@gmail.com>
Co-authored-by: Bo-Yi Wu <appleboy.tw@gmail.com>",1715130816
8790d08909fc4d193c6c787c9c72f3089168f411,False,1,1,4,4,4.0,2,25,23,1.0,1.0,1.0,77,13,3,2,"fix(uri): query binding bug (#3236)

* fix query mapping

* query binding test",1711031322
646312aef6a34095476ac846b0920db5fb24b2ea,False,1,1,2,2,2.0,0,2,2,0.0,1.0,1.0,5497,788,225,1,fix: protect Context.Keys map when call Copy method (#3873),1710167076
82bcd6d39bfe9c22032764ff3b0b6f8ef1673e49,False,1,1,5,5,5.0,1,28,27,0.8125,0.8125,1.0,430,78,19,1,fix(binding): dereference pointer to struct (#3199),1707306251
3dc1cd6572b4e3a0cd170a15debe546c2c72294f,False,1,1,3,3,3.0,0,5,5,0.0,0.3333333333333333,0.3333333333333333,2205,347,98,1,"fix(binding): binding error while not upload file (#3819) (#3820)

Co-authored-by: zhangmj <zhangmj1@dustess.com>",1707101195
