sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
92f997ce6b2535c0c71a33ade290378a744c7224,False,1,11,272,99,24.727272727272727,162,696,534,0.5990783410138248,0.8202764976958525,0.7695852534562212,24145,2918,598,17,"Add file tree to file view page (#32721)

Resolve #29328

This pull request introduces a file tree on the left side when reviewing
files of a repository.

---------

Co-authored-by: Lunny Xiao <xiaolunwen@gmail.com>
Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
25531c71a78b98af91f25d5e6eaa362e5fc54a86,False,1,13,264,96,20.307692307692307,40,241,201,0.04918032786885246,0.1885245901639344,0.39344262295081966,30631,4601,961,25,"Mark PR reviews as stale at push and allow to dismiss stale approvals (#9532)

Fix #5997.

If a push causes the patch/diff of a PR towards target branch to change, all existing reviews for the PR will be set and shown as stale.
New branch protection option to dismiss stale approvals are added.
To show that a review is not based on the latest PR changes, an hourglass is shown"
5cb0c9aa0d7eed087055b1efca79628957207d36,False,1,154,2172,169,14.103896103896103,1152,1262,110,0.0,0.36363636363636365,0.0,296725,43795,9880,589,"Propagate context and ensure git commands run in request context (#17868)

This PR continues the work in #17125 by progressively ensuring that git
commands run within the request context.

This now means that the if there is a git repo already open in the context it will be used instead of reopening it.

Signed-off-by: Andrew Thornton <art27@cantab.net>"
01c04607c76391e09620c6f2475b722207d2ee73,False,1,7,418,172,59.714285714285715,183,251,68,0.0,0.46,0.5,25294,3823,971,26,"Fix bug when pushing to a pull request which enabled dismiss approval automatically (#25882)

Fix #25858 

The option `dissmiss stale approvals` was listed on protected branch but
never implemented. This PR fixes that.

<img width=""1006"" alt=""图片""
src=""https://github.com/go-gitea/gitea/assets/81045/60bfa968-4db7-4c24-b8be-2e5978f91bb9"">


<img width=""1021"" alt=""图片""
src=""https://github.com/go-gitea/gitea/assets/81045/8dabc14d-2dfe-40c2-94ed-24fcbf6e0e8f"">"
a666829a37be6f9fd98f9e7dd1767c420f7f3b32,False,1,231,6349,1518,27.484848484848484,3863,4280,417,0.0,0.723404255319149,0.2127659574468085,429773,64924,14662,1514,"Move user related model into models/user (#17781)

* Move user related model into models/user

* Fix lint for windows

* Fix windows lint

* Fix windows lint

* Move some tests in models

* Merge"
9b2536b78fdcd3cf444a2f54857d9871e153858f,False,1,24,116,12,4.833333333333333,82,103,21,,,,64183,9653,2297,24,"Update misspell to 0.5.1 and add `misspellings.csv` (#30573)

Misspell 0.5.0 supports passing a csv file to extend the list of
misspellings, so I added some common ones from the codebase. There is at
least one typo in a API response so we need to decided whether to revert
that and then likely remove the dict entry."
b167f35113e643ccdb17a2dde55bdec5960b284b,False,1,44,412,54,9.363636363636363,237,209,-28,0.0,0.0,0.0,133104,19228,4508,137,"Add context parameter to some database functions (#26055)

To avoid deadlock problem, almost database related functions should be
have ctx as the first parameter.
This PR do a refactor for some of these functions."
c18a62279a54f1ba0dc0293dddbe197f527fbf00,False,1,2,49,36,24.5,19,30,11,0.0,0.0,1.0,5826,841,203,3,"Fix time to NotifyPullRequestSynchronized (#22650)

Should call `PushToBaseRepo` before
`notification.NotifyPullRequestSynchronized`.

Or the notifier will get an old commit when reading branch
`pull/xxx/head`.

Found by ~#21937~ #22679.

Co-authored-by: Lunny Xiao <xiaolunwen@gmail.com>"
408a4842240e7dd906e682196bd4254d6c76fcb9,False,1,40,330,79,8.25,202,190,-12,0.0,0.0,0.0,89031,13302,2921,79,"Adjust object format interface (#28469)

- Remove `ObjectFormatID`
- Remove function `ObjectFormatFromID`.
- Use `Sha1ObjectFormat` directly but not a pointer because it's an
empty struct.
- Store `ObjectFormatName` in `repository` struct"
9b811931662fdc12e2d6f6fcfba6149d896300eb,False,1,4,159,97,39.75,11,148,137,0.2916666666666667,0.2916666666666667,0.40625,4400,670,178,10,"Cache last commit when pushing for big repository (#10109)

* Cache last commit when pushing for big repository

* Fix bug

* detect force push

* Refactor cache push

* Finish cache last commit info when push

* Some improvements

* Fix lint

* Remove unused changes

* Move pull request test before cache

* Fix test mysql

Co-authored-by: techknowlogick <techknowlogick@gitea.io>
Co-authored-by: Lauris BH <lauris@nix.lv>"
17d7ab5ad4ce3d0fbc1251572c22687c237a30b1,False,1,4,99,49,24.75,24,75,51,0.95,1.0,0.35,9973,1435,375,8,Notify reviewers added via CODEOWNERS (#29842)
5cbdf83f706ecdace65e5b42897ebbde82c3a0a1,False,1,2,25,21,12.5,19,18,-1,1.0,1.0,0.0,8392,1201,297,7,"Use pullrequestlist instead of []*pullrequest (#33765)

Just renames no code changed."
475b6e839caa88994318f905f0965c3b418f876a,False,1,2,41,25,20.5,22,35,13,0.0,1.0,0.0,2561,354,94,4,"Fix Add/Remove WIP on pull request title failure (#29999)

Fix #29997"
cf0df023be06c8acec4fc8fb05eab1d1c2e52fd1,False,1,50,777,148,15.54,456,455,-1,,,0.0,141250,21047,4874,271,"More `db.DefaultContext` refactor (#27265)

Part of #27065

This PR touches functions used in templates. As templates are not static
typed, errors are harder to find, but I hope I catch it all. I think
some tests from other persons do not hurt."
8598356df1eb21b6e33ecb9f9268ba36c5488e7c,False,1,12,1364,495,113.66666666666667,607,757,150,1.0,1.0,1.0,18027,2427,551,41,"Refactor and tidy-up the merge/update branch code (#22568)

The merge and update branch code was previously a little tangled and had
some very long functions. The functions were not very clear in their
reasoning and there were deficiencies in their logging and at least one
bug in the handling of LFS for update by rebase.

This PR substantially refactors this code and splits things out to into
separate functions. It also attempts to tidy up the calls by wrapping
things in ""context""s. There are also attempts to improve logging when
there are errors.

Signed-off-by: Andrew Thornton <art27@cantab.net>

---------

Signed-off-by: Andrew Thornton <art27@cantab.net>
Co-authored-by: techknowlogick <techknowlogick@gitea.io>
Co-authored-by: delvh <dev.lh@web.de>"
34fb9d68a5567423ddde736ff42f9780f4048366,False,1,5,182,88,36.4,90,92,2,,,,17598,2574,597,12,"Move AddTestPullRequestTask to pull service package from models (#8324)

* move AddTestPullRequestTask to pull service package from models

* fix fmt"
faf5705d29bcfc08e6d7d75cd9694ee859ee7e58,False,1,9,1692,778,188.0,1043,1245,202,0.8,0.0,1.0,23921,3309,710,36,"GitHub like repo home page (#32213)

Move some components (description, license, release, language stats) to sidebar

---------

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
540bf9fa6d0d86297c9d575640798b718767bd9f,False,1,49,1935,363,39.48979591836735,969,972,3,,,,101817,14339,3255,510,"Move notification interface to services layer (#26915)

Extract from #22266"
277f90d4164c09dc42a0fc6b1041147e76874f41,False,1,4,198,122,49.5,74,248,174,0.14285714285714285,0.9159663865546218,0.8403361344537815,13684,1982,518,7,"Fix codeowner detected diff base branch to mergebase (#29783)

Fix #29763

This PR fixes 2 problems with CodeOwner in the pull request.
- Don't use the pull request base branch but merge-base as a diff base to
detect the code owner.
- CodeOwner detection in fork repositories will be disabled because
almost all the fork repositories will not change CODEOWNERS files but it
should not be used on fork repositories' pull requests.

---------

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
ed31ddc29a1cae7af193fb0793d129b07da91ce2,False,1,4,219,102,54.75,61,211,150,0.8910891089108911,1.0,0.9405940594059405,9571,1478,274,14,"Fix several render issues (#14986)

* Fix an issue with panics related to attributes
* Wrap goldmark render in a recovery function
* Reduce memory use in render emoji
* Use a pipe for rendering goldmark - still needs more work and a limiter

Signed-off-by: Andrew Thornton <art27@cantab.net>
Co-authored-by: Lauris BH <lauris@nix.lv>"
52e11b24bf5e395d83ea58c1b0fd6922efe16add,False,1,13,1218,574,93.6923076923077,1092,1189,97,1.0,1.0,0.5384615384615384,27835,4108,963,69,"Restructure markup & markdown to prepare for multiple markup language… (#2411)

* restructure markup & markdown to prepare for multiple markup languages support

* adjust some functions between markdown and markup

* fix tests

* improve the comments"
a09b40de8d1dae7107437cfba42cee201fcd6d42,False,1,3,112,104,37.333333333333336,64,48,-16,0.0,0.0,0.0,3132,502,96,12,"Prevent double sanitize (#16386)

* Prevent double sanitize.
* Use SanitizeReaderToWriter.

At the moment `actualRender` uses `SanitizeReader` to sanitize the output. But `SanitizeReader` gets called in `markup.render` too so the output gets sanitized twice.

I moved the `SanitizeReader` call into `RenderRaw` because this method does not use `markup.render`. I would like to remove the `RenderRaw`/`RenderRawString` methods too because they are only called from tests, the fuzzer and the `/markup/raw` api endpoint. This endpoint is not in use so I think we could remove them. If we really in the future need a method to render markdown without PostProcessing we could achieve this with a more flexible `renderer.NeedPostProcess` method."
0f18046df4a9560351fcd8a7d9c9a80adf10efc2,False,1,2,59,48,29.5,166,268,102,0.1388888888888889,1.0,1.0,1437,204,55,2,"Refactor markdown render (#32728)

Follow up recent render system refactoring PRs (split test code), and
fine tune the math render (added some new cases)"
