sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
5fadcf997e956d711dd3dc3fe7e7af2aeeac4cd1,False,1,1,5,5,5.0,0,5,5,0.0,0.0,1.0,2465,393,96,1,"Fix maven panic when no package exists (#33888) (#33889)

Backport #33888 by @wxiaoguang

Fix #33886

Restore the old logic from #16510, which was incorrectly removed by
#33678

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
45c4139134cfdb23fbeb85bb5c78811605f37dd5,False,1,1,5,5,5.0,0,5,5,0.0,0.0,1.0,2465,393,96,1,"Fix maven panic when no package exists (#33888)

Fix #33886

Restore the old logic from #16510, which was incorrectly removed by
#33678"
1e7248047ce66c235faf53cd79b6513fb3aa1c50,False,1,7,152,59,21.714285714285715,37,157,120,0.31313131313131315,0.6060606060606061,0.8686868686868687,19379,2710,664,15,"Pull request updates will also trigger code owners review requests (#33744)

Fix #33490 

It will only read the changed file on the pushed commits but not all the
files of this PR.

---------

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
9054a6670c8b80a9f0f558163f100143be3e2334,False,1,2,25,22,12.5,21,22,1,0.0,0.0,1.0,2280,342,68,3,"Fix markdown render (#33870) (#33875)

Backport #33870 by wxiaoguang

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
8a0f7f0975d7d14160022ef94984b5c031220e6d,False,1,2,25,22,12.5,21,22,1,0.0,0.0,1.0,2280,342,68,3,"Fix markdown render (#33870)

Fix #33869, some code block is moved to make it easier to test.

Added a new test"
2eecd58bbe8dddb6d1f8f07ea43db6c89c9277d4,False,1,1,22,22,22.0,11,18,7,0.0,0.8571428571428571,0.8571428571428571,2901,415,85,1,"Fix pull requests API convert panic when head repository is deleted. (#34685) (#34687)

Backport #34685 by @lunny

Fix #34682

Co-authored-by: Lunny Xiao <xiaolunwen@gmail.com>"
fbc3796f9e26e38e1ab8624d5d9ab24ccf1ba6ac,False,1,1,22,22,22.0,11,18,7,0.0,0.8571428571428571,0.8571428571428571,2901,415,85,1,"Fix pull requests API convert panic when head repository is deleted. (#34685)

Fix #34682"
3290aff964a15cf6e2336df2841464077fe24250,False,1,3,36,24,12.0,20,31,11,1.0,1.0,1.0,3588,552,98,3,"Fix commit message rendering and some UI problems (#34680) (#34683)

Backport #34680 by wxiaoguang

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
1610a63bfd9e243a0d1ad8a5d05a5ae011a957a9,False,1,3,36,24,12.0,20,31,11,1.0,1.0,1.0,3588,552,98,3,"Fix commit message rendering and some UI problems (#34680)

* Fix #34679
* Fix #34676
* Fix #34674
* Fix #34526"
cc942e2a86152939305b30373b618536d46aedca,False,1,2,32,24,16.0,21,47,26,0.34782608695652173,1.0,0.5217391304347826,7367,1141,262,4,Fix GetUsersByEmails (#34643)
0082cb51fa381338c8f96076f90f9e7a49909f8e,False,1,7,57,39,8.142857142857142,20,49,29,0.0,0.3333333333333333,0.3333333333333333,16361,2307,546,8,"Fix last admin check when syncing users (#34649)

Fix #34358"
7b39c8258779363e2071b6171726166c58f843ae,False,1,2,19,15,9.5,8,35,27,0.15789473684210525,1.0,1.0,4796,780,147,5,"Fix ""oras"" OCI client compatibility (#34666)

Fix #25846

1. the ImageConfig can be empty, fall back to default
2. the blob size can be empty, it still needs ""Content-Length"" header"
a3b25436f2d576f92e2932e0ee0af9973bbdd19c,False,1,7,57,39,8.142857142857142,20,49,29,0.0,0.3333333333333333,0.3333333333333333,16361,2306,546,8,"Fix last admin check when syncing users (#34649) (#34673)

Backport #34649 by @wxiaoguang

Fix #34358

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
b947bc436367f9d9ed6a3488f977ee51ea104242,False,1,10,70,20,7.0,24,92,68,0.4098360655737705,0.39344262295081966,0.8524590163934426,22965,3417,830,13,"Fix footnote jump behavior on the issue page. (#34621) (#34669)

Backport #34621 by @charles7668

Close #34511 
Close #34590 

Add comment ID to the footnote item's id attribute to ensure uniqueness.

Co-authored-by: charles <30816317+charles7668@users.noreply.github.com>
Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
18dc41d6f8491711339be0bd538eadef0fda123f,False,1,2,19,15,9.5,8,35,27,0.15789473684210525,1.0,1.0,4796,780,147,5,"Fix ""oras"" OCI client compatibility (#34666) (#34671)

Backport #34666 by wxiaoguang

Fix #25846

1. the ImageConfig can be empty, fall back to default
2. the blob size can be empty, it still needs ""Content-Length"" header

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
b408bf2f0bb6e76e73421e63128f08d42047e7c0,False,1,1,8,8,8.0,0,26,26,0.0,0.6923076923076923,0.6923076923076923,3144,563,157,1,"Fix: skip paths check on tag push events in workflows (#34602)

## Summary
Fix skipping of `paths` condition in workflows triggered by tag push
events.

## Details
- Ensure workflows triggered by tag pushes bypass the `paths` filter
check.
- Prevent incorrect skipping of workflows due to `paths` conditions on
tag pushes.
- Added and updated unit tests to verify correct behavior."
51aafb427802803e9a97806afed07f488e032d83,False,1,1,4,4,4.0,1,101,100,0.2839506172839506,1.0,1.0,6774,984,236,1,Fix bug when API get pull changed files for deleted head repository (#34333)
41f3d062a2c3bb42cbcc75f1d8a6a68246e417ff,False,1,2,15,10,7.5,13,2,-11,0.23076923076923078,0.23076923076923078,0.0,15271,2212,517,5,"Fix bug when visiting comparation page (#34334)

The `ci.HeadGitRepo` was opened and closed in the function
`ParseCompareInfo` but reused in the function `PrepareCompareDiff`."
34281bc198a5ad9a1faa5285d4648b05d7218aaa,False,1,3,24,10,8.0,0,105,105,0.7391304347826086,0.532608695652174,0.9130434782608695,14341,2213,526,3,"Fix bug webhook milestone is not right. (#34419)

Fix #34400

---------

Co-authored-by: silverwind <me@silverwind.io>"
108db0b04f007a0dc03262cb100aa1fe7b80e785,False,1,3,53,45,17.666666666666668,31,22,-9,0.08333333333333333,0.08333333333333333,0.08333333333333333,17606,2556,600,4,"Fix possible pull request broken when leave the page immediately after clicking the update button (#34509)

If user leaves the page, the context will become cancelled, so that the
update process maybe terminal in an unexpected status. This PR haven't
resolve the problem totally. It uses a background context to not cancel
the update process even if the user leaved the pull request view page.

Fix #31779"
c6b2cbd75d290b3b831d9b0ee8b47270e68b273b,False,1,10,70,20,7.0,24,92,68,0.4098360655737705,0.39344262295081966,0.8524590163934426,22972,3420,831,13,"Fix footnote jump behavior on the issue page. (#34621)

Close #34511 
Close #34590 

Add comment ID to the footnote item's id attribute to ensure uniqueness.

---------

Co-authored-by: wxiaoguang <wxiaoguang@gmail.com>"
f6041441ee280faba5f06ec4b7a78c35a402bf87,False,1,9,75,21,8.333333333333334,51,74,23,1.0,1.0,0.9285714285714286,15150,2211,400,12,"Refactor FindOrgOptions to use enum instead of bool, fix membership visibility (#34629)"
6d0b24064a922ee8195a7a7cb858823763bac524,False,1,10,305,79,30.5,281,482,201,0.08379888268156424,1.0,1.0,15317,2310,550,14,"Keeping consistent between UI and API about combined commit status state and fix some bugs (#34562)

Extract from #34531 

## Move Commit status state to a standalone package

Move the state from `structs` to `commitstatus` package. It also
introduce `CommitStatusStates` so that the combine function could be
used from UI and API logic.

## Combined commit status Changed

This PR will follow Github's combined commit status. Before this PR,
every commit status could be a combined one.
According to
https://docs.github.com/en/rest/commits/statuses?apiVersion=2022-11-28#get-the-combined-status-for-a-specific-reference
> Additionally, a combined state is returned. The state is one of:
> failure if any of the contexts report as error or failure
> pending if there are no statuses or a context is pending
> success if the latest status for all contexts is success

This PR will follow that rule and remove the `NoBetterThan` logic. This
also fixes the inconsistent between UI and API. In the API convert
package, it has implemented this which is different from the UI. It also
fixed the missing `URL` and `CommitURL` in the API.

## `CalcCommitStatus` return nil if there is no commit statuses

The behavior of `CalcCommitStatus` is changed. If the parameter commit
statuses is empty, it will return nil. The reference places should check
the returned value themselves."
