sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
4918d8720c6171062c3bcd72a3a1a84dd4c086bf,False,1,17,664,119,39.05882352941177,1252,61,-1191,0.552547770700637,0.28821656050955413,0.3964968152866242,77543,11186,1945,46,Dashboard Restore: Remove experimental functionality under feature flag `dashboardRestore` for now - this will be reworked (#103204),1743666774
5e61ec12580d780f088230dd8a865b98a58af500,False,1,1,2,2,2.0,1,1,0,,,,1861,291,57,1,Prevent wrong type conversion (#101349),1740665870
c79c768421f48268e57df67987fc593d9bd716ac,False,1,4,32,20,8.0,8,105,97,0.313953488372093,0.8372093023255814,1.0,7101,1044,209,5,Folders: Add pagination to list (#102334),1742295366
e4f26a5e4b679afe6d066e3c529948dccb2e0279,False,1,1,1,1,1.0,344,46192,45848,0.46091780131114474,0.8613212304589006,0.9394856278366112,973,168,40,0,Flamegraph: Move to package (#73113),1694514528
40ee9e10e2a5dbba9e2dc40e332e60b2e1a7da65,False,1,1,90,90,90.0,7,83,76,0.0,0.0,0.0,5057,727,149,2,"[release-12.0.2] Azure: Fix Application Insights metadata requests (#105838)

Azure: Fix Application Insights metadata requests (#105614)

* Fix App insights metadata requests

- Correctly handle error responses

* Fix linting and always log the error message

* More lint

(cherry picked from commit 844c854d75b0a74478ecce295285b8255c204d3f)

Co-authored-by: Andreas Christou <andreas.christou@grafana.com>",1749649688
844c854d75b0a74478ecce295285b8255c204d3f,False,1,1,90,90,90.0,7,83,76,0.0,0.0,0.0,5057,727,149,2,"Azure: Fix Application Insights metadata requests (#105614)

* Fix App insights metadata requests

- Correctly handle error responses

* Fix linting and always log the error message

* More lint",1747920941
3b73ebb21096f69f4dcb287896e2cbfec65e48d7,False,1,6,474,244,79.0,59,3306,3247,0.39506769825918764,0.49564796905222436,0.9555125725338491,15639,3776,257,23,Azure Monitor: Add logs query builder (#99055),1743603325
68479d844bed475ce8e258a66d4a230e048768dc,False,1,13,161,43,12.384615384615385,16,212,196,0.7205882352941176,1.0,0.8308823529411765,42162,5773,1218,19,Orgs: Remove dependency on dashboard table for deletion (#98501),1736183122
473898e47ceae0d09bd28a3bcc819c42488e3a33,False,1,49,2512,282,51.265306122448976,1631,1433,-198,1.0,0.0,1.0,38777,6491,1077,137,"Core: Remove thema and kindsys dependencies (#84499)

* Move some thema code inside grafana

* Use new codegen instead of thema for core kinds

* Replace TS generator

* Use new generator for go types

* Remove thema from oapi generator

* Remove thema from generators

* Don't use kindsys/thema for core kinds

* Remove kindsys/thema from plugins

* Remove last thema related

* Remove most of cuectx and move utils_ts into codegen. It also deletes wire dependency

* Merge plugins generators

* Delete thema dependency :tada:

* Fix CODEOWNERS

* Fix package name

* Fix TS output names

* More path fixes

* Fix mod codeowners

* Use original plugin's name

* Remove kindsys dependency :tada:

* Modify oapi schema and create an apply function to fix elasticsearch errors

* cue.mod was deleted by mistake

* Fix TS panels

* sort imports

* Fixing elasticsearch output

* Downgrade oapi-codegen library

* Update output ts files

* More fixes

* Restore old elasticsearch generated file and skip its generation. Remove core imports into plugins

* More lint fixes

* Add codeowners

* restore embed.go file

* Fix embed.go",1711015889
15e54df9f2bc6e438a4f18a1b83849c75a458dac,False,1,5,98,40,19.6,148,143,-5,1.0,1.0,0.0,5001,774,120,37,"Pyroscope: Remove ""phlare"" from variable, types, strings etc (#75140)",1695220282
5b085976bfc15686c3d4a56057b7f489d0a956c5,False,1,1,7,7,7.0,18,37,19,1.0,1.0,0.625,1720,253,30,2,Pyroscope: Fix template variable support (#84477),1710768347
0845ac2f53ca17cf698341b382af5262335e295c,False,1,36,38379,8450,1066.0833333333333,271,41611,41340,0.32475777817897333,0.41812601552626827,0.9602515496178612,234285,36544,8747,1752,"Profiling: Add Phlare and Parca datasources (#57809)

* Add phlare datasource

* Rename

* Add parca

* Add self field to parca

* Make sure phlare works with add to dashboard flow

* Add profiling category and hide behind feature flag

* Update description and logos

* Update phlare icon

* Cleanup logging

* Clean up logging

* Fix for shift+enter

* onRunQuery to set label

* Update type naming

* Fix lint

* Fix test and quality issues

Co-authored-by: Joey Tawadrous <joey.tawadrous@grafana.com>",1666956817
f8912517e6485a2a30a820e840abdf1c75919abc,False,1,11,342,101,31.09090909090909,46,301,255,0.25742574257425743,0.8366336633663366,0.5693069306930693,12636,1719,255,54,Improve logs for backends owned by the Observability Traces and Profiling squad (#76109),1698749837
