sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
b35c5c0a301d326fdfa353943fca077778544ac6,False,1,4,343,204,85.75,107,236,129,0.24742268041237114,0.0,0.20618556701030927,6305,958,111,12,"e2e: Fix shadowed error in reboot test and clean up containers after reboot test (#131699)

* Fix test flakiness caused by shadowed error in reboot test and stale pods affecting eviction test

- Fixed a bug in `ExecCommandInContainerWithFullOutput` usage in `hybrid_network.go` where the `err` variable was shadowed, causing test failures to be silently ignored.
- Added cleanup logic in `eviction.go` to explicitly delete pods created by the reboot node test (e.g., `img-puller`, `reboot-host-test-windows`) before starting the eviction test.
- This improves reliability of the eviction test when the reboot test runs beforehand and leaves behind memory-consuming pods.

* Add cleanup containers in reboot node test

* Workaround for Calico HNS issue by avoiding eviction of undeletable pods

Add a workaround for a known Calico issue (https://github.com/projectcalico/calico/issues/6974) where pods on Windows nodes may become undeletable after a reboot. This causes the eviction manager to attempt evicting these pods but fail due to HNS namespace deletion errors.

The workaround avoids scheduling critical test pods on rebooted nodes to prevent interference.

TODO: Remove this workaround once the Calico issue is resolved.

* Fix the lint issue.

* Address comments",1747942835
609e4a9ba044e64a6244e053d2b1b7c545a2d2ed,False,1,1,12,12,12.0,2,92,90,0.25609756097560976,0.926829268292683,1.0,1011,170,30,2,"Unhandled panic crash on rollout_history printer.PrintObj (#130503)

* Change: Handling nil runtime.Object

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Return only if there is error in rollout_history

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Return the unknown revision error directly in rollout_history.go

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Remove unintended newline

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Using go idiomatic way for checking if historyInfo[o.Revision] exists

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Remove 'error:' from returned error message in rollout_history.go

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Check for printer.PrintObj returned err

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Add TestRolloutHistoryErrors test

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Simple typo fix on Complete() function description

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Checking for error on o.Complete in TestRolloutHistoryErrors

Signed-off-by: Taha Farahani <tahacodes@proton.me>

---------

Signed-off-by: Taha Farahani <tahacodes@proton.me>",1745440274
cce99a8c73a32c6dff31768c4757968440ef91c3,False,1,1,12,12,12.0,2,92,90,0.25609756097560976,0.926829268292683,1.0,1011,170,30,2,"Automated cherry pick of #130503: Unhandled panic crash on rollout_history printer.PrintObj (#131496)

* Change: Handling nil runtime.Object

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Return only if there is error in rollout_history

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Return the unknown revision error directly in rollout_history.go

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Remove unintended newline

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Using go idiomatic way for checking if historyInfo[o.Revision] exists

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Remove 'error:' from returned error message in rollout_history.go

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Check for printer.PrintObj returned err

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Add TestRolloutHistoryErrors test

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Simple typo fix on Complete() function description

Signed-off-by: Taha Farahani <tahacodes@proton.me>

* Change: Checking for error on o.Complete in TestRolloutHistoryErrors

Signed-off-by: Taha Farahani <tahacodes@proton.me>

---------

Signed-off-by: Taha Farahani <tahacodes@proton.me>",1747207614
381ccf0f4c723f7164d4363d2bcd76f4e34e5441,False,1,1,39,39,39.0,25,21,-4,1.0,0.0,1.0,8766,1128,206,1,"Fix empty describedObject in hpa status (#124555)

* fix empty DescribedObject in hpa MetricStatus when object target type is AverageValue

Signed-off-by: mchtech <michu_an@126.com>

* add test

Signed-off-by: mchtech <michu_an@126.com>

---------

Signed-off-by: mchtech <michu_an@126.com>",1742315636
20cecaee97f34f874a84902bf8dbe2bc359db9f0,False,1,1,24,24,24.0,12,73,61,1.0,0.7045454545454546,1.0,5752,466,22,2,"Add Watch to controller roles (#130405)

* Add Watch to controller roles

Starting from version 1.32, the client feature `WatchListClient` has been
set to `true` in `kube-controller-manager`.
(commit 06a15c5cf96131faaf44f93f1be228a013ae5c0d)

As a result, when the `kube-controller-manager` executes the `List` method,
it utilizes `Watch`. However, there are some existing controller roles that
include `List` but do not include `Watch`. Therefore, when processes using
these controller roles execute the `List` method, `Watch` is executed first,
but due to permission errors, it falls back to `List`.

This PR adds `Watch` to the controller roles that include `List` but do not
include `Watch`.

The affected roles are as follows (prefixed with `system:controller:`):

- `cronjob-controller`
- `endpoint-controller`
- `endpointslice-controller`
- `endpointslicemirroring-controller`
- `horizontal-pod-autoscaler`
- `node-controller`
- `pod-garbage-collector`
- `storage-version-migrator-controller`

Signed-off-by: Mitsuru Kariya <mitsuru.kariya@nttdata.com>

* Fix Fixture Data

I apologize, the Fixture Data modifications were missed.

Signed-off-by: Mitsuru Kariya <mitsuru.kariya@nttdata.com>

* Add ControllerRoles Test

Added a test to check that if a controller role includes `List`, it also includes `Watch`.

Signed-off-by: Mitsuru Kariya <mitsuru.kariya@nttdata.com>

* Fix typo

Co-authored-by: Jordan Liggitt <jordan@liggitt.net>

* Add Additional Tests

Added tests to check that if NodeRules, ClusterRoles, and NamespaceRoles
include `List`, it also include `Watch`.

Signed-off-by: Mitsuru Kariya <mitsuru.kariya@nttdata.com>

---------

Signed-off-by: Mitsuru Kariya <mitsuru.kariya@nttdata.com>
Co-authored-by: Jordan Liggitt <jordan@liggitt.net>",1740587078
7c887412c882afc130d78e4bb6efad056b0fe376,False,1,2,20,13,10.0,6,48,42,0.0,0.972972972972973,0.8918918918918919,7774,730,175,3,"Add validation for revisionHistoryLimit in sts to prevent negative value (#129017)

* Add validation for revisionHistoryLimit in sts to prevent negative value

* Add unit tests to verify warning messages",1736190271
4114a9b4e45a4df96f0383d87b2649640a6ffbf1,False,1,1,10,10,10.0,4,46,42,0.0,0.9512195121951219,1.0,38515,4884,1169,1,"[kubectl] Enhance describe output for projected volume sources to indicate optional Secret/ConfigMap (#129457)

* kubectl: enhance output for projected volume sources to indicate optional secrets

* .",1736171416
0cc926220067cd814cecd8f3d0c3b9235e6a68db,False,1,1,4,4,4.0,1,46,45,1.0,1.0,1.0,1511,298,49,3,"kubectl: fix wait --for=create to work correctly with label selectors (#128662)

* kubectl: fix wait --for=create to work correctly with label selectors

Signed-off-by: Omer Aplatony <omerap12@gmail.com>

* Add unit test

Signed-off-by: Omer Aplatony <omerap12@gmail.com>

* add integration test

Signed-off-by: Omer Aplatony <omerap12@gmail.com>

* Increase wait time to 40 seconds

Signed-off-by: Omer Aplatony <omerap12@gmail.com>

---------

Signed-off-by: Omer Aplatony <omerap12@gmail.com>",1733972248
ae35048cb0b9b177891aab41346b6d6cc504582f,False,1,3,161,119,53.666666666666664,21,140,119,0.46987951807228917,0.9397590361445783,0.927710843373494,4511,544,93,11,"adds watchListEndpointRestrictions for watchlist requests (#126996)

* endpoints/handlers/get: intro watchListEndpointRestrictions

* consistencydetector/list_data_consistency_detector: expose IsDataConsistencyDetectionForListEnabled

* e2e/watchlist: extract common function for adding unstructured secrets

* e2e/watchlist: new e2e scenarios for convering watchListEndpointRestrict",1727255521
05bc2708700a09a477eff902ad7f9189ab0ac4be,False,1,2,32,30,16.0,13,137,124,0.0,1.0,0.9655172413793104,7694,996,279,4,"add tests for getReplicaSetFraction in the deployment controller (#128535)

* better name variables in deployment_util

* add tests for getReplicaSetFraction in the deployment controller

- make validation more robust and make sure we do not divide by 0",1730747503
