sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message,commit_timestamp
0506d9e83d93575aba78ea81eccc02b6a176e814,False,1,1,6,6,6.0,1,5,4,,,,4645,646,140,1,storage: Return errDiskNotFound when a peer is during shutdown (#15868),1666126246
437dd4e32a5262ab48579ffcbcdc296ac76c46c0,False,1,1,6,6,6.0,0,6,6,0.0,0.0,1.0,21285,2766,635,1,Fix missing authorization check for `PutObjectRetentionHandler` (#20929),1739376493
76913a9fd5c6e5c2dbd4e8c7faf56ed9e9e24091,False,1,13,1159,377,89.15384615384616,281,918,637,0.004434589800443459,0.1352549889135255,1.0,56213,9050,1695,40,Signed trailers for signature v4 (#16484),1683341592
54ae364def50f80b091d20bebbf57cc86bceaba6,False,1,51,4528,352,88.7843137254902,712,7248,6536,0.1720020325203252,0.5160060975609756,0.9367378048780488,97639,16687,3297,211,"Introduce STS client grants API and OPA policy integration (#6168)

This PR introduces two new features

- AWS STS compatible STS API named AssumeRoleWithClientGrants

```
POST /?Action=AssumeRoleWithClientGrants&Token=<jwt>
```

This API endpoint returns temporary access credentials, access
tokens signature types supported by this API

  - RSA keys
  - ECDSA keys

Fetches the required public key from the JWKS endpoints, provides
them as rsa or ecdsa public keys.

- External policy engine support, in this case OPA policy engine

- Credentials are stored on disks",1539118801
fba883839d8719f649bfda65b6561a642ec21a95,False,1,24,2301,795,95.875,248,2291,2043,0.13665389527458494,0.28607918263090676,0.8722860791826309,106782,16596,3806,73,"feat: bring new HDD related performance enhancements  (#18239)

Optionally allows customers to enable 

- Enable an external cache to catch GET/HEAD responses 
- Enable skipping disks that are slow to respond in GET/HEAD 
  when we have already achieved a quorum",1700689577
08d74819b66bf87aa270379c5cf374e0c9db8125,False,1,27,137,35,5.074074074074074,62,95,33,0.8181818181818182,0.8181818181818182,1.0,171776,27685,5516,38,"handle racy updates to globalSite config (#19750)

```
==================
WARNING: DATA RACE
Read at 0x0000082be990 by goroutine 205:
  github.com/minio/minio/cmd.setCommonHeaders()

Previous write at 0x0000082be990 by main goroutine:
  github.com/minio/minio/cmd.lookupConfigs()
```",1715901227
8f2a3efa85265e843f88b6eea2f5df747c1f91d4,False,1,10,205,86,20.5,135,70,-65,1.0,0.7543859649122807,0.7719298245614035,46227,6523,1375,20,"disallow sub-credentials based on root credentials to gain priviledges (#12947)

This happens because of a change added where any sub-credential
with parentUser == rootCredential i.e (MINIO_ROOT_USER) will
always be an owner, you cannot generate credentials with lower
session policy to restrict their access.

This doesn't affect user service accounts created with regular
users, LDAP or OpenID",1628816828
1cd875de1ebee3c1399ba9ac762090b0321be268,False,1,5,18,10,3.6,9,9,0,,,,52816,7556,1676,9,Persist updated metadata (#16160),1669998904
43a3778b4553e54afc6bac7920f23f581afdcb54,False,1,11,923,293,83.9090909090909,306,674,368,0.05485232067510549,0.1308016877637131,0.33755274261603374,51371,7338,1587,42,"fix: support object-remaining-retention-days policy condition (#9259)

This PR also tries to simplify the approach taken in
object-locking implementation by preferential treatment
given towards full validation.

This in-turn has fixed couple of bugs related to
how policy should have been honored when ByPassGovernance
is provided.

Simplifies code a bit, but also duplicates code intentionally
for clarity due to complex nature of object locking
implementation.",1586205856
cdeccb5510f25d0019682f978c2c0aa02a5e12bf,False,1,44,4740,2484,107.72727272727273,59010,2035,-56975,0.38583482485297876,0.19394016875479417,0.17821529020710816,108053,16669,3316,174,"feat: Deprecate embedded browser and import console (#12460)

This feature also changes the default port where
the browser is running, now the port has moved
to 9001 and it can be configured with

```
--console-address "":9001""
```",1623986824
