sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
ffd57fde900457b1e8df9d948757c84fdf5327da,False,1,1,11,11,11.0,1,10,9,1.0,1.0,1.0,4780,667,145,1,Convert 'server closed idle connection' to errDiskNotFound (#16548)
8c70975283f9f4ce80f331a25c7475a36279e519,False,1,4,54,30,13.5,40,69,29,0.0,1.0,0.0,33492,4511,1049,9,"make sure to validate signature unsigned trailer stream (#21103)

This is a security incident fix, it would seem like since
the implementation of unsigned payload trailer on PUTs,
we do not validate the signature of the incoming request.

The signature can be invalid and is totally being ignored,
this in-turn allows any arbitrary secret to upload objects
given the user has ""WRITE"" permissions on the bucket, since
acces-key is a public information in general exposes these
potential users with WRITE on the bucket to be used by any
arbitrary client to make a fake request to MinIO the signature
under Authorization: header is totally ignored.

A test has been added to cover this scenario and fail
appropriately."
4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,False,1,1,25,25,25.0,26,86,60,0.0,0.0,0.8958333333333334,2359,395,82,6,"fix: SFTP auth bypass with no pub key in LDAP (#20986)

If a user attempts to authenticate with a key but does not have an
sshpubkey attribute in LDAP, the server allows the connection, which 
means the server trusted the key without reason. This is now fixed, 
and a test has been added for validation."
437dd4e32a5262ab48579ffcbcdc296ac76c46c0,False,1,1,6,6,6.0,0,6,6,0.0,0.0,1.0,21285,2766,635,1,Fix missing authorization check for `PutObjectRetentionHandler` (#20929)
e029f8a9d75cbe68c54ba2e7e83de4bd289875de,False,1,1,8,8,8.0,2,34,32,0.0,0.0,0.0,19715,3181,716,2,set kms keyid in replication opts (#20542)
f246c9053f9603e610d98439799bdd2a6b293427,False,1,1,48,48,48.0,44,4,-40,1.0,1.0,1.0,15533,2251,479,2,"fix: Privilege escalation in IAM import API (#20756)

This API had missing permissions checking, allowing a user to change
their policy mapping by:

1. Craft iam-info.zip file: Update own user permission in
user_mappings.json
2. Upload it via `mc admin cluster iam import nobody iam-info.zip`

Here `nobody` can be a user with pretty much any kind of permission (but
not anonymous) and this ends up working.

Some more detailed steps - start from a fresh setup:

```
./minio server /tmp/d{1...4} &
mc alias set myminio http://localhost:9000 minioadmin minioadmin
mc admin user add myminio nobody nobody123
mc admin policy attach myminio readwrite nobody nobody123
mc alias set nobody http://localhost:9000 nobody nobody123

mc admin cluster iam export myminio
mkdir /tmp/x && mv myminio-iam-info.zip /tmp/x
cd /tmp/x
unzip myminio-iam-info.zip
echo '{""nobody"":{""version"":1,""policy"":""consoleAdmin"",""updatedAt"":""2024-08-13T19:47:10.1Z""}}' > \
      iam-assets/user_mappings.json
zip -r myminio-iam-info-updated.zip iam-assets/

mc admin cluster iam import nobody ./myminio-iam-info-updated.zip
mc admin service restart nobody
```"
7472818d940356070e98098ba574a153e2448556,False,1,1,19,19,19.0,12,7,-5,0.0,0.0,0.0,6676,1122,156,2,"Fix hanging scanner saves (#18368)

Fix various regressions from #18029

* If context is canceled the token is never returned. This will lead to scanner being unable to save and deadlocking.
* Fix backup not being able to get any data (hr empty)
* Reduce backup timeout."
f5d2fbc84c6311826b75335b92c24e5227853daa,False,1,4,118,71,29.5,36,88,52,0.0,0.0,0.8048780487804879,30377,4666,1209,17,Add DecodeDN and QuickNormalizeDN functions to LDAP config (#20076)
f00187033d7977ee2da95e3b8542bd720b52628f,False,1,6,308,145,51.333333333333336,104,573,469,0.25235849056603776,0.6698113207547169,0.6533018867924528,15741,2548,596,28,Two way streams for upcoming locking enhancements (#19796)
d7fb6fddf662683060aed1d8c9dc13cf2936d6e8,False,1,4,35,16,8.75,3,32,29,0.0,0.0,0.75,16861,3119,364,4,feat: add user specific redis auth (#19285)
64bafe1dfe11effc1609718781159f501ab9a9cc,False,1,1,10,10,10.0,1,9,8,1.0,1.0,0.0,15584,2426,526,1,skip speedtest bucket from site-replication (#18393)
2f7a10ab3165fdb3d4ab098402f828fe9833d3ff,False,1,1,37,37,37.0,9,28,19,0.0,0.0,0.0,4210,746,218,1,"Fix incorrect merging of slash-suffixed objects (#19699)


If two objects share everything but one object has a slash prefix, those would be merged in listings, 
with secondary properties used for a tiebreak.

Example: An object with the key `prefix/obj` would be merged with an object named `prefix/obj/`. 
While this violates the [no object can be a prefix of another](https://min.io/docs/minio/linux/operations/concepts/thresholds.html#conflicting-objects), let's resolve these.

If we have an object with 'name' and a directory named 'name/' discard the directory only - but allow objects 
of 'name' and 'name/' (xldir) to be uniquely returned.

Regression from #15772"
8b660e18f26b36cc11a51aad0d806d03b917784d,False,1,29,3410,548,117.58620689655173,1788,1774,-14,1.0,1.0,1.0,120869,21071,3663,157,"kms: add support for MinKMS and remove some unused/broken code (#19368)

This commit adds support for MinKMS. Now, there are three KMS
implementations in `internal/kms`: Builtin, MinIO KES and MinIO KMS.

Adding another KMS integration required some cleanup. In particular:
 - Various KMS APIs that haven't been and are not used have been
   removed. A lot of the code was broken anyway.
 - Metrics are now monitored by the `kms.KMS` itself. For basic
   metrics this is simpler than collecting metrics for external
   servers. In particular, each KES server returns its own metrics
   and no cluster-level view.
 - The builtin KMS now uses the same en/decryption implemented by
   MinKMS and KES. It still supports decryption of the previous
   ciphertext format. It's backwards compatible.
 - Data encryption keys now include a master key version since MinKMS
   supports multiple versions (~4 billion in total and 10000 concurrent)
   per key name.

Signed-off-by: Andreas Auernhammer <github@aead.dev>"
87299eba10244f02d793136df4fa5229f2073209,False,1,1,1,1,1.0,0,1,1,0.0,0.0,1.0,512,96,16,1,fix: close sessionPolicyFile in the sts-assume-role example (#19428)
0c31e61343454b229743a2b75d50ef1a3fdc3734,False,1,7,192,62,27.428571428571427,73,119,46,0.0,0.5294117647058824,0.7352941176470589,12528,2178,434,12,"allow protection from invalid config values (#19460)

we have had numerous reports on some config
values not having default values, causing
features misbehaving and not having default
values set properly.

This PR tries to address all these concerns
once and for all.

Each new sub-system that gets added

- must check for invalid keys
- must have default values set
- must not ""return err"" when being saved into
  a global state() instead collate as part of
  other subsystem errors allow other sub-systems
  to independently initialize."
9b926f7dbe6292060a3e55027cac3e12290159f6,False,1,2,14,7,7.0,3,11,8,1.0,1.0,1.0,20609,3208,756,2,"avoid busy loops in bad path component (#19466)

use it in places where we are looking
for such bad path components."
35d8728990839c1ff003703e7ba4104f8446fca0,False,1,1,24,24,24.0,0,176,176,0.0684931506849315,0.0684931506849315,0.8424657534246576,10039,1551,418,1,handle missing LDAP normalization in SetPolicy() API (#19465)
1fc4203c1982000162e586c3a13bbfb06de08e43,False,1,5,675,466,135.0,236,439,203,0.0,0.043795620437956206,0.8613138686131386,10291,1712,347,30,"Webhook targets refactor and bug fixes (#19275)

- old version was unable to retain messages during config reload
- old version could not go from memory to disk during reload
- new version can batch disk queue entries to single for to reduce I/O load
- error logging has been improved, previous version would miss certain errors.
- logic for spawning/despawning additional workers has been adjusted to trigger when half capacity is reached, instead of when the log queue becomes full.
- old version would json marshall x2 and unmarshal 1x for every log item. Now we only do marshal x1 and then we GetRaw from the store and send it without having to re-marshal."
b5e074e54cb87b8dc410d1e94bb75d2dd4ae11ab,False,1,5,188,114,37.6,87,101,14,0.21428571428571427,0.35714285714285715,1.0,28477,4509,1185,13,list: Fix IsTruncated and NextMarker when encountering expired objects (#19290)
74ccee66198da4ef1cc331924ab477da1fdfe63e,False,1,10,302,130,30.2,100,202,102,0.06172839506172839,0.8518518518518519,0.345679012345679,43666,6813,1559,31,"avoid too much auditing during decom/rebalance make it more robust (#19174)

there can be a sudden spike in tiny allocations,
due to too much auditing being done, also don't hang
on the

```
h.logCh <- entry
```

after initializing workers if you do not have a way to
dequeue for some reason."
9a012a53efbaca385026179c43cce8db9a5bbff8,False,1,13,170,34,13.076923076923077,122,59,-63,0.5555555555555556,0.37777777777777777,0.4222222222222222,64147,10163,2547,27,"initialize the disk healer early on (#19143)

This PR fixes a bug that perhaps has been long introduced,
with no visible workarounds. In any deployment, if an entire
erasure set is deleted, there is no way the cluster recovers."
