sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
dff49df12903a96597d46d6d3d4b46aa26e0aa03,False,1,1,11,11,11.0,0,177,177,0.0,0.9396551724137931,1.0,402,67,7,1,"hcl2template: check bucket name at parse-time

Not validating the bucket's name during parse leads to configurations
being marked as valid, even if the bucket name is not, which will fail
during a real build afterwards.

To avoid this problem and fail with an error as quickly as possible, we
add a check during parsing, so that it gets reported for validate as
well."
aa6c5f8405a5aa3e85d8a026cb1f335fba78921b,False,1,11,430,132,39.09090909090909,7,487,480,0.34579439252336447,0.838006230529595,0.9875389408099688,7161,1257,195,31,feat: Phase 2 Extension of Build Metadata (#13092)
bac9c744474fa4da797fcb9037d53d5c81813000,False,1,13,626,136,48.15384615384615,153,807,654,0.29292929292929293,0.6868686868686869,0.9621212121212122,12465,2182,371,34,packer console for HCL2 (#9359)
7e45a1e950aa5abb82778e3d90b2f88a5adc273f,False,1,2,59,51,29.5,4,55,51,1.0,1.0,1.0,275,55,9,4,fix enum
e62aba37888b6a7bf21883f88c1ed6c788a3effd,False,1,3,32,15,10.666666666666666,13,19,6,1.0,1.0,1.0,2616,420,90,1,"allow to set ExecutionPolicy to none for powershell provisioner

this has the effect to not wrap the command, which will allow to know the exit status of a command in docker"
e96409954aefb69f267cca744a74b2d4d5be3057,False,1,4,128,55,32.0,7,142,135,0.9666666666666667,0.9666666666666667,0.9833333333333333,3217,531,113,10,add execution policy type and use it to default the powershell cmd
805225a1133e2f425bc11a77a7bbcf78d6a0e776,False,1,3,235,157,78.33333333333333,0,488,488,0.2653061224489796,0.5204081632653061,1.0,1748,287,40,9,feat: add http datasource (#11658)
f80ba2821b7881bd520778b3737747a987df2286,False,1,1,8,8,8.0,0,8,8,0.0,1.0,1.0,121,25,4,1,"packer: error multiple paths in PACKER_PLUGIN_PATH

When a user defines PACKER_PLUGIN_PATH in their environment, we need to
error if their path defines multiple directories separated by `:`.

This used to be supported, but this is removed with 1.11 as we're
simplifying the loading process for plugins, so we opted to fall-back to
only one plugin directory supported."
595b45e67c83ac02f7c3810da6c80c28a95a4feb,False,1,5,97,40,19.4,21,139,118,0.0,0.6235294117647059,0.7294117647058823,8365,1409,247,6,Packer tracks Version and Plugins Metadata (#12860)
cdaad0cde2170ece81273fb64523c8656749634c,False,1,1,20,20,20.0,14,6,-8,0.0,0.0,0.0,116,32,3,1,"version: up version handling code for SDK update

Since the SDK was updated and now accepts raw version strings in
addition to also supporting metadata officially, we can start using
those functions in our version package as well."
0502e09399bdce020f3d7f08f5ac970504d60185,False,1,1,6,6,6.0,0,6,6,0.0,0.0,1.0,3646,561,107,1,"packer: check API version matches between name/bin

As with the version of the plugin, the API version should also match
between the path and the self-reported API version from the describe
command.

This was not checked before, so users could masquerade a plugin's use of
an API version that may be incompatible with Packer.

To avoid this problem, we make sure both versions are the same, so that
they work as expected."
ed091163be017ad7bd16bc8e99351fc03ef93489,False,1,266,64897,15669,243.97368421052633,6687,83326,76639,0.5967909913428366,0.7921955347262905,0.7068931849248193,414368,68768,15045,3660,"HCL2 Parse packer.required_plugins block + packer init (#10304)

This adds the new `required_plugins` block to be nested under the packer block.

Example:
```hcl
packer {
  required_plugins {
    aws = {
      version = "">= 2.7.0""
      source = ""azr/aws""
    }
    azure = "">= 2.7.0""
  }
}
```

For example on darwin_amd64 Packer will install those under :
* ""${PACKER_HOME_DIR}/plugin/github.com/azr/amazon/packer-plugin-amazon_2.7.0_x5.0_darwin_amd64""
* ""${PACKER_HOME_DIR}/plugin/github.com/hashicorp/azure/packer-plugin-azure_2.7.0_x5.0_darwin_amd64_x5""

+ docs
+ tests"
f3e4c2c3bbf9d04316ce858eb79a33e3d1c6240a,False,1,7,407,110,58.142857142857146,515,182,-333,0.8951310861423221,0.19101123595505617,0.21722846441947566,12647,2169,388,16,tmp: move HCP logic to unwrap builds/post
548893bbee4e5a49bbbb07a81d19b2e2641fa421,False,1,2,60,43,30.0,23,37,14,0.0,0.0,0.5,4844,888,151,3,"build: don't suggest lack of HCP support on fail

When running a build with HCP Packer enabled, Packer attempts to push
the build status to HCP.
If the build fails, we update the status to BUILD_FAILED, and that's the
end of it.
If however the build succeeds, Packer attempts to get the HCP artifact
from the builder, which will only succeed if the builder supports it.
Otherwise, we'll get either nil, or an artifact type that is not
compatible with what is expected for HCP support.

When either of those happens, we warn that the builder may not support
HCP Packer at all, so users are aware of the problem.

However, when the error was introduced, it only looked at the fact that
an error was produced, independently of the type of error. This caused
legitimate errors while building to be reported as potential
incompatibility between the builder and HCP, which was confusing to
users.

This commit changes this by introducing a new error type, only produced
when the artifact either is nil, or failed to be deserialised into a HCP
artifact, which lets us produce the incompatibility warning with more
accuracy."
9f4a1281dd390dbf23145b17d126e32a93feaa3c,False,1,9,514,124,57.111111111111114,9,725,716,0.3341708542713568,0.6005025125628141,1.0,6609,1144,185,27,"Add `packer plugins` command and subcommands to interact with plugins (#11553)

* add basic docs for plugins command

* refactor docs

Co-Authored-By: Wilken Rivera <1749304+nywilken@users.noreply.github.com>

* add plugins command

* add plugins subcommands

they do nothing for now

* add plugins installed command + tests

* add plugins install command

* add remove plugin command

* better docs for the plugins install command

* remove duplicate content

* better output for installed plugins

* add plugins required command

* Update plugins_install.go

* add newline after `Usage:`

* Update plugins_remove.go

* Update plugins_required.go

* Update plugins_remove.go

* Update plugins_installed.go

* Update plugins_install.go

* add docs

* Update plugins_install.go

* fix typos

* Update plugins_test.go

* fix typos

Co-Authored-By: Wilken Rivera <1749304+nywilken@users.noreply.github.com>

* Update core_wrapper.go

Co-Authored-By: Wilken Rivera <1749304+nywilken@users.noreply.github.com>

* Update website/content/docs/commands/plugins/remove.mdx

Co-authored-by: Wilken Rivera <wilken@hashicorp.com>

* Update website/content/docs/commands/plugins/required.mdx

Co-authored-by: Wilken Rivera <wilken@hashicorp.com>

* Update website/content/docs/commands/plugins/required.mdx

Co-authored-by: Wilken Rivera <wilken@hashicorp.com>

* Update plugins_required.go

* Update install.mdx

* Update required.mdx

* plugins requirement, warn when no plugin was found

* Update website/content/docs/commands/plugins/required.mdx

Co-authored-by: Wilken Rivera <wilken@hashicorp.com>

Co-authored-by: Wilken Rivera <1749304+nywilken@users.noreply.github.com>
Co-authored-by: Wilken Rivera <wilken@hashicorp.com>"
d9259d6d12873360755f699d911ec8d0d3f680f9,False,1,2,51,31,25.5,21,30,9,0.0,1.0,1.0,5211,839,159,2,"hcl2template: extract attr filter code from ds

Datasources use their attribute's expressions to determine whether or
not they depend on another datasource, in order to get the list of
dependencies and execute them before executing a datasource.

This code may be useful later on for figuring out the dependencies for
any block, so we move this code to the utils.go file, and use this for
datasources."
4347e8cee80729e85fadca9b2dcc6fd564115ce9,False,1,2,12,9,6.0,7,6,-1,0.0,,,2564,423,99,2,"Default to PuluginFolders is KnownPluginFolders is unset

* PACKER_PLUGIN_PATH takes precedence over all"
72c1912b60a24d1b8a20f037637a20afe1d77a31,False,1,3,177,101,59.0,106,234,128,0.40540540540540543,0.3918918918918919,1.0,3234,514,119,12,"allow to discover & start packer-plugin-* muliplugin binaries (#10277)

This add :
* discovery of `packer-plugin-*` binaries from the known folders and ask them to describe themselves
* tests

For testing: in go we create a bash script that in turn calls back to Go. I could not make the tests to work on windows and then would like to postpone testing this for when we know more about the finite layout of this feature. That is mainly: how things are going to work with init, versioning and such."
