sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
ac899c44c2652403810a08e75674691aa1a5c211,False,1,1,7,7,7.0,1,58,57,0.0,1.0,1.0,408,67,8,1,"hcl2template: don't error on empty bucket slug

When a user defines a `hcp_packer_registry` block in their `build`
without a `bucket_name`, but they define it in their environment, Packer
should not report the bucket_name being wrong."
69ec781ee2302a4cc8a439b1eb220c774c0d7cd5,False,1,1,11,11,11.0,5,6,1,0.0,1.0,1.0,419,77,13,1,"hcp: don't continue if HEAD doesn't exist

In HCP's metadata package, especially the VCS/git parts, we keep the
current HEAD for a repository, along with the state it is in, in order
to report it to HCP Packer when the build completes.

However, when a build is run on a template from an empty Git repository,
and HCP Packer is enabled, the code would crash when trying to get the
information on the current HEAD, as it doesn't exist.

The git library we use returns an error in such a case, but this was
ignored, leading to a crash when attempting to get the hash to this
reference later on.

This commit fixes the problem by NOT ignoring the error to get the head,
and immediately stop processing the git data as it doesn't yet exist."
4a7f5f38a663092968e72b77e0c02f31425e3422,False,1,3,140,65,46.666666666666664,17,125,108,1.0,1.0,1.0,1260,193,36,9,"Makefile: replace enumer upstream with dmarkham's (#13107)

Since the enumer implementation we used hadn't been updated for 5+
years, this didn't work with recent linux/go versions, and enumer
crashed while attempting to parse/analyse the source files.

There's another alternative on Github, forked from the one we used,
which seems more maintained now, and does produce the expected files in
Packer."
5d4323965454b68b5cca49b3cb60b1f5ab27caeb,False,1,1,2,2,2.0,1,1,0,,,,643,113,23,1,"datasource/http: don't error on 2xx code

When a server returns a code that is not 200, we error in the current
state.

This is not conformant to the HTTP norm, as anything in the 2xx range is
considered a success, so the datasource should not error in this case.

Therefore, this commit fixes the condition in which we report an error,
so that anything in the 2xx range is now considered a success by the
datasource."
682968d0dfe5194e3ead6662b1428e1ca5b494cd,False,1,1,5,5,5.0,0,5,5,0.0,0.0,1.0,4530,708,141,1,"packer: don't load plugins with metadata in name

If a plugin is installed in the PACKER_PLUGIN_PATH, and its version
contains metadata, we reject it. This is because metadata is free-form
data, which could then make it possible to have multiple conflicting
versions of a plugin installed, so we don't support it and explicitely
reject plugins like those.

A valid plugin with metadata in its version information should be
installed without its metadata part, so there can only be one variant of
the plugin installed at a specific version."
97db9d82c4cb8b71a975e2a1c0e77878f2c962a8,False,1,1,6,6,6.0,2,4,2,,,,132,26,4,1,packer: fix splitting error message on pathsep
403e35d2ffca3f78ef13b1e45a69570d9ba5b46b,False,1,2,78,72,39.0,9,69,60,1.0,1.0,1.0,3387,578,107,12,"Add thread-safe add and get methods for plugin storage

* Add general code improvements"
410e59f141fb6c0391bbba67d79bdd3631732814,False,1,1,6,6,6.0,1,5,4,,,,119,32,3,1,"version: compute SemVer from rawVersion

A bug in the SDK prevents us from calling SemVer on the PluginVersion
derived from the rawVersion, as when doing so, we reset the semVer
attribute to only use the core part of the version, thereby dropping any
information on pre-release/metadata.

This is not ideal, and arguably not wanted. So in order to not lose this
information, we re-compute the SemVer from rawVersion, this way we don't
overwrite it for both structures."
132e3d29b8759ef4a86a5409946a3c343543fdbb,False,1,1,10,10,10.0,5,5,0,,,,3903,606,116,1,"packer: fix version string variable name typo

When introduced back in January, the version variable extracted from the
binary name had a typo in its name, and was named `protocolVerionStr'
instead of `protocolVersionStr'.

This commit was already merged into main, so it's too late to fix at
introduction site, but we can fix it today as a separate commit ontop
the stack."
32f89015fef72926605cfdd5fe783cb0a20d75ca,False,1,1,24,24,24.0,8,141,133,0.0,0.9338842975206612,0.9338842975206612,2747,521,101,1,"hcp: fix hcp artifact extraction method

With Packer 1.10.1 we started warning when a build failed to complete
because of a potential incompatibility with the builder being used.

This led to cases in which the build failed for other reasons, and
Packer would still warn of potential incompatibilities, even if the
builder was in effect HCP compatible.

We attempted to fix this issue by introducing a new error type, and
checks when we read the artifacts linked to a build, however this loop
would fail when any one of the artifacts is not compatible with HCP
Packer, leading to false failures.

To avoid this problem, we log incompatibilities to the verbose logger,
and only signal the problem if all the artifacts could not be used to
upload data to HCP Packer, in which case it's almost certain that if the
build succeeded and no artifacts are registered to the build, that all
the components used are not compatible with HCP, and should be reported
as such to users."
