sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
e469c8974c3596c4ddf844868919be52aead99ef,False,1,1,2,2,2.0,0,2,2,,,,11698,1865,109,0,"chunker: fix double-transform

Before this change, chunker could double-transform a file under certain
conditions, when --name-transform was in use. This change fixes the issue by
ensuring that --name-transform is disabled during internal file moves."
44e83d77d754aef3b4408edf62f5943d1c979a8c,False,1,1,9,9,9.0,1,8,7,0.0,0.0,1.0,3536,614,129,2,"http: correct root if definitely pointing to a file - fixes #8428

This was formalized in
https://github.com/rclone/rclone/commit/c69eb84573c85206ab028eda2987180e049ef2e4
But it appears that we forgot to update `http`, and the `FsRoot` test didn't
catch it because we don't currently have an http integration test."
f4c058e13e3b0af3bed5c4e6db39599e5e440694,False,1,2,34,29,17.0,18,16,-2,1.0,0.0,0.0,3900,565,100,3,bisync: use global --retries and --retries-sleep flags instead of overriding
3b49fd24d4e9eebe04e676c680a49056714c5ace,False,1,2,34,18,17.0,24,181,157,1.0,1.0,1.0,7541,1078,280,2,"bisync: fix listings missing concurrent modifications - fixes #8359

Before this change, there was a bug affecting listing files when:

- a given bisync run had changes in the 2to1 direction
AND
- the run had NO changes in the 1to2 direction
AND
- at least one of the changed files changed AGAIN during the run
(specifically, after the initial march and before the transfers.)

In this situation, the listings on one side would still retain the prior version
of the changed file, potentially causing conflicts or errors.

This change fixes the issue by making sure that if we're updating the listings
on one side, we must also update the other. (We previously tried to skip it for
efficiency, but this failed to account for the possibility that a changed file
could change again during the run.)"
abe884e74473e8a60beacc7b013ca6db899adcb9,False,1,1,9,9,9.0,8,1,-7,0.0,0.0,0.0,78,17,1,2,"bisync: fix output capture restoring the wrong output for logrus

Before this change, if rclone is used as a library and logrus is used
after a call to rc `sync/bisync`, logging does not work anymore and
leads to writing to a closed pipe.

This change restores the output correctly.

Fixes #8158"
9b4b3033da25ec41aabb35b858a765dd734a5f09,False,1,2,127,111,63.5,27,197,170,0.5153846153846153,0.9307692307692308,0.9076923076923077,2492,420,97,13,"fs/cache: fix parent not getting pinned when remote is a file

Before this change, when cache.GetFn was called on a file rather than a
directory, two cache entries would be added (the file + its parent) but only one
of them would get pinned if the caller then called Pin(f). This left the other
one exposed to expiration if the ci.FsCacheExpireDuration was reached. This was
problematic because both entries point to the same Fs, and if one entry expires
while the other is pinned, the Shutdown method gets erroneously called on an Fs
that is still in use.

An example of the problem showed up in the Hasher backend, which uses the
Shutdown method to stop the bolt db used to store hashes. If a command was run
on a Hasher file (ex. `rclone md5sum --download hasher:somelargefile.zip`) and
hashing the file took longer than the --fs-cache-expire-duration (5m by default), the
bolt db was stopped before the hashing operation completed, resulting in an
error.

This change fixes the issue by ensuring that:
1. only one entry is added to the cache (the file's parent, not the file).
2. future lookups correctly find the entry regardless of whether they are called
	with the parent name or one of its children.
3. fs.ErrorIsFile is returned when (and only when) fsString points to a file
	(preserving the fix from https://github.com/rclone/rclone/commit/8d5bc7f28b8459a0e04fdbfd2dca43c5d9ec4555).

Note that f.Root() should always point to the parent dir as of https://github.com/rclone/rclone/commit/c69eb84573c85206ab028eda2987180e049ef2e4"
462a1cf491e5c6bdab4e35891dc59af7d7c28a4c,False,1,1,17,17,17.0,6,46,40,0.0,0.7,0.7,362,63,16,1,"local: fix --copy-links on macOS when cloning

Before this change, --copy-links erroneously behaved like --links when using cloning
on macOS, and cloning was not supported at all when using --links.

After this change, --copy-links does what it's supposed to, and takes advantage of
cloning when possible, by copying the file being linked to instead of the link
itself.

Cloning is now also supported in --links mode for regular files (which benefit
most from cloning). symlinks in --links mode continue to be tossed back to be
handled by rclone's special translation logic.

See https://forum.rclone.org/t/macos-local-to-local-copy-with-copy-links-causes-error/47671/5?u=nielash"
9a02c040284d30ccf90b1257680e0b5117e10d0f,False,1,1,2,2,2.0,1,1,0,,,,11278,1688,338,1,jottacloud: fix setting of metadata on server side move - fixes #7900
956c2963fd1d7352e58913b4bb6282310c1c5f1e,False,1,1,36,36,36.0,26,16,-10,0.0,0.0,0.0,5485,715,206,5,"bisync: don't convert modtime precision in listings - fixes #8025

Before this change, bisync proactively converted modtime precision when greater
than what the destination backend supported.

This dates back to a time before bisync considered the modifyWindow for same-side
comparisons. Back then, it was problematic to save a listing with 12:54:49.7 for
a backend that can't handle that precision, as on the next run the backend would
report the time as 12:54:50 and bisync would think the file had changed. So the
truncation was a workaround to anticipate this and proactively record the time
with the precision we expect to receive next time.

However, this caused problems for backends (such as dropbox) that round instead
of truncating as bisync expected.

After this change, bisync preserves the original precision in the listing
(without conversion), even when greater than what the backend supports, to avoid
rounding error. On the next run, bisync will compare it to the rounded time
reported by the backend, and if it's within the modifyWindow, it will treat them
as equivalent."
8470bdf8104e3e040172de8e725f09464d736911,False,1,1,2,2,2.0,1,1,0,,,,28338,5715,588,1,"s3: fix 405 error on HEAD for delete marker with versionId

When getting an object by specifying a versionId in the request, if the
specified version is a delete marker, it returns 405 (Method Not Allowed),
instead of 404 (Not Found) which would be returned without a versionId. See
https://docs.aws.amazon.com/AmazonS3/latest/userguide/DeleteMarker.html

Before this change, we were only looking for 404 (and not 405) to determine
whether the object exists. This meant that in some circumstances (ex. when
Versioning is enabled for the bucket and we have a non-null X-Amz-Version-Id), we
deemed the object to exist when we should not have.

After this change, 405 (Method Not Allowed) is treated the same as 404 (Not
Found) for the purposes of headObject.

See https://forum.rclone.org/t/bisync-rename-failed-method-not-allowed/45723/13"
