sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
3dfaa3d5fa3d18d3db2a9e2b538237460bc409d9,False,1,1,36,36,36.0,12,543,531,0.0,0.7875,1.0,371,66,15,1,"Add Redis Sentinel support

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
9b9f4be6a4471cc9d8bedee37406892aad13aae9,False,1,19,912,191,48.0,70,5825,5755,0.1333955223880597,0.8847947761194029,0.9654850746268657,11660,1777,467,79,"Add KV store providers (dynamic configuration only)

Co-authored-by: Jean-Baptiste Doumenjou <jb.doumenjou@gmail.com>"
f8a78b3b25f601509d0a83dd48fcd0e4b8192d24,False,1,16,1620,553,101.25,374,3169,2795,0.4361353711790393,0.7669213973799127,0.8133187772925764,15399,2385,499,85,"Introduce a fast proxy mode to improve HTTP/1.1 performances with backends

Co-authored-by: Romain <rtribotte@users.noreply.github.com>
Co-authored-by: Julien Salleyron <julien.salleyron@gmail.com>"
83871f27dd563cf6abec658d30a3b5dd1f904a31,False,1,7,103,67,14.714285714285714,44,251,207,0.2198581560283688,0.8652482269503546,0.9716312056737588,7888,1250,237,18,Add an option to preserve server path
d3ff0c2cd4221d7be8104620a59b0331b2051577,False,1,11,239,105,21.727272727272727,185,274,89,0.4074074074074074,1.0,1.0,24756,4109,872,22,"fix: do not require a TLS client cert when InsecureSkipVerify is false

Co-authored-by: Tom Moulard <tom.moulard@traefik.io>"
e11ff98608b40671dff7a54b3b2811524ce0008e,False,1,3,86,67,28.666666666666668,3,161,158,0.49206349206349204,0.9047619047619048,0.9841269841269841,4953,793,170,9,Fix NTLM and Kerberos
080cf98e512f6fcb93838de76a6aa34ff147dee4,False,1,10,317,55,31.7,206,745,539,0.056140350877192984,0.5754385964912281,0.8175438596491228,13091,2037,363,21,Add router metrics
4c060a78ccf15df2b63f77f9f457b6015559cff6,False,1,1163,138692,10302,119.2536543422184,56722,93320,36598,0.4474505723204995,0.2503519618044929,0.7369162024851564,1519466,254662,54111,5781,"Custom resource definition

Co-authored-by: Mathieu Lonjaret <mathieu.lonjaret@gmail.com>"
85dd45cb817a017441bdafd92cdaeb360f196ce8,False,1,4,26,20,6.5,38,94,56,1.0,0.0,0.0,3367,566,97,4,Add prefix to datadog metrics
08d5dfee0164aa54dd44a467870042e18e8d3f00,False,1,2,188,186,94.0,17,504,487,0.14912280701754385,0.7953216374269005,0.9941520467836257,6057,944,205,5,"Normalize request path

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
2cb011f59588ea5be42b0c5e51c8000ca99b5346,False,1,1,17,17,17.0,9,56,47,0.0,0.9743589743589743,1.0,2942,480,72,3,"Fix service up gauge for Prometheus metrics

Co-authored-by: Tom Moulard <tom.moulard@traefik.io>"
4360ca14c1cf7ff6951babe61e4f89c435df3911,False,1,222,33963,19193,152.98648648648648,11666,22312,10646,0.2792642140468227,0.008361204013377926,0.9431438127090301,331881,42989,3078,394,"Use h2c from x/net to handle h2c requests

Co-authored-by: Mathieu Lonjaret <mathieu.lonjaret@gmail.com>"
602a2ea541bb531ac980d46ba7ce413c97088749,False,1,4,167,104,41.75,10,465,455,0.44129554655870445,0.9433198380566802,0.8663967611336032,4121,653,130,14,Adds mirroring service
