sha,is_merge,parents_count,modified_files_count,code_churn,max_file_churn,avg_file_churn,deletions,insertions,net_lines,dmm_unit_size,dmm_unit_complexity,dmm_unit_interfacing,total_token_count,total_nloc,total_complexity,total_changed_method_count,commit_message
ae79d4e5f00fcd639ba11715f02963828217cf40,False,1,1,6,6,6.0,3,3,0,,,,371,66,15,0,Do not log redis sentinel username and password
bfcef58a4f701166146aa37a1132707486c3b69f,False,1,1,5,5,5.0,2,8,6,0.0,0.0,1.0,2181,337,73,1,Fix KV reference rendering
cd16321dd9c25bb47a2e9417b2a4a75959be63d0,False,1,1,30,30,30.0,362,284,-78,0.6666666666666666,0.6666666666666666,0.0,4390,673,136,2,"Bump to go1.24

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
859f4e886860442207d7ebc3b047d0bad44ba461,False,1,4,184,95,46.0,209,338,129,0.0,1.0,1.0,8175,1258,290,12,"Use routing path in v3 matchers

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
ab3234e458c306a8a1c68f885b578a805e039daf,False,1,1,7,7,7.0,1,6,5,0.0,0.0,1.0,953,145,27,1,Scope the rate limit counter key by source AND by middleware
08d5dfee0164aa54dd44a467870042e18e8d3f00,False,1,2,188,186,94.0,17,504,487,0.14912280701754385,0.7953216374269005,0.9941520467836257,6057,944,205,5,"Normalize request path

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
b669981018476eb75666d201254a3a0bb868913f,False,1,1,20,20,20.0,9,68,59,0.0,0.9230769230769231,1.0,4053,582,151,2,"Fix panic for ingress with backend resource

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
76153acac6cb91848a0c00e7f9e0bd4c7287fe82,False,1,1,2,2,2.0,7,7,0,,,,136,39,0,0,"Fix CEL validation for RootCA in ServersTransport

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
3deea566ac303f3020225b016b2179d709a8e011,False,1,1,8,8,8.0,2,6,4,0.0,0.0,1.0,1080,162,34,1,Make P2C strategy thread-safe
79fde2b6dd681511a07823ccc41f5273870832fe,False,1,1,4,4,4.0,1,3,2,0.0,0.0,1.0,2371,332,90,1,Do not warn network missing if connected to a container network
3ee316c5bbe84a63ba573d4303fb8bad71c5a368,False,1,1,2,2,2.0,11,24,13,,,,278,85,0,0,Fix incorrect case and missing rbac in documentation
7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,False,1,4,31,10,7.75,11,403,392,0.03468208092485549,0.976878612716763,0.9884393063583815,7792,1161,279,4,Fix concatenation of IPv6 addresses and ports
87b57406ffa87021e2d3253ecbe8ec8a5779554c,False,1,1,6,6,6.0,23,89,66,0.25925925925925924,0.9629629629629629,0.7962962962962963,2232,338,76,1,Add SpanID and TraceID accessLogs fields only when tracing is enabled
77a0cef9ce17f994142e4fee062a05f0d5aa780a,False,1,1,1,1,1.0,0,1,1,0.0,0.0,1.0,4118,620,136,1,"fix k8s crd to read contentType middleware into dynamic config

Co-authored-by: John Pekcan <apekcan@ea.com>"
dd5cb68cb1aeda490adefdbb5bb8887aef9cc699,False,1,2,36,26,18.0,17,278,261,0.23893805309734514,0.9734513274336283,0.9734513274336283,4163,681,136,5,Sanitize request path
2d617b3a655fcd7729423d813a4a22750f20e67e,False,1,1,2,2,2.0,17,1,-16,,,,278,85,0,0,Remove default load-balancing strategy from CRD
545f2feacc37acd5985247a9965064639ae82e5f,False,1,1,1,1,1.0,0,6,6,0.16666666666666666,1.0,1.0,874,143,39,1,Add Content-Length header to preflight response
f794f8a29491b8467868811a3142a48e8f0a3854,False,1,5,30,8,6.0,319,342,23,1.0,1.0,0.0,10942,1745,376,6,chore: update linter
bb8dfa568a8b7f738366bdbf0a3b08382a9edd2d,False,1,1,2,2,2.0,4,4,0,,,,472,125,0,0,Restrict regex validation of HTTP status codes for Ingress CRD resources
ddb32ef86fbbfe85dfe1a4fb4b5bedf3261b5b97,False,1,1,2,2,2.0,1,6,5,0.0,1.0,1.0,1928,338,85,0,Allow underscore character in hostSNI matcher
496f00c7c2c315b070b45d171ad4095656565f92,False,1,3,116,80,38.666666666666664,81,178,97,0.3548387096774194,1.0,1.0,3062,597,112,10,"Revert compress middleware algorithms priority to v2 behavior

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
42778d2ba65520c4b7a4fe12e7acceac1c9a8415,False,1,1,6,6,6.0,1,15,14,0.0,0.8333333333333334,1.0,1795,309,66,1,Do not abort request when response content-type is malformed
84742275a4a00ef517944dd3265ab6140649a355,False,1,2,22,21,11.0,40,18,-22,0.0,0.0,0.0,3183,494,115,1,Bump golang.org/x/net to v0.37.0
8ba99adc503b637b0e424605e2397ee132ddda34,False,1,1,28,28,28.0,2,72,70,0.24074074074074073,0.9074074074074074,0.9074074074074074,717,122,23,3,"Error level log for configuration-related TLS errors with backends

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
05c547f211ed7ef831bdff6926d86f64aaf1915a,False,1,3,110,94,36.666666666666664,35,175,140,0.211864406779661,0.9915254237288136,0.9576271186440678,4162,607,127,8,Fix double hash in sticky cookie
14e400bcd000a85c63184a49250c27bfdf093037,False,1,2,359,345,179.5,385,350,-35,0.42,0.48,0.0,4434,688,148,22,Bump AWS SDK to v2
3c99135bf9d808fdb4ab75d227b28377db6e95d3,False,1,1,190,190,190.0,98,100,2,0.0,0.0,0.0,5175,710,148,4,"Set scheme to https with BackendTLSPolicy

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
474ab23fe920243d2b7def642c4be53656178074,False,1,1,24,24,24.0,69,175,106,0.189873417721519,0.9493670886075949,1.0,1782,307,66,2,"Compress data on flush when compression is not started

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
cce935493ac19d9b02fc86a79ac5269720fc58b5,False,1,1,2,2,2.0,1,24,23,1.0,1.0,1.0,1775,262,67,1,Fix panic when calling Tracer
f196de90e1bc029db23ed9b012ceb5007750348e,False,1,2,102,89,51.0,65,100,35,0.8695652173913043,1.0,0.9565217391304348,3772,577,122,16,"Enable the retry middleware in the proxy

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
c2a294c872aeae8415bcbb748a4d09de719a70b4,False,1,1,3,3,3.0,18,40,22,1.0,1.0,1.0,1074,185,38,1,"Retry should send headers on Write

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
1ccbf743cbde602e4bc676f7bf4e07cade9198b0,False,1,2,46,38,23.0,63,135,72,0.0,0.0,1.0,2736,441,102,5,"Add WebSocket headers if they are present in the request

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
1cfcf0d3187946f29bc54b9b4e493d7736c3d2a9,False,1,1,37,37,37.0,18,60,42,0.3448275862068966,1.0,1.0,2023,361,84,1,"Chunked responses does not have a Content-Length header

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
56ea028e811c7eb3de0fdf9a27920a825f3d26bc,False,1,1,6,6,6.0,6,13,7,,,,2476,393,59,1,"Change request duration metric unit from millisecond to second

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
b74767bfa4535b80f092a3d461030b4dab236630,False,1,2,8,4,4.0,6,19,13,0.3333333333333333,1.0,1.0,2608,390,86,3,Use ResourceAttributes instead of GlobalAttributes
d04e2d717ccbcd42a225823a7246b4b04f20888e,False,1,3,6,3,2.0,1,22,21,0.0,0.5,0.5,9466,1520,312,1,Add missing headerField in Middleware CRD
cdd24e91b4844ebe60e86a511ceba8046d9d5487,False,1,1,3,3,3.0,4,1,-3,1.0,0.5,0.0,2041,361,85,1,"Fix content-length header assertion

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
86315e0f184b8bd0b6a0f200da182e76b3ee80c9,False,1,2,44,38,22.0,17,33,16,0.0,0.0,1.0,4020,633,149,9,Fix ACME write when traefik is shutting down
857fbb933ee5060a05e3b57353b64a7a3f93d542,False,1,5,86,46,17.2,62,133,71,0.16666666666666666,0.5555555555555556,1.0,6450,967,234,10,"Do not create observability model by default

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
435d28c790fe9eea2501f60fa6d7db8b99df9166,False,1,1,4,4,4.0,2,2,0,,,,1727,287,64,1,changing log message when client cert is not available to debug
c5b92b52603ff262851d273fd6451cea589df073,False,1,1,8,8,8.0,1,7,6,,,,635,108,20,1,Do not create a logger instance for each proxy
fb527dac1c4109fdace879d575e7580553fe8491,False,1,1,18,18,18.0,1,57,56,0.7073170731707317,0.7073170731707317,1.0,2045,362,85,1,"Handle responses without content length header

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
f1c4ba2f268f1dcae91c944e9e324eea0ec3e6b2,False,1,1,2,2,2.0,3,1,-2,,,,80,17,3,0,Remove duplicate github.com/coreos/go-systemd dependency
4ce4bd71216e2b287c13bbfcf198056be486bb5d,False,1,2,14,7,7.0,32,18,-14,1.0,0.0,0.0,2595,387,79,2,"Bring back TraceID and SpanID fields in access logs

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>"
ad7fb8e82b01646054e0981ea563d27311b2fe74,False,1,1,15,15,15.0,8,217,209,,,,2440,345,64,1,Fix observability configuration on EntryPoints
0528c054a6fa2b6565619b57f2df0f3589c05c12,False,1,2,24,19,12.0,6,46,40,0.8518518518518519,0.8518518518518519,0.9629629629629629,3703,638,145,3,"Do not read response body for HEAD requests

Co-authored-by: Romain <rtribotte@users.noreply.github.com>"
0a6ff446c7d455345e06c2f7af78a0b76180968b,False,1,2,4,2,2.0,4,4,0,,,,7703,1139,278,1,Fix deprecated dnsChallenge propagation logging and documentation
9a9644bafeeae7fe5bde2a014ab50c43843110ef,False,1,1,21,21,21.0,10,11,1,0.0,1.0,1.0,586,80,12,3,Set content-type when serving webui index
f9ff6049d3b79b50e77ecbfb6700266e1cd656ca,False,1,2,22,21,11.0,0,22,22,1.0,1.0,1.0,3230,510,118,1,"Disable http2 connect setting for websocket by default

Co-authored-by: Kevin Pollet <pollet.kevin@gmail.com>
Co-authored-by: Julien Salleyron <julien.salleyron@gmail.com>
Co-authored-by: Michael <michael.matur@gmail.com>"
