project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
caddy,cmd/commands.go,d605ebe75a2043199ba53022adaa20be680cf051,394,29,1509,17,45,15,0.23529411764705882,8,0.07360406091370558,0.13365155131264916,1,0,0,0,0,0,0,0,0,0,0,1.7058823529411764,85.82352941176471
caddy,modules/caddytls/leaffileloader.go,3ae07a73dc057c3a12486b78872c5e1391ec7cc9,69,15,397,6,1,1,0.3333333333333333,5,0.21739130434782608,0.2247191011235955,1,0,3,3,0,0,0,0,1,0,1,2.5,58.833333333333336
caddy,caddyconfig/httpcaddyfile/builtins.go,4181c79a8130a59c40c76437e15265452422ccb1,865,226,5068,17,77,21,0.9411764705882353,18,0.261271676300578,0.1690682036503362,0,0,21,18,0,0,0,0,0,0,0,13.294117647058824,288.11764705882354
caddy,modules/caddypki/acmeserver/caddyfile.go,931656bd6868a87eef4814cc02b5125a907662bf,111,33,661,2,14,7,0.5,4,0.2972972972972973,0.21830985915492956,0,0,5,2,0,0,0,0,0,0,0,16.5,326.0
caddy,logging.go,3248e4c89f510ad832bc9fb0ed6f6b945355304d,479,122,2834,38,20,9,0.7894736842105263,11,0.2546972860125261,0.2807807807807808,12,1,9,20,0,0,1,0,14,0,14,3.210526315789474,63.60526315789474
caddy,modules/caddytls/connpolicy.go,e965b111cdf46109b4ed87e607e8dce5225105f4,487,145,3075,23,49,13,0.6956521739130435,15,0.29774127310061604,0.28064992614475626,4,2,18,20,0,0,0,0,18,0,6,6.304347826086956,123.52173913043478
caddy,modules/caddyhttp/reverseproxy/metrics.go,0c57facc67910a6b0994763ac8e6e55e693f20e4,66,13,333,7,1,1,0.2857142857142857,6,0.19696969696969696,0.0,1,0,2,1,1,0,1,0,0,0,2,1.8571428571428572,42.142857142857146
caddy,modules/caddyhttp/reverseproxy/metrics.go,0c57facc67910a6b0994763ac8e6e55e693f20e4,66,13,333,7,1,1,0.2857142857142857,6,0.19696969696969696,0.0,1,0,2,1,1,0,1,0,0,0,2,1.8571428571428572,42.142857142857146
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,0c57facc67910a6b0994763ac8e6e55e693f20e4,784,211,5162,26,89,18,1.9230769230769231,25,0.26913265306122447,0.3667205169628433,7,3,23,27,1,0,3,0,24,0,5,8.115384615384615,182.5
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,845bc4d50b437995d574819850206e4b3db4040d,820,222,5387,27,98,20,1.8888888888888888,26,0.2707317073170732,0.3598750975800156,7,3,25,30,1,0,3,0,24,0,5,8.222222222222221,183.37037037037038
