project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,497,35,2003,22,62,24,0.9545454545454546,9,0.07042253521126761,0.12572533849129594,1,0,0,0,0,0,2,0,0,0,0,1.5909090909090908,88.31818181818181
caddy,modules/caddytls/connpolicy.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,762,223,4915,28,71,20,0.75,18,0.2926509186351706,0.25,4,4,28,34,0,0,0,1,21,0,9,7.964285714285714,164.21428571428572
caddy,modules/caddytls/leaffileloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,76,16,451,7,2,2,0.42857142857142855,6,0.21052631578947367,0.21649484536082475,1,0,3,3,0,0,0,0,1,0,2,2.2857142857142856,56.285714285714285
caddy,modules/caddytls/leaffolderloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,72,16,406,7,2,2,0.7142857142857143,7,0.2222222222222222,0.22580645161290322,1,0,2,4,0,0,0,0,1,0,2,2.2857142857142856,49.857142857142854
caddy,modules/caddytls/leafpemloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,53,11,336,6,2,2,0.3333333333333333,4,0.20754716981132076,0.28378378378378377,1,0,2,2,0,0,0,0,1,0,2,1.8333333333333333,48.833333333333336
caddy,caddyconfig/httpcaddyfile/builtins.go,092913a7a568a5eb4b28c06e12c1274bd5eb1140,877,227,5160,18,90,25,0.9444444444444444,16,0.2588369441277081,0.17883895131086142,0,0,16,19,0,0,0,0,0,0,0,12.61111111111111,284.8333333333333
caddy,modules/caddypki/acmeserver/caddyfile.go,44d078b6705c7abcabb2a60f501568ff7f5a57a1,108,31,640,2,17,8,0.5,3,0.28703703703703703,0.22857142857142856,0,0,3,2,0,0,0,0,0,0,0,15.5,316.0
caddy,logging.go,9f7148392adb72a6121bf99070efaa1a90ffe901,499,132,2988,39,27,13,0.7948717948717948,12,0.26452905811623245,0.28407460545193686,12,2,8,23,0,0,1,0,15,0,14,3.3846153846153846,68.71794871794872
caddy,modules/caddytls/connpolicy.go,49f9af9a4ab2a28fa5c445630017f5284a5afa48,733,218,4684,26,67,19,0.7307692307692307,16,0.29740791268758526,0.2535641547861507,4,4,29,32,0,0,0,1,21,0,8,8.384615384615385,168.5
caddy,modules/caddyhttp/reverseproxy/metrics.go,9283770f68f570f47ca20aa9c6f9de8cc50063ba,79,16,424,7,5,4,0.5714285714285714,8,0.20253164556962025,0.036585365853658534,1,0,2,2,1,0,1,0,0,0,2,2.2857142857142856,54.857142857142854
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,72,14,397,6,4,4,0.6666666666666666,7,0.19444444444444445,0.0,1,0,2,1,1,0,1,0,0,0,2,2.3333333333333335,59.0
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,871,232,5834,27,138,32,1.962962962962963,27,0.2663605051664753,0.36376917457998537,6,3,21,23,1,0,4,0,19,0,4,8.592592592592593,199.2962962962963
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,1bd567d7ad41d5509e2aa60cf36e749f195ad83c,863,231,5726,27,136,32,1.962962962962963,27,0.26767091541135574,0.36497424576894777,6,3,21,23,1,0,4,0,19,0,4,8.555555555555555,195.2962962962963
caddy,modules/caddyhttp/reverseproxy/selectionpolicies.go,825fe48e0654dc6e4e065df364a51ea79488e44b,668,177,3909,62,33,15,0.9838709677419355,17,0.26497005988023953,0.18036809815950922,12,0,16,16,0,0,0,0,10,0,19,2.8548387096774195,58.12903225806452
caddy,modules/caddyhttp/marshalers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,87,15,525,4,12,5,1.0,5,0.1724137931034483,0.21621621621621623,2,0,2,1,0,0,0,0,0,0,0,3.75,108.25
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,1047,282,6671,87,117,20,0.8275862068965517,21,0.2693409742120344,0.3057029177718833,4,0,34,26,0,0,0,0,5,0,15,3.2413793103448274,70.98850574712644
caddy,modules/caddyhttp/responsematchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,72,20,406,3,5,2,1.6666666666666667,4,0.2777777777777778,0.3142857142857143,1,0,3,2,0,0,0,0,2,0,0,6.666666666666667,127.33333333333333
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,328fb614f0e9996b184f41d59b7092c21dd9c712,859,227,5667,27,134,32,1.962962962962963,27,0.26426076833527357,0.3613382899628253,6,3,21,23,1,0,4,0,19,0,4,8.407407407407407,193.11111111111111
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,355,93,2122,21,45,12,1.0476190476190477,11,0.2619718309859155,0.24307036247334754,3,3,7,6,0,0,1,0,4,0,13,4.428571428571429,93.19047619047619
caddy,modules/caddyhttp/fileserver/matcher.go,d0123bd760f6c140f3b935159a55ba64899c84f8,497,104,3053,25,53,12,0.92,21,0.20925553319919518,0.25487256371814093,2,0,17,10,0,0,0,0,5,0,2,4.16,95.6
caddy,caddyconfig/httpcaddyfile/shorthands.go,b116dcea3d022cd2b060a978c499ac17e5d0a2e1,81,6,451,3,5,3,0.3333333333333333,3,0.07407407407407407,0.12903225806451613,2,0,2,0,0,0,0,0,0,0,0,2.0,139.0
