project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
compose,cmd/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,240,47,1640,8,142,17,3.5,14,0.19583333333333333,0.034482758620689655,2,0,0,7,0,0,0,1,0,0,0,5.875,196.625
compose,cmd/formatter/logs.go,84ea395d5d191ae2f5b740bf0ed93eb47417c9de,108,19,617,12,45,7,1.75,9,0.17592592592592593,0.03225806451612903,2,0,1,0,0,0,0,1,0,0,3,1.5833333333333333,47.083333333333336
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,253,46,1469,25,1,1,1.32,15,0.18181818181818182,0.00749063670411985,3,0,2,0,1,0,0,5,0,0,17,1.84,53.8
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,145,32,857,10,33,11,0.5,13,0.2206896551724138,0.03680981595092025,0,0,1,5,0,2,2,1,0,0,1,3.2,84.8
compose,internal/experimental/experimental.go,1b5fa3b93ff4488c2d14a1195b7ca1efd1c2bf79,47,11,209,5,1,1,0.6,4,0.23404255319148937,0.15714285714285714,1,0,0,1,0,0,0,1,0,0,4,2.2,37.0
compose,pkg/compose/desktop.go,3371227794f5f3645f4f19829c60a741635ed329,24,7,125,3,3,1,1.0,4,0.2916666666666667,0.05263157894736842,0,0,0,1,0,0,0,1,0,0,3,2.3333333333333335,38.666666666666664
compose,pkg/compose/create.go,db4ed89528b9bd496d5460c65de70e37d964cb24,1164,274,7406,44,171,24,2.1818181818181817,31,0.23539518900343642,0.057692307692307696,2,0,36,42,0,0,0,12,0,0,13,6.2272727272727275,166.63636363636363
compose,cmd/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,240,47,1640,8,142,17,3.5,14,0.19583333333333333,0.034482758620689655,2,0,0,7,0,0,0,1,0,0,0,5.875,196.625
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,253,46,1469,25,1,1,1.32,15,0.18181818181818182,0.00749063670411985,3,0,2,0,1,0,0,5,0,0,17,1.84,53.8
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,145,32,857,10,33,11,0.5,13,0.2206896551724138,0.03680981595092025,0,0,1,5,0,2,2,1,0,0,1,3.2,84.8
compose,internal/tracing/tracing.go,3c8a56dbf3b7db165f723f651da0851f9dac3c61,101,19,526,4,1,1,0.5,17,0.18811881188118812,0.11023622047244094,1,0,1,5,0,0,0,0,0,0,0,4.75,116.75
compose,pkg/compose/image_pruner.go,680763f8b7d7ff9794052a4a297108693c7c50dd,149,33,838,8,1,1,1.25,12,0.2214765100671141,0.1534090909090909,2,0,6,8,0,0,1,5,0,0,5,4.125,97.5
compose,cmd/compose/up.go,d5e4f00644ab9160ac2a1dc03dae126155588aa9,199,43,1364,7,119,11,3.2857142857142856,9,0.21608040201005024,0.0047169811320754715,2,0,2,6,0,0,0,1,0,0,0,6.142857142857143,186.57142857142858
compose,cmd/compose/build.go,cfe91becc75aada9cd5747a262ee63cdc0838144,106,15,741,5,59,12,2.6,12,0.14150943396226415,0.0,1,0,0,4,0,0,0,1,0,0,0,3.0,139.4
compose,cmd/compose/compose.go,46d936c750a84b571f86fb36fb74863e122318ff,411,82,2652,20,165,17,1.45,27,0.19951338199513383,0.045146726862302484,1,0,4,2,1,0,0,0,0,3,7,4.1,124.25
compose,cmd/compose/run.go,bcaa908f742d55f9d1e598829f8e8c902c0c6872,220,38,1405,8,48,9,2.5,13,0.17272727272727273,0.004291845493562232,1,0,6,9,0,0,0,2,0,0,0,4.75,166.5
compose,cmd/compose/up.go,24f83271f25d68c22aadb098b5bcf1563bf98bf6,195,43,1315,7,117,10,3.2857142857142856,9,0.2205128205128205,0.004807692307692308,2,0,2,6,0,0,0,1,0,0,0,6.142857142857143,180.14285714285714
compose,pkg/compose/build.go,c15bf1955acda35633e63dc4114d01c295ca7247,377,97,2617,19,109,17,2.1578947368421053,21,0.2572944297082228,0.005115089514066497,0,0,16,21,0,0,0,5,0,1,7,5.105263157894737,136.31578947368422
