project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
compose,cmd/compose/up.go,9c0b92259737c0baf886619517c3222626c2a247,267,61,1811,10,148,18,2.9,15,0.22846441947565543,0.03460207612456748,2,0,0,7,0,0,0,1,0,0,1,6.1,174.0
compose,cmd/formatter/logs.go,9c0b92259737c0baf886619517c3222626c2a247,123,23,691,12,50,9,1.75,10,0.18699186991869918,0.02877697841726619,2,0,1,0,0,0,0,1,0,0,3,1.9166666666666667,53.166666666666664
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,257,48,1493,26,5,2,1.2692307692307692,15,0.1867704280155642,0.02181818181818182,3,0,2,0,1,0,0,5,0,0,17,1.8461538461538463,52.65384615384615
compose,pkg/compose/up.go,9c0b92259737c0baf886619517c3222626c2a247,148,33,863,10,43,13,0.5,16,0.22297297297297297,0.041916167664670656,0,0,1,6,0,2,2,1,0,0,1,3.3,85.1
compose,internal/experimental/experimental.go,fd532a37e7a57024fa50de15735439513da91b02,44,11,194,4,3,1,0.75,4,0.25,0.16417910447761194,1,0,0,1,0,0,0,1,0,0,3,2.75,42.5
compose,pkg/compose/desktop.go,fd532a37e7a57024fa50de15735439513da91b02,24,6,116,3,4,1,1.0,4,0.25,0.05263157894736842,0,0,0,1,0,0,0,1,0,0,3,2.0,35.666666666666664
compose,pkg/compose/create.go,922422a53922e21e4e3e5717b81066a74d065dc1,1169,273,7394,44,181,25,2.159090909090909,31,0.23353293413173654,0.061953931691818905,2,0,36,42,0,0,0,12,0,0,13,6.204545454545454,166.36363636363637
compose,cmd/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,249,51,1697,9,144,17,3.2222222222222223,14,0.20481927710843373,0.03690036900369004,2,0,0,7,0,0,0,1,0,0,1,5.666666666666667,181.11111111111111
compose,cmd/formatter/shortcut.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,257,47,1492,25,4,1,1.36,15,0.1828793774319066,0.007380073800738007,3,0,2,0,1,0,0,5,0,0,16,1.88,54.72
compose,pkg/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,146,32,855,10,34,11,0.5,14,0.2191780821917808,0.036585365853658534,0,0,1,5,0,2,1,1,0,0,1,3.2,84.5
