project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
consul,command/acl/token/read/token_read.go,9199e99e21126e06ec2c0ea43cd47663edd4da90,143,19,752,5,11,7,0.4,8,0.13286713286713286,0.02127659574468085,1,0,0,7,0,0,0,0,0,0,4,3.8,139.4
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,765,188,4961,33,87,23,1.1515151515151516,16,0.2457516339869281,0.15562913907284767,1,0,2,58,5,0,3,1,0,0,27,5.696969696969697,145.87878787878788
consul,agent/connect/ca/testing.go,01ce9f5b18b23bc86aea0d2a329d08a9a35b539b,181,31,870,12,5,4,0.5833333333333334,11,0.1712707182320442,0.12135922330097088,2,0,2,8,0,0,0,0,0,0,3,2.5833333333333335,63.666666666666664
consul,api/prepared_query.go,e5d58c59c9216fd9a40195eb862874eb77fb5a2f,118,15,656,7,21,14,1.5714285714285714,0,0.1271186440677966,0.44339622641509435,8,0,0,8,0,0,2,0,2,0,7,2.142857142857143,74.14285714285714
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,580,123,3181,34,1,1,0.23529411764705882,20,0.2120689655172414,0.04132231404958678,9,1,9,16,0,0,0,0,0,0,19,3.6176470588235294,87.08823529411765
consul,agent/xds/delta.go,779647b9486e239de1f868854ac6f367f3e5af4e,731,174,4436,26,36,18,1.6153846153846154,28,0.23803009575923392,0.1772972972972973,4,0,21,19,1,1,2,0,0,0,6,6.6923076923076925,160.15384615384616
consul,agent/sidecar_service.go,1e7eace0663f58d8ed0d5bc61d74a95ab792e377,88,24,552,2,1,1,1.5,4,0.2727272727272727,0.3333333333333333,0,0,2,2,0,0,0,0,0,0,2,12.0,271.5
consul,agent/config/builder.go,b36d4e16b6dfad1e756021c0e79f2e524c183e26,2012,413,14537,55,245,46,1.4363636363636363,37,0.20526838966202784,0.10577777777777778,3,0,39,67,0,0,1,0,0,1,39,7.509090909090909,226.6727272727273
consul,agent/config/deprecated.go,b36d4e16b6dfad1e756021c0e79f2e524c183e26,197,53,1311,4,9,2,1.5,1,0.26903553299492383,0.12053571428571429,1,0,0,0,0,0,0,0,0,0,0,13.25,302.0
consul,agent/consul/config_endpoint.go,8d953f5840cf64e3db54c7cf0fbb92f12f50860a,250,71,1645,10,12,3,1.9,8,0.284,0.09090909090909091,1,0,3,19,0,0,6,0,0,0,6,7.1,162.6
consul,agent/structs/config_entry.go,3975cb89bfe0699cbdd2a14e87e725b2440e670e,478,88,2365,32,23,4,0.375,10,0.18410041841004185,0.14028776978417265,9,1,2,27,0,0,0,0,3,0,28,2.75,66.71875
consul,logging/logger.go,33c401a16e36ce27900cacff3a7c07ed49b1b9d1,84,11,386,1,12,10,2.0,6,0.13095238095238096,0.18446601941747573,1,0,1,2,0,0,0,0,0,0,0,11.0,324.0
consul,agent/connect/ca/provider_vault.go,fc14f5ab14a77166be5c7674a90669665d57c78c,465,106,2873,23,47,10,0.5217391304347826,14,0.22795698924731184,0.10058027079303675,1,0,1,40,3,0,2,1,0,0,19,4.608695652173913,121.65217391304348
consul,agent/acl_endpoint.go,e47d7eeddb93bac09b7e5e94231ef5fa17cc112b,796,217,6231,48,31,7,2.4166666666666665,8,0.27261306532663315,0.030450669914738125,1,0,1,44,0,0,12,0,0,0,41,4.520833333333333,129.4375
consul,agent/xds/delta.go,71d45a34601423abdfc0a64d44c6a55cf88fa2fc,506,118,2814,22,1,1,1.3636363636363635,20,0.233201581027668,0.16640746500777606,2,0,14,8,1,1,1,0,0,0,4,5.363636363636363,119.5909090909091
consul,api/acl.go,6765c0d9656d5fb3da4b97aa3ea3c12a268b58c9,1197,203,7577,51,38,16,1.5098039215686274,7,0.1695906432748538,0.12755102040816327,21,0,0,127,0,0,37,0,75,0,50,3.980392156862745,135.7450980392157
consul,api/agent.go,634c72d22f656cb2b3dc9e7d346eb3f45f12516f,960,176,5665,67,119,46,1.4776119402985075,7,0.18333333333333332,0.22705314009661837,24,0,2,76,1,1,30,2,85,1,65,2.626865671641791,73.43283582089552
consul,api/catalog.go,6765c0d9656d5fb3da4b97aa3ea3c12a268b58c9,307,46,1840,15,31,19,1.9333333333333333,3,0.1498371335504886,0.05828220858895705,11,0,1,26,0,0,9,0,17,0,14,3.066666666666667,104.53333333333333
consul,api/config_entry.go,6765c0d9656d5fb3da4b97aa3ea3c12a268b58c9,334,67,2160,28,40,11,1.0357142857142858,9,0.20059880239520958,0.22144522144522144,11,1,3,18,0,0,4,0,40,0,23,2.392857142857143,63.57142857142857
consul,api/coordinate.go,6765c0d9656d5fb3da4b97aa3ea3c12a268b58c9,94,16,577,5,10,7,1.0,2,0.1702127659574468,0.09615384615384616,3,0,0,11,0,0,4,0,1,0,5,3.2,106.4
