project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
consul,command/acl/token/read/token_read.go,26820219cd7b448b10dc5d7f567b1a8857102f60,143,19,752,5,12,7,0.4,8,0.13286713286713286,0.02127659574468085,1,0,0,7,0,0,0,0,0,0,4,3.8,139.4
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,771,190,5027,34,88,23,1.1470588235294117,16,0.24643320363164722,0.15460526315789475,1,0,2,58,5,0,3,1,0,0,28,5.588235294117647,143.52941176470588
consul,agent/connect/ca/testing.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,300,51,1376,16,22,13,1.1875,15,0.17,0.11746987951807229,5,0,3,7,0,0,0,0,0,1,5,3.1875,77.4375
consul,api/prepared_query.go,edda4f8bf9268f3017ae0c385765e8af4a274136,120,15,665,7,1,1,1.5714285714285714,0,0.125,0.45454545454545453,8,0,0,8,0,0,2,0,7,0,7,2.142857142857143,74.14285714285714
consul,agent/envoyextensions/builtin/ext-authz/structs.go,366bd6f89f365c118c271c5aba1eb032adcc5faf,589,122,3217,34,5,3,0.2647058823529412,20,0.2071307300509338,0.04227642276422764,9,1,9,16,0,0,0,0,0,0,19,3.588235294117647,87.94117647058823
consul,agent/xds/delta.go,9289e680d6dfc91996135ef35855c5d69861675d,735,174,4458,26,37,19,1.6153846153846154,28,0.23673469387755103,0.17653390742734124,4,0,21,19,1,1,2,0,0,0,6,6.6923076923076925,161.0
consul,agent/sidecar_service.go,81d7cc41dcebd30a59e5c92c77728e5a3d9b2f9d,133,43,860,4,18,10,1.75,4,0.3233082706766917,0.35121951219512193,0,0,3,3,0,0,0,0,0,0,2,10.75,212.75
consul,agent/config/builder.go,a76f63a6953a651ceb1b1f7cfdf695f5be54b23d,2083,418,15019,57,256,47,1.456140350877193,39,0.20067210753720596,0.1075407026563839,3,0,40,69,0,0,1,0,0,1,41,7.333333333333333,223.08771929824562
consul,agent/config/config.go,a76f63a6953a651ceb1b1f7cfdf695f5be54b23d,611,11,2431,4,164,41,0.0,6,0.01800327332242226,0.21262886597938144,50,1,0,3,0,0,0,0,0,0,0,2.75,76.0
consul,agent/config/deprecated.go,a76f63a6953a651ceb1b1f7cfdf695f5be54b23d,210,55,1394,4,11,3,1.5,2,0.2619047619047619,0.13934426229508196,1,0,0,0,0,0,0,0,0,0,0,13.75,322.5
consul,agent/consul/config_endpoint.go,597448da4790aeae270e7fda74d355c6fc96756e,438,110,2880,11,46,9,1.8181818181818181,10,0.2511415525114155,0.13095238095238096,1,0,9,29,0,0,6,0,0,0,7,10.0,245.54545454545453
consul,agent/structs/config_entry.go,597448da4790aeae270e7fda74d355c6fc96756e,790,168,4108,57,72,8,0.2982456140350877,12,0.21265822784810126,0.1468682505399568,13,2,7,37,0,0,0,0,31,0,43,2.9473684210526314,63.91228070175438
consul,logging/logger.go,319a0a08cdc57a9d771cf413a12ec1b668663f91,83,12,445,2,16,12,1.5,6,0.14457831325301204,0.1941747572815534,2,0,1,3,0,0,0,0,0,0,0,6.0,192.5
consul,logging/syslog.go,319a0a08cdc57a9d771cf413a12ec1b668663f91,34,4,197,1,6,5,1.0,2,0.11764705882352941,0.20930232558139536,1,0,0,0,0,0,0,0,0,0,1,4.0,132.0
consul,agent/connect/ca/provider_vault.go,922619dfc33572c4f6076fae7e7dce0ec5fe450c,641,152,3915,26,62,13,0.6538461538461539,17,0.23712948517940718,0.11586206896551725,1,0,1,51,5,0,3,1,0,0,20,5.846153846153846,144.76923076923077
consul,agent/acl_endpoint.go,6e6cd928a22d03d670089fc1c7a2f66af235d318,832,232,6570,50,55,13,2.5,6,0.27884615384615385,0.04914285714285714,1,0,1,68,0,0,11,0,0,0,44,4.64,130.9
consul,agent/xds/delta.go,89bd1f57b5832c8a1061989a0f396adec2d50163,614,146,3452,24,8,3,1.375,20,0.23778501628664495,0.17329910141206675,4,0,21,9,1,1,2,0,0,0,5,6.083333333333333,134.54166666666666
