project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
fiber,middleware/basicauth/basicauth.go,8c49028a394d68e4d4f587c187279fbc86ed8007,84,19,459,4,5,2,1.25,4,0.2261904761904762,0.3333333333333333,1,0,0,1,0,0,0,0,0,0,0,4.75,93.5
fiber,middleware/proxy/proxy.go,0e2e04b9ba0a8546d054bb688c7db93a1995e5d2,76,17,415,6,6,3,1.1666666666666667,6,0.2236842105263158,0.2,0,0,1,5,0,0,0,0,0,0,0,2.8333333333333335,65.0
fiber,ctx.go,861e5d21fbdfcf1759a274a3becfa5d9cf9a173c,803,50,5527,15,248,23,1.1333333333333333,19,0.062266500622665005,0.21734892787524365,3,1,10,12,0,0,3,0,0,15,4,3.3333333333333335,73.2
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,198,44,1302,14,1,1,0.9285714285714286,5,0.2222222222222222,0.18518518518518517,2,0,9,1,0,0,2,0,0,1,1,3.142857142857143,82.42857142857143
fiber,app.go,056c6808afa454c9d0afed0a78c592385563029e,562,118,3553,40,329,27,1.125,20,0.2099644128113879,0.3620885357548241,5,1,11,9,1,0,1,0,0,15,4,2.95,80.2
fiber,mount.go,65e0ce285a374fed0a89260db37bf41576975510,145,37,1023,13,5,4,0.6923076923076923,4,0.25517241379310346,0.2676767676767677,1,0,8,2,0,0,0,0,0,1,0,2.8461538461538463,76.3076923076923
fiber,router.go,156b81c768ec3e9e8b4cfdf6a37040fa8daa0e07,353,93,2311,13,213,30,1.6923076923076923,8,0.26345609065155806,0.21380846325167038,1,1,6,1,0,0,0,0,0,17,2,7.153846153846154,160.3846153846154
fiber,path.go,a1148391ea4eac8dc3ddd40afa67c1c288fee14b,217,66,1346,11,5,4,1.6363636363636365,3,0.30414746543778803,0.20220588235294118,2,0,7,0,0,0,0,0,0,0,0,6.0,109.0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,604,203,4081,59,200,35,1.1864406779661016,18,0.3360927152317881,0.16111111111111112,2,5,18,0,0,0,1,0,0,7,0,3.440677966101695,63.220338983050844
fiber,client/request.go,e9849b758d0afaaf700f52ef76372bc41d373412,748,203,4704,135,5,4,1.037037037037037,14,0.2713903743315508,0.21593291404612158,5,1,34,0,0,0,0,1,0,9,95,1.5037037037037038,32.8
fiber,ctx.go,ec5d66e7a8e517a3685da49ca8947f1f4c60e641,744,46,5212,17,219,16,1.0588235294117647,18,0.06182795698924731,0.21019108280254778,3,1,8,13,0,0,3,0,0,15,4,2.7058823529411766,63.470588235294116
fiber,app.go,1991d8db32e60c30359fb423d3cade1f149ee290,289,55,1736,24,7,1,1.0833333333333333,14,0.1903114186851211,0.14749262536873156,2,0,2,12,1,1,0,0,0,15,18,2.2916666666666665,66.0
fiber,ctx.go,a458bd344cd4e821b64ad9fb8180f62331b17165,1113,310,7675,101,303,56,1.0594059405940595,22,0.2785265049415993,0.19928057553956835,5,1,23,23,0,0,5,0,0,19,5,3.0693069306930694,73.18811881188118
fiber,ctx_interface_gen.go,046b4a9d4e65ce57cd56d42670ec64ac332a25b1,111,0,738,0,17,8,0,5,0.0,0.6706231454005934,0,1,0,0,0,0,0,1,0,28,0,0,0
fiber,app.go,167a8b5e9421e0ab51fbf44c5621632f4a1a90c5,541,43,3315,10,457,63,1.1,17,0.07948243992606285,0.4232409381663113,6,1,9,7,1,0,6,0,0,16,5,4.3,97.5
fiber,helpers.go,f8b490f89ee5a58108f7902ff5b02e5006f2802d,639,209,4245,60,206,36,1.1833333333333333,18,0.3270735524256651,0.15364238410596026,2,5,18,0,0,0,4,0,0,8,0,3.4833333333333334,64.63333333333334
fiber,ctx.go,3fbc1470c646c1782b496dd55646cc3c024ce940,779,47,5437,15,228,16,1.1333333333333333,19,0.06033376123234917,0.21313131313131314,3,1,10,12,0,0,3,0,0,15,4,3.1333333333333333,71.46666666666667
fiber,bind.go,26cc477500ccf6fbbedc981d24f1add971628fa6,133,39,978,16,11,9,0.9375,2,0.2932330827067669,0.20359281437125748,1,2,3,11,0,0,0,0,0,0,16,2.4375,57.9375
fiber,binder/binder.go,c2749c36c2a17c6f06866ef45d5c43c3d43bd21a,18,0,76,0,2,2,0,1,0.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
fiber,binder/cbor.go,26cc477500ccf6fbbedc981d24f1add971628fa6,11,2,54,2,1,1,1.5,1,0.18181818181818182,0.21428571428571427,1,0,0,0,0,0,0,0,0,0,2,1.0,21.5
fiber,binder/cookie.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,34,8,208,3,1,1,1.3333333333333333,4,0.23529411764705882,0.0,1,0,1,2,0,0,0,0,0,0,2,2.6666666666666665,65.0
fiber,binder/form.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,41,10,271,4,1,1,1.5,4,0.24390243902439024,0.0,1,0,1,2,0,0,0,0,0,0,3,2.5,64.5
fiber,binder/header.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,27,6,188,3,1,1,1.3333333333333333,4,0.2222222222222222,0.0,1,0,1,0,0,0,0,0,0,0,2,2.0,58.333333333333336
fiber,binder/json.go,c2749c36c2a17c6f06866ef45d5c43c3d43bd21a,11,2,54,2,4,3,1.5,1,0.18181818181818182,0.0,1,0,0,0,0,0,0,0,0,0,2,1.0,21.5
fiber,binder/query.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,37,9,227,3,1,1,1.3333333333333333,4,0.24324324324324326,0.0,1,0,1,2,0,0,0,0,0,0,2,3.0,71.33333333333333
fiber,binder/resp_header.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,27,6,188,3,1,1,1.3333333333333333,4,0.2222222222222222,0.0,1,0,1,0,0,0,0,0,0,0,2,2.0,58.333333333333336
fiber,binder/uri.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,12,3,107,2,1,1,2.0,0,0.25,0.0,1,0,1,0,0,0,0,0,0,1,2,1.5,50.0
fiber,binder/xml.go,c2749c36c2a17c6f06866ef45d5c43c3d43bd21a,11,2,51,2,2,2,1.0,1,0.18181818181818182,0.0,1,0,0,0,0,0,0,0,0,0,2,1.0,20.0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,198,44,1302,14,1,1,0.9285714285714286,5,0.2222222222222222,0.18518518518518517,2,0,9,1,0,0,2,0,0,1,1,3.142857142857143,82.42857142857143
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,39,10,228,4,6,4,1.0,4,0.2564102564102564,0.09302325581395349,1,0,1,2,0,0,0,0,0,0,3,2.5,53.25
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,53,14,335,5,6,5,1.2,4,0.2641509433962264,0.1016949152542373,1,0,1,3,0,0,0,0,0,0,4,2.8,63.0
fiber,binder/header.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,32,8,210,4,5,4,1.0,4,0.25,0.1111111111111111,1,0,1,0,0,0,0,0,0,0,3,2.0,48.75
fiber,binder/mapping.go,845a7f8b8e7e0a0794eb5fc5a05a0030fd730a46,181,50,1030,11,15,9,1.3636363636363635,8,0.27624309392265195,0.15023474178403756,2,0,9,3,0,0,2,0,0,0,0,4.545454545454546,86.9090909090909
fiber,binder/query.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,42,11,253,4,6,4,1.0,4,0.2619047619047619,0.08695652173913043,1,0,1,2,0,0,0,0,0,0,3,2.75,59.5
fiber,binder/resp_header.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,32,8,210,4,5,4,1.0,4,0.25,0.1111111111111111,1,0,1,0,0,0,0,0,0,0,3,2.0,48.75
fiber,middleware/idempotency/locker.go,0b5a7d0425a609b443215866f57f7b7151a6756f,39,5,197,3,1,1,0.6666666666666666,1,0.1282051282051282,0.04878048780487805,1,1,0,0,0,0,0,0,0,0,2,1.6666666666666667,48.333333333333336
fiber,ctx.go,f29f39b1b3f640b29a1df5e315b126ca24b67ba7,1307,102,9119,38,352,77,0.9736842105263158,22,0.07804131599081866,0.21923536439665472,6,1,29,14,0,0,5,0,0,22,4,2.6842105263157894,66.6842105263158
fiber,client/request.go,b38be4bcb348991e0e6c1bc98382f9d8b47da730,652,172,4031,117,1,1,1.0341880341880343,12,0.26380368098159507,0.22102747909199522,5,1,28,0,0,0,0,1,0,9,86,1.4700854700854702,32.042735042735046
fiber,bind.go,406ab3177f489610ccaf39ed1bf8e776ac61299b,126,35,896,15,2,1,0.9333333333333333,2,0.2777777777777778,0.20253164556962025,1,2,3,9,0,0,0,0,0,0,15,2.3333333333333335,56.2
fiber,ctx.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,939,69,6416,22,306,56,0.9545454545454546,19,0.07348242811501597,0.2062552831783601,3,1,17,19,0,0,4,0,0,19,6,3.1363636363636362,68.4090909090909
fiber,middleware/cors/utils.go,f0cd3b44b086544a37886232d0530601f2406c23,48,20,307,4,1,1,1.5,2,0.4166666666666667,0.30434782608695654,0,0,0,1,0,0,0,0,0,0,0,5.0,75.0
fiber,middleware/cors/utils.go,ec48a76f14914bbac38a992a25f2cbc91643999a,50,22,318,4,3,3,1.5,2,0.44,0.29577464788732394,0,0,0,1,0,0,0,0,0,0,0,5.5,77.75
fiber,ctx.go,86a9b05d0995f77833912ff3e811b98fd51d376a,657,179,4143,58,85,5,1.0,19,0.2724505327245053,0.16835443037974684,3,0,18,7,0,0,0,0,0,6,1,3.086206896551724,69.41379310344827
fiber,binder/mapping.go,eacde70294be2ca277f6125e62cc1ea04907f2e3,140,37,827,9,1,1,1.6666666666666667,6,0.2642857142857143,0.17159763313609466,2,0,6,2,0,0,2,0,0,0,0,4.111111111111111,83.88888888888889
fiber,ctx.go,167a8b5e9421e0ab51fbf44c5621632f4a1a90c5,1282,106,8879,35,340,73,0.9428571428571428,23,0.08268330733229329,0.20174346201743462,6,1,31,14,0,0,5,0,0,20,4,3.0285714285714285,70.91428571428571
fiber,redirect.go,059c0e33ed8ad5b7094f8045f9ad772a3ec20399,201,45,1294,14,8,5,0.9285714285714286,6,0.22388059701492538,0.18292682926829268,2,0,9,1,0,0,2,0,0,1,1,3.2142857142857144,81.92857142857143
fiber,router.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,354,91,2387,13,209,29,1.6923076923076923,8,0.2570621468926554,0.2080536912751678,1,1,6,2,0,0,0,0,0,15,1,7.0,167.23076923076923
fiber,middleware/session/session.go,c71da35ddbf6e3a15e65d0b341bba83464a19771,154,30,927,11,22,5,0.9090909090909091,7,0.19480519480519481,0.13966480446927373,1,0,0,4,0,0,1,0,0,0,10,2.727272727272727,77.27272727272727
fiber,middleware/session/store.go,418d82e4d19e3e41f1446d92278132df3555acf9,51,9,245,3,15,1,0.6666666666666666,4,0.17647058823529413,0.13559322033898305,1,0,0,2,0,0,0,0,0,1,2,3.0,73.66666666666667
