project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
fiber,app.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,597,56,3727,13,506,75,1.0769230769230769,20,0.09380234505862646,0.41812865497076024,7,1,10,7,1,0,7,0,0,15,5,4.3076923076923075,94.15384615384616
fiber,group.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,116,10,936,2,66,22,1.0,2,0.08620689655172414,0.32558139534883723,1,0,2,2,0,0,0,0,0,12,0,5.0,105.5
fiber,mount.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,145,37,1030,13,10,5,0.6923076923076923,4,0.25517241379310346,0.2602040816326531,1,0,8,2,0,0,0,0,0,1,0,2.8461538461538463,76.84615384615384
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,60,12,617,12,4,4,2.0,0,0.2,0.4,1,1,0,0,0,0,0,0,0,22,0,1.0,38.833333333333336
fiber,router.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,325,93,2261,12,243,43,1.5833333333333333,8,0.28615384615384615,0.2111650485436893,1,1,9,4,0,0,4,0,0,14,2,7.75,168.83333333333334
fiber,ctx.go,f9eec854fd52e93cbd08efff77a132d554772080,1317,93,8869,33,414,99,1.0303030303030303,20,0.07061503416856492,0.2630106323447118,8,1,21,13,0,0,3,0,0,18,9,2.8181818181818183,64.45454545454545
fiber,middleware/basicauth/basicauth.go,5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,61,14,333,4,14,8,1.0,4,0.22950819672131148,0.2375,0,0,0,1,0,0,0,0,0,0,0,3.5,78.5
fiber,middleware/proxy/proxy.go,5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,177,42,1223,20,33,21,2.35,8,0.23728813559322035,0.17674418604651163,1,0,1,5,0,0,3,0,0,8,1,2.1,59.1
fiber,ctx.go,40d14a9c717a3db1222ba480b9a26cddd6cd231b,1345,105,9350,41,1,1,1.0,21,0.07806691449814127,0.22074159907300117,7,1,27,12,0,0,4,0,0,23,4,2.5609756097560976,65.41463414634147
fiber,helpers.go,81edaf094d058a411a407caee3ce2283417f4267,638,208,4269,60,216,38,1.1666666666666667,19,0.32601880877742945,0.1571994715984148,2,5,16,1,0,0,4,0,0,8,0,3.466666666666667,64.86666666666666
