project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
gin,gin.go,f7376f7c7fc73e2fdd30623f413f87a32e73baa2,310,62,1968,31,147,28,1.064516129032258,6,0.2,0.17553191489361702,2,0,4,1,0,0,4,0,0,5,20,2.0,59.12903225806452
gin,binding/toml.go,1660995a04f579b4e0d5683ff45e1af4c2a50346,24,5,128,4,4,3,1.5,4,0.20833333333333334,0.1111111111111111,1,0,0,1,0,0,0,0,0,0,0,1.25,28.5
gin,context.go,dc4337261068402e037614671cadf380d00deca1,178,43,1148,21,1,1,1.2380952380952381,8,0.24157303370786518,0.16299559471365638,2,0,3,3,0,0,0,0,3,2,19,2.0476190476190474,50.523809523809526
gin,tree.go,2915fa0ffedb73c8cc979c144f7ce4b046006db8,396,123,2432,7,1,1,1.8571428571428572,2,0.3106060606060606,0.18012422360248448,1,0,16,0,0,0,0,0,0,0,5,17.571428571428573,340.14285714285717
gin,tree.go,3fe928994b7ba7ed16b0c5114ca82a9dafa7a974,621,169,3710,16,46,23,1.8125,6,0.2721417069243156,0.17965653896961692,5,0,23,2,0,0,0,0,0,0,7,10.5625,223.6875
gin,gin.go,1f6304ca259f5d8b7e419c1f56b70a66e4fc37dd,206,44,1203,20,77,15,0.95,5,0.21359223300970873,0.15918367346938775,2,0,2,0,0,0,0,0,0,4,15,2.2,55.55
gin,debug.go,ea962038e151598b9c564aed2e2d544d1541780e,17,5,96,3,2,1,1.3333333333333333,0,0.29411764705882354,0.15,0,0,0,0,0,0,0,0,0,1,0,1.6666666666666667,30.666666666666668
gin,mode.go,a4e947a356add617b5022c31f6dc28e5b78849fe,53,10,168,6,35,17,0.16666666666666666,3,0.18867924528301888,0.29333333333333333,0,0,0,0,0,0,0,0,0,0,0,1.6666666666666667,18.333333333333332
gin,binding/query.go,2bde107686759098e2d64273bc79d1a0216a4500,13,3,70,2,3,3,1.0,0,0.23076923076923078,0.1875,1,0,0,1,0,0,0,0,0,0,0,1.5,30.5
gin,binding/default_validator.go,4bfae4c8c8f7764cc587022ba6d9d2fd18e6c47d,64,15,350,6,10,7,0.0,5,0.234375,0.1232876712328767,1,0,2,1,0,0,0,0,0,0,4,2.5,52.333333333333336
gin,tree.go,a06d546f5c2e853b07fde5a41b1fff102829b116,627,171,3771,16,49,26,1.8125,6,0.2727272727272727,0.17716535433070865,5,0,23,2,0,0,0,0,0,0,7,10.6875,227.5
gin,tree.go,1d0f938f28d7e592623264591605dc22ac141cc5,574,159,3405,15,42,20,1.8,6,0.2770034843205575,0.181169757489301,5,0,20,2,0,0,0,0,0,0,7,10.6,219.0
gin,context.go,2dd31930060c978a84507571f7a3106afbf9673b,646,191,4578,95,167,52,0.9368421052631579,14,0.29566563467492263,0.24634420697412823,2,0,9,14,0,0,2,0,0,3,94,2.0105263157894737,46.694736842105264
gin,tree.go,f3a6b69fd00d7dba9e7cdb726d3c0fc513259834,582,164,3419,15,45,22,1.8,6,0.281786941580756,0.19724137931034483,4,0,20,2,0,0,0,0,0,0,7,10.933333333333334,220.53333333333333
gin,gin.go,1e417c7a50f5b33db31d161c8212a8fb7a5971b2,138,23,824,17,71,15,0.8235294117647058,5,0.16666666666666666,0.0738255033557047,1,0,0,0,0,0,0,0,0,4,14,1.3529411764705883,43.470588235294116
gin,test_helpers.go,61ba9db5af23da0f11d5f68bced9ccc5a417859b,11,1,51,1,3,3,1.0,1,0.09090909090909091,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,45.0
gin,context.go,bfc8ca285eb46dad60e037d57c545cd260636711,758,217,5265,109,201,74,0.908256880733945,16,0.2862796833773087,0.2385589094449854,2,0,12,13,0,0,3,0,0,3,106,1.9908256880733946,46.75229357798165
gin,tree.go,f3de8132c5d955784deeadb9bcf5752e9fdf0d8c,549,154,3265,15,38,16,1.8,6,0.28051001821493626,0.1878698224852071,4,0,20,2,0,0,0,0,0,0,7,10.266666666666667,210.33333333333334
gin,tree.go,d4ca9a0fb1211108f0a893634ee01b0006890c16,586,164,3432,15,43,21,1.8,6,0.27986348122866894,0.20272108843537415,4,0,20,2,0,0,0,0,0,0,7,10.933333333333334,221.46666666666667
gin,context.go,d17270dd90c488308de3102d6951946ca0a5911f,705,197,4965,105,194,69,0.9142857142857143,16,0.2794326241134752,0.24299065420560748,2,0,9,13,0,0,3,0,0,3,103,1.8761904761904762,45.67619047619048
gin,gin.go,d17270dd90c488308de3102d6951946ca0a5911f,351,72,2196,36,184,48,1.0,9,0.20512820512820512,0.19495412844036697,2,0,4,3,0,0,8,0,0,5,22,2.0,57.166666666666664
gin,tree.go,0a55865c3fc4c2b30dce86dfa9cff7654ba9bc74,583,164,3418,15,44,21,1.8,6,0.28130360205831906,0.19696969696969696,4,0,20,2,0,0,0,0,0,0,7,10.933333333333334,220.53333333333333
gin,tree.go,c6544855d7244db15858cbc0bb200da5efa45b83,485,138,2921,11,26,12,1.8181818181818181,3,0.2845360824742268,0.16666666666666666,4,0,18,2,0,0,0,0,0,0,5,12.545454545454545,257.45454545454544
gin,context.go,211c48f0408804fdbc3b698cf53243da9699c376,514,144,3452,74,135,32,0.918918918918919,14,0.2801556420233463,0.21915820029027577,2,0,4,7,0,0,2,0,0,3,74,1.945945945945946,43.87837837837838
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,237,51,1414,24,106,16,0.9166666666666666,6,0.21518987341772153,0.1595744680851064,1,0,2,1,0,0,4,0,0,4,15,2.125,55.5
gin,tree.go,d4ca9a0fb1211108f0a893634ee01b0006890c16,586,164,3432,15,43,21,1.8,6,0.27986348122866894,0.20272108843537415,4,0,20,2,0,0,0,0,0,0,7,10.933333333333334,221.46666666666667
gin,tree.go,d17270dd90c488308de3102d6951946ca0a5911f,544,153,3180,14,33,13,1.8571428571428572,4,0.28125,0.18926974664679583,4,0,21,2,0,0,0,0,0,0,6,10.928571428571429,220.78571428571428
gin,context.go,bfc8ca285eb46dad60e037d57c545cd260636711,758,217,5265,109,201,74,0.908256880733945,16,0.2862796833773087,0.2385589094449854,2,0,12,13,0,0,3,0,0,3,106,1.9908256880733946,46.75229357798165
gin,gin.go,393a63f3b020df89d42695064443760c7d0a0dc8,343,70,2181,35,173,42,1.0,8,0.20408163265306123,0.19294117647058823,2,0,4,4,0,0,7,0,0,5,22,2.0,58.542857142857144
gin,context.go,2e5a7196cce94e085625d166e7f2cf9f99a1edf0,672,192,4744,102,180,61,0.9019607843137255,15,0.2857142857142857,0.25161290322580643,2,0,9,12,0,0,2,0,0,3,101,1.8823529411764706,45.009803921568626
gin,gin.go,5f76ba2022fdc3ebf06cc3349d3fc7645ef5aab5,225,50,1370,25,93,16,0.84,7,0.2222222222222222,0.1245136186770428,1,0,1,1,0,0,4,0,0,4,18,2.0,51.88
gin,utils.go,2ff2b19e14420de970264012e1bcdf91929725b4,123,35,651,15,30,9,1.0666666666666667,7,0.2845528455284553,0.06818181818181818,0,0,3,2,0,0,0,0,0,0,0,2.3333333333333335,41.93333333333333
gin,utils.go,ce2201c39214775ddfff8f79549473d64160aa39,128,35,671,14,19,1,1.0,7,0.2734375,0.030303030303030304,0,0,3,3,0,0,0,0,0,0,0,2.5,46.357142857142854
gin,render/json.go,0cbf290302ae06b647989effaf5e5a23028670d7,138,28,779,13,25,11,1.0,5,0.2028985507246377,0.14814814814814814,6,0,1,10,0,0,0,0,0,0,0,2.1538461538461537,52.38461538461539
gin,binding/form_mapping.go,0d50ce859745354fa83dcf2bf4c972abed25e53b,236,70,1432,13,21,11,2.6153846153846154,6,0.2966101694915254,0.012552301255230125,0,0,3,10,0,0,0,0,0,0,0,5.384615384615385,107.76923076923077
gin,render/json.go,b056a34bdc2aa45256c4f5bdad306c35ec70c37e,129,27,717,11,23,9,1.0,5,0.20930232558139536,0.14,5,0,1,11,0,0,0,0,0,0,0,2.4545454545454546,57.09090909090909
gin,tree.go,35e33d3638f9b5a1246dd9c72a99740f5ad4b43b,468,136,2847,10,21,9,1.8,3,0.2905982905982906,0.1702127659574468,4,0,18,2,0,0,0,0,0,0,5,13.6,275.8
gin,recovery.go,7afb3238a3b703864c785ce626e0c7330a9c559b,82,19,472,7,9,3,0.8571428571428571,7,0.23170731707317074,0.18,0,0,1,0,0,0,1,0,0,0,0,2.7142857142857144,61.0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,149,31,1110,22,43,9,1.6818181818181819,4,0.2080536912751678,0.22797927461139897,1,2,0,2,0,0,0,0,0,22,20,1.4090909090909092,43.54545454545455
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,149,31,1110,22,43,9,1.6818181818181819,4,0.2080536912751678,0.22797927461139897,1,2,0,2,0,0,0,0,0,22,20,1.4090909090909092,43.54545454545455
gin,recovery.go,37854ee10f7161843c338d9a9fa87f9398aacbbe,112,27,642,8,18,9,0.875,12,0.24107142857142858,0.16417910447761194,0,0,1,0,0,0,1,0,0,0,0,3.375,74.0
gin,context.go,9366e33ffc2d89df1a5254716e1d26d0991b5a2a,392,93,2487,50,97,16,0.9,12,0.2372448979591837,0.21509433962264152,2,0,4,5,0,0,0,0,0,3,51,1.86,45.64
gin,debug.go,e2adae90033ee85ec093b181089a722a8fa541f1,28,9,136,6,6,1,0.8333333333333334,0,0.32142857142857145,0.0967741935483871,0,0,0,1,0,0,0,0,0,1,0,1.5,22.0
gin,debug.go,07f1bf0e63512fbf9c7d7984d235a399eb916244,66,11,260,7,18,7,0.42857142857142855,3,0.16666666666666666,0.07575757575757576,0,0,1,1,0,0,0,0,0,1,0,1.5714285714285714,24.571428571428573
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,87,20,504,8,15,7,0.875,8,0.22988505747126436,0.1792452830188679,0,0,1,0,0,0,1,0,0,0,0,2.5,57.25
gin,test_helpers.go,61ba9db5af23da0f11d5f68bced9ccc5a417859b,11,1,51,1,3,3,1.0,1,0.09090909090909091,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,45.0
gin,binding/form_mapping.go,d4413b6e91c2bb034ce51f2b669d690b4edee887,124,39,746,7,1,1,2.142857142857143,5,0.31451612903225806,0.046153846153846156,0,0,2,6,0,0,0,0,0,0,0,5.571428571428571,105.14285714285714
