project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
gin,gin.go,86ff4a64c7efe1a1c875529835eeef9e15de1e86,492,105,3106,44,215,67,0.9318181818181818,13,0.21341463414634146,0.2,2,0,7,4,0,0,8,0,0,5,29,2.3863636363636362,63.31818181818182
gin,gin.go,8763f33c65f7df8be5b9fe7504ab7fcf20abb41d,533,116,3381,49,224,74,0.9795918367346939,14,0.2176360225140713,0.19728915662650603,2,0,10,4,0,0,9,0,0,8,32,2.36734693877551,62.02040816326531
gin,binding/toml.go,e737e3e267beb4dc3bab16cc8be59e3902d98a94,24,5,126,4,5,4,1.5,4,0.20833333333333334,0.1111111111111111,1,0,0,1,0,0,0,0,0,0,0,1.25,28.0
gin,context.go,f875d8728306c2c2c6f504900ab08cd1d8c47f12,844,229,6106,140,259,116,0.9571428571428572,16,0.2713270142180095,0.2504317789291883,2,0,10,14,0,0,5,0,0,3,137,1.6357142857142857,41.67142857142857
gin,tree.go,ea53388e6ee4a6a0a1647b390c56eeed780e7e56,652,179,3925,15,61,36,1.8,6,0.2745398773006135,0.17363751584283904,5,0,23,2,0,0,0,0,0,0,7,11.933333333333334,253.0
gin,tree.go,8eb5f832bac1853fc84c508a2b9406134d39492e,633,175,3814,16,55,31,1.8125,6,0.2764612954186414,0.17578125,5,0,23,2,0,0,0,0,0,0,7,10.9375,230.25
gin,binding/form_mapping.go,28e57f58b184b2305ace192e02496bb89f6fd8cb,400,114,2524,22,49,31,2.8636363636363638,9,0.285,0.031476997578692496,1,2,7,15,0,0,0,0,0,0,0,5.181818181818182,104.36363636363636
gin,gin.go,626d55b0c02937645c21774cacc021713de88604,531,116,3371,49,222,72,0.9795918367346939,14,0.2184557438794727,0.19788519637462235,2,0,10,4,0,0,9,0,0,8,32,2.36734693877551,61.816326530612244
gin,context.go,36b0dede4b8c4a67d92c4107cebc5a068364321d,820,235,5727,121,253,112,1.1900826446280992,16,0.2865853658536585,0.2430493273542601,2,0,10,14,0,0,5,0,0,3,118,1.9421487603305785,45.52892561983471
gin,debug.go,7d147928ee232fce156ea7ce8ae6329e148aeb41,89,21,422,9,39,17,0.6666666666666666,6,0.23595505617977527,0.07692307692307693,0,0,1,1,0,0,0,0,0,1,0,2.3333333333333335,43.44444444444444
gin,mode.go,7d147928ee232fce156ea7ce8ae6329e148aeb41,59,11,222,6,43,23,0.16666666666666666,5,0.1864406779661017,0.2804878048780488,0,0,0,0,0,0,0,0,0,0,0,1.8333333333333333,26.666666666666668
gin,binding/query.go,8790d08909fc4d193c6c787c9c72f3089168f411,13,3,77,2,5,4,1.0,0,0.23076923076923078,0.1875,1,0,0,1,0,0,0,0,0,0,0,1.5,34.0
gin,context.go,646312aef6a34095476ac846b0920db5fb24b2ea,788,225,5497,114,246,107,1.2017543859649122,16,0.28553299492385786,0.24535315985130113,2,0,10,14,0,0,5,0,0,3,111,1.9736842105263157,46.37719298245614
