project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
gitea,routers/api/packages/maven/maven.go,5fadcf997e956d711dd3dc3fe7e7af2aeeac4cd1,393,96,2465,14,1,1,1.3571428571428572,24,0.24427480916030533,0.05755395683453238,1,0,0,29,0,0,2,8,0,0,2,6.857142857142857,169.28571428571428
gitea,routers/api/packages/maven/maven.go,45c4139134cfdb23fbeb85bb5c78811605f37dd5,393,96,2465,14,26,12,1.3571428571428572,24,0.24427480916030533,0.05755395683453238,1,0,0,29,0,0,2,8,0,0,2,6.857142857142857,169.28571428571428
gitea,routers/web/repo/view_file.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,264,62,2162,1,6,3,2.0,22,0.23484848484848486,0.060498220640569395,0,0,1,12,0,0,2,1,0,0,0,62.0,2130.0
gitea,services/issue/issue.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,239,64,1812,10,53,21,3.8,15,0.26778242677824265,0.12773722627737227,0,0,5,29,0,0,1,8,0,0,0,6.4,178.5
gitea,services/issue/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,141,37,926,5,6,3,2.2,11,0.2624113475177305,0.04081632653061224,1,0,7,14,0,0,2,2,0,0,0,7.4,174.6
gitea,services/pull/merge.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,590,141,4277,27,127,34,2.185185185185185,27,0.23898305084745763,0.07086614173228346,5,0,3,63,1,0,5,9,0,0,0,5.222222222222222,154.4814814814815
gitea,services/pull/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,947,240,6623,27,143,37,2.1481481481481484,31,0.25343189017951423,0.062376237623762376,4,0,21,117,1,0,10,17,5,0,0,8.88888888888889,239.62962962962962
gitea,services/pull/update.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,160,31,961,5,39,14,2.0,12,0.19375,0.06432748538011696,0,0,0,16,2,0,4,3,0,0,0,6.2,188.2
gitea,services/repository/push.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,369,89,2618,8,75,17,1.75,21,0.24119241192411925,0.04896907216494845,0,0,7,30,2,0,2,2,0,1,0,11.125,321.625
gitea,modules/markup/markdown/markdown.go,9054a6670c8b80a9f0f558163f100143be3e2334,212,35,1294,20,1,1,1.25,19,0.1650943396226415,0.12033195020746888,3,0,0,10,1,0,2,0,0,1,4,1.75,60.15
