project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
grafana,pkg/cmd/grafana-cli/commands/datamigrations/to_unified_storage.go,4918d8720c6171062c3bcd72a3a1a84dd4c086bf,187,36,1007,5,10,5,1.8,23,0.1925133689839572,0.010582010582010581,0,0,2,16,0,0,0,0,0,0,0,7.2,195.4
grafana,pkg/registry/apis/dashboard/legacy/migrate.go,4918d8720c6171062c3bcd72a3a1a84dd4c086bf,366,65,2343,10,7,3,2.0,18,0.17759562841530055,0.026595744680851064,2,1,7,25,0,0,2,6,0,0,5,6.5,224.8
grafana,pkg/registry/apis/dashboard/register.go,4918d8720c6171062c3bcd72a3a1a84dd4c086bf,285,45,1694,14,43,9,2.5,41,0.15789473684210525,0.0436241610738255,1,0,1,14,0,0,0,1,0,0,8,3.2142857142857144,110.85714285714286
grafana,pkg/registry/apis/folders/legacy_storage.go,5e61ec12580d780f088230dd8a865b98a58af500,291,57,1861,13,31,7,2.3846153846153846,22,0.1958762886597938,0.0673076923076923,1,0,1,26,0,0,0,8,0,0,13,4.384615384615385,131.0
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,40ee9e10e2a5dbba9e2dc40e332e60b2e1a7da65,727,149,5057,24,1,1,2.4166666666666665,23,0.20495185694635487,0.04342105263157895,3,0,6,54,0,0,8,6,4,0,8,6.208333333333333,208.5
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,844c854d75b0a74478ecce295285b8255c204d3f,727,149,5057,24,80,23,2.4166666666666665,23,0.20495185694635487,0.04342105263157895,3,0,6,54,0,0,8,6,4,0,8,6.208333333333333,208.5
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,3b73ebb21096f69f4dcb287896e2cbfec65e48d7,670,137,4595,23,78,22,2.391304347826087,23,0.2044776119402985,0.0345821325648415,3,0,6,51,0,0,8,6,4,0,8,5.956521739130435,197.47826086956522
grafana,pkg/services/org/orgimpl/org_delete_svc.go,68479d844bed475ce8e258a66d4a230e048768dc,36,3,167,2,1,1,2.5,6,0.08333333333333333,0.0,1,0,0,1,0,0,0,1,0,0,1,1.5,68.0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,68479d844bed475ce8e258a66d4a230e048768dc,36,3,167,2,1,1,2.5,6,0.08333333333333333,0.0,1,0,0,1,0,0,0,1,0,0,1,1.5,68.0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,1c535615210325597ac1e036585c2b22efa2af00,240,37,1984,11,16,9,2.5454545454545454,18,0.15416666666666667,0.09433962264150944,2,1,3,16,0,0,1,16,0,0,9,3.3636363636363638,155.8181818181818
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,1c535615210325597ac1e036585c2b22efa2af00,244,28,1670,10,11,7,3.9,12,0.11475409836065574,0.016129032258064516,9,0,6,6,0,0,6,7,2,0,6,2.8,154.7
grafana,pkg/tsdb/parca/resources.go,0845ac2f53ca17cf698341b382af5262335e295c,90,16,575,3,1,1,3.0,7,0.17777777777777778,0.01098901098901099,1,0,1,10,0,0,0,3,7,0,3,5.333333333333333,178.66666666666666
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,400,67,3278,18,159,33,1.4444444444444444,22,0.1675,0.31069609507640067,12,0,6,28,0,0,0,1,21,0,13,3.7222222222222223,172.83333333333334
