project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
influxdb,tsdb/engine/tsm1/engine.go,2a0353ffd2405da54f3ddd990d118d5ab4bb3136,2646,584,18929,125,1,1,1.536,33,0.22071050642479215,0.16,4,1,60,143,7,2,46,10,0,0,90,4.672,131.112
influxdb,tsdb/engine/tsm1/engine.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,2609,570,18546,120,1,1,1.5083333333333333,33,0.21847451130701417,0.15456902138690862,4,1,61,143,7,2,46,10,0,0,86,4.75,133.425
influxdb,influxql/query/select.go,92efddbfbe4033118e357439d58da2d555c4740a,786,112,5641,10,1,1,1.5,9,0.14249363867684478,0.09862385321100918,4,3,19,41,0,0,4,10,0,0,8,11.2,335.6
influxdb,tsdb/engine/tsm1/engine.go,eb1dd047062029e25311cfb8b429d1b27c2fb23f,2370,525,16729,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.76991150442478
influxdb,tsdb/field_validator.go,4dd2d7cc7fa9c639a59a4629628ce50e5d68df9d,62,16,293,2,1,1,2.0,4,0.25806451612903225,0.1506849315068493,0,0,1,0,0,0,0,0,0,0,0,8.0,140.0
influxdb,tsdb/engine/tsm1/compact.go,4ca5174744aa856c9e8f78a2c21f0d65269653a5,1370,349,8614,76,1,1,0.9078947368421053,16,0.25474452554744526,0.15795943454210204,12,4,60,39,3,6,18,0,0,1,53,4.592105263157895,104.25
influxdb,tsdb/field_validator.go,4dd2d7cc7fa9c639a59a4629628ce50e5d68df9d,62,16,293,2,1,1,2.0,4,0.25806451612903225,0.1506849315068493,0,0,1,0,0,0,0,0,0,0,0,8.0,140.0
influxdb,tsdb/shard.go,4dd2d7cc7fa9c639a59a4629628ce50e5d68df9d,1599,77,10507,29,1,1,0.5517241379310345,27,0.04815509693558474,0.13567567567567568,13,1,46,67,2,0,25,15,0,0,86,2.6551724137931036,76.96551724137932
influxdb,cmd/influxd/inspect/type_conflicts/schema.go,77081081b50da337daba7445484a92e4466ecd01,128,32,800,14,1,1,1.0714285714285714,6,0.25,0.0,1,0,6,7,0,0,1,0,4,0,2,2.2857142857142856,53.92857142857143
influxdb,sqlite/sqlite.go,daaf8665bb036b0629be4282394b46eeaef0efc6,259,57,1451,16,1,1,1.0,14,0.22007722007722008,0.17777777777777778,1,0,2,34,0,0,12,6,0,0,12,3.5625,87.375
influxdb,tsdb/engine/tsm1/compact.go,7ad612b0d779f392d1997056ff961a9fc487bfe7,1558,397,9817,83,1,1,0.8674698795180723,15,0.25481386392811295,0.1587473002159827,13,4,67,41,3,6,18,0,0,2,61,4.783132530120482,109.36144578313252
influxdb,tsdb/engine/tsm1/compact.go,d8bcbd894c10efcb00df439ab73c03f1d26abfaf,1402,354,9007,80,1,1,0.9,17,0.2524964336661912,0.16398330351818724,12,4,60,36,3,6,18,0,0,2,56,4.425,103.875
influxdb,tsdb/engine/tsm1/engine.go,71071ed67a19d533fb6a685e2790c217314319c9,1779,342,12916,99,1,1,1.3434343434343434,25,0.19224283305227655,0.14553314121037464,3,0,44,98,10,4,28,0,0,0,80,3.4545454545454546,102.8080808080808
influxdb,tsdb/engine/tsm1/scheduler.go,ae821f4e2d3253b4d74863ec1a1e01fbcfa4d981,62,12,405,4,1,1,1.0,1,0.1935483870967742,0.015873015873015872,1,0,1,0,0,0,0,0,0,0,3,3.0,88.75
influxdb,cmd/influx_tools/compact/command.go,73bdb2860e303702ef00be3c91bec8be92906589,243,46,1640,14,1,1,0.8571428571428571,19,0.18930041152263374,0.054474708171206226,3,0,9,12,1,1,1,0,0,0,8,3.2857142857142856,109.57142857142857
influxdb,tsdb/engine/tsm1/compact.go,25206c729c138ad5bb15e56d6f95bc05cf099894,186,40,1014,10,1,1,0.5,4,0.21505376344086022,0.14285714285714285,3,1,9,13,0,0,2,0,0,1,8,4.0,87.0
influxdb,tsdb/engine/tsm1/engine.go,425a5e5f1757f6e7c81544306a44fb29773db748,2036,423,14442,100,1,1,1.48,30,0.20776031434184675,0.15060492282019192,3,0,43,122,8,3,35,10,0,0,72,4.23,119.9
influxdb,cmd/influx_tools/compact/command.go,73bdb2860e303702ef00be3c91bec8be92906589,243,46,1640,14,1,1,0.8571428571428571,19,0.18930041152263374,0.054474708171206226,3,0,9,12,1,1,1,0,0,0,8,3.2857142857142856,109.57142857142857
influxdb,tsdb/engine/tsm1/compact.go,25206c729c138ad5bb15e56d6f95bc05cf099894,186,40,1014,10,1,1,0.5,4,0.21505376344086022,0.14285714285714285,3,1,9,13,0,0,2,0,0,1,8,4.0,87.0
influxdb,tsdb/engine/tsm1/engine.go,425a5e5f1757f6e7c81544306a44fb29773db748,2036,423,14442,100,1,1,1.48,30,0.20776031434184675,0.15060492282019192,3,0,43,122,8,3,35,10,0,0,72,4.23,119.9
influxdb,query/select.go,e9313876ab3377849ee803644de962f8cb9519f8,1598,34,10164,7,1,1,2.4285714285714284,8,0.02127659574468085,0.04937537180249851,3,3,16,48,0,0,3,11,0,0,6,4.857142857142857,118.42857142857143
influxdb,tsdb/engine/tsm1/compact.go,5149774e223d7d588d7f2e2641f292a3b98350ec,1376,350,8777,77,1,1,0.8961038961038961,17,0.2543604651162791,0.15892420537897312,12,4,60,38,3,6,18,0,0,1,53,4.545454545454546,105.0
influxdb,tsdb/engine/tsm1/compact.go,306a184a8dfc76a27a0214186895ede25b5a5f0e,1389,351,8852,77,1,1,0.8961038961038961,17,0.2526997840172786,0.16375677302829622,12,4,61,38,3,6,18,0,0,1,53,4.558441558441558,106.05194805194805
influxdb,tsdb/engine/tsm1/compact.go,0748d28986b1d16159c0b75cf25265276ff844f7,985,269,5819,56,1,1,0.6964285714285714,10,0.2730964467005076,0.16877637130801687,8,3,55,26,2,1,13,0,0,1,40,4.803571428571429,96.89285714285714
influxdb,tsdb/engine/tsm1/engine.go,8711e2d6cc64682f77215af1377dc58f9545bb0c,2370,525,16729,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.76991150442478
influxdb,tsdb/field_validator.go,4dd2d7cc7fa9c639a59a4629628ce50e5d68df9d,62,16,293,2,1,1,2.0,4,0.25806451612903225,0.1506849315068493,0,0,1,0,0,0,0,0,0,0,0,8.0,140.0
influxdb,tsdb/shard.go,8711e2d6cc64682f77215af1377dc58f9545bb0c,2078,234,13553,80,1,1,0.7,31,0.1126082771896054,0.13199665831244778,19,1,53,71,3,1,34,16,0,1,99,2.925,76.6
influxdb,tsdb/engine/tsm1/engine.go,5f576331d3aea40b9ee03d54c248cfe5ee3a2b1e,2407,537,17209,111,1,1,1.5315315315315314,33,0.22309929372663065,0.15425158116654955,3,1,51,140,6,2,41,10,0,0,80,4.837837837837838,132.9009009009009
influxdb,tsdb/field_validator.go,29a62e4f74b3cd22a708e849e5eec4b310d532db,52,12,248,2,1,1,1.5,4,0.23076923076923078,0.13333333333333333,1,1,1,0,0,0,0,0,0,0,0,6.0,108.5
influxdb,tsdb/shard.go,29a62e4f74b3cd22a708e849e5eec4b310d532db,1428,69,9238,29,1,1,0.4827586206896552,25,0.04831932773109244,0.13138686131386862,11,1,38,65,1,0,24,7,0,0,76,2.3793103448275863,72.55172413793103
influxdb,tsdb/engine/tsm1/engine.go,5a20a835a55d9bd77810b1d47a0699dee18c42b9,2407,537,17206,111,1,1,1.5315315315315314,33,0.22309929372663065,0.15425158116654955,3,1,51,140,6,2,41,10,0,0,80,4.837837837837838,132.87387387387386
influxdb,tsdb/field_validator.go,5a20a835a55d9bd77810b1d47a0699dee18c42b9,68,16,343,2,1,1,2.0,4,0.23529411764705882,0.13924050632911392,0,0,1,0,0,0,0,0,0,0,0,8.0,165.0
influxdb,tsdb/shard.go,29a62e4f74b3cd22a708e849e5eec4b310d532db,1428,69,9238,29,1,1,0.4827586206896552,25,0.04831932773109244,0.13138686131386862,11,1,38,65,1,0,24,7,0,0,76,2.3793103448275863,72.55172413793103
influxdb,tsdb/engine/tsm1/engine.go,96c0ecf618794eae0530a385a1f0e19b4039f7af,2045,433,14583,100,1,1,1.49,32,0.21173594132029339,0.15460934270359653,3,0,43,122,7,3,37,10,0,0,73,4.33,122.88
influxdb,tsdb/field_validator.go,29a62e4f74b3cd22a708e849e5eec4b310d532db,52,12,248,2,1,1,1.5,4,0.23076923076923078,0.13333333333333333,1,1,1,0,0,0,0,0,0,0,0,6.0,108.5
influxdb,tsdb/shard.go,29a62e4f74b3cd22a708e849e5eec4b310d532db,1428,69,9238,29,1,1,0.4827586206896552,25,0.04831932773109244,0.13138686131386862,11,1,38,65,1,0,24,7,0,0,76,2.3793103448275863,72.55172413793103
influxdb,tsdb/field_validator.go,4dd2d7cc7fa9c639a59a4629628ce50e5d68df9d,62,16,293,2,1,1,2.0,4,0.25806451612903225,0.1506849315068493,0,0,1,0,0,0,0,0,0,0,0,8.0,140.0
