project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
influxdb,tsdb/engine/tsm1/engine.go,0fdb6adcb2451a6ef3bfc8c63d621747de7aeef2,2644,583,18894,124,1,1,1.5241935483870968,33,0.22049924357034795,0.15983476326660312,4,1,60,143,7,2,46,10,0,0,89,4.701612903225806,131.88709677419354
influxdb,tsdb/engine/tsm1/engine.go,7437f275ff88d203d369459d740d9addb2911298,2644,583,18894,124,1,1,1.5241935483870968,33,0.22049924357034795,0.15983476326660312,4,1,60,143,7,2,46,10,0,0,89,4.701612903225806,131.88709677419354
influxdb,tsdb/store.go,eab8a8a6e83c3142d11a464df13a99b9b6bdfea5,1897,317,13053,117,1,1,1.1367521367521367,24,0.16710595677385345,0.15161001788908765,14,0,53,90,3,3,30,7,0,3,71,2.7094017094017095,78.8119658119658
influxdb,influxql/query/select.go,a2f1b41363c8faf1f725d96ce4509abfeb8dea02,784,114,5623,13,1,1,1.6153846153846154,11,0.14540816326530612,0.10194730813287514,5,5,17,42,0,0,1,16,0,0,10,8.76923076923077,263.6923076923077
influxdb,tsdb/engine/tsm1/engine.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,2375,527,16777,114,1,1,1.5087719298245614,33,0.22189473684210526,0.1532976827094474,4,0,52,137,5,2,39,14,0,0,82,4.62280701754386,123.1140350877193
influxdb,tsdb/field_validator.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,72,17,379,2,1,1,2.0,5,0.2361111111111111,0.14285714285714285,0,0,1,2,0,0,0,0,0,0,0,8.5,182.5
influxdb,tsdb/shard.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,2056,232,13406,80,1,1,0.7,31,0.11284046692607004,0.13175675675675674,19,1,53,69,3,1,34,16,0,1,98,2.9,75.9625
influxdb,tsdb/engine/tsm1/compact.go,b0a47a02bcbcb5357c15a53e4eed237782b5e9dd,1375,350,8864,78,1,1,0.9102564102564102,17,0.2545454545454545,0.15953545232273839,12,4,59,36,3,6,18,0,0,2,54,4.487179487179487,104.76923076923077
influxdb,tsdb/engine/tsm1/compact.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,1377,350,8809,77,1,1,0.8961038961038961,17,0.2541757443718228,0.1588271227855834,12,4,60,38,3,6,18,0,0,1,53,4.545454545454546,105.41558441558442
influxdb,tsdb/engine/tsm1/engine.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,2375,527,16772,114,1,1,1.5087719298245614,33,0.22189473684210526,0.1532976827094474,4,0,52,137,5,2,39,14,0,0,82,4.62280701754386,123.0701754385965
influxdb,pkg/data/gensyncmap/gensyncmap.go,eb1dd047062029e25311cfb8b429d1b27c2fb23f,38,11,336,9,1,1,1.4444444444444444,0,0.2894736842105263,0.0,1,0,0,0,0,0,0,0,0,0,7,1.2222222222222223,35.333333333333336
influxdb,tsdb/engine/tsm1/engine.go,eb1dd047062029e25311cfb8b429d1b27c2fb23f,2370,525,16729,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.76991150442478
influxdb,tsdb/field_validator.go,eb1dd047062029e25311cfb8b429d1b27c2fb23f,68,16,343,2,1,1,2.0,4,0.23529411764705882,0.13924050632911392,0,0,1,0,0,0,0,0,0,0,0,8.0,165.0
influxdb,tsdb/shard.go,eb1dd047062029e25311cfb8b429d1b27c2fb23f,2078,234,13553,80,1,1,0.7,31,0.1126082771896054,0.13199665831244778,19,1,53,71,3,1,34,16,0,1,99,2.925,76.6
influxdb,tsdb/engine/tsm1/compact.go,c6e771877dd57e9c06f0c65ac824f125f6f69478,1376,350,8790,77,1,1,0.8961038961038961,17,0.2543604651162791,0.15892420537897312,12,4,60,38,3,6,18,0,0,1,53,4.545454545454546,105.16883116883118
influxdb,tsdb/engine/tsm1/compact.go,f56d48201ea1164f1cc4c372604f539e232b490b,1376,350,8777,77,1,1,0.8961038961038961,17,0.2543604651162791,0.15892420537897312,12,4,60,38,3,6,18,0,0,1,53,4.545454545454546,105.0
influxdb,tsdb/engine/tsm1/writer.go,f56d48201ea1164f1cc4c372604f539e232b490b,505,110,3486,31,1,1,1.0,11,0.21782178217821782,0.17629629629629628,3,5,2,9,0,0,0,0,0,0,1,3.5483870967741935,102.29032258064517
influxdb,tsdb/engine/tsm1/compact.go,4ca5174744aa856c9e8f78a2c21f0d65269653a5,1370,349,8614,76,1,1,0.9078947368421053,16,0.25474452554744526,0.15795943454210204,12,4,60,39,3,6,18,0,0,1,53,4.592105263157895,104.25
influxdb,cmd/influxd/inspect/type_conflicts/schema.go,9dc4b98ad5bb12bd7f763098c635e013e33d2f43,128,32,802,14,1,1,1.0714285714285714,6,0.25,0.0,1,0,6,7,0,0,1,0,4,0,2,2.2857142857142856,54.07142857142857
influxdb,sqlite/sqlite.go,9dc4b98ad5bb12bd7f763098c635e013e33d2f43,262,58,1479,17,1,1,1.0588235294117647,14,0.22137404580152673,0.1761006289308176,1,0,2,34,0,0,12,6,0,0,12,3.411764705882353,83.94117647058823
influxdb,tsdb/engine/tsm1/compact.go,ced7c779abc19885a97f571c081b6098a251936c,1362,347,8567,76,1,1,0.9078947368421053,16,0.25477239353891334,0.15873996294008647,12,4,60,37,3,6,18,0,0,1,53,4.565789473684211,103.63157894736842
influxdb,tsdb/engine/tsm1/engine.go,ced7c779abc19885a97f571c081b6098a251936c,2370,525,16727,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.75221238938053
influxdb,v1/coordinator/points_writer.go,7f94f564db62d87c9a5f47018018a4205a0e876e,337,63,2295,19,1,1,1.8421052631578947,12,0.18694362017804153,0.1575,6,0,5,11,1,3,3,5,0,0,10,3.3157894736842106,105.26315789473684
influxdb,tsdb/config.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,144,16,690,4,1,1,0.0,5,0.1111111111111111,0.3739130434782609,1,0,2,0,0,0,0,0,0,0,1,4.0,115.5
influxdb,tsdb/engine.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,151,13,1042,4,1,1,2.0,15,0.08609271523178808,0.1881720430107527,1,3,1,3,0,0,0,2,0,0,0,3.25,89.75
influxdb,tsdb/engine/tsm1/compact.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,1402,356,9065,81,1,1,0.9506172839506173,17,0.25392296718972895,0.16448152562574495,12,4,60,36,3,6,18,0,0,2,57,4.395061728395062,103.30864197530865
influxdb,tsdb/engine/tsm1/engine.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,2609,570,18546,120,1,1,1.5083333333333333,33,0.21847451130701417,0.15456902138690862,4,1,61,143,7,2,46,10,0,0,86,4.75,133.425
influxdb,tsdb/engine/tsm1/scheduler.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,63,13,429,4,1,1,1.0,1,0.20634920634920634,0.03076923076923077,1,0,1,0,0,0,0,0,0,0,3,3.25,93.75
influxdb,tsdb/store.go,66f4dbeaadb4f8e3da5538dfef62bc7380a1a198,1895,317,13034,117,1,1,1.1367521367521367,24,0.16728232189973616,0.15174574753804834,14,0,53,90,3,3,29,7,0,3,71,2.7094017094017095,78.64957264957265
influxdb,cmd/influx_tools/compact/command.go,e984a226f2470ef17239f0620d2458e190b5a560,255,50,1760,18,1,1,0.8333333333333334,21,0.19607843137254902,0.05904059040590406,3,0,9,12,1,1,1,0,0,0,12,2.7777777777777777,91.77777777777777
influxdb,tsdb/engine/tsm1/compact.go,e984a226f2470ef17239f0620d2458e190b5a560,1399,355,9045,81,1,1,0.9506172839506173,17,0.2537526804860615,0.1647761194029851,12,4,60,36,3,6,18,0,0,2,57,4.382716049382716,103.06172839506173
influxdb,tsdb/engine/tsm1/engine.go,e984a226f2470ef17239f0620d2458e190b5a560,2428,544,17432,112,1,1,1.5625,33,0.22405271828665568,0.1531217300313917,3,1,54,140,6,2,42,10,0,0,80,4.857142857142857,133.71428571428572
influxdb,cmd/influx_tools/compact/command.go,96e44cac735baa4d7a4d40ee4f9ff9e9658a2b59,255,50,1760,18,1,1,0.8333333333333334,21,0.19607843137254902,0.05904059040590406,3,0,9,12,1,1,1,0,0,0,12,2.7777777777777777,91.77777777777777
influxdb,tsdb/engine/tsm1/compact.go,96e44cac735baa4d7a4d40ee4f9ff9e9658a2b59,1399,355,9045,81,1,1,0.9506172839506173,17,0.2537526804860615,0.1647761194029851,12,4,60,36,3,6,18,0,0,2,57,4.382716049382716,103.06172839506173
influxdb,tsdb/engine/tsm1/engine.go,96e44cac735baa4d7a4d40ee4f9ff9e9658a2b59,2428,544,17432,112,1,1,1.5625,33,0.22405271828665568,0.1531217300313917,3,1,54,140,6,2,42,10,0,0,80,4.857142857142857,133.71428571428572
influxdb,query/select.go,9e00f0de98d234c76c0daeb6c60d2ec62113df1b,800,113,5701,10,1,1,1.5,11,0.14125,0.09706546275395034,4,3,19,42,0,0,4,10,0,0,8,11.3,336.2
influxdb,tsdb/engine/tsm1/compact.go,d8dc76472594e0041b65eb9731bee74a7f818f09,1375,350,8864,78,1,1,0.9102564102564102,17,0.2545454545454545,0.15953545232273839,12,4,59,36,3,6,18,0,0,2,54,4.487179487179487,104.76923076923077
influxdb,tsdb/engine/tsm1/compact.go,1efb8dad431b22aea75f9146a17c88141b3296ee,1388,351,8939,78,1,1,0.9102564102564102,17,0.25288184438040345,0.16435881998795907,12,4,60,36,3,6,18,0,0,2,54,4.5,105.8076923076923
influxdb,tsdb/engine/tsm1/compact.go,d169651dff15065fa564dca5ee4155b0a584efcc,1377,350,8809,77,1,1,0.8961038961038961,17,0.2541757443718228,0.1588271227855834,12,4,60,38,3,6,18,0,0,1,53,4.545454545454546,105.41558441558442
influxdb,tsdb/engine/tsm1/engine.go,d169651dff15065fa564dca5ee4155b0a584efcc,2375,527,16777,114,1,1,1.5087719298245614,33,0.22189473684210526,0.1532976827094474,4,0,52,137,5,2,39,14,0,0,82,4.62280701754386,123.1140350877193
influxdb,tsdb/engine/tsm1/compact.go,ba95c9b0f061d9730739a2997d18efd7ed11dc8e,1390,351,8884,77,1,1,0.8961038961038961,17,0.2525179856115108,0.16365824308062576,12,4,61,38,3,6,18,0,0,1,53,4.558441558441558,106.46753246753246
influxdb,tsdb/engine/tsm1/engine.go,ba95c9b0f061d9730739a2997d18efd7ed11dc8e,2412,539,17254,112,1,1,1.5267857142857142,33,0.2234660033167496,0.1539810592774465,3,1,51,140,6,2,42,10,0,0,80,4.8125,132.125
influxdb,tsdb/engine/tsm1/engine.go,248022800ae693f55a6f3acaa5b6aeb21052fcb1,2370,525,16734,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.8141592920354
influxdb,tsdb/field_validator.go,248022800ae693f55a6f3acaa5b6aeb21052fcb1,72,17,379,2,1,1,2.0,5,0.2361111111111111,0.14285714285714285,0,0,1,2,0,0,0,0,0,0,0,8.5,182.5
influxdb,tsdb/shard.go,248022800ae693f55a6f3acaa5b6aeb21052fcb1,2056,232,13406,80,1,1,0.7,31,0.11284046692607004,0.13175675675675674,19,1,53,69,3,1,34,16,0,1,98,2.9,75.9625
influxdb,tsdb/engine/tsm1/engine.go,083b679b564fcfd883724195a5498a20de9f32d2,2407,537,17211,111,1,1,1.5315315315315314,33,0.22309929372663065,0.15425158116654955,3,1,51,140,6,2,41,10,0,0,80,4.837837837837838,132.9189189189189
influxdb,tsdb/field_validator.go,083b679b564fcfd883724195a5498a20de9f32d2,72,17,379,2,1,1,2.0,5,0.2361111111111111,0.14285714285714285,0,0,1,2,0,0,0,0,0,0,0,8.5,182.5
influxdb,tsdb/shard.go,083b679b564fcfd883724195a5498a20de9f32d2,1870,253,12561,81,1,1,0.7901234567901234,31,0.13529411764705881,0.12288930581613508,15,1,51,65,2,0,32,7,0,1,94,3.123456790123457,83.1358024691358
influxdb,tsdb/engine/tsm1/engine.go,5f576331d3aea40b9ee03d54c248cfe5ee3a2b1e,2407,537,17209,111,1,1,1.5315315315315314,33,0.22309929372663065,0.15425158116654955,3,1,51,140,6,2,41,10,0,0,80,4.837837837837838,132.9009009009009
influxdb,tsdb/field_validator.go,5f576331d3aea40b9ee03d54c248cfe5ee3a2b1e,69,16,346,2,1,1,2.0,4,0.2318840579710145,0.1375,0,0,1,0,0,0,0,0,0,0,0,8.0,166.5
influxdb,tsdb/shard.go,5f576331d3aea40b9ee03d54c248cfe5ee3a2b1e,1883,255,12631,81,1,1,0.7901234567901234,31,0.13542219861922464,0.12255358807082944,15,1,51,66,2,0,32,7,0,1,94,3.1481481481481484,83.70370370370371
influxdb,tsdb/engine/tsm1/engine.go,5a20a835a55d9bd77810b1d47a0699dee18c42b9,2407,537,17206,111,1,1,1.5315315315315314,33,0.22309929372663065,0.15425158116654955,3,1,51,140,6,2,41,10,0,0,80,4.837837837837838,132.87387387387386
influxdb,tsdb/field_validator.go,5a20a835a55d9bd77810b1d47a0699dee18c42b9,68,16,343,2,1,1,2.0,4,0.23529411764705882,0.13924050632911392,0,0,1,0,0,0,0,0,0,0,0,8.0,165.0
influxdb,tsdb/shard.go,5a20a835a55d9bd77810b1d47a0699dee18c42b9,1923,255,12995,81,1,1,0.7901234567901234,30,0.13260530421216848,0.12311901504787962,15,1,56,67,2,0,34,7,0,1,95,3.1481481481481484,83.76543209876543
influxdb,pkg/data/gensyncmap/gensyncmap.go,8711e2d6cc64682f77215af1377dc58f9545bb0c,38,11,336,9,1,1,1.4444444444444444,0,0.2894736842105263,0.0,1,0,0,0,0,0,0,0,0,0,7,1.2222222222222223,35.333333333333336
influxdb,tsdb/engine/tsm1/engine.go,8711e2d6cc64682f77215af1377dc58f9545bb0c,2370,525,16729,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.76991150442478
influxdb,tsdb/field_validator.go,8711e2d6cc64682f77215af1377dc58f9545bb0c,68,16,343,2,1,1,2.0,4,0.23529411764705882,0.13924050632911392,0,0,1,0,0,0,0,0,0,0,0,8.0,165.0
influxdb,tsdb/shard.go,8711e2d6cc64682f77215af1377dc58f9545bb0c,2078,234,13553,80,1,1,0.7,31,0.1126082771896054,0.13199665831244778,19,1,53,71,3,1,34,16,0,1,99,2.925,76.6
influxdb,tsdb/engine/tsm1/compact.go,306a184a8dfc76a27a0214186895ede25b5a5f0e,1389,351,8852,77,1,1,0.8961038961038961,17,0.2526997840172786,0.16375677302829622,12,4,61,38,3,6,18,0,0,1,53,4.558441558441558,106.05194805194805
influxdb,cmd/influx_inspect/type_conflicts/schema.go,f54a34ae33424b49d5c6823f1a113f3ec7f8d1b1,128,32,809,14,1,1,1.0714285714285714,6,0.25,0.0,1,0,6,7,0,0,1,0,4,0,2,2.2857142857142856,54.57142857142857
influxdb,tsdb/engine/tsm1/compact.go,dd7b4ce35165cc6b355298fc3ae8cc58e8679717,1368,348,8730,77,1,1,0.8961038961038961,17,0.2543859649122807,0.1597051597051597,12,4,60,36,3,6,18,0,0,1,53,4.51948051948052,104.3896103896104
influxdb,tsdb/engine/tsm1/engine.go,dd7b4ce35165cc6b355298fc3ae8cc58e8679717,2370,525,16727,113,1,1,1.5132743362831858,33,0.22151898734177214,0.15357142857142858,4,0,52,137,5,2,38,14,0,0,82,4.646017699115045,123.75221238938053
influxdb,tsdb/engine/tsm1/compact.go,800970490a715d2b6eb5a0a7fed7fb4e9707af5d,1381,349,8805,77,1,1,0.8961038961038961,17,0.25271542360608257,0.1645493042952208,12,4,61,36,3,6,18,0,0,1,53,4.532467532467533,105.44155844155844
influxdb,tsdb/engine/tsm1/engine.go,800970490a715d2b6eb5a0a7fed7fb4e9707af5d,2407,537,17204,111,1,1,1.5315315315315314,33,0.22309929372663065,0.15425158116654955,3,1,51,140,6,2,41,10,0,0,80,4.837837837837838,132.85585585585585
influxdb,tsdb/engine/tsm1/compact.go,c82d4f86eeb554c94e7e21644a98cd7a3ca071f2,1354,345,8620,75,1,1,0.9066666666666666,17,0.2548005908419498,0.1600496277915633,12,4,60,36,3,6,18,0,0,1,53,4.6,105.81333333333333
influxdb,tsdb/engine/tsm1/writer.go,c82d4f86eeb554c94e7e21644a98cd7a3ca071f2,505,110,3486,31,1,1,1.0,11,0.21782178217821782,0.17629629629629628,3,5,2,9,0,0,0,0,0,0,1,3.5483870967741935,102.29032258064517
influxdb,tsdb/engine/tsm1/compact.go,e974165d252a1904b5ede5b88104301b32842b81,1354,345,8620,75,1,1,0.9066666666666666,17,0.2548005908419498,0.1600496277915633,12,4,60,36,3,6,18,0,0,1,53,4.6,105.81333333333333
influxdb,tsdb/engine/tsm1/writer.go,e974165d252a1904b5ede5b88104301b32842b81,483,104,3333,30,1,1,1.0,11,0.2153209109730849,0.17972350230414746,3,5,2,9,0,0,0,0,0,0,1,3.466666666666667,100.6
influxdb,coordinator/points_writer.go,694607a22c190ed648de46ef029ef2b74d2cc064,339,74,2425,20,1,1,1.8,11,0.2182890855457227,0.18115942028985507,6,0,5,11,1,2,1,0,0,0,13,3.7,106.0
influxdb,v1/coordinator/points_writer.go,5b364b51c865f7acc18756f8dd1362bc92992a6d,337,63,2295,19,1,1,1.8421052631578947,12,0.18694362017804153,0.1575,6,0,5,11,1,3,3,5,0,0,10,3.3157894736842106,105.26315789473684
influxdb,services/httpd/handler.go,3570db0b75b2ed8292328d5da7eab2af1c725f17,2391,412,17346,61,1,1,1.2459016393442623,40,0.1723128398159766,0.10683601045946955,13,2,26,95,2,4,18,1,22,1,44,6.754098360655738,227.27868852459017
influxdb,tsdb/index/tsi1/index.go,07df053ce2612802b465427d97a21257cfedffb3,795,211,5444,75,1,1,0.9733333333333334,20,0.26540880503144654,0.19207317073170732,1,0,55,37,7,7,12,0,0,1,49,2.8133333333333335,68.82666666666667
influxdb,tsdb/index/tsi1/partition.go,07df053ce2612802b465427d97a21257cfedffb3,1121,262,7472,96,1,1,0.6041666666666666,20,0.23371989295272078,0.1558734939759036,3,0,25,81,4,4,49,0,5,0,67,2.7291666666666665,73.25
influxdb,tsdb/index/tsi1/partition.go,b88e74e6bbcc72ed765e71675e561ad081d466a7,1121,262,7472,96,1,1,0.6041666666666666,20,0.23371989295272078,0.1558734939759036,3,0,25,81,4,4,49,0,5,0,67,2.7291666666666665,73.25
influxdb,tsdb/index/tsi1/index.go,1fd1ad63b9336b4fd28631e6c3f6d0813a45d5ae,839,225,5802,81,1,1,0.9629629629629629,20,0.26817640047675806,0.1948176583493282,1,0,60,38,8,8,14,0,0,1,54,2.7777777777777777,68.1604938271605
influxdb,tsdb/index/tsi1/partition.go,1fd1ad63b9336b4fd28631e6c3f6d0813a45d5ae,1122,261,7538,94,1,1,0.6382978723404256,19,0.232620320855615,0.15702479338842976,3,0,26,80,4,4,45,0,5,0,68,2.776595744680851,75.48936170212765
influxdb,tsdb/index/tsi1/log_file.go,11037838705c295482f2f73c4f08c37a892c2bb5,1107,252,7719,103,1,1,0.8155339805825242,18,0.22764227642276422,0.13986013986013987,10,0,33,39,0,0,31,0,0,0,84,2.4466019417475726,71.98058252427184
influxdb,services/storage/store.go,fe3bcf18ed0cd9c557b5a897e57acc647319da1c,418,98,2874,19,1,1,2.263157894736842,15,0.23444976076555024,0.030162412993039442,2,1,12,28,0,0,0,9,0,0,15,5.157894736842105,145.94736842105263
influxdb,tsdb/shard.go,01a35eb79a2ce76f8cd79c5a0fe2a1d36257ed4d,1908,251,12830,80,1,1,0.8,30,0.13155136268343814,0.12396694214876033,15,1,57,67,2,0,33,7,0,1,95,3.1375,83.6375
influxdb,query/iterator.go,679426b9a5ee6df18870cf5bfd2e59fd2b69aca9,1042,41,6717,7,1,1,0.42857142857142855,11,0.03934740882917467,0.17367168913560665,9,3,22,25,0,0,2,4,0,0,16,5.857142857142857,89.14285714285714
influxdb,tsdb/index/tsi1/log_file.go,7333da95920a4723829ddff631df14c71cd71430,1107,252,7719,103,1,1,0.8155339805825242,18,0.22764227642276422,0.13986013986013987,10,0,33,39,0,0,31,0,0,0,84,2.4466019417475726,71.98058252427184
influxdb,v1/services/storage/store.go,9c8f2968f348c6a3856e371d8ae15e4245ee8612,658,147,4631,26,1,1,1.7692307692307692,17,0.22340425531914893,0.06401137980085349,2,2,20,37,0,0,4,19,0,0,18,5.653846153846154,159.07692307692307
influxdb,tsdb/shard.go,8e0d754c1ef805d51dc2b0466259a05a7d69b35c,2098,230,13699,77,1,1,0.7012987012987013,31,0.109628217349857,0.1309030654515327,19,1,59,71,3,1,35,16,0,1,97,2.987012987012987,78.45454545454545
influxdb,services/storage/store.go,c4bfaa895417c174cef76f5308eebb6aaddbfa36,418,98,2874,19,1,1,2.263157894736842,15,0.23444976076555024,0.030162412993039442,2,1,12,28,0,0,0,9,0,0,15,5.157894736842105,145.94736842105263
influxdb,tsdb/shard.go,031f394d2ccbdc32e5e6befaaf6a0398c57169a6,2098,230,13699,77,1,1,0.7012987012987013,31,0.109628217349857,0.1309030654515327,19,1,59,71,3,1,35,16,0,1,97,2.987012987012987,78.45454545454545
