project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
kubernetes,test/e2e/windows/eviction.go,863168e47497175fdbc2659218253cb3029500d9,292,51,2204,8,5,4,1.625,20,0.17465753424657535,0.07878787878787878,0,0,15,0,0,0,0,3,0,0,0,6.375,266.25
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,130,14,869,11,24,13,1.3636363636363635,12,0.1076923076923077,0.0,0,0,1,1,0,0,0,1,0,0,0,1.2727272727272727,71.63636363636364
kubernetes,test/e2e/windows/reboot_node.go,a2e0beb44be971859a6b7f87b224aae2b6e2fab6,204,7,1176,3,1,1,0.0,10,0.03431372549019608,0.0136986301369863,0,0,1,1,0,0,0,0,0,0,0,2.3333333333333335,383.3333333333333
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,163,28,982,10,57,29,1.5,12,0.17177914110429449,0.03333333333333333,1,0,2,10,0,0,0,0,0,0,3,2.8,88.9
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,163,28,982,10,57,29,1.5,12,0.17177914110429449,0.03333333333333333,1,0,2,10,0,0,0,0,0,0,3,2.8,88.9
kubernetes,pkg/controller/podautoscaler/horizontal.go,7846827fc0f4f3b61ce93499ed379831b2ab7244,350,61,2680,11,79,28,2.272727272727273,23,0.1742857142857143,0.06459948320413436,1,0,1,17,0,0,1,0,0,0,5,5.545454545454546,235.0
kubernetes,plugin/pkg/auth/authorizer/rbac/bootstrappolicy/controller_policy.go,092714ea0fab9960f6ac452f49f2576d677f1f9e,302,11,3842,6,50,27,0.5,7,0.03642384105960265,0.0513595166163142,0,0,1,0,0,0,0,0,0,0,0,1.8333333333333333,637.1666666666666
kubernetes,pkg/apis/apps/validation/validation.go,2a0ef026b6b4a6d14660113fcfeab19ed2bd1cfa,535,126,6106,36,36,26,2.25,15,0.23551401869158878,0.13036565977742448,0,0,1,4,0,0,0,0,0,0,0,3.5,168.19444444444446
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/wait/wait.go,aaf1fb50f32466aa5e845ff423fc4acc8f04c402,292,49,1505,13,54,33,1.3846153846153846,23,0.1678082191780822,0.08074534161490683,3,0,1,14,0,0,1,0,0,0,3,3.769230769230769,102.15384615384616
kubernetes,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/get.go,8fede0b18a81a6fb1acc1a48857f482857c25286,203,49,1522,11,13,9,3.0,19,0.2413793103448276,0.1115702479338843,0,0,1,13,0,0,2,0,0,0,0,4.454545454545454,133.63636363636363
kubernetes,staging/src/k8s.io/client-go/util/consistencydetector/list_data_consistency_detector.go,48014bd7bdc331efea509a752694393ac929f270,31,2,197,2,1,1,0.0,6,0.06451612903225806,0.2833333333333333,0,0,0,2,0,0,0,2,0,0,0,1.0,16.5
kubernetes,test/e2e/apimachinery/watchlist.go,ba160f6ed3f81f6dbe2c1dd5d0cdce6048812130,168,22,1551,17,10,2,1.1176470588235294,24,0.13095238095238096,0.01098901098901099,1,0,4,0,1,1,1,1,0,0,2,1.2941176470588236,87.6470588235294
kubernetes,pkg/controller/deployment/sync.go,66bda6c0920798e1b6377db1332a83080c99b909,363,93,3157,13,84,34,3.3846153846153846,13,0.256198347107438,0.2236024844720497,0,0,6,12,0,0,0,11,0,0,11,7.153846153846154,240.76923076923077
kubernetes,pkg/controller/deployment/util/deployment_util.go,eec08872c73b5a39d48e17ed67f4c8a5c0ea84a9,533,151,3862,51,77,16,2.0588235294117645,19,0.28330206378986866,0.21128798842257598,0,0,16,27,0,0,0,0,0,0,0,2.9607843137254903,73.58823529411765
kubernetes,cmd/kube-controller-manager/app/core.go,99151c39b7d4595632f7745ba7fb4dea4356f7fd,565,87,4242,27,166,91,2.0,47,0.15398230088495576,0.07532051282051282,0,0,2,26,24,0,0,23,0,0,0,3.2222222222222223,153.96296296296296
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/debug/debug.go,e5b655938e55e0404545ff73e9239593a27a3272,350,69,2417,18,1,1,2.0,28,0.19714285714285715,0.06958762886597938,1,0,8,17,0,0,1,2,0,0,4,3.8333333333333335,127.61111111111111
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,968adfa99362f733ef82f4aabb34a59dbbd6e56a,349,69,2033,15,126,56,1.2666666666666666,20,0.1977077363896848,0.058981233243967826,2,0,3,12,2,0,2,0,0,0,4,4.6,124.13333333333334
kubernetes,pkg/controller/statefulset/stateful_set.go,f6af1904cd0e017c6181c23d41e1281fd4a9b198,329,66,2132,18,57,30,1.0,23,0.2006079027355623,0.16829268292682928,1,0,5,15,1,0,5,0,0,0,13,3.6666666666666665,113.27777777777777
kubernetes,pkg/controller/statefulset/stateful_set_control.go,63e5b6bdb24c44872621874cfcbbe3423f8a525e,581,148,4130,20,50,35,3.6,14,0.2547332185886403,0.1798063623789765,2,1,18,33,1,1,1,8,0,1,10,7.4,199.8
kubernetes,test/e2e/framework/statefulset/rest.go,c2d41fda6c47af1c776373133a86797950a0ac13,202,50,1752,18,7,6,1.8333333333333333,15,0.24752475247524752,0.10084033613445378,0,0,8,12,0,0,0,0,0,0,0,2.7777777777777777,96.27777777777777
kubernetes,staging/src/k8s.io/component-base/featuregate/feature_gate.go,379676c4bef48e5d2add28851302b55b41fcabcf,508,110,3733,36,48,24,1.0833333333333333,15,0.21653543307086615,0.21212121212121213,2,3,27,3,0,0,7,0,0,0,26,3.0555555555555554,92.13888888888889
