project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
kubernetes,test/e2e/windows/eviction.go,b35c5c0a301d326fdfa353943fca077778544ac6,215,29,1511,6,6,4,1.0,18,0.13488372093023257,0.08835341365461848,0,0,7,0,0,0,0,1,0,0,0,4.833333333333333,240.33333333333334
kubernetes,test/e2e/windows/hybrid_network.go,b35c5c0a301d326fdfa353943fca077778544ac6,129,14,893,11,28,16,1.3636363636363635,13,0.10852713178294573,0.0,0,0,1,1,0,0,0,1,0,0,0,1.2727272727272727,75.81818181818181
kubernetes,test/e2e/windows/kubelet_stats.go,b35c5c0a301d326fdfa353943fca077778544ac6,230,42,1648,13,27,17,0.7692307692307693,17,0.1826086956521739,0.028112449799196786,0,0,9,2,0,0,0,2,0,0,0,3.230769230769231,122.3076923076923
kubernetes,test/e2e/windows/reboot_node.go,b35c5c0a301d326fdfa353943fca077778544ac6,384,26,2253,6,15,9,1.5,23,0.06770833333333333,0.03209876543209877,0,0,5,6,0,0,0,2,0,0,0,4.333333333333333,364.5
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,609e4a9ba044e64a6244e053d2b1b7c545a2d2ed,170,30,1011,10,59,31,1.5,13,0.17647058823529413,0.03723404255319149,1,0,2,11,0,0,0,0,0,0,3,3.0,91.7
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,cce99a8c73a32c6dff31768c4757968440ef91c3,170,30,1011,10,1,1,1.5,13,0.17647058823529413,0.03723404255319149,1,0,2,11,0,0,0,0,0,0,3,3.0,91.7
kubernetes,pkg/controller/podautoscaler/horizontal.go,381ccf0f4c723f7164d4363d2bcd76f4e34e5441,1128,206,8766,48,176,84,3.1875,35,0.18262411347517732,0.1016548463356974,4,0,17,43,1,0,18,14,0,2,32,4.291666666666667,177.91666666666666
kubernetes,plugin/pkg/auth/authorizer/rbac/bootstrappolicy/controller_policy.go,20cecaee97f34f874a84902bf8dbe2bc359db9f0,466,22,5752,10,122,68,0.3,10,0.04721030042918455,0.04970178926441352,0,0,1,0,0,0,0,0,0,0,0,2.2,573.2
kubernetes,pkg/apis/apps/validation/validation.go,7c887412c882afc130d78e4bb6efad056b0fe376,583,138,6663,40,57,34,2.275,14,0.2367066895368782,0.1326530612244898,0,0,1,5,0,0,0,0,0,0,0,3.45,165.35
kubernetes,pkg/registry/apps/statefulset/strategy.go,7c887412c882afc130d78e4bb6efad056b0fe376,147,37,1111,18,57,27,1.6111111111111112,14,0.25170068027210885,0.19289340101522842,2,0,2,0,0,0,0,10,0,0,0,2.0555555555555554,57.94444444444444
kubernetes,staging/src/k8s.io/kubectl/pkg/describe/describe.go,4114a9b4e45a4df96f0383d87b2649640a6ffbf1,4884,1169,38515,284,176,102,1.795774647887324,66,0.23935298935298935,0.03317535545023697,42,2,160,96,0,0,0,0,0,11,52,4.116197183098592,133.08098591549296
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/wait/wait.go,0cc926220067cd814cecd8f3d0c3b9235e6a68db,298,49,1511,13,58,35,1.3846153846153846,23,0.1644295302013423,0.07951070336391437,3,0,1,14,0,0,1,0,0,0,3,3.769230769230769,102.61538461538461
kubernetes,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/get.go,ae35048cb0b9b177891aab41346b6d6cc504582f,250,60,1824,16,35,19,2.125,27,0.24,0.09965635738831616,1,0,1,15,0,0,7,0,0,0,1,3.75,110.1875
kubernetes,staging/src/k8s.io/client-go/util/consistencydetector/list_data_consistency_detector.go,ae35048cb0b9b177891aab41346b6d6cc504582f,34,3,208,3,2,1,0.0,6,0.08823529411764706,0.2923076923076923,0,0,0,2,0,0,0,2,0,0,0,1.0,14.0
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,260,30,2479,23,14,2,1.173913043478261,28,0.11538461538461539,0.0456140350877193,1,0,4,0,1,1,1,3,0,0,2,1.3043478260869565,104.52173913043478
kubernetes,pkg/controller/deployment/sync.go,05bc2708700a09a477eff902ad7f9189ab0ac4be,360,93,3137,13,88,37,3.3076923076923075,13,0.25833333333333336,0.225,0,0,6,12,0,0,0,11,0,0,11,7.153846153846154,239.15384615384616
kubernetes,pkg/controller/deployment/util/deployment_util.go,05bc2708700a09a477eff902ad7f9189ab0ac4be,636,186,4557,54,195,52,2.0,23,0.29245283018867924,0.2508670520231214,0,0,19,20,0,0,0,2,0,0,0,3.4444444444444446,80.88888888888889
kubernetes,cmd/kube-controller-manager/app/core.go,442183a9298e37cb655b4a3f48462ee30e475069,768,113,5269,53,190,100,1.5471698113207548,51,0.14713541666666666,0.05910735826296743,0,0,2,25,26,0,0,25,0,0,0,2.1320754716981134,97.69811320754717
