project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
minio,cmd/storage-rest-client.go,0506d9e83d93575aba78ea81eccc02b6a176e814,646,140,4645,49,134,8,1.5714285714285714,21,0.21671826625386997,0.10027855153203342,1,0,8,43,3,0,32,28,0,1,40,2.857142857142857,90.55102040816327
minio,cmd/auth-handler.go,76913a9fd5c6e5c2dbd4e8c7faf56ed9e9e24091,598,149,3811,31,136,20,2.3548387096774195,24,0.2491638795986622,0.1553672316384181,0,0,0,13,0,0,3,9,0,0,0,4.806451612903226,119.38709677419355
minio,cmd/object-handlers.go,fba883839d8719f649bfda65b6561a642ec21a95,2740,641,20709,44,697,46,1.6818181818181819,47,0.23394160583941606,0.1106783511846803,2,0,10,18,1,0,33,2,0,0,0,14.568181818181818,467.34090909090907
minio,cmd/object-multipart-handlers.go,76913a9fd5c6e5c2dbd4e8c7faf56ed9e9e24091,956,214,7208,16,21,2,1.5,32,0.22384937238493724,0.11481481481481481,1,0,4,65,1,1,12,1,0,0,2,13.375,447.5625
minio,cmd/streaming-v4-unsigned.go,76913a9fd5c6e5c2dbd4e8c7faf56ed9e9e24091,201,56,1115,5,1,1,0.8,6,0.27860696517412936,0.16942148760330578,1,0,6,13,0,0,0,0,0,0,3,11.2,216.2
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,384,78,2291,11,12,6,2.090909090909091,16,0.203125,0.13122171945701358,1,0,4,17,0,0,1,0,0,0,2,7.090909090909091,184.0909090909091
minio,cmd/admin-handlers-users.go,14cf8f1b229968f33fe455386f2cdf71a0e67cf2,2126,424,14933,31,129,11,2.0,17,0.19943555973659455,0.07525010874293171,0,0,24,155,0,0,37,0,0,0,0,13.67741935483871,480.0967741935484
minio,cmd/data-usage-cache.go,9947c01c8e2a76ae6aa9c16a1bbe0221701ca7b0,1127,159,6667,49,68,12,1.0,20,0.14108251996450755,0.12972972972972974,21,1,44,27,0,1,11,4,0,0,39,3.2448979591836733,77.3265306122449
minio,cmd/admin-handlers-idp-ldap.go,3c2141513f5639cfed67623c5f865c3c9cd690c2,500,108,3106,5,21,5,2.0,11,0.216,0.140893470790378,0,0,9,28,0,0,0,0,0,0,0,21.6,617.8
minio,cmd/iam-store.go,9e95703efc3747d652b6fe725e307045017af67f,1979,510,12978,104,76,10,1.75,16,0.2577059120768065,0.13769063180827887,10,2,48,38,0,0,46,55,14,4,56,4.903846153846154,117.91346153846153
minio,cmd/iam.go,4148754ce0e3e40814a56b3f8f3f8c8dceabc313,1727,462,11199,83,287,22,1.9397590361445782,33,0.267515923566879,0.17486860965121834,3,0,34,95,2,1,7,54,0,2,73,5.566265060240964,132.44578313253012
minio,internal/grid/connection.go,67bd71b7a5a05dbc185559635369aba21bd0b2d6,1380,325,8757,67,26,3,1.4477611940298507,26,0.23550724637681159,0.09511568123393316,4,0,11,33,5,8,17,23,0,4,43,4.850746268656716,125.88059701492537
minio,internal/grid/debugmsg_string.go,ae14681c3e39659f77a7eaad796155b7bd52a222,21,4,172,2,4,2,0.0,0,0.19047619047619047,0.125,0,0,0,0,0,0,0,0,0,0,0,2.0,69.0
minio,internal/grid/muxclient.go,51aa59a73766fc30cbdab0922e32c740d20bcb99,450,102,2743,20,1,1,1.45,9,0.22666666666666666,0.10714285714285714,2,0,4,7,3,3,14,1,0,0,17,5.1,133.15
minio,internal/grid/muxserver.go,51aa59a73766fc30cbdab0922e32c740d20bcb99,282,60,1709,15,1,1,1.0,7,0.2127659574468085,0.09032258064516129,1,0,4,0,5,4,8,2,0,0,7,4.0,109.86666666666666
minio,internal/event/target/redis.go,5e763b71dcc72c146e566a8e35fd55308b94c313,249,57,1407,12,24,11,0.8333333333333334,13,0.2289156626506024,0.12323943661971831,3,0,0,15,1,0,4,0,7,0,7,4.75,106.91666666666667
minio,cmd/admin-handlers.go,b882310e2b4672c267a941c11b3a2a520af7ec18,2271,494,14864,83,367,25,1.3614457831325302,39,0.2175253192426244,0.10801256873527101,9,1,64,109,6,6,50,8,29,0,0,5.951807228915663,175.7710843373494
minio,cmd/metacache-entries.go,808ecfe0f278ecb7d7c6b9b6932e5dfbb5633266,689,198,3891,34,42,3,0.9411764705882353,9,0.28737300435413643,0.16585956416464892,3,0,21,16,0,0,1,1,0,0,17,5.823529411764706,112.55882352941177
minio,cmd/admin-bucket-handlers.go,242d06274a4fa0a79c6dd468d1084b5680062e75,904,42,6664,4,40,7,2.25,25,0.046460176991150445,0.07849133537206932,0,0,6,108,0,0,8,0,0,0,0,10.5,353.5
minio,cmd/admin-handlers.go,086fbb745e668267e9d587f3993ee064fe3cc6f1,1241,251,7706,38,157,18,1.394736842105263,32,0.20225624496373892,0.13019390581717452,15,0,31,58,2,5,7,3,35,0,0,6.605263157894737,186.31578947368422
