project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
minio,cmd/storage-rest-client.go,ffd57fde900457b1e8df9d948757c84fdf5327da,667,145,4780,50,137,9,1.56,21,0.21739130434782608,0.10228802153432032,1,0,8,45,3,0,33,29,0,1,41,2.9,91.44
minio,cmd/auth-handler.go,8c70975283f9f4ce80f331a25c7475a36279e519,594,151,3761,30,152,22,2.3666666666666667,23,0.2542087542087542,0.15983026874115983,0,0,0,15,0,0,3,9,0,0,0,5.033333333333333,121.76666666666667
minio,cmd/object-handlers.go,8c70975283f9f4ce80f331a25c7475a36279e519,2759,634,21259,40,744,53,2.025,43,0.22979340340703153,0.11428571428571428,2,0,9,21,1,0,26,3,0,0,0,15.85,527.9
minio,cmd/object-multipart-handlers.go,8c70975283f9f4ce80f331a25c7475a36279e519,952,206,7323,11,58,9,1.3636363636363635,32,0.21638655462184875,0.1018867924528302,0,0,5,64,0,0,10,0,0,0,0,18.727272727272727,618.2727272727273
minio,cmd/streaming-v4-unsigned.go,8c70975283f9f4ce80f331a25c7475a36279e519,206,58,1149,5,2,2,1.0,6,0.2815533980582524,0.1659919028340081,1,0,6,14,0,0,0,0,0,0,3,11.6,223.0
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,395,82,2359,11,16,6,2.090909090909091,16,0.20759493670886076,0.1337719298245614,1,0,4,18,0,0,1,0,0,0,2,7.454545454545454,190.27272727272728
minio,cmd/object-handlers.go,437dd4e32a5262ab48579ffcbcdc296ac76c46c0,2766,635,21285,40,740,52,2.025,43,0.22957339117859726,0.11402946828955797,2,0,9,21,1,0,26,3,0,0,0,15.875,528.55
minio,cmd/bucket-replication.go,e029f8a9d75cbe68c54ba2e7e83de4bd289875de,3181,716,19715,105,271,18,1.819047619047619,36,0.2250864508016347,0.08143228414669362,7,1,70,94,21,14,37,39,0,1,32,6.819047619047619,184.52380952380952
minio,cmd/admin-handlers-users.go,f246c9053f9603e610d98439799bdd2a6b293427,2251,479,15533,37,183,17,1.972972972972973,23,0.21279431363838294,0.08903278025091056,0,0,25,160,0,0,8,1,0,0,0,12.945945945945946,417.81081081081084
minio,cmd/data-usage-cache.go,7472818d940356070e98098ba574a153e2448556,1122,156,6676,48,71,12,1.0208333333333333,20,0.13903743315508021,0.13090627420604184,21,1,44,28,0,1,10,4,0,0,39,3.25,79.6875
minio,cmd/admin-handlers-idp-ldap.go,f5d2fbc84c6311826b75335b92c24e5227853daa,501,108,3112,5,22,5,2.0,11,0.2155688622754491,0.14065180102915953,0,0,9,28,0,0,0,0,0,0,0,21.6,619.0
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,2136,559,14042,109,88,10,1.7431192660550459,18,0.26170411985018727,0.13064713064713065,10,2,57,41,0,0,46,55,14,4,58,5.128440366972477,122.22935779816514
