project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
nomad,client/allocrunner/taskrunner/vault_hook.go,72680531741bdfc40c584159a54aae7a87389c1a,352,57,2001,16,28,11,0.6875,18,0.16193181818181818,0.21252796420581654,3,1,4,16,1,1,4,2,0,0,13,3.5625,108.125
nomad,client/vaultclient/vaultclient.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,489,112,3106,29,45,13,1.0,14,0.22903885480572597,0.27340267459138184,5,1,2,14,1,4,11,2,0,0,22,3.8620689655172415,98.51724137931035
nomad,client/vaultclient/vaultclient_testing.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,146,32,1084,19,14,6,1.105263157894737,6,0.2191780821917808,0.1797752808988764,1,0,2,0,0,1,15,2,0,0,18,1.6842105263157894,51.73684210526316
nomad,client/allocrunner/cni/bridge.go,73ce56ba27055bb0c805ad1d25a701a73d28c22b,66,3,249,2,1,1,0.5,0,0.045454545454545456,0.14285714285714285,2,0,0,0,0,0,0,0,3,0,0,1.5,107.0
nomad,client/allocrunner/cni/plugins.go,73ce56ba27055bb0c805ad1d25a701a73d28c22b,41,0,119,0,1,1,0,0,0.0,0.21153846153846154,9,0,0,0,0,0,0,0,22,0,0,0,0
nomad,nomad/csi_endpoint.go,730c22656bc334ca239e0041c1ad50e944293056,1092,265,7333,34,47,4,2.0294117647058822,11,0.24267399267399267,0.09151414309484193,3,0,17,83,0,0,15,0,0,0,29,7.794117647058823,214.2058823529412
nomad,client/vaultclient/vaultclient.go,9da25adc548acaf0443ce4c9f084d053ae496ddc,428,98,2652,26,21,5,0.9615384615384616,10,0.22897196261682243,0.2866666666666667,4,1,1,13,1,4,6,0,0,0,21,3.769230769230769,93.73076923076923
nomad,client/rpc.go,6a6547b0b63b7415c3651a0b5da363e577d2bbb8,317,74,2133,19,34,9,0.8421052631578947,14,0.2334384858044164,0.18298969072164947,1,0,3,21,3,2,6,0,0,0,15,3.8947368421052633,108.05263157894737
nomad,drivers/docker/coordinator.go,98b295d61713be89a78f43b8263f2ef799b2363c,269,51,1821,20,18,5,1.9,8,0.1895910780669145,0.22028985507246376,3,1,2,7,3,1,9,1,0,0,15,2.55,82.85
nomad,drivers/docker/coordinator.go,a40a14064a045d7ed6d2dc675ef8c45998f70cf0,265,50,1822,19,26,9,2.263157894736842,8,0.18867924528301888,0.21597633136094674,3,1,2,7,3,1,9,1,0,0,15,2.6315789473684212,87.36842105263158
nomad,client/heartbeatstop.go,20cfbc82d39e944aa63a22f8170fb8062bc2adcf,126,27,702,9,9,5,1.2222222222222223,5,0.21428571428571427,0.09352517985611511,1,0,4,2,0,2,2,0,0,0,7,3.0,70.88888888888889
nomad,nomad/state/events.go,6318a8ac7bf8f7e3236017a2fe3e0f02263b8ad7,190,26,1056,2,16,2,1.5,2,0.1368421052631579,0.005235602094240838,0,0,1,0,0,0,0,0,0,0,0,13.0,430.0
nomad,client/allocrunner/taskrunner/dynamic_users_hook.go,67554b8f9144ee3c3116b4bdee248cb73b717cff,79,13,428,4,1,1,2.5,6,0.16455696202531644,0.21782178217821782,1,0,0,3,0,0,2,3,0,0,3,3.25,96.0
nomad,api/host_volumes.go,7c85176059bcdd36e42536dc7da43121456da6c8,139,15,701,6,3,1,1.6666666666666667,0,0.1079136690647482,0.28717948717948716,8,0,0,6,0,0,0,0,3,0,6,2.5,79.33333333333333
nomad,command/volume_create_host.go,298460dcd96e027a37cbbbe7734ff23e58d7e3ec,288,53,1885,8,2,1,2.75,11,0.1840277777777778,0.06493506493506493,0,0,5,5,1,0,1,0,0,0,4,6.625,233.0
nomad,nomad/state/state_store_host_volumes.go,d1352b285d24c15798b5c52c44cb05a3e7512537,187,51,1342,11,6,1,3.0,4,0.2727272727272727,0.11374407582938388,0,0,6,15,0,0,2,0,0,1,9,4.636363636363637,121.18181818181819
nomad,nomad/structs/host_volumes.go,75c142ff40e033c4da7db03fdea72e61c4394b53,111,9,410,6,1,1,0.16666666666666666,2,0.08108108108108109,0.2974683544303797,3,0,0,0,0,0,0,0,0,0,6,1.5,39.833333333333336
nomad,nomad/structs/csi.go,7d0f87b9106a8557896c6cc09576c846235495a5,1107,243,5135,49,58,7,0.7959183673469388,6,0.21951219512195122,0.1701649175412294,42,0,27,3,0,0,0,0,0,0,39,4.959183673469388,86.26530612244898
nomad,scheduler/rank.go,00924555a894736ecb3fa41c5ea419a5a92a8996,357,73,1966,33,1,1,0.8787878787878788,3,0.20448179271708683,0.15,8,1,9,3,0,0,0,0,0,0,25,2.212121212121212,54.484848484848484
nomad,nomad/structs/host_volumes.go,10a5f4861fc361514e4176b29775f3a7a88df7f4,251,32,1100,10,3,1,0.4,8,0.12749003984063745,0.1716171617161716,13,0,2,2,0,0,0,0,3,0,9,3.2,81.5
nomad,client/allocrunner/network_hook.go,756aa11654cedf47fb577ac2b81c23680d35ff73,84,17,460,5,10,2,1.4,5,0.20238095238095238,0.16,2,2,1,3,0,0,0,0,0,0,4,3.4,77.6
nomad,client/allocrunner/networking.go,35530a4837cd196365127828c35eb14769725cb5,32,4,246,4,4,1,3.0,4,0.125,0.23809523809523808,2,1,0,0,0,0,2,6,0,0,4,1.0,43.5
nomad,client/allocrunner/networking_bridge_linux.go,33ce12cda9e65037375e4f13de3377522172f100,128,22,559,8,14,3,2.25,6,0.171875,0.14666666666666667,1,0,1,7,0,0,0,2,0,0,4,2.75,64.0
nomad,client/allocrunner/networking_cni.go,756aa11654cedf47fb577ac2b81c23680d35ff73,182,42,1205,8,4,1,2.75,13,0.23076923076923078,0.08080808080808081,1,0,8,8,0,0,0,2,0,0,3,5.25,143.625
nomad,drivers/docker/util/stats_posix.go,f7b7b1cf3f64b46e85b33805eea569333f2b0a84,48,4,385,1,2,2,1.0,4,0.08333333333333333,0.09433962264150944,0,0,0,0,0,0,0,0,0,0,0,4.0,331.0
nomad,drivers/shared/executor/executor_linux.go,453227293141cb041a073df04b4d16cc1d33d05c,672,118,4145,32,151,19,1.34375,28,0.17559523809523808,0.10040160642570281,2,0,7,34,4,3,4,4,0,0,14,3.6875,123.03125
nomad,command/operator_debug.go,522b630825ec4e1bfecd0f6d49ffb27945247bde,1381,262,8971,67,34,10,1.4029850746268657,28,0.18971759594496743,0.10266666666666667,4,0,26,74,5,1,12,0,0,3,43,3.91044776119403,130.83582089552237
nomad,scheduler/generic_sched.go,fa70267787dbc4fc8e94a5b77e6db5a5cc3d03f3,620,149,4470,22,230,22,1.5454545454545454,11,0.2403225806451613,0.24757281553398058,2,0,18,24,0,0,1,0,0,0,12,6.7727272727272725,195.54545454545453
nomad,scheduler/reconcile.go,cf539c405e5e0821910fad9a8bb014bebdcd3e54,961,232,6908,39,1,1,2.923076923076923,8,0.24141519250780438,0.26416539050535986,3,0,34,1,0,0,0,0,0,1,32,5.948717948717949,171.02564102564102
nomad,scheduler/reconcile_util.go,5720266c91c5d4cb00b650ac59224b99e99042a8,397,112,2673,39,1,1,0.8717948717948718,5,0.28211586901763225,0.22156862745098038,4,1,26,1,0,0,0,0,0,3,6,2.871794871794872,61.17948717948718
nomad,client/rpc.go,ddee97ca2910e50b8a20291236c08cf8217fc284,66,12,414,5,1,1,0.8,6,0.18181818181818182,0.16455696202531644,1,0,1,4,0,0,0,0,0,0,4,2.4,78.8
nomad,api/api.go,7266d267b0801be2524b66a9c6cdf52459b8354a,871,191,5299,48,91,29,1.5416666666666667,19,0.21928817451205512,0.19944852941176472,10,0,7,39,0,0,5,2,0,0,33,3.9791666666666665,104.125
nomad,command/agent/command.go,54fc146432ad02781dbf632295510868837ebe3a,1387,238,7753,33,234,51,0.7575757575757576,33,0.17159336697909156,0.09141274238227147,1,0,14,48,4,3,2,0,0,0,17,7.212121212121212,231.9090909090909
nomad,drivers/java/driver.go,41d6635026b048f68256a4f7c6ee669ef0d616d8,425,75,2732,22,42,6,0.9545454545454546,21,0.17647058823529413,0.08798283261802575,3,0,1,15,4,2,1,5,0,0,19,3.409090909090909,107.31818181818181
nomad,api/acl.go,6a0c4f5a3d2c70b26bf118edec9ac2991bf23dac,748,128,4099,46,36,12,1.3478260869565217,4,0.1711229946524064,0.3125,32,0,0,41,0,0,0,0,3,0,46,2.782608695652174,75.34782608695652
nomad,command/acl_auth_method.go,6a0c4f5a3d2c70b26bf118edec9ac2991bf23dac,114,14,791,9,13,7,0.7777777777777778,4,0.12280701754385964,0.10526315789473684,1,0,1,0,0,0,0,0,0,0,4,1.5555555555555556,85.11111111111111
nomad,nomad/acl_endpoint.go,8e56805fea9024488918d0b48e1de6bbf00efd7e,2132,519,14275,61,114,20,1.9672131147540983,25,0.24343339587242027,0.21066271751203258,1,0,28,159,0,0,39,0,0,0,42,8.508196721311476,232.62295081967213
nomad,nomad/mock/acl.go,8e56805fea9024488918d0b48e1de6bbf00efd7e,315,43,1793,20,32,16,1.7,16,0.1365079365079365,0.08187134502923976,0,1,5,5,0,0,0,0,0,0,0,2.15,86.4
nomad,nomad/structs/acl.go,8e56805fea9024488918d0b48e1de6bbf00efd7e,1161,47,6736,12,40,10,1.0833333333333333,19,0.040482342807924204,0.3027027027027027,51,0,13,16,0,0,0,0,0,0,49,3.9166666666666665,82.0
nomad,nomad/host_volume_endpoint.go,d1352b285d24c15798b5c52c44cb05a3e7512537,497,109,3175,20,5,2,1.4,16,0.2193158953722334,0.0847145488029466,2,0,2,34,0,0,5,0,0,0,14,5.45,155.6
nomad,command/fmt.go,e4efedbbe46d7ad11a75826a77cc004d603e4e33,220,45,1189,12,1,1,0.5,14,0.20454545454545456,0.0,1,0,2,11,0,0,0,0,0,0,10,3.75,93.5
nomad,nomad/acl.go,cab35b3b1cf3a6084946487c600417d24c5de8a3,266,78,1632,9,15,6,1.5555555555555556,10,0.2932330827067669,0.21764705882352942,0,0,4,19,0,0,2,0,0,0,7,8.666666666666666,179.44444444444446
nomad,client/lib/cgroupslib/partition_linux.go,997da25cdb49c634749be97874955024492b9d43,82,12,586,6,6,4,0.3333333333333333,7,0.14634146341463414,0.1276595744680851,1,0,0,2,0,0,3,0,0,0,4,2.0,87.83333333333333
nomad,api/jobs.go,f551dcb83e3ac144c9dbb90583b6e82d234662e9,449,68,2474,32,52,6,1.71875,7,0.1514476614699332,0.11787819253438114,27,0,1,14,0,0,0,0,2,0,26,2.125,61.25
nomad,command/deployment_status.go,0edda116ade47a39d61bf12760027924cbab8e50,524,98,3180,19,28,9,1.5789473684210527,16,0.18702290076335878,0.0703971119133574,2,0,9,20,2,1,2,0,0,0,9,5.157894736842105,165.3684210526316
nomad,nomad/structs/structs.go,876e8168d333780a4cbac0fe71a14c5341d367bf,7791,1733,42449,448,1192,66,0.5089285714285714,40,0.22243614426902836,0.2135069654754694,261,3,201,0,0,0,1,0,0,0,45,3.8683035714285716,81.8125
nomad,nomad/structs/volumes.go,cfaf6a34329e864c9e84c39c9b2ea54c37bf368d,173,46,932,10,13,4,0.8,2,0.2658959537572254,0.022598870056497175,3,0,6,0,0,0,0,0,0,0,4,4.6,85.7
nomad,nomad/structs/structs.go,876e8168d333780a4cbac0fe71a14c5341d367bf,7791,1733,42449,448,1192,66,0.5089285714285714,40,0.22243614426902836,0.2135069654754694,261,3,201,0,0,0,1,0,0,0,45,3.8683035714285716,81.8125
nomad,nomad/structs/volumes.go,876e8168d333780a4cbac0fe71a14c5341d367bf,193,56,921,11,14,4,0.9090909090909091,2,0.29015544041450775,0.03015075376884422,3,0,6,0,0,0,0,0,0,0,4,5.090909090909091,77.0
nomad,nomad/structs/structs.go,876e8168d333780a4cbac0fe71a14c5341d367bf,7791,1733,42449,448,1192,66,0.5089285714285714,40,0.22243614426902836,0.2135069654754694,261,3,201,0,0,0,1,0,0,0,45,3.8683035714285716,81.8125
