project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
packer,hcl2template/types.build.hcp_packer_registry.go,dff49df12903a96597d46d6d3d4b46aa26e0aa03,67,7,402,1,10,4,2.0,4,0.1044776119402985,0.0945945945945946,1,0,0,0,0,0,0,0,0,0,1,7.0,362.0
packer,internal/hcp/registry/metadata/vcs.go,aa6c5f8405a5aa3e85d8a026cb1f335fba78921b,76,13,422,5,1,1,0.0,3,0.17105263157894737,0.0,1,1,1,7,0,0,0,0,0,0,4,2.6,76.0
packer,command/configtype_enumer.go,bac9c744474fa4da797fcb9037d53d5c81813000,34,9,198,4,1,1,0.25,1,0.2647058823529412,0.15,0,0,1,0,0,0,0,0,0,0,0,2.25,33.75
packer,packer/fixconfigmode_enumer.go,7e45a1e950aa5abb82778e3d90b2f88a5adc273f,35,9,211,4,1,1,0.25,1,0.2571428571428571,0.14634146341463414,0,0,1,0,0,0,0,0,0,0,0,2.25,33.75
packer,provisioner/powershell/executionpolicy_enumer.go,e96409954aefb69f267cca744a74b2d4d5be3057,39,9,263,4,1,1,0.25,1,0.23076923076923078,0.13333333333333333,0,0,1,0,0,0,0,0,0,0,0,2.25,33.75
packer,datasource/http/data.go,805225a1133e2f425bc11a77a7bbcf78d6a0e776,113,22,637,5,1,1,0.2,13,0.19469026548672566,0.13740458015267176,3,0,3,6,0,0,1,0,0,1,4,4.4,114.8
packer,packer/plugin_folders.go,f80ba2821b7881bd520778b3737747a987df2286,25,4,121,1,7,4,0.0,6,0.16,0.10714285714285714,0,0,0,1,0,0,0,0,0,0,0,4.0,110.0
packer,packer/build.go,595b45e67c83ac02f7c3810da6c80c28a95a4feb,322,60,1870,8,126,14,0.625,9,0.18633540372670807,0.17435897435897435,4,0,11,10,0,0,1,1,0,0,8,7.5,215.5
packer,packer/plugin.go,595b45e67c83ac02f7c3810da6c80c28a95a4feb,206,37,1164,7,40,10,0.5714285714285714,14,0.1796116504854369,0.1271186440677966,2,0,6,6,0,0,0,0,0,1,3,5.285714285714286,149.57142857142858
packer,version/version.go,cdaad0cde2170ece81273fb64523c8656749634c,32,3,116,3,171,12,0.0,4,0.09375,0.39622641509433965,0,0,0,0,0,0,0,0,0,0,0,1.0,25.333333333333332
packer,packer/plugin-getter/plugins.go,0502e09399bdce020f3d7f08f5ac970504d60185,561,107,3646,21,31,7,0.5714285714285714,21,0.19073083778966132,0.2109704641350211,9,1,12,10,0,0,3,0,3,0,7,5.095238095238095,164.38095238095238
