project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
packer,hcl2template/types.build.hcp_packer_registry.go,ac899c44c2652403810a08e75674691aa1a5c211,67,8,408,1,11,4,2.0,4,0.11940298507462686,0.1518987341772152,1,0,0,0,0,0,0,0,0,0,1,8.0,368.0
packer,internal/hcp/registry/metadata/vcs.go,69ec781ee2302a4cc8a439b1eb220c774c0d7cd5,77,13,419,5,2,2,0.0,3,0.16883116883116883,0.0,1,1,1,7,0,0,0,0,0,0,4,2.6,75.4
packer,command/configtype_enumer.go,4a7f5f38a663092968e72b77e0c02f31425e3422,55,12,329,6,3,3,0.16666666666666666,2,0.21818181818181817,0.12698412698412698,0,0,1,0,0,0,0,0,0,0,0,2.0,36.833333333333336
packer,packer/fixconfigmode_enumer.go,4a7f5f38a663092968e72b77e0c02f31425e3422,59,12,368,6,3,3,0.16666666666666666,2,0.2033898305084746,0.11940298507462686,0,0,1,0,0,0,0,0,0,0,0,2.0,38.5
packer,provisioner/powershell/executionpolicy_enumer.go,4a7f5f38a663092968e72b77e0c02f31425e3422,79,12,563,6,6,3,0.16666666666666666,2,0.1518987341772152,0.09195402298850575,0,0,1,0,0,0,0,0,0,0,0,2.0,46.833333333333336
packer,datasource/http/data.go,5d4323965454b68b5cca49b3cb60b1f5ab27caeb,113,23,643,5,6,5,0.2,13,0.20353982300884957,0.15037593984962405,3,0,3,6,0,0,1,0,0,1,4,4.6,116.0
packer,packer/plugin-getter/plugins.go,682968d0dfe5194e3ead6662b1428e1ca5b494cd,708,141,4530,32,51,7,0.6875,24,0.19915254237288135,0.20090293453724606,12,1,13,12,0,0,3,0,3,0,9,4.40625,134.5625
packer,packer/plugin_folders.go,97db9d82c4cb8b71a975e2a1c0e77878f2c962a8,26,4,132,1,8,4,0.0,6,0.15384615384615385,0.10344827586206896,0,0,0,1,0,0,0,0,0,0,0,4.0,108.0
packer,packer/build.go,403e35d2ffca3f78ef13b1e45a69570d9ba5b46b,322,60,1849,8,127,14,0.625,9,0.18633540372670807,0.17435897435897435,4,0,11,10,0,0,1,1,0,0,8,7.5,212.875
packer,packer/plugin.go,403e35d2ffca3f78ef13b1e45a69570d9ba5b46b,256,47,1538,17,41,10,1.1176470588235294,15,0.18359375,0.1048951048951049,3,0,6,6,0,0,2,0,0,1,13,2.764705882352941,82.17647058823529
packer,version/version.go,410e59f141fb6c0391bbba67d79bdd3631732814,32,3,119,3,172,12,0.0,4,0.09375,0.43859649122807015,0,0,0,0,0,0,0,0,0,0,0,1.0,26.333333333333332
packer,packer/plugin-getter/plugins.go,132e3d29b8759ef4a86a5409946a3c343543fdbb,606,116,3903,23,34,7,0.5652173913043478,21,0.19141914191419143,0.20680628272251309,10,1,12,10,0,0,3,0,3,0,7,5.043478260869565,160.65217391304347
packer,internal/hcp/registry/types.bucket.go,32f89015fef72926605cfdd5fe783cb0a20d75ca,521,101,2747,23,30,7,1.2608695652173914,16,0.19385796545105566,0.11394557823129252,3,0,6,27,3,2,1,9,0,1,18,4.391304347826087,115.52173913043478
packer,packer/plugin-getter/plugins.go,da97f46958d7bf51fd4d2f6427bc3d4f16edbbe5,504,95,3314,18,19,7,0.4444444444444444,16,0.1884920634920635,0.19745222929936307,9,1,14,6,0,0,3,0,3,0,7,5.277777777777778,174.05555555555554
packer,command/meta.go,ac076366331e0f999506ec80dade0d863d431556,273,23,1626,9,1,1,0.8888888888888888,15,0.08424908424908426,0.11935483870967742,1,0,25,5,1,0,0,0,0,0,11,2.5555555555555554,79.11111111111111
packer,hcl2template/utils.go,434a1637f85be46c1e6ee585d9d45be7531a5d8b,198,46,1195,8,14,5,1.625,10,0.23232323232323232,0.0660377358490566,0,0,12,5,0,0,0,0,0,1,0,5.75,140.5
packer,packer/telemetry.go,f8ebf69c0de67c0a297d2d5c64dd962989ad59fd,210,38,1110,12,22,5,1.1666666666666667,11,0.18095238095238095,0.03669724770642202,3,0,2,3,0,0,2,0,12,0,7,3.1666666666666665,80.75
packer,packer/plugin.go,848039dcdb2a150b0271e044407327e7ec8ec347,335,78,1992,14,28,9,0.5,13,0.23283582089552238,0.14540816326530612,1,0,14,21,0,0,0,0,0,1,6,5.571428571428571,136.42857142857142
packer,internal/hcp/api/client.go,60c66fdf9fa0f30986f5b857f4fc69f6a21834dc,157,29,839,5,9,4,0.2,14,0.18471337579617833,0.12290502793296089,1,0,1,9,0,0,0,0,0,0,3,5.8,159.0
packer,packer/plugin.go,4347e8cee80729e85fadca9b2dcc6fd564115ce9,396,95,2404,19,24,8,0.42105263157894735,13,0.2398989898989899,0.12389380530973451,1,0,18,25,0,0,0,0,0,1,7,5.0,123.47368421052632
packer,packer/plugin_folders.go,4347e8cee80729e85fadca9b2dcc6fd564115ce9,27,4,160,1,4,3,1.0,5,0.14814814814814814,0.1,0,0,0,2,0,0,0,0,0,1,0,4.0,150.0
packer,internal/hcp/api/client.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,119,21,653,5,7,4,0.6,12,0.17647058823529413,0.08461538461538462,1,0,2,7,0,0,0,0,0,0,2,4.2,122.2
packer,internal/hcp/env/env.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,44,15,182,9,8,3,0.1111111111111111,2,0.3409090909090909,0.08333333333333333,0,0,1,0,0,0,0,0,0,0,0,1.6666666666666667,19.555555555555557
packer,internal/hcp/env/variables.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,9,0,23,0,6,3,0,0,0.0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0
packer,packer/core.go,8f67444311625a22272148496506c4e0fd8b2e2c,674,119,3835,15,93,14,0.8,17,0.17655786350148367,0.14668367346938777,4,9,28,23,0,0,0,0,0,0,14,7.933333333333334,223.93333333333334
packer,command/hcl2_upgrade.go,095959ed6dc1f378ccf499e927da10845ed7808e,1106,219,6714,68,49,9,1.25,22,0.1980108499095841,0.06610169491525424,11,1,26,34,0,0,2,1,0,0,25,3.2205882352941178,92.1470588235294
packer,internal/hcp/registry/types.bucket.go,d880d1bca7a0acae9fbe001cd38658f565710aac,465,98,2625,23,24,5,1.2608695652173914,16,0.210752688172043,0.12098298676748583,2,0,6,26,3,2,1,9,0,1,18,4.260869565217392,110.6086956521739
packer,hcl2template/types.packer_config.go,4d559e23b7d3d8a8b9db3165a6b933b6647e818f,690,121,4250,19,88,10,1.4736842105263157,13,0.1753623188405797,0.09868421052631579,2,0,32,3,0,0,0,0,0,0,17,6.368421052631579,215.52631578947367
packer,hcl2template/types.build.go,9002ac263fe98f1972684244eda5ae44b2f231c3,178,26,1040,1,27,5,2.0,5,0.14606741573033707,0.14423076923076922,1,0,3,1,0,0,0,0,0,0,1,26.0,819.0
packer,packer/plugin-getter/plugins.go,9d9f6d3a9a3b8b75879b3438f96b3f10c2875b26,514,98,3427,20,11,5,0.5,17,0.19066147859922178,0.19937694704049844,9,1,14,6,0,0,3,0,3,0,8,4.9,162.3
packer,command/hcl2_upgrade.go,68ddb2f89d898a2a52e44dac02d82383fa440455,1070,211,6488,66,46,9,1.2575757575757576,22,0.197196261682243,0.061619718309859156,11,1,24,32,0,0,2,1,0,0,25,3.196969696969697,91.5
packer,command/hcl2_upgrade.go,296562614f3b23fdc7ec47e6de1aab6def3214e8,1070,210,6484,66,45,9,1.2575757575757576,22,0.19626168224299065,0.061619718309859156,11,1,24,32,0,0,2,1,0,0,25,3.1818181818181817,91.43939393939394
packer,command/build.go,a298617ecb0c11fd0c955158a70aac942f75a358,329,49,1957,10,172,27,0.7,15,0.14893617021276595,0.07909604519774012,1,0,6,10,1,0,3,1,0,0,7,4.9,193.2
packer,hcl2template/types.packer_config.go,a298617ecb0c11fd0c955158a70aac942f75a358,713,125,4357,19,82,10,1.4210526315789473,14,0.1753155680224404,0.09693877551020408,2,0,32,3,0,0,0,0,0,0,17,6.578947368421052,221.26315789473685
packer,hcl2template/types.build.go,6794c6053a7cdb8e845d3a4848f344eeea7bd453,205,35,1234,1,23,5,2.0,7,0.17073170731707318,0.16326530612244897,1,0,5,2,0,0,0,0,0,0,1,35.0,1010.0
packer,hcl2template/types.packer_config.go,2ad15617cc8d63825527522700ec6a98f458364a,711,125,4350,19,79,9,1.4210526315789473,14,0.17580872011251758,0.10292249047013977,2,0,31,3,0,0,0,0,0,0,17,6.578947368421052,220.89473684210526
packer,hcl2template/types.packer_config.go,e03ad29ca0fc6055b10e32830f2d3eaeaf6c2169,706,124,4318,19,80,9,1.4210526315789473,14,0.17563739376770537,0.0978120978120978,2,0,32,3,0,0,0,0,0,0,17,6.526315789473684,219.21052631578948
packer,hcl2template/types.variables.go,e03ad29ca0fc6055b10e32830f2d3eaeaf6c2169,579,86,3500,14,34,6,1.1428571428571428,11,0.14853195164075994,0.14349112426035504,4,0,12,5,0,0,0,0,0,0,7,6.142857142857143,232.78571428571428
packer,internal/registry/types.bucket.go,119a82529627de84dd81b3de4a9b27abe04c3ecb,289,60,1760,16,1,1,1.125,11,0.20761245674740483,0.14749262536873156,1,0,6,13,1,0,1,6,0,1,14,3.75,107.1875
packer,command/test_utils.go,0362a3ec10339db86107fea89e8d3a68c5403071,55,13,413,13,2,1,0.15384615384615385,14,0.23636363636363636,0.06779661016949153,0,0,0,0,0,0,0,0,0,0,0,1.0,30.615384615384617
packer,provisioner/powershell/provisioner.hcl2spec.go,0362a3ec10339db86107fea89e8d3a68c5403071,69,2,818,2,12,5,0.0,2,0.028985507246376812,0.11538461538461539,1,0,0,0,0,0,0,0,0,0,2,1.0,343.5
packer,provisioner/shell/provisioner.hcl2spec.go,0362a3ec10339db86107fea89e8d3a68c5403071,67,2,792,2,11,3,0.0,2,0.029850746268656716,0.11842105263157894,1,0,0,0,0,0,0,0,0,0,2,1.0,332.5
