project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
rclone,cmd/bisync/cmd.go,44637dcd7fe1b4328cc9e6d73966f556c8747562,203,12,1271,5,12,4,0.2,18,0.059113300492610835,0.06451612903225806,1,0,0,6,0,0,0,3,0,0,5,2.4,97.0
rclone,cmd/bisync/queue.go,4025f42bd9b6b755a828f59285c0e6321462b349,300,76,2013,14,13,2,2.857142857142857,15,0.25333333333333335,0.05063291139240506,1,0,7,9,0,0,1,6,0,0,7,5.428571428571429,136.28571428571428
rclone,cmd/bisync/deltas.go,978cbf9360bb2f894baa8e6922fc7c856c1125c5,357,69,2262,8,8,4,1.625,12,0.19327731092436976,0.08695652173913043,1,0,8,12,0,0,1,3,0,0,7,8.625,271.25
rclone,cmd/bisync/operations.go,978cbf9360bb2f894baa8e6922fc7c856c1125c5,444,105,2706,8,7,4,2.0,12,0.23648648648648649,0.10303030303030303,2,0,7,34,0,0,1,3,0,0,4,13.125,328.375
rclone,cmd/bisync/bilib/output.go,6210e22ab585eccdf27c12642d342056459e2e6e,17,1,80,1,1,1,1.0,3,0.058823529411764705,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,1.0,72.0
rclone,fs/cache/cache.go,8d5bc7f28b8459a0e04fdbfd2dca43c5d9ec4555,77,18,441,9,10,3,1.3333333333333333,3,0.23376623376623376,0.16304347826086957,0,0,0,2,0,0,0,0,0,0,0,2.0,45.666666666666664
rclone,backend/local/clone_darwin.go,87ec26001f399cd1fe728a98d78c1b6ec4f0d322,42,9,250,3,1,1,1.6666666666666667,4,0.21428571428571427,0.27586206896551724,0,0,0,3,0,0,1,1,0,0,1,3.0,76.66666666666667
rclone,backend/jottacloud/jottacloud.go,ae887ad042f83bf7c983b779a44e85f496ff8de6,1688,338,11278,95,110,20,1.4947368421052631,34,0.20023696682464456,0.1339835728952772,6,0,7,97,0,0,2,45,0,3,53,3.557894736842105,114.15789473684211
rclone,cmd/bisync/listing.go,978cbf9360bb2f894baa8e6922fc7c856c1125c5,497,138,3425,29,7,3,1.8620689655172413,17,0.2776659959758551,0.10126582278481013,2,0,10,20,0,0,1,4,0,0,17,4.758620689655173,115.3103448275862
rclone,backend/webdav/webdav.go,73beae147f4d2673fe61ae1085667e29062d4b23,1151,253,7252,76,90,20,1.5263157894736843,30,0.21980886185925283,0.17921146953405018,4,0,3,49,0,0,1,33,0,5,54,3.3289473684210527,90.30263157894737
rclone,backend/onedrive/metadata.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,772,172,5400,48,1,1,1.375,11,0.22279792746113988,0.11059907834101383,2,0,7,36,0,0,0,24,0,0,36,3.5833333333333335,101.375
rclone,backend/onedrive/onedrive.go,7f744033d8eae0fa916c3207e05cf56d7708fd09,942,191,5866,66,71,7,0.8787878787878788,24,0.20276008492569003,0.17004405286343613,5,0,5,52,0,0,3,0,6,3,45,2.893939393939394,83.39393939393939
rclone,fs/log.go,1473de3f040af01c0d554cc6f6490c826bbbf3fa,142,36,848,14,24,10,1.0714285714285714,6,0.2535211267605634,0.24867724867724866,2,0,1,1,0,0,0,0,0,6,0,2.5714285714285716,56.5
rclone,cmd/bisync/resolve.go,68f09986999824d247d084f3aed81ec957cd0a93,379,99,3048,16,1,1,3.5,11,0.2612137203166227,0.08674698795180723,4,0,3,8,0,0,0,7,0,0,10,6.1875,183.5
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,456,90,2948,46,1,1,1.5434782608695652,18,0.19736842105263158,0.1929203539823009,6,0,4,8,0,0,4,18,0,4,41,1.9565217391304348,53.891304347826086
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,456,90,2948,46,1,1,1.5434782608695652,18,0.19736842105263158,0.1929203539823009,6,0,4,8,0,0,4,18,0,4,41,1.9565217391304348,53.891304347826086
rclone,backend/memory/memory.go,c789436580bc6729e2d95c2f32c5a272e69b4835,456,90,2948,46,1,1,1.5434782608695652,18,0.19736842105263158,0.1929203539823009,6,0,4,8,0,0,4,18,0,4,41,1.9565217391304348,53.891304347826086
rclone,fs/operations/operations.go,b5f1bebc5267f88c231408cc47ccf27ddee1c7b9,1669,162,11537,42,255,41,1.5,30,0.09706411024565609,0.17212301587301587,7,0,16,76,3,2,18,54,0,1,26,3.857142857142857,98.02380952380952
rclone,backend/combine/combine.go,0297542f6bce63736bc03b7165b0657c79957aba,859,214,5409,59,16,5,1.4915254237288136,16,0.24912689173457508,0.16812439261418854,5,0,23,40,1,1,1,28,0,5,45,3.6271186440677967,83.7457627118644
rclone,fs/dir_wrapper.go,e1032f693f59b1ed9eae0969b4b3b5e64ac57590,51,10,269,7,1,1,1.1428571428571428,2,0.19607843137254902,0.2608695652173913,1,0,0,0,0,0,0,3,0,0,6,1.4285714285714286,31.571428571428573
rclone,cmd/cmount/mount.go,92187a3b333215fd8c7035bb4bab6c8f15294866,192,49,1134,10,72,7,1.0,12,0.2552083333333333,0.14285714285714285,0,0,4,3,1,1,1,0,0,0,0,4.9,112.2
rclone,fs/operations/check.go,9933d6c07135926d904ccc3aec10c21e356a9cdc,504,27,3429,9,16,5,0.8888888888888888,19,0.05357142857142857,0.10320284697508897,2,0,3,18,2,2,7,13,0,0,9,3.0,100.33333333333333
rclone,vfs/dir.go,1c4e33d4adc4be6452f7464cad94699e0023d3d4,509,51,3163,22,57,8,0.8636363636363636,13,0.10019646365422397,0.16693944353518822,1,0,7,22,0,0,7,0,0,0,42,2.3181818181818183,55.68181818181818
rclone,cmd/nfsmount/nfsmount.go,1ebbc74f1d62457aea660b9e4378cc085c0dd25e,83,12,521,4,2,2,0.75,11,0.14457831325301204,0.08791208791208792,0,0,1,3,1,1,0,0,0,0,0,3.0,125.25
rclone,cmd/bisync/cmd.go,6210e22ab585eccdf27c12642d342056459e2e6e,184,12,1102,5,1,1,0.2,18,0.06521739130434782,0.06598984771573604,1,0,0,6,0,0,0,3,0,0,5,2.4,73.6
rclone,backend/hasher/hasher.go,f102ef216103636b44a8445fa1ead7a270e2029f,396,84,3024,39,1,1,0.8461538461538461,16,0.21212121212121213,0.12,3,0,2,12,0,0,0,19,0,2,36,2.1538461538461537,64.92307692307692
rclone,lib/kv/bolt.go,50df8cec9ca00996a7a79369894cfc99c9867e35,256,54,1535,18,1,1,1.1666666666666667,11,0.2109375,0.07581227436823104,4,0,3,9,1,1,1,5,0,0,11,3.0,76.88888888888889
rclone,backend/box/box.go,0374ea2c795be1e99caa8fb310897ceaed59966a,1081,213,7250,83,136,20,1.5180722891566265,35,0.19703977798334876,0.15875486381322956,4,0,2,16,1,0,2,0,0,6,1,2.566265060240964,82.57831325301204
rclone,fs/accounting/stats.go,70c6b01f54f270964e7d563d86b1e0c3295fed10,399,69,2241,32,22,9,0.78125,9,0.17293233082706766,0.11409395973154363,1,0,2,4,0,0,19,1,0,0,27,2.15625,67.65625
rclone,backend/smb/connpool.go,2aa264b33cb098f37eaeea43a87feec36b391ad0,186,41,1085,12,1,1,0.8333333333333334,10,0.22043010752688172,0.11004784688995216,1,0,2,10,0,0,1,4,0,0,11,3.4166666666666665,87.33333333333333
rclone,backend/seafile/seafile.go,94dbfa4ea660b92712036fea1ee4f5b52102ed9b,1009,232,6245,49,17,6,2.183673469387755,27,0.22993062438057482,0.15776293823038398,2,0,11,81,0,0,8,36,0,2,44,4.73469387755102,121.14285714285714
rclone,backend/local/local.go,e43b5ce5e59b5717a9819ff81805dd431f710c10,1035,162,5841,41,174,25,1.2682926829268293,25,0.1565217391304348,0.16939443535188217,5,0,6,70,0,0,4,18,0,4,41,3.951219512195122,103.6829268292683
rclone,backend/smb/smb.go,2aa264b33cb098f37eaeea43a87feec36b391ad0,613,89,3946,33,1,1,1.4848484848484849,18,0.14518760195758565,0.10932944606413994,4,0,3,34,0,0,6,19,0,4,37,2.696969696969697,84.54545454545455
rclone,backend/jottacloud/jottacloud.go,9f40cb114a2c751c5821205c25fb373cc6dee1a8,1521,306,10209,92,96,16,1.4891304347826086,35,0.20118343195266272,0.1392978482446206,6,0,7,89,0,0,2,43,0,3,50,3.3260869565217392,106.79347826086956
rclone,backend/sftp/sftp.go,b4091f282aeeeeb96195cdd4e52b64ac738cdb15,1501,266,9030,71,129,29,1.323943661971831,29,0.17721518987341772,0.11933174224343675,6,0,9,88,3,3,8,28,0,5,59,3.7464788732394365,113.94366197183099
rclone,backend/jottacloud/jottacloud.go,6f4b86e5694048be89639cc5ae9f6fc0aef7f342,1031,190,6743,71,29,7,0.7887323943661971,32,0.1842870999030068,0.1685483870967742,3,0,7,55,0,0,1,21,0,3,44,2.676056338028169,83.04225352112677
rclone,cmd/ncdu/ncdu.go,4a5cbf2a19ebf0489bbc6654f7e0972cffa23440,714,177,4133,36,24,10,1.3888888888888888,15,0.24789915966386555,0.08051948051948052,3,0,19,4,1,0,1,0,0,2,2,4.916666666666667,109.83333333333333
rclone,backend/jottacloud/jottacloud.go,c41814fd2d25edb083e0f510ace169e3e7ac7c58,1419,280,9546,89,82,15,1.404494382022472,35,0.19732205778717407,0.13694461351186854,6,0,4,82,0,0,2,40,0,3,49,3.146067415730337,102.97752808988764
rclone,cmd/ncdu/ncdu.go,5601652d653e4431eb7b2fd77d475c3079992f08,704,173,4072,36,23,9,1.3888888888888888,15,0.24573863636363635,0.08157894736842106,3,0,19,4,1,0,1,0,0,2,2,4.805555555555555,108.13888888888889
rclone,cmd/ncdu/scan/scan.go,87c201c92a5b3caf0a7c9711a2b1fc3423f478e9,174,31,1098,13,11,5,1.0769230769230769,6,0.1781609195402299,0.16346153846153846,1,0,3,1,1,3,4,1,0,0,9,2.3846153846153846,77.15384615384616
rclone,fs/config/ui.go,6a9ae3201232f5761fc7603ceb158c29637b2454,586,146,3035,31,1,1,1.3548387096774193,18,0.24914675767918087,0.09147286821705426,0,0,25,10,0,0,0,6,0,0,0,4.709677419354839,89.35483870967742
rclone,vfs/vfscache/cache.go,3a2f748aebfe4763c375de45ff18584e8c7a886b,585,136,3865,43,26,6,1.5348837209302326,22,0.23247863247863249,0.21073825503355706,1,0,16,30,1,1,8,5,0,0,31,3.1627906976744184,87.09302325581395
