project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
rclone,backend/chunker/chunker.go,e469c8974c3596c4ddf844868919be52aead99ef,1865,109,11698,16,45,7,1.875,27,0.05844504021447721,0.21923561528769425,7,0,17,80,0,0,1,43,6,5,83,6.8125,182.125
rclone,backend/http/http.go,44e83d77d754aef3b4408edf62f5943d1c979a8c,614,129,3536,46,62,12,1.3695652173913044,18,0.21009771986970685,0.1430615164520744,3,0,8,28,1,1,2,20,0,4,32,2.8043478260869565,71.6304347826087
rclone,cmd/bisync/cmd.go,f4c058e13e3b0af3bed5c4e6db39599e5e440694,231,12,1603,5,22,4,0.2,18,0.05194805194805195,0.076,1,0,0,6,0,0,0,3,0,0,5,2.4,157.0
rclone,cmd/bisync/queue.go,f4c058e13e3b0af3bed5c4e6db39599e5e440694,334,88,2297,15,17,2,2.7333333333333334,15,0.2634730538922156,0.045714285714285714,1,0,8,10,0,0,1,6,0,0,7,5.866666666666666,146.4
rclone,cmd/bisync/deltas.go,3b49fd24d4e9eebe04e676c680a49056714c5ace,522,140,3758,13,20,5,1.4615384615384615,11,0.2681992337164751,0.07936507936507936,1,0,12,10,0,0,0,3,0,0,7,10.76923076923077,280.0769230769231
rclone,cmd/bisync/operations.go,3b49fd24d4e9eebe04e676c680a49056714c5ace,556,140,3783,18,32,4,1.5,16,0.2517985611510791,0.06867671691792294,2,0,5,33,0,0,2,4,0,0,10,7.777777777777778,203.5
rclone,cmd/bisync/bilib/output.go,abe884e74473e8a60beacc7b013ca6db899adcb9,17,1,78,1,3,3,1.0,3,0.058823529411764705,0.10526315789473684,0,0,0,0,0,0,0,0,0,0,0,1.0,70.0
rclone,fs/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,212,53,1211,26,23,6,1.0384615384615385,7,0.25,0.18773946360153257,0,0,2,6,0,0,1,3,0,0,0,2.0384615384615383,44.30769230769231
rclone,lib/cache/cache.go,9b4b3033da25ec41aabb35b858a765dd734a5f09,208,44,1281,21,10,5,0.8095238095238095,3,0.21153846153846154,0.18110236220472442,2,0,4,1,0,0,4,0,0,0,19,2.0952380952380953,57.23809523809524
rclone,backend/local/clone_darwin.go,462a1cf491e5c6bdab4e35891dc59af7d7c28a4c,63,16,362,3,4,1,1.6666666666666667,6,0.25396825396825395,0.2222222222222222,0,0,0,6,0,0,1,1,0,0,1,5.333333333333333,113.33333333333333
rclone,backend/jottacloud/jottacloud.go,9a02c040284d30ccf90b1257680e0b5117e10d0f,1688,338,11278,95,111,20,1.4947368421052631,34,0.20023696682464456,0.1339835728952772,6,0,7,97,0,0,2,45,0,3,53,3.557894736842105,114.15789473684211
rclone,cmd/bisync/listing.go,956c2963fd1d7352e58913b4bb6282310c1c5f1e,715,206,5485,42,19,3,1.5476190476190477,18,0.2881118881118881,0.07860824742268041,2,0,19,17,0,0,1,3,0,1,30,4.904761904761905,126.71428571428571
rclone,backend/s3/s3.go,8470bdf8104e3e040172de8e725f09464d736911,5715,588,28338,137,398,112,1.489051094890511,56,0.10288713910761155,0.0870983526341543,11,1,26,3,1,0,7,63,0,9,88,4.291970802919708,164.86131386861314
rclone,fs/operations/operations.go,5323a2189852b29e67dd1ff9cb726518e4612f59,2060,558,14338,153,377,68,2.2549019607843137,37,0.270873786407767,0.16666666666666666,7,0,24,92,4,3,18,65,0,1,18,3.6470588235294117,90.70588235294117
