project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
terraform,internal/terraform/upgrade_resource_state.go,b2b42c0fb42e1d86e5f54a750b4489e92b1625ed,212,41,1289,5,22,6,2.4,10,0.19339622641509435,0.24822695035460993,0,0,5,6,0,0,0,0,0,0,0,8.2,254.4
terraform,internal/terraform/eval_import.go,6917e69d12cd2cae11a789b233f63e9768a5adb0,196,32,1310,7,16,7,2.4285714285714284,9,0.16326530612244897,0.15879828326180256,0,0,1,0,0,0,0,0,0,0,0,4.571428571428571,183.71428571428572
terraform,internal/terraform/node_resource_plan_instance.go,6917e69d12cd2cae11a789b233f63e9768a5adb0,614,70,3957,7,151,16,1.1428571428571428,19,0.11400651465798045,0.2699167657550535,1,0,6,20,0,0,0,0,0,0,7,10.0,247.57142857142858
terraform,internal/command/views/hook_ui.go,bc084858b12d07e98c8bdda83ce016965a6fc501,312,62,1898,16,63,12,2.1875,14,0.1987179487179487,0.07142857142857142,2,0,3,1,1,2,2,0,0,0,12,3.875,111.4375
terraform,internal/command/views/json/diagnostic.go,1bd312f15566c7f25510d63b68857b82d194bb29,313,60,1755,4,21,9,2.0,11,0.19169329073482427,0.30598669623059865,7,0,4,3,0,0,0,0,28,0,0,15.0,400.25
terraform,internal/genconfig/generate_config.go,ba043a04d5e34ab670dd0254dafb12d30b2ce99d,497,108,3945,14,5,4,3.7142857142857144,11,0.21730382293762576,0.10611510791366907,0,0,17,5,0,0,0,0,0,0,0,7.714285714285714,280.57142857142856
terraform,internal/lang/checks.go,a2ca1208a49e05b4f1c5e56619f768e2a9d4a364,59,6,313,1,1,1,2.0,7,0.1016949152542373,0.15942028985507245,0,0,0,1,0,0,0,0,0,0,0,6.0,301.0
terraform,internal/moduletest/eval_context.go,0f845adfdb0563c3e1cf0342402260f8ce36af5d,234,27,1800,14,1,1,2.142857142857143,12,0.11538461538461539,0.1875,2,0,4,1,0,0,0,0,0,0,14,1.9285714285714286,111.35714285714286
terraform,internal/terraform/eval_conditions.go,a2ca1208a49e05b4f1c5e56619f768e2a9d4a364,149,19,1015,3,16,5,5.0,11,0.12751677852348994,0.1813186813186813,1,0,1,2,0,0,0,0,0,0,0,6.333333333333333,309.3333333333333
terraform,internal/terraform/context_plan.go,884e1fb2a4b870185179b98b3368300eb89946fd,657,123,4268,20,62,7,2.45,18,0.1872146118721461,0.32020725388601035,1,0,15,4,0,0,1,0,0,0,17,6.15,208.85
