project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
traefik,pkg/provider/kv/redis/redis.go,3dfaa3d5fa3d18d3db2a9e2b538237460bc409d9,66,15,371,2,10,6,0.0,7,0.22727272727272727,0.05714285714285714,2,0,0,1,0,0,0,0,12,0,2,7.5,146.0
traefik,pkg/server/server_entrypoint_tcp.go,8c56d1a3388bb1ce52e3fd6a76ecedde8e78de8b,457,92,2847,32,30,13,1.0625,27,0.2013129102844639,0.065439672801636,7,2,7,28,8,2,8,8,0,0,12,2.875,79.65625
traefik,pkg/muxer/http/matcher.go,4d86668af3bdee54da63664f45615eb2397ddd78,193,51,1343,23,1,1,1.9565217391304348,10,0.26424870466321243,0.02030456852791878,0,0,1,5,0,0,0,0,0,12,0,2.217391304347826,52.82608695652174
traefik,pkg/muxer/http/matcher_v2.go,fc897f6756a3a6ae9e3acd604a71ae4f4a675245,186,52,1163,18,2,2,1.5,7,0.27956989247311825,0.015873015873015872,0,0,9,8,0,0,0,0,0,9,0,2.888888888888889,61.22222222222222
traefik,pkg/server/server_entrypoint_tcp.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,681,140,4452,47,55,21,1.1914893617021276,31,0.2055800293685756,0.09320905459387484,8,2,9,31,8,2,8,8,0,0,12,2.978723404255319,79.76595744680851
traefik,pkg/middlewares/ratelimiter/rate_limiter.go,550d96ea6702907d99707e076be42bc3d1166e9d,144,27,939,4,20,11,2.25,13,0.1875,0.1,1,1,0,6,0,0,0,3,0,0,3,6.75,214.75
traefik,pkg/server/server_entrypoint_tcp.go,e62fe64ec931e06942f85f384b0d475cf44fe18c,482,98,3030,34,37,15,1.088235294117647,28,0.2033195020746888,0.06589147286821706,7,2,7,29,8,2,8,8,0,0,12,2.8823529411764706,80.3529411764706
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,bed6069e8250e481e54def15d4d2c91e955f91d9,582,152,4035,23,223,61,1.9130434782608696,24,0.2611683848797251,0.04276315789473684,2,0,15,21,0,1,0,5,13,0,9,6.608695652173913,170.91304347826087
traefik,pkg/server/service/loadbalancer/p2c/p2c.go,9e029a84c4c5ea18a170cf09f218b6d17499983e,159,34,1062,7,1,1,1.8571428571428572,10,0.2138364779874214,0.16753926701570682,2,1,2,5,0,0,2,1,0,0,6,4.857142857142857,138.14285714285714
traefik,pkg/provider/docker/config.go,514914639aeb2d493062126950192bb9bff82799,322,85,2320,13,68,17,2.5384615384615383,14,0.2639751552795031,0.006172839506172839,1,0,7,15,0,0,0,10,0,0,12,6.538461538461538,176.0
traefik,pkg/provider/kubernetes/crd/kubernetes_http.go,3b85dc9618bf92b8933b0ea6a5f57ac155a23eec,359,83,2431,13,15,8,2.8461538461538463,10,0.23119777158774374,0.042666666666666665,1,0,8,15,0,0,0,7,0,0,1,6.384615384615385,184.3846153846154
traefik,pkg/provider/kubernetes/crd/kubernetes_tcp.go,3b85dc9618bf92b8933b0ea6a5f57ac155a23eec,189,44,1249,4,6,4,3.25,9,0.2328042328042328,0.015625,0,0,6,8,0,0,0,2,0,0,1,11.0,308.5
traefik,pkg/provider/kubernetes/crd/kubernetes_udp.go,665aeb34b25afea89321bd8311a978089942df3a,130,28,823,3,1,1,2.6666666666666665,7,0.2153846153846154,0.015151515151515152,0,0,7,3,0,0,0,1,0,0,1,9.333333333333334,270.0
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,6b7be462b84132c561ba1d2ef5b8a1a16ff2cc62,469,119,3141,19,175,45,1.9473684210526316,22,0.2537313432835821,0.05060728744939271,2,0,12,17,1,2,1,4,12,0,5,6.2631578947368425,160.57894736842104
traefik,pkg/middlewares/accesslog/logger.go,4ce4bd71216e2b287c13bbfcf198056be486bb5d,335,74,2221,20,51,24,1.1,23,0.2208955223880597,0.05099150141643059,3,0,5,8,1,1,5,1,0,0,6,3.7,106.0
traefik,pkg/config/static/entrypoints.go,e62fe64ec931e06942f85f384b0d475cf44fe18c,101,10,467,7,29,14,0.0,5,0.09900990099009901,0.1721311475409836,11,0,0,0,0,0,0,0,29,0,5,1.4285714285714286,40.42857142857143
traefik,pkg/server/server_entrypoint_tcp.go,12e50e20e6f7aec7c867ff21580b2a5b2321c630,493,101,3118,36,38,16,1.1111111111111112,28,0.20486815415821502,0.07156308851224105,7,2,7,29,8,2,8,8,0,0,12,2.8055555555555554,78.36111111111111
