project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
traefik,pkg/provider/kv/redis/redis.go,ae79d4e5f00fcd639ba11715f02963828217cf40,66,15,371,2,1,1,0.0,7,0.22727272727272727,0.05714285714285714,2,0,0,1,0,0,0,0,12,0,2,7.5,146.0
traefik,internal/gendoc.go,bfcef58a4f701166146aa37a1132707486c3b69f,337,73,2181,12,1,1,1.4166666666666667,21,0.2166172106824926,0.014619883040935672,3,0,13,31,0,0,5,0,0,1,1,6.083333333333333,176.66666666666666
traefik,pkg/server/server_entrypoint_tcp.go,cd16321dd9c25bb47a2e9417b2a4a75959be63d0,673,136,4390,46,57,21,1.2173913043478262,29,0.20208023774145617,0.09176788124156546,8,2,9,30,8,2,8,8,0,0,12,2.9565217391304346,80.17391304347827
traefik,pkg/muxer/http/matcher.go,859f4e886860442207d7ebc3b047d0bad44ba461,211,60,1332,26,7,6,1.5384615384615385,9,0.2843601895734597,0.014018691588785047,0,0,3,6,0,0,0,0,0,12,0,2.3076923076923075,47.0
traefik,pkg/muxer/http/matcher_v2.go,859f4e886860442207d7ebc3b047d0bad44ba461,186,52,1159,18,4,4,1.5,7,0.27956989247311825,0.015873015873015872,0,0,9,8,0,0,0,0,0,9,0,2.888888888888889,61.666666666666664
traefik,pkg/muxer/http/mux.go,859f4e886860442207d7ebc3b047d0bad44ba461,207,40,1225,14,55,24,1.4285714285714286,10,0.1932367149758454,0.15853658536585366,3,0,4,8,0,0,0,0,0,0,5,2.857142857142857,75.0
traefik,pkg/server/server_entrypoint_tcp.go,859f4e886860442207d7ebc3b047d0bad44ba461,654,138,4459,46,56,21,1.2826086956521738,34,0.21100917431192662,0.08531468531468532,8,2,8,31,8,2,8,8,0,0,13,3.0,83.84782608695652
traefik,pkg/middlewares/ratelimiter/rate_limiter.go,ab3234e458c306a8a1c68f885b578a805e039daf,145,27,953,4,21,12,2.25,13,0.18620689655172415,0.12121212121212122,1,1,0,6,0,0,0,3,0,0,3,6.75,218.25
traefik,pkg/muxer/http/mux.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,263,65,1605,20,53,24,1.75,10,0.24714828897338403,0.03308823529411765,1,0,9,16,0,0,0,0,0,10,1,3.25,69.4
traefik,pkg/server/server_entrypoint_tcp.go,08d5dfee0164aa54dd44a467870042e18e8d3f00,681,140,4452,47,55,21,1.1914893617021276,31,0.2055800293685756,0.09320905459387484,8,2,9,31,8,2,8,8,0,0,12,2.978723404255319,79.76595744680851
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,b669981018476eb75666d201254a3a0bb868913f,582,151,4053,24,244,70,1.875,25,0.25945017182130586,0.04276315789473684,2,0,14,21,0,1,0,5,13,0,9,6.291666666666667,164.54166666666666
traefik,pkg/provider/kubernetes/crd/traefikio/v1alpha1/serverstransport.go,76153acac6cb91848a0c00e7f9e0bd4c7287fe82,39,0,136,0,21,13,0,3,0.0,0.5760869565217391,5,0,0,0,0,0,0,0,14,0,0,0,0
traefik,pkg/server/service/loadbalancer/p2c/p2c.go,3deea566ac303f3020225b016b2179d709a8e011,162,34,1080,7,2,2,1.8571428571428572,10,0.20987654320987653,0.16494845360824742,2,1,2,5,0,0,2,1,0,0,6,4.857142857142857,140.14285714285714
traefik,pkg/provider/docker/config.go,79fde2b6dd681511a07823ccc41f5273870832fe,332,90,2371,13,70,19,2.5384615384615383,14,0.2710843373493976,0.005988023952095809,1,0,7,15,0,0,0,10,0,0,12,6.923076923076923,179.92307692307693
traefik,pkg/provider/kubernetes/crd/traefikio/v1alpha1/ingressroute.go,3ee316c5bbe84a63ba573d4303fb8bad71c5a368,85,0,278,0,46,17,0,4,0.0,0.5933014354066986,12,0,0,0,0,0,0,0,54,0,0,0,0
traefik,pkg/provider/kubernetes/crd/kubernetes_http.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,359,82,2438,13,20,10,2.8461538461538463,12,0.22841225626740946,0.042666666666666665,1,0,8,14,0,0,0,7,0,0,1,6.3076923076923075,184.76923076923077
traefik,pkg/provider/kubernetes/crd/kubernetes_tcp.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,187,43,1237,4,10,7,3.25,11,0.22994652406417113,0.015789473684210527,0,0,6,7,0,0,0,2,0,0,1,10.75,305.0
traefik,pkg/provider/kubernetes/crd/kubernetes_udp.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,133,28,840,3,4,3,2.6666666666666665,9,0.21052631578947367,0.014814814814814815,0,0,7,3,0,0,0,1,0,0,1,9.333333333333334,275.0
traefik,pkg/provider/kubernetes/ingress/kubernetes.go,7403b6fb82582e96cdd0a2e57451bfcd10eabb8c,482,126,3277,19,195,50,1.9473684210526316,23,0.26141078838174275,0.04930966469428008,2,0,12,17,0,1,0,4,12,0,6,6.631578947368421,167.42105263157896
traefik,pkg/middlewares/accesslog/logger.go,87b57406ffa87021e2d3253ecbe8ec8a5779554c,338,76,2232,20,53,24,1.1,23,0.22485207100591717,0.05056179775280899,3,0,5,8,1,1,5,1,0,0,6,3.8,106.55
traefik,pkg/provider/kubernetes/crd/kubernetes.go,77a0cef9ce17f994142e4fee062a05f0d5aa780a,620,136,4118,28,189,48,2.2142857142857144,22,0.21935483870967742,0.02821316614420063,1,0,14,29,0,1,0,6,8,0,4,4.857142857142857,144.25
traefik,pkg/config/static/entrypoints.go,dd5cb68cb1aeda490adefdbb5bb8887aef9cc699,111,11,516,8,39,17,0.0,5,0.0990990990990991,0.16541353383458646,11,0,0,0,0,0,0,0,34,0,8,1.375,39.0
traefik,pkg/server/server_entrypoint_tcp.go,dd5cb68cb1aeda490adefdbb5bb8887aef9cc699,570,125,3647,43,54,21,1.1627906976744187,30,0.21929824561403508,0.07467532467532467,8,2,7,30,8,2,8,8,0,0,12,2.9069767441860463,76.81395348837209
traefik,pkg/provider/kubernetes/crd/traefikio/v1alpha1/ingressroute.go,2d617b3a655fcd7729423d813a4a22750f20e67e,85,0,278,0,45,17,0,4,0.0,0.5933014354066986,12,0,0,0,0,0,0,0,54,0,0,0,0
traefik,pkg/middlewares/headers/header.go,545f2feacc37acd5985247a9965064639ae82e5f,143,39,874,6,24,12,1.5,9,0.2727272727272727,0.11728395061728394,1,0,5,1,0,0,0,0,0,0,5,6.5,139.16666666666666
traefik,pkg/middlewares/accesslog/logger.go,f794f8a29491b8467868811a3142a48e8f0a3854,317,69,2019,20,52,24,1.05,20,0.21766561514195584,0.05373134328358209,3,0,5,7,1,1,5,0,0,0,6,3.45,96.25
traefik,pkg/middlewares/passtlsclientcert/pass_tls_client_cert.go,f794f8a29491b8467868811a3142a48e8f0a3854,287,64,1729,15,23,10,2.066666666666667,14,0.2229965156794425,0.07119741100323625,4,0,7,1,0,0,0,8,0,0,3,4.266666666666667,106.4
traefik,pkg/provider/docker/docker.go,f794f8a29491b8467868811a3142a48e8f0a3854,503,99,2983,17,1,1,1.7058823529411764,30,0.19681908548707752,0.03824091778202677,4,0,10,24,0,1,3,6,12,0,8,5.823529411764706,165.0
traefik,pkg/provider/kubernetes/crd/kubernetes_http.go,f794f8a29491b8467868811a3142a48e8f0a3854,426,103,2979,15,58,28,2.8,13,0.24178403755868544,0.051224944320712694,1,0,8,18,0,0,0,8,0,0,2,6.866666666666666,195.66666666666666
traefik,pkg/udp/conn.go,f794f8a29491b8467868811a3142a48e8f0a3854,212,41,1232,15,9,8,0.5333333333333333,5,0.19339622641509435,0.1553784860557769,2,0,4,3,2,5,4,0,0,0,13,2.7333333333333334,74.6
traefik,pkg/provider/kubernetes/crd/traefikio/v1alpha1/middleware.go,bb8dfa568a8b7f738366bdbf0a3b08382a9edd2d,125,0,472,0,46,25,0,4,0.0,0.5874587458745875,15,0,0,0,0,0,0,0,35,0,0,0,0
traefik,pkg/muxer/tcp/mux.go,ddb32ef86fbbfe85dfe1a4fb4b5bedf3261b5b97,338,85,1928,23,16,8,1.2608695652173914,16,0.2514792899408284,0.1571072319201995,4,0,10,14,0,0,0,0,0,4,4,3.6956521739130435,75.8695652173913
