project,file_path,sha,nloc,complexity,token_count,method_count,commit_count,authors_count,avg_method_param_count,import_count,cyclo_per_loc,comment_ratio,struct_count,interface_count,loop_count,error_handling_count,goroutine_count,channel_count,defer_count,context_usage_count,json_tag_count,variadic_function_count,pointer_receiver_count,avg_method_complexity,avg_methods_token_count
vault,api/tokenhelper/helper_external.go,a6c35b6d5e63ce77aaaeec86730427a3083e7dc4,75,15,447,6,19,16,0.5,6,0.2,0.2857142857142857,1,0,0,8,0,0,0,0,0,0,5,2.5,68.83333333333333
vault,helper/proxyutil/proxyutil.go,89276a56b2267ca49041be0bd9c7be7c96d3b94d,60,10,289,3,12,7,1.0,7,0.16666666666666666,0.1044776119402985,1,0,1,2,0,0,2,0,1,0,1,3.3333333333333335,86.66666666666667
vault,vault/identity_store_oidc.go,59342940fdeba2220554adf62b1452f0552fc5b7,1767,369,11256,51,54,22,2.3333333333333335,30,0.20882852292020374,0.0816008316008316,7,0,23,157,0,0,9,33,30,2,41,7.235294117647059,214.05882352941177
vault,vault/identity_store_structs.go,59342940fdeba2220554adf62b1452f0552fc5b7,94,0,409,0,24,14,0,13,0.0,0.27692307692307694,3,7,0,0,0,0,0,6,1,0,0,0,0
vault,tools/stubmaker/main.go,d8c241838ac05a5a4256e4e805c4a28fc0814ff9,278,63,1641,10,8,5,1.2,19,0.22661870503597123,0.05442176870748299,1,0,3,26,0,0,0,0,0,0,3,6.3,139.3
vault,plugins/database/mysql/connection_producer.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,236,52,1336,9,11,10,0.8888888888888888,15,0.22033898305084745,0.12267657992565056,1,0,0,16,0,0,2,3,12,0,8,5.777777777777778,136.44444444444446
vault,sdk/database/helper/connutil/cloudsql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,54,12,278,4,2,2,1.5,3,0.2222222222222222,0.1,0,0,1,2,0,0,0,0,0,0,2,3.0,65.0
vault,sdk/database/helper/connutil/sql.go,3372a9b4db8ca8be4191677f6bfdc327ca70d293,183,43,1032,6,27,16,1.3333333333333333,13,0.23497267759562843,0.18303571428571427,1,0,0,8,0,0,2,4,10,0,6,7.166666666666667,154.33333333333334
vault,internalshared/configutil/listener.go,12e7c77ecc9d006bdff6b13a1b36cb5e07079a62,476,99,2692,27,30,18,0.3333333333333333,15,0.20798319327731093,0.18072289156626506,6,0,3,40,0,0,0,0,0,0,17,3.6666666666666665,84.37037037037037
vault,vault/raft.go,d64856c6c9255c0079db10659e6cc04232692285,1056,269,6602,43,72,28,0.7906976744186046,27,0.2547348484848485,0.1625693893735131,2,0,12,98,7,2,10,13,4,0,25,6.255813953488372,151.58139534883722
vault,api/secret.go,2a1775f45f63ae485043375f71dc4d705ad256b5,269,74,1532,8,41,17,0.125,9,0.275092936802974,0.16459627329192547,6,0,3,9,0,0,0,0,33,0,7,9.25,169.75
vault,vault/token_store.go,2a1775f45f63ae485043375f71dc4d705ad256b5,3150,0,19759,0,363,44,0,36,0.0,0.13910904618748293,3,0,25,166,1,0,17,51,15,0,55,0,0
vault,helper/testhelpers/testhelpers_oss.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,32,10,165,3,9,7,2.3333333333333335,2,0.3125,0.28888888888888886,0,0,3,0,0,0,0,0,0,1,0,3.3333333333333335,53.0
vault,physical/raft/raft_autopilot.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,642,104,3927,38,16,7,0.6842105263157895,16,0.16199376947040497,0.13008130081300814,10,0,10,11,2,0,8,3,40,0,27,2.736842105263158,93.26315789473684
vault,vault/raft.go,2054ffcbfa519e72fe5b025fcd3f22bb05a23c50,1033,264,6454,41,57,23,0.7804878048780488,26,0.25556631171345595,0.16288492706645058,2,0,12,96,7,2,10,13,4,0,24,6.439024390243903,155.34146341463415
vault,sdk/helper/keysutil/policy.go,e9f9e7d7f044d0171f1886a20f7acad7f1ebf3a8,2024,189,12415,35,107,24,1.0571428571428572,37,0.09337944664031621,0.10204081632653061,11,3,15,110,0,0,4,12,44,2,45,5.4,104.4
vault,api/lifetime_watcher.go,57cb563be571599798325ad525075c0d63eef7c1,245,54,1358,11,12,12,1.0909090909090908,5,0.22040816326530613,0.31564245810055863,3,0,1,5,0,3,1,0,0,0,11,4.909090909090909,105.36363636363636
vault,builtin/credential/cert/path_login.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,614,179,4177,25,97,28,2.4,21,0.2915309446254072,0.13642756680731363,1,0,30,23,0,0,1,10,0,0,21,7.16,165.48
vault,sdk/helper/ocsp/client.go,2fe676e75b39d0e39b0fa23a458345370bca41b7,756,169,4745,33,8,3,1.9696969696969697,25,0.22354497354497355,0.09171075837742504,7,1,15,32,1,0,2,5,0,0,19,5.121212121212121,129.9090909090909
vault,builtin/credential/cert/backend.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,184,30,1016,11,36,13,1.5454545454545454,15,0.16304347826086957,0.0213903743315508,2,0,1,9,0,0,3,6,0,0,8,2.727272727272727,81.45454545454545
vault,builtin/credential/cert/path_certs.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,492,75,2839,7,56,24,2.4285714285714284,10,0.1524390243902439,0.018036072144288578,1,0,1,15,0,0,2,5,0,0,5,10.714285714285714,389.85714285714283
vault,builtin/credential/cert/path_login.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,611,178,4164,25,96,28,2.4,21,0.29132569558101473,0.13578500707213578,1,0,30,22,0,0,1,10,0,0,21,7.12,164.96
vault,sdk/helper/ocsp/client.go,6fca34eace86a4850a7f4e0f7860fc001ba58dea,729,160,4544,30,7,3,1.9666666666666666,25,0.2194787379972565,0.08983666061705989,6,1,15,29,1,0,2,5,0,0,18,5.333333333333333,136.43333333333334
vault,sdk/helper/ocsp/client.go,94d42235cf28f8194aa0a5ccafd4c67afd344c64,702,149,4349,30,5,3,1.7666666666666666,25,0.21225071225071226,0.08614232209737828,6,1,15,29,1,0,2,5,0,0,18,4.966666666666667,130.13333333333333
vault,audit/entry_formatter.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,519,102,3305,14,1,1,1.2142857142857142,17,0.19653179190751446,0.06989247311827956,0,0,4,19,0,0,1,3,0,2,5,7.285714285714286,232.78571428571428
vault,audit/entry_formatter_writer.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,88,23,519,5,1,1,2.4,8,0.26136363636363635,0.12,0,0,0,5,0,0,0,3,0,0,3,4.6,96.6
vault,audit/types.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,194,0,733,0,1,1,0,7,0.0,0.3046594982078853,17,5,0,0,0,0,0,9,86,0,0,0,0
vault,builtin/audit/file/backend.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,353,79,2202,10,1,1,1.9,16,0.2237960339943343,0.08785529715762273,1,0,2,25,0,0,3,8,0,0,9,7.9,209.6
vault,builtin/audit/socket/backend.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,282,58,1820,10,1,1,1.9,15,0.20567375886524822,0.04406779661016949,1,0,1,23,0,0,8,9,0,0,9,5.8,172.4
vault,builtin/audit/syslog/backend.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,205,43,1401,8,1,1,2.0,12,0.2097560975609756,0.07657657657657657,1,0,1,16,0,0,3,7,0,0,7,5.375,164.75
vault,helper/testhelpers/corehelpers/corehelpers.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,424,77,2540,28,1,1,1.5714285714285714,20,0.18160377358490565,0.04288939051918736,4,0,4,21,0,0,6,7,0,0,14,2.75,83.71428571428571
vault,vault/audit.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,458,100,2947,16,1,1,1.5,15,0.2183406113537118,0.12595419847328243,2,1,5,30,0,0,7,12,0,0,11,6.25,177.8125
vault,vault/audit_broker.go,0ccfbc039054d53fcc2ce911ab41dc2b3727dba1,269,58,1831,15,1,1,1.3333333333333333,13,0.21561338289962825,0.11513157894736842,2,0,3,10,0,0,17,5,0,0,8,3.8666666666666667,118.8
vault,audit/entry_formatter.go,67c16342d86aec77d7662e67d2950eae077ca9e7,540,110,3447,15,15,5,1.2,18,0.2037037037037037,0.07534246575342465,1,0,4,19,0,0,1,4,0,2,6,7.333333333333333,225.4
vault,audit/types.go,67c16342d86aec77d7662e67d2950eae077ca9e7,144,0,554,0,18,5,0,5,0.0,0.3076923076923077,13,4,0,0,0,0,0,7,82,0,0,0,0
vault,builtin/audit/file/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,278,63,1890,15,1,1,1.2,14,0.22661870503597123,0.10610932475884244,1,0,1,17,0,0,2,5,0,1,13,4.2,120.4
vault,builtin/audit/socket/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,256,58,1736,15,1,1,1.2,13,0.2265625,0.07913669064748201,1,0,1,17,0,0,3,5,0,2,13,3.8666666666666667,110.8
vault,builtin/audit/syslog/backend.go,67c16342d86aec77d7662e67d2950eae077ca9e7,243,54,1647,15,1,1,1.1333333333333333,13,0.2222222222222222,0.0898876404494382,1,0,0,17,0,0,3,5,0,2,13,3.6,104.86666666666666
vault,helper/testhelpers/corehelpers/corehelpers.go,67c16342d86aec77d7662e67d2950eae077ca9e7,464,87,2865,37,23,10,1.162162162162162,21,0.1875,0.10077519379844961,5,0,4,18,0,0,4,6,0,2,22,2.3513513513513513,70.86486486486487
vault,vault/audit.go,67c16342d86aec77d7662e67d2950eae077ca9e7,457,102,2941,16,83,22,1.5,15,0.22319474835886213,0.12115384615384615,2,1,5,29,0,0,7,12,0,0,11,6.375,177.6875
vault,vault/audit_broker.go,67c16342d86aec77d7662e67d2950eae077ca9e7,344,74,2442,19,1,1,1.4736842105263157,14,0.21511627906976744,0.2234762979683973,2,0,4,24,0,0,13,7,0,0,15,3.8947368421052633,125.47368421052632
vault,audit/entry_formatter.go,83986f342b1c817b06c239e66d403a07fbca5e1c,507,105,3261,14,13,5,1.1428571428571428,14,0.20710059171597633,0.07481751824817519,0,0,4,19,0,0,0,4,0,2,6,7.5,229.78571428571428
vault,vault/audit_broker.go,83986f342b1c817b06c239e66d403a07fbca5e1c,355,76,2573,19,1,1,1.4736842105263157,15,0.2140845070422535,0.21806167400881057,2,0,4,24,0,0,13,7,0,0,15,4.0,132.31578947368422
vault,builtin/logical/transit/backend.go,7463055f077554f4c0802449c59bebed84310fcf,228,45,1372,9,55,21,2.111111111111111,12,0.19736842105263158,0.12307692307692308,1,0,1,12,0,0,3,8,0,0,5,5.0,146.33333333333334
vault,builtin/logical/transit/path_decrypt.go,7463055f077554f4c0802449c59bebed84310fcf,216,27,1102,2,46,20,1.5,8,0.125,0.05263157894736842,1,0,3,5,0,0,1,1,3,0,2,13.5,464.0
vault,builtin/logical/transit/path_encrypt.go,7463055f077554f4c0802449c59bebed84310fcf,508,106,2946,11,71,25,1.8181818181818181,13,0.20866141732283464,0.08960573476702509,4,0,4,11,0,0,1,2,11,0,3,9.636363636363637,242.72727272727272
vault,builtin/logical/transit/path_hmac.go,7463055f077554f4c0802449c59bebed84310fcf,334,56,1983,3,23,15,2.0,11,0.16766467065868262,0.07262569832402235,1,0,4,13,0,0,2,2,4,0,3,18.666666666666668,644.3333333333334
vault,builtin/logical/transit/path_rewrap.go,7463055f077554f4c0802449c59bebed84310fcf,196,30,1077,2,37,15,1.5,10,0.15306122448979592,0.0297029702970297,0,0,3,6,0,0,1,1,0,0,2,15.0,431.0
vault,builtin/logical/transit/path_sign_verify.go,7463055f077554f4c0802449c59bebed84310fcf,602,97,3243,5,35,22,1.4,12,0.1611295681063123,0.06708268330733229,2,0,5,15,0,0,2,2,8,0,5,19.4,602.2
vault,builtin/audit/socket/backend.go,58ef5fe47b140ba170c8aec69b33c6e58ab38412,251,56,1682,15,1,1,1.0666666666666667,11,0.22310756972111553,0.08058608058608059,1,0,1,17,0,0,3,5,0,2,13,3.7333333333333334,107.33333333333333
vault,audit/entry_formatter.go,cfa37138b97147c6b563cd9f5de275562b62cd10,504,102,3228,14,12,5,1.1428571428571428,14,0.20238095238095238,0.07011070110701106,0,0,4,19,0,0,0,4,0,2,6,7.285714285714286,227.42857142857142
vault,internal/observability/event/sink_socket.go,cfa37138b97147c6b563cd9f5de275562b62cd10,144,27,829,8,6,3,1.125,8,0.1875,0.12195121951219512,1,0,0,11,0,0,3,4,0,1,7,3.375,97.5
vault,internal/observability/event/sink_stdout.go,cfa37138b97147c6b563cd9f5de275562b62cd10,48,9,259,4,5,3,0.75,5,0.1875,0.1724137931034483,1,0,0,1,0,0,0,1,0,0,3,2.25,57.25
vault,internal/observability/event/sink_syslog.go,cfa37138b97147c6b563cd9f5de275562b62cd10,55,11,338,4,6,3,1.0,5,0.2,0.140625,1,0,0,3,0,0,0,1,0,1,3,2.75,75.75
vault,command/agent.go,06b9325bb9e6616789c4fe5e7778459ba98a14ab,976,194,5678,41,100,37,0.8292682926829268,46,0.1987704918032787,0.11243144424131626,1,0,10,41,2,0,7,0,0,0,20,4.7317073170731705,134.390243902439
vault,command/proxy.go,06b9325bb9e6616789c4fe5e7778459ba98a14ab,908,174,5280,37,97,35,0.8108108108108109,43,0.19162995594713655,0.1103448275862069,1,0,10,42,2,0,7,0,0,0,20,4.702702702702703,138.13513513513513
vault,command/server.go,06b9325bb9e6616789c4fe5e7778459ba98a14ab,2716,559,17177,63,387,81,1.6984126984126984,64,0.20581737849779086,0.07416267942583732,6,0,45,146,3,0,13,5,1,7,33,8.873015873015873,267.23809523809524
vault,helper/logging/logfile.go,06b9325bb9e6616789c4fe5e7778459ba98a14ab,111,25,652,7,6,3,0.2857142857142857,9,0.22522522522522523,0.16541353383458646,1,0,1,7,0,0,1,0,0,0,6,3.5714285714285716,85.71428571428571
vault,helper/logging/logger.go,06b9325bb9e6616789c4fe5e7778459ba98a14ab,152,35,834,10,11,5,0.8,8,0.23026315789473684,0.1827956989247312,2,0,0,3,0,0,0,0,0,0,2,3.5,76.7
vault,vault/ha.go,c329ed8d3b02b92dfded30065317c82648d3cae3,869,142,5278,42,77,25,0.8571428571428571,23,0.16340621403912542,0.16361886429258904,1,0,8,50,10,6,10,9,0,0,24,3.380952380952381,75.28571428571429
vault,vault/logical_system.go,c329ed8d3b02b92dfded30065317c82648d3cae3,5230,953,32447,133,420,67,1.6541353383458646,47,0.18221797323135755,0.06557377049180328,8,0,40,229,2,0,14,113,43,0,119,7.165413533834586,212.18796992481202
vault,vault/raft.go,c329ed8d3b02b92dfded30065317c82648d3cae3,1041,265,6507,42,65,26,0.7619047619047619,26,0.25456292026897215,0.16183574879227053,2,0,12,96,7,2,10,13,4,0,25,6.309523809523809,152.9047619047619
vault,vault/audit_broker.go,39762174206ee353e8cb2d1eab2c544723b91c2d,252,54,1734,15,1,1,1.3333333333333333,13,0.21428571428571427,0.11267605633802817,2,0,3,10,0,0,17,5,0,0,8,3.6,112.33333333333333
vault,sdk/helper/ocsp/client.go,8753d08451ac289505dfa3c82d6b339c073a6c29,689,145,4305,29,1,1,1.793103448275862,25,0.2104499274310595,0.08720379146919431,6,1,15,29,1,0,2,5,0,0,18,5.0,133.10344827586206
