project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,RegisterCommand,7,21,114,1,1,0,0,0,0
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,init,1,250,382,0,0,0,0,0,0
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,,1,66,119,1,0,0,0,2,0
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,Commands,1,5,24,0,1,0,0,0,0
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,,5,14,103,2,0,0,0,0,0
caddy,cmd/commands.go,e633d013f64d057f462786ccf4a430cd27817d4d,,1,6,55,1,0,0,0,0,0
caddy,modules/caddytls/connpolicy.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,UnmarshalCaddyfile,7,36,221,1,0,0,0,2,1
caddy,modules/caddytls/leaffileloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,,1,1,13,0,0,0,0,0,0
caddy,modules/caddytls/leaffileloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,UnmarshalCaddyfile,1,5,41,1,0,0,0,0,0
caddy,modules/caddytls/leaffileloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,CaddyModule,1,6,26,0,0,0,0,0,0
caddy,modules/caddytls/leaffolderloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,UnmarshalCaddyfile,1,5,41,1,0,0,0,0,0
caddy,modules/caddytls/leafpemloader.go,1481c0411aa3ce3a53c206e18ee9ce4223cc156d,UnmarshalCaddyfile,1,5,41,1,0,0,0,0,0
caddy,caddyconfig/httpcaddyfile/builtins.go,092913a7a568a5eb4b28c06e12c1274bd5eb1140,parseHandleErrors,13,68,398,1,0,0,0,3,1
caddy,modules/caddypki/acmeserver/caddyfile.go,44d078b6705c7abcabb2a60f501568ff7f5a57a1,parseACMEServer,30,99,618,1,0,0,0,2,3
caddy,logging.go,9f7148392adb72a6121bf99070efaa1a90ffe901,setupNewDefault,9,47,293,1,0,0,0,3,0
caddy,modules/caddytls/connpolicy.go,49f9af9a4ab2a28fa5c445630017f5284a5afa48,provision,12,37,208,1,0,0,0,3,1
caddy,modules/caddyhttp/reverseproxy/metrics.go,9283770f68f570f47ca20aa9c6f9de8cc50063ba,,1,8,37,0,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,9283770f68f570f47ca20aa9c6f9de8cc50063ba,newMetricsUpstreamsHealthyUpdater,1,5,39,2,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,9283770f68f570f47ca20aa9c6f9de8cc50063ba,initReverseProxyMetrics,3,13,98,2,0,0,0,1,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,Init,1,3,15,0,1,0,0,1,1
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,initReverseProxyMetrics,1,11,80,2,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,newMetricsUpstreamsHealthyUpdater,2,8,64,2,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,initReverseProxyMetrics,1,11,69,1,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,newMetricsUpstreamsHealthyUpdater,1,5,32,1,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,,1,3,9,0,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/metrics.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,init,1,3,15,0,1,0,1,1,1
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,904a0fa368b7eacac3c7156ce4a1f6ced8f61f34,Provision,41,127,857,1,0,0,1,14,3
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,1bd567d7ad41d5509e2aa60cf36e749f195ad83c,Provision,41,127,855,1,0,0,1,14,3
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,1bd567d7ad41d5509e2aa60cf36e749f195ad83c,bufferedBody,6,26,156,2,0,0,0,1,0
caddy,modules/caddyhttp/reverseproxy/selectionpolicies.go,825fe48e0654dc6e4e065df364a51ea79488e44b,Select,12,37,216,3,0,0,0,0,3
caddy,modules/caddyhttp/reverseproxy/selectionpolicies.go,825fe48e0654dc6e4e065df364a51ea79488e44b,UnmarshalCaddyfile,5,18,109,1,0,0,0,1,1
caddy,modules/caddyhttp/marshalers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,MarshalLogObject,5,27,197,1,0,0,0,1,0
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,MatchWithError,5,18,111,1,0,0,0,0,2
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,getHeaderFieldVals,3,7,48,3,0,0,0,0,0
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,matchHeaders,17,39,241,5,0,0,0,0,3
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,MatchWithError,1,4,67,1,0,0,0,0,0
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,matchHeaders,17,39,234,4,0,0,0,0,2
caddy,modules/caddyhttp/matchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,getHeaderFieldVals,5,10,68,4,0,0,0,0,0
caddy,modules/caddyhttp/responsematchers.go,c216cf551dcbd2de1da1b9fe8a7e179b76827753,Match,2,6,49,2,0,0,0,0,0
caddy,modules/caddyhttp/reverseproxy/reverseproxy.go,328fb614f0e9996b184f41d59b7092c21dd9c712,ServeHTTP,14,53,421,3,1,0,0,1,1
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,Write,15,33,230,1,0,0,0,1,0
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,initResponseWriter,2,10,74,3,0,0,0,0,0
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,initResponseWriter,2,11,82,4,0,0,0,0,0
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,ServeHTTP,7,20,175,3,1,0,0,0,1
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,WriteHeader,8,13,95,1,0,0,0,0,0
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,FlushError,7,15,84,0,0,0,0,1,0
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,openResponseWriter,1,4,35,2,0,0,0,0,0
caddy,modules/caddyhttp/encode/encode.go,bcaa8aaf114629031d10dcef0ca7680ae8163e32,openResponseWriter,1,4,40,3,0,0,0,0,0
caddy,modules/caddyhttp/fileserver/matcher.go,d0123bd760f6c140f3b935159a55ba64899c84f8,Validate,2,13,45,0,0,0,0,0,0
caddy,caddyconfig/httpcaddyfile/shorthands.go,b116dcea3d022cd2b060a978c499ac17e5d0a2e1,placeholderShorthands,1,36,143,0,0,0,0,0,0
