project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
compose,cmd/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,runUp,14,91,544,9,0,0,0,4,0
compose,cmd/formatter/logs.go,84ea395d5d191ae2f5b740bf0ed93eb47417c9de,,1,5,30,1,0,0,0,0,0
compose,cmd/formatter/logs.go,84ea395d5d191ae2f5b740bf0ed93eb47417c9de,write,4,14,110,3,0,0,0,0,1
compose,cmd/formatter/logs.go,84ea395d5d191ae2f5b740bf0ed93eb47417c9de,Status,1,5,53,2,0,0,0,0,0
compose,cmd/formatter/logs.go,84ea395d5d191ae2f5b740bf0ed93eb47417c9de,,2,7,41,1,0,0,0,0,0
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,printError,2,8,60,2,0,0,0,0,0
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,NewKeyboardManager,1,18,97,9,0,0,0,0,0
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,PrintKeyboardInfo,2,6,31,1,0,0,0,0,0
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,createBuffer,3,15,80,1,0,0,0,0,0
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,printNavigationMenu,2,16,88,0,0,0,0,0,0
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,clearNavigationMenu,2,10,48,0,0,0,0,0,1
compose,cmd/formatter/shortcut.go,e9dc82011f477abb3118676b1574127d7a80286e,linesOffset,1,3,34,1,0,0,0,0,0
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,,3,12,83,1,0,0,0,1,0
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,,1,9,49,0,0,0,0,0,0
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,,1,7,36,0,0,0,0,0,0
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,,1,6,39,0,0,0,0,0,0
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,,11,38,196,0,1,0,0,1,1
compose,pkg/compose/up.go,e9dc82011f477abb3118676b1574127d7a80286e,,1,6,39,1,0,0,0,0,0
