project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
compose,cmd/compose/up.go,9c0b92259737c0baf886619517c3222626c2a247,runUp,13,84,507,8,0,0,0,4,0
compose,cmd/formatter/logs.go,9c0b92259737c0baf886619517c3222626c2a247,write,6,20,132,3,0,0,0,0,1
compose,cmd/formatter/logs.go,9c0b92259737c0baf886619517c3222626c2a247,,4,14,91,0,0,0,0,0,1
compose,cmd/formatter/logs.go,9c0b92259737c0baf886619517c3222626c2a247,Status,1,5,57,2,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,PrintKeyboardInfo,2,5,24,0,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,PrintKeyboardInfo,2,6,31,1,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,createBuffer,3,13,72,1,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,ClearKeyboardInfo,1,3,16,0,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,clearNavigationMenu,2,10,48,0,0,0,0,0,1
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,printError,2,8,60,2,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,linesOffset,1,3,34,1,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,printNavigationMenu,2,17,91,0,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,NewKeyboardManager,1,18,97,9,0,0,0,0,0
compose,cmd/formatter/shortcut.go,9c0b92259737c0baf886619517c3222626c2a247,extraLines,1,3,34,1,0,0,0,0,0
compose,pkg/compose/up.go,9c0b92259737c0baf886619517c3222626c2a247,,1,7,36,0,0,0,0,0,0
compose,pkg/compose/up.go,9c0b92259737c0baf886619517c3222626c2a247,Up,10,42,296,3,2,2,0,6,1
compose,internal/experimental/experimental.go,fd532a37e7a57024fa50de15735439513da91b02,AutoFileShares,1,3,19,0,0,0,0,0,0
compose,pkg/compose/desktop.go,fd532a37e7a57024fa50de15735439513da91b02,manageDesktopFileSharesEnabled,4,11,65,1,0,0,0,1,0
compose,pkg/compose/create.go,922422a53922e21e4e3e5717b81066a74d065dc1,,12,37,244,0,0,0,0,3,2
compose,pkg/compose/create.go,922422a53922e21e4e3e5717b81066a74d065dc1,ensureProjectVolumes,4,16,133,2,0,0,0,5,3
compose,cmd/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,,5,11,104,3,0,0,0,0,0
compose,cmd/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,runUp,14,91,544,9,0,0,0,4,0
compose,cmd/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,upCommand,1,42,528,4,0,0,0,0,0
compose,cmd/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,validateNavigationMenu,3,9,61,2,0,0,0,0,0
compose,cmd/formatter/shortcut.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,KeyboardClose,1,3,18,0,0,0,0,0,0
compose,cmd/formatter/shortcut.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,HandleKeyEvents,7,22,152,4,0,0,0,0,0
compose,pkg/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,,11,38,193,0,0,0,0,1,1
compose,pkg/compose/up.go,ff20b641c7f1cce588faea476fbd1a6fdd953b36,Up,11,43,287,3,1,2,0,5,1
compose,internal/tracing/tracing.go,d688d3bf22f262445a9c61aa98250c1b3f830657,InitProvider,10,43,286,1,0,0,0,5,0
compose,pkg/compose/build.go,792afb8d13e5d4db5e0f05d27c936c99a28a5c6d,resolveAndMergeBuildArgs,3,18,104,4,0,0,0,0,1
compose,pkg/compose/image_pruner.go,0363d9260afef4bcc32479c1930766e8ce0cf83c,ImagesToPrune,13,42,248,2,0,0,0,4,1
compose,cmd/compose/up.go,caad72713ba81b1fe9548bec3092b3257253708d,,5,10,94,3,0,0,0,0,0
compose,cmd/compose/up.go,caad72713ba81b1fe9548bec3092b3257253708d,,3,6,33,1,0,0,0,0,0
compose,cmd/compose/up.go,caad72713ba81b1fe9548bec3092b3257253708d,upCommand,1,37,459,3,0,0,0,0,0
compose,cmd/compose/up.go,caad72713ba81b1fe9548bec3092b3257253708d,runUp,10,64,444,7,0,0,0,3,0
compose,pkg/compose/start.go,caad72713ba81b1fe9548bec3092b3257253708d,,2,11,100,0,0,0,0,1,0
compose,pkg/compose/start.go,caad72713ba81b1fe9548bec3092b3257253708d,start,13,59,342,4,1,0,0,8,1
