project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
consul,command/acl/token/read/token_read.go,18b29c45c491e492e7eecb29df4d90043a4d937a,Run,6,26,186,1,0,0,0,4,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,getCA,7,21,132,2,1,0,0,2,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,getCAChain,6,18,122,2,1,0,0,2,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,mountNamespaced,1,3,42,3,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,tuneMountNamespaced,1,3,43,3,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,unmountNamespaced,1,3,34,2,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,readNamespaced,1,3,42,2,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,writeNamespaced,1,3,53,2,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,4dfca64ded20512089c015f4913e969989934431,deleteNamespaced,1,3,42,2,0,0,0,0,0
consul,agent/connect/ca/testing.go,01ce9f5b18b23bc86aea0d2a329d08a9a35b539b,SkipIfVaultNotPresent,4,10,55,1,0,0,0,1,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,5,23,153,0,0,0,0,1,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,toEnvoyCluster,6,60,322,1,0,0,0,2,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,3,10,58,0,0,0,0,1,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,4,12,71,0,0,0,0,1,1
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,4,13,74,0,0,0,0,1,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,5,15,96,0,0,0,0,1,1
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,4,12,69,0,0,0,0,1,1
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,5,15,78,0,0,0,0,0,1
consul,agent/envoyextensions/builtin/ext-authz/structs.go,516eb4febc5b99980ff5206b8e354e5d781b4a08,validate,11,34,273,0,0,0,0,2,0
consul,agent/sidecar_service.go,a3ef6f016e9af3b8c3ebc7d29fbc0f193b68c23e,sidecarServiceFromNodeService,25,68,513,2,0,0,0,3,1
consul,agent/sidecar_service.go,a3ef6f016e9af3b8c3ebc7d29fbc0f193b68c23e,sidecarDefaultChecks,1,13,68,3,0,0,0,0,0
consul,agent/config/deprecated.go,b36d4e16b6dfad1e756021c0e79f2e524c183e26,applyDeprecatedTLSConfig,24,76,480,2,0,0,0,0,0
consul,agent/consul/config_endpoint.go,acec711a6a8256577c0e91f2ecb55af5083f679c,,3,12,69,2,0,0,0,1,0
consul,agent/consul/config_endpoint.go,acec711a6a8256577c0e91f2ecb55af5083f679c,,5,17,113,2,0,0,0,1,1
consul,agent/consul/config_endpoint.go,acec711a6a8256577c0e91f2ecb55af5083f679c,,6,19,121,2,0,0,0,1,1
consul,agent/consul/config_endpoint.go,acec711a6a8256577c0e91f2ecb55af5083f679c,,46,155,1002,2,0,0,0,5,6
consul,agent/consul/config_endpoint.go,acec711a6a8256577c0e91f2ecb55af5083f679c,ResolveServiceConfig,6,21,172,2,1,0,0,7,6
