project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
consul,command/acl/token/read/token_read.go,26820219cd7b448b10dc5d7f567b1a8857102f60,Run,15,67,402,1,0,0,0,7,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,tuneMountNamespaced,1,3,48,3,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,mountNamespaced,1,3,47,3,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,getCAChain,6,18,127,2,1,0,0,2,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,getCA,7,21,137,2,1,0,0,2,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,writeNamespaced,1,3,58,2,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,unmountNamespaced,1,3,39,2,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,getNamespace,2,6,26,1,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,readNamespaced,1,3,47,2,0,0,0,0,0
consul,agent/connect/ca/provider_vault.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,deleteNamespaced,1,3,47,2,0,0,0,0,0
consul,agent/connect/ca/testing.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,requireTrailingNewline,3,9,56,2,0,0,0,0,0
consul,agent/connect/ca/testing.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,SkipIfVaultNotPresent,8,21,124,2,0,0,0,1,1
consul,agent/connect/ca/testing.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,vaultVersion,1,6,61,2,0,0,0,0,0
consul,agent/connect/ca/testing.go,dcdf2fc6bade4262a11256dbd0f0f56aae732f8a,SkipIfVaultNotPresent,5,13,77,1,0,0,0,0,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,366bd6f89f365c118c271c5aba1eb032adcc5faf,validate,8,30,205,0,0,0,0,2,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,366bd6f89f365c118c271c5aba1eb032adcc5faf,parseAddr,4,17,123,1,0,0,0,0,0
consul,agent/envoyextensions/builtin/ext-authz/structs.go,366bd6f89f365c118c271c5aba1eb032adcc5faf,toEnvoyCluster,7,64,344,1,0,0,0,2,0
consul,agent/xds/delta.go,9289e680d6dfc91996135ef35855c5d69861675d,applyEnvoyExtension,16,76,529,6,0,0,0,5,0
consul,agent/sidecar_service.go,81d7cc41dcebd30a59e5c92c77728e5a3d9b2f9d,sidecarDefaultChecks,1,13,68,3,0,0,0,0,0
consul,agent/sidecar_service.go,81d7cc41dcebd30a59e5c92c77728e5a3d9b2f9d,sidecarServiceFromNodeService,27,74,531,2,0,0,0,3,1
consul,agent/sidecar_service.go,81d7cc41dcebd30a59e5c92c77728e5a3d9b2f9d,sidecarDefaultChecks,1,13,68,3,0,0,0,0,0
consul,agent/config/deprecated.go,a76f63a6953a651ceb1b1f7cfdf695f5be54b23d,applyDeprecatedTLSConfig,26,88,562,2,0,0,0,0,0
consul,agent/consul/config_endpoint.go,597448da4790aeae270e7fda74d355c6fc96756e,,45,170,1086,2,0,0,0,5,6
consul,agent/consul/config_endpoint.go,597448da4790aeae270e7fda74d355c6fc96756e,ResolveServiceConfig,6,21,170,2,1,0,0,7,6
consul,agent/structs/config_entry.go,597448da4790aeae270e7fda74d355c6fc96756e,Reset,1,5,28,0,0,0,0,0,0
consul,logging/logger.go,319a0a08cdc57a9d771cf413a12ec1b668663f91,Setup,11,54,345,2,0,0,0,3,1
