project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
fiber,middleware/basicauth/basicauth.go,8c49028a394d68e4d4f587c187279fbc86ed8007,,2,7,31,2,0,0,0,0,0
fiber,middleware/basicauth/basicauth.go,8c49028a394d68e4d4f587c187279fbc86ed8007,,1,4,34,1,0,0,0,0,0
fiber,middleware/basicauth/basicauth.go,8c49028a394d68e4d4f587c187279fbc86ed8007,,8,26,192,1,0,0,0,1,0
fiber,middleware/basicauth/basicauth.go,8c49028a394d68e4d4f587c187279fbc86ed8007,New,8,25,117,1,0,0,0,1,0
fiber,middleware/proxy/proxy.go,0e2e04b9ba0a8546d054bb688c7db93a1995e5d2,,8,24,155,1,0,0,0,3,0
fiber,middleware/proxy/proxy.go,0e2e04b9ba0a8546d054bb688c7db93a1995e5d2,Balancer,4,20,106,1,0,0,0,4,1
fiber,middleware/proxy/proxy.go,0e2e04b9ba0a8546d054bb688c7db93a1995e5d2,,1,3,18,1,0,0,0,0,0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,1,4,22,1,0,0,0,0,0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,1,4,36,1,0,0,0,0,0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,3,13,115,1,0,0,0,0,0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,3,11,75,1,0,0,0,0,1
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,4,10,58,1,0,0,0,0,1
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,3,11,81,1,0,0,0,0,1
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,4,10,64,1,0,0,0,0,1
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,1,5,36,1,0,0,0,0,0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,14,48,380,1,2,0,0,1,3
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,3,12,68,1,0,0,0,0,0
fiber,redirect.go,10d6f69a89390397aa5dd23f4f7352ea05638f9e,,3,15,118,1,0,0,0,0,1
fiber,mount.go,df87a82d5a650ab63c8772419a05d976d59c1d76,processSubAppsRoutes,11,43,363,0,0,0,0,0,4
fiber,router.go,174eb0e33da8f1438558283edb574bb0c6e4880e,register,8,41,235,3,0,0,0,0,0
fiber,router.go,174eb0e33da8f1438558283edb574bb0c6e4880e,,6,14,105,1,0,0,0,0,0
fiber,router.go,174eb0e33da8f1438558283edb574bb0c6e4880e,,1,3,18,1,0,0,0,0,0
fiber,router.go,174eb0e33da8f1438558283edb574bb0c6e4880e,,3,11,69,1,0,0,0,0,0
fiber,router.go,174eb0e33da8f1438558283edb574bb0c6e4880e,registerStatic,10,56,343,3,0,0,0,0,0
fiber,router.go,174eb0e33da8f1438558283edb574bb0c6e4880e,addRoute,8,19,167,3,0,0,0,0,1
fiber,path.go,a1148391ea4eac8dc3ddd40afa67c1c288fee14b,findNextParamPosition,6,12,74,1,0,0,0,0,1
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,2,5,27,0,1,0,0,1,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,2,8,43,2,0,0,0,0,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,3,10,61,2,0,0,0,1,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,10,32,253,1,0,0,0,2,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,1,1,29,1,0,0,0,0,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,1,1,29,1,0,0,0,0,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,1,1,13,1,0,0,0,0,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,1,1,33,1,0,0,0,0,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,1,1,33,1,0,0,0,0,0
fiber,helpers.go,077968abec338e73e8fb4241a49bf4b6f7128609,,1,1,17,1,0,0,0,0,0
