project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
fiber,mount.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,mount,4,17,126,2,0,0,0,1,1
fiber,mount.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,mount,4,18,142,2,0,0,0,1,1
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Put,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Connect,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Patch,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Add,1,4,53,3,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Post,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,All,1,4,44,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Delete,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Head,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Get,1,4,42,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Delete,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Add,1,4,44,3,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Options,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Options,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Trace,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Connect,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Post,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Get,1,4,42,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Head,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,All,1,4,53,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Patch,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Put,1,3,35,2,0,0,0,0,0
fiber,register.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,Trace,1,3,35,2,0,0,0,0,0
fiber,router.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,register,16,58,356,4,0,0,0,0,3
fiber,router.go,a7bf8171b1d218a91fb6c82c8578beb4dda74f8d,register,15,57,349,5,0,0,0,0,2
fiber,middleware/basicauth/basicauth.go,5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,New,1,4,19,1,0,0,0,1,0
fiber,middleware/basicauth/basicauth.go,5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,,9,32,227,1,0,0,0,1,0
fiber,middleware/proxy/proxy.go,5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,Balancer,5,29,156,1,0,0,0,4,1
fiber,middleware/proxy/proxy.go,5eb1432c8140e0b2f5ea9e7c2f71043bf5d29849,,9,28,178,1,0,0,0,3,0
fiber,helpers.go,81edaf094d058a411a407caee3ce2283417f4267,parseAddr,8,22,153,1,0,0,0,0,0
fiber,redirect.go,cf4074f19ccc509af3de75ecbbbc2c45564d9711,,3,10,56,1,0,0,0,2,0
fiber,mount.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,processSubAppsRoutes,11,43,363,0,0,0,0,0,4
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,registerStatic,13,73,432,3,0,0,0,0,0
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,register,13,50,300,4,0,0,0,0,1
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,,1,1,24,2,0,0,0,0,0
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,buildTree,14,40,305,0,0,0,0,0,6
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,addRoute,9,25,240,3,0,0,0,1,0
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,copyRoute,1,16,92,1,0,0,0,0,0
fiber,router.go,94e30d7124cbf75bc2055cc49ec1ca7b8d7690e3,addRoute,8,20,205,2,0,0,0,1,0
fiber,path.go,bfef962d868c8783624b40d16bcb6c5a62936850,findNextParamPosition,6,14,77,1,0,0,0,0,1
fiber,helpers.go,283ef3219686f720656787e0d50af1dd300e4401,genericParseType,21,45,352,0,0,0,0,0,0
fiber,helpers.go,283ef3219686f720656787e0d50af1dd300e4401,,1,1,21,1,0,0,0,0,0
fiber,client/request.go,87f3f0c8b658978cebe29f4099a02d1fa00532d3,,3,8,39,2,0,0,0,0,1
fiber,client/request.go,87f3f0c8b658978cebe29f4099a02d1fa00532d3,PathParams,1,3,21,0,0,0,0,0,1
fiber,client/request.go,87f3f0c8b658978cebe29f4099a02d1fa00532d3,Cookies,1,3,21,0,0,0,0,0,1
fiber,client/request.go,87f3f0c8b658978cebe29f4099a02d1fa00532d3,,2,5,20,2,0,0,0,0,0
fiber,middleware/cache/cache.go,8970f515dd41958d23ac39edb56c8dc72baa7f82,New,2,16,87,1,1,0,1,0,3
fiber,middleware/cache/cache.go,8970f515dd41958d23ac39edb56c8dc72baa7f82,,27,102,754,1,1,0,0,0,2
fiber,helpers.go,4e5fea1d7a830a52cbe736d2da88660a2e959549,,2,8,50,1,1,0,0,0,0
fiber,ctx.go,7eb9d255489192343c647f1d910abbb140705474,CookieParser,2,9,62,0,0,0,0,2,0
fiber,ctx.go,7eb9d255489192343c647f1d910abbb140705474,BodyParser,12,41,308,0,0,0,0,5,1
fiber,ctx.go,7eb9d255489192343c647f1d910abbb140705474,,2,8,62,2,0,0,0,1,0
fiber,helpers.go,7eb9d255489192343c647f1d910abbb140705474,formatParserData,7,18,132,5,0,0,0,1,1
fiber,helpers.go,7eb9d255489192343c647f1d910abbb140705474,assignBindData,5,10,115,5,0,0,0,0,1
fiber,helpers.go,7eb9d255489192343c647f1d910abbb140705474,parseParamSquareBrackets,10,31,175,1,1,0,0,2,1
fiber,app.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,New,17,74,504,1,0,0,0,0,1
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,XML,2,9,87,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Body,8,23,159,1,0,0,0,0,2
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,MultipartForm,2,6,53,1,0,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,RespHeader,2,9,87,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,CBOR,2,9,89,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Cookie,2,9,90,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,URI,2,8,80,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,,1,4,21,0,1,0,0,0,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Query,2,9,90,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Form,2,9,90,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,JSON,2,9,89,1,1,0,0,1,0
fiber,bind.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Header,2,9,87,1,1,0,0,1,0
fiber,binder/binder.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,,1,3,11,0,0,0,0,0,0
fiber,binder/cbor.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Bind,1,3,30,3,0,0,0,0,0
fiber,binder/cbor.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Name,1,3,13,0,0,0,0,0,0
fiber,binder/cbor.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Name,1,3,13,0,0,0,0,0,0
fiber,binder/cbor.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Reset,1,3,16,0,0,0,0,0,0
fiber,binder/cbor.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Bind,1,3,28,2,0,0,0,0,0
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Bind,2,9,64,2,0,0,0,2,1
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Bind,2,9,66,2,0,0,0,2,1
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Name,1,3,13,0,0,0,0,0,0
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Reset,1,3,16,0,0,0,0,0,0
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,,6,15,120,2,0,0,0,1,1
fiber,binder/cookie.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Name,1,3,13,0,0,0,0,0,0
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Name,1,3,13,0,0,0,0,0,0
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,BindMultipart,2,7,52,2,0,0,0,1,0
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Name,1,3,13,0,0,0,0,0,0
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,bindMultipart,2,7,52,2,0,0,0,1,0
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Bind,2,9,66,2,0,0,0,1,1
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,,7,18,139,2,0,0,0,1,1
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Bind,3,12,95,2,0,0,0,2,1
fiber,binder/form.go,57744ebbe8f95ee65855f4611b93dd0f2c7b18ae,Reset,1,3,16,0,0,0,0,0,0
