project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
gin,gin.go,f7376f7c7fc73e2fdd30623f413f87a32e73baa2,handleHTTPRequest,16,46,280,1,0,0,0,0,2
gin,binding/toml.go,1660995a04f579b4e0d5683ff45e1af4c2a50346,decodeToml,2,7,46,2,0,0,0,1,0
gin,context.go,dc4337261068402e037614671cadf380d00deca1,Next,2,7,51,0,0,0,0,0,1
gin,tree.go,2915fa0ffedb73c8cc979c144f7ce4b046006db8,insertChild,17,81,413,3,0,0,0,0,2
gin,tree.go,3fe928994b7ba7ed16b0c5114ca82a9dafa7a974,getValue,53,174,1085,4,0,0,0,2,7
gin,debug.go,ea962038e151598b9c564aed2e2d544d1541780e,IsDebugging,1,3,11,0,0,0,0,0,0
gin,mode.go,a4e947a356add617b5022c31f6dc28e5b78849fe,SetMode,5,16,50,1,0,0,0,0,0
gin,mode.go,a4e947a356add617b5022c31f6dc28e5b78849fe,Mode,1,3,9,0,0,0,0,0,0
gin,binding/query.go,c19aa0598b6bab47f498e68ebc60ceafded8631f,Bind,2,7,51,1,0,0,0,1,0
gin,binding/default_validator.go,4bfae4c8c8f7764cc587022ba6d9d2fd18e6c47d,ValidateStruct,8,26,158,0,0,0,0,1,1
gin,tree.go,a06d546f5c2e853b07fde5a41b1fff102829b116,insertChild,12,79,411,3,0,0,0,0,1
gin,tree.go,1d0f938f28d7e592623264591605dc22ac141cc5,getValue,44,132,820,3,0,0,0,2,4
gin,context.go,2dd31930060c978a84507571f7a3106afbf9673b,NegotiateFormat,10,26,143,1,0,0,0,0,3
gin,tree.go,f3a6b69fd00d7dba9e7cdb726d3c0fc513259834,addRoute,22,84,583,2,0,0,0,0,2
gin,tree.go,f3a6b69fd00d7dba9e7cdb726d3c0fc513259834,getValue,49,145,843,3,0,0,0,2,4
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,3,14,0,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,New,1,17,74,0,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,3,21,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,2,8,53,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,2,8,55,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,3,28,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,4,24,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,4,24,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,5,33,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,3,23,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,3,23,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,5,21,114,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,1,9,0,1,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,6,38,1,1,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,1,9,0,1,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,6,48,1,1,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,1,9,0,1,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,2,12,69,1,2,0,0,1,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,1,8,67,1,0,0,0,0,0
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,,14,40,241,1,0,0,0,0,2
gin,test_helpers.go,61ba9db5af23da0f11d5f68bced9ccc5a417859b,CreateTestContext,1,7,45,1,0,0,0,0,0
gin,context.go,bfc8ca285eb46dad60e037d57c545cd260636711,ClientIP,9,20,110,0,0,0,0,0,1
gin,context.go,bfc8ca285eb46dad60e037d57c545cd260636711,RemoteIP,6,20,125,0,0,0,0,1,1
gin,context.go,bfc8ca285eb46dad60e037d57c545cd260636711,validateHeader,5,18,83,1,0,0,0,0,1
gin,tree.go,f3de8132c5d955784deeadb9bcf5752e9fdf0d8c,getValue,39,111,690,3,0,0,0,2,4
gin,tree.go,d4ca9a0fb1211108f0a893634ee01b0006890c16,getValue,49,148,857,3,0,0,0,2,4
gin,context.go,d17270dd90c488308de3102d6951946ca0a5911f,reset,1,13,95,0,0,0,0,0,0
gin,gin.go,d17270dd90c488308de3102d6951946ca0a5911f,allocateContext,1,4,38,0,0,0,0,0,0
gin,gin.go,d17270dd90c488308de3102d6951946ca0a5911f,addRoute,3,16,132,3,0,0,0,0,0
gin,gin.go,d17270dd90c488308de3102d6951946ca0a5911f,handleHTTPRequest,18,54,316,1,0,0,0,0,2
gin,tree.go,d4ca9a0fb1211108f0a893634ee01b0006890c16,getValue,49,148,857,3,0,0,0,2,4
gin,tree.go,c6544855d7244db15858cbc0bb200da5efa45b83,getValue,37,110,763,3,0,0,0,2,4
gin,gin.go,58b5e158709f7ea39db09ef28684f77042728e40,New,1,17,74,0,0,0,0,0,0
gin,tree.go,d4ca9a0fb1211108f0a893634ee01b0006890c16,getValue,49,148,857,3,0,0,0,2,4
gin,tree.go,d17270dd90c488308de3102d6951946ca0a5911f,getValue,39,111,683,3,0,0,0,2,4
gin,context.go,bfc8ca285eb46dad60e037d57c545cd260636711,RemoteIP,6,20,125,0,0,0,0,1,1
gin,gin.go,393a63f3b020df89d42695064443760c7d0a0dc8,RunUnix,3,16,86,1,2,0,0,2,0
gin,utils.go,2ff2b19e14420de970264012e1bcdf91929725b4,resolveAddress,4,15,66,1,0,0,0,0,0
gin,utils.go,ce2201c39214775ddfff8f79549473d64160aa39,resolveAddress,4,16,72,1,0,0,0,0,0
gin,render/json.go,0cbf290302ae06b647989effaf5e5a23028670d7,WriteJSON,1,6,41,1,0,0,0,0,0
gin,binding/form_mapping.go,0d50ce859745354fa83dcf2bf4c972abed25e53b,mapping,13,42,254,4,0,0,0,3,1
gin,binding/form_mapping.go,0d50ce859745354fa83dcf2bf4c972abed25e53b,tryToSetValue,12,45,232,4,0,0,0,0,1
gin,render/json.go,b056a34bdc2aa45256c4f5bdad306c35ec70c37e,Render,2,6,40,1,0,0,0,1,0
gin,render/json.go,b056a34bdc2aa45256c4f5bdad306c35ec70c37e,Render,2,9,57,1,0,0,0,1,0
gin,render/json.go,b056a34bdc2aa45256c4f5bdad306c35ec70c37e,Render,5,15,108,1,0,0,0,2,0
gin,render/json.go,b056a34bdc2aa45256c4f5bdad306c35ec70c37e,Render,7,29,163,1,0,0,0,5,0
gin,render/json.go,b056a34bdc2aa45256c4f5bdad306c35ec70c37e,Render,4,17,108,1,0,0,0,1,1
gin,tree.go,35e33d3638f9b5a1246dd9c72a99740f5ad4b43b,addRoute,27,99,643,2,0,0,0,0,4
gin,tree.go,35e33d3638f9b5a1246dd9c72a99740f5ad4b43b,insertChild,17,87,471,4,0,0,0,0,2
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,,3,10,75,0,1,0,0,1,0
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,,1,4,17,1,1,0,0,1,0
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,RecoveryWithWriter,2,7,39,1,1,0,0,1,0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,,1,3,14,1,0,0,0,0,0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,,2,10,71,1,0,0,0,1,0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,createStaticHandler,1,5,44,2,0,0,0,1,0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,,1,3,14,1,0,0,0,0,0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,,2,10,71,1,0,0,0,1,0
gin,routergroup.go,b97ccf3a43d2901d295870b5876277bf478a4909,createStaticHandler,1,5,44,2,0,0,0,1,0
gin,recovery.go,37854ee10f7161843c338d9a9fa87f9398aacbbe,,10,31,209,0,1,0,0,1,0
gin,recovery.go,37854ee10f7161843c338d9a9fa87f9398aacbbe,,1,4,17,1,1,0,0,1,0
gin,recovery.go,37854ee10f7161843c338d9a9fa87f9398aacbbe,RecoveryWithWriter,2,7,39,1,1,0,0,1,0
gin,debug.go,2b3aa5173898ed07d45c9a16994d3d259f368431,init,1,3,12,0,0,0,0,0,0
gin,debug.go,2b3aa5173898ed07d45c9a16994d3d259f368431,debugPrint,2,5,31,1,0,0,0,0,0
gin,debug.go,07f1bf0e63512fbf9c7d7984d235a399eb916244,debugPrint,2,5,31,1,0,0,0,0,0
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,,3,10,75,0,1,0,0,1,0
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,,1,4,17,1,1,0,0,1,0
gin,recovery.go,65a65c2edd4e86f96634a553f07a25c38f2b1c75,RecoveryWithWriter,2,7,39,1,1,0,0,1,0
gin,test_helpers.go,9b7e7bdce6e073d47635d57fbacfb3205cb3127e,CloseNotify,1,3,19,0,0,0,0,0,0
gin,test_helpers.go,9b7e7bdce6e073d47635d57fbacfb3205cb3127e,closeClient,1,3,17,0,0,0,0,0,0
gin,test_helpers.go,9b7e7bdce6e073d47635d57fbacfb3205cb3127e,CreateTestResponseRecorder,1,6,27,0,0,1,0,0,0
gin,binding/form_mapping.go,d4413b6e91c2bb034ce51f2b669d690b4edee887,setBoolField,3,10,47,2,0,0,0,1,0
