project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
gin,gin.go,86ff4a64c7efe1a1c875529835eeef9e15de1e86,handleHTTPRequest,19,59,383,1,0,0,0,0,2
gin,gin.go,8763f33c65f7df8be5b9fe7504ab7fcf20abb41d,HandleContext,1,8,45,1,0,0,0,0,0
gin,binding/toml.go,e737e3e267beb4dc3bab16cc8be59e3902d98a94,decodeToml,2,7,44,2,0,0,0,1,0
gin,context.go,f875d8728306c2c2c6f504900ab08cd1d8c47f12,Next,3,9,59,0,0,0,0,0,1
gin,tree.go,ea53388e6ee4a6a0a1647b390c56eeed780e7e56,insertChild,14,82,429,3,0,0,0,0,1
gin,tree.go,8eb5f832bac1853fc84c508a2b9406134d39492e,getValue,59,179,1148,4,0,0,0,2,7
gin,binding/form_mapping.go,28e57f58b184b2305ace192e02496bb89f6fd8cb,setByForm,16,48,320,5,0,0,0,2,0
gin,gin.go,626d55b0c02937645c21774cacc021713de88604,handleHTTPRequest,20,59,390,1,0,0,0,0,2
gin,context.go,36b0dede4b8c4a67d92c4107cebc5a068364321d,Next,3,10,60,0,0,0,0,0,1
gin,context.go,36b0dede4b8c4a67d92c4107cebc5a068364321d,HandlerNames,3,10,62,0,0,0,0,0,1
gin,debug.go,7d147928ee232fce156ea7ce8ae6329e148aeb41,IsDebugging,1,3,17,0,0,0,0,0,0
gin,mode.go,7d147928ee232fce156ea7ce8ae6329e148aeb41,SetMode,6,20,92,1,0,0,0,0,0
gin,mode.go,7d147928ee232fce156ea7ce8ae6329e148aeb41,Mode,1,3,17,0,0,0,0,0,0
gin,binding/query.go,8790d08909fc4d193c6c787c9c72f3089168f411,Bind,2,7,49,2,0,0,0,1,0
gin,binding/query.go,8790d08909fc4d193c6c787c9c72f3089168f411,Bind,2,7,56,2,0,0,0,1,0
gin,context.go,646312aef6a34095476ac846b0920db5fb24b2ea,Copy,2,23,152,0,0,0,0,0,1
gin,binding/default_validator.go,82bcd6d39bfe9c22032764ff3b0b6f8ef1673e49,ValidateStruct,9,29,179,1,0,0,0,1,1
gin,binding/form_mapping.go,3dc1cd6572b4e3a0cd170a15debe546c2c72294f,setWithProperType,19,41,278,3,0,0,0,0,0
gin,tree.go,9f598a31aafb92d675f38f1c8371e4ac76f858bf,insertChild,13,82,425,3,0,0,0,0,1
gin,tree.go,386d244068db3693f938db4ead6d1f5f85942e3f,getValue,60,189,1216,4,0,0,0,2,7
gin,gin.go,81ac7d55a09e34013225db0aeac6e70c1ae68928,redirectTrailingSlash,4,14,124,1,0,0,0,0,0
gin,context.go,7cb151bb4c4cfc6018a00a125422ff38a041b9f8,NegotiateFormat,11,26,150,1,0,0,0,0,3
gin,tree.go,8b9c55e8b059a1ffcc69e3b5dc0b9d583958811f,getValue,59,179,1142,4,0,0,0,2,7
gin,tree.go,8b9c55e8b059a1ffcc69e3b5dc0b9d583958811f,addRoute,22,85,587,2,0,0,0,0,2
gin,gin.go,55e27f12465e058058180280d5f0bdc473eb3302,,1,3,15,0,0,0,0,0,0
gin,gin.go,55e27f12465e058058180280d5f0bdc473eb3302,New,1,29,151,0,0,0,0,0,0
gin,gin.go,55e27f12465e058058180280d5f0bdc473eb3302,allocateContext,1,5,57,1,0,0,0,0,0
gin,gin.go,55e27f12465e058058180280d5f0bdc473eb3302,allocateContext,1,5,57,0,0,0,0,0,0
gin,test_helpers.go,55e27f12465e058058180280d5f0bdc473eb3302,CreateTestContextOnly,1,6,43,2,0,0,0,0,0
gin,test_helpers.go,55e27f12465e058058180280d5f0bdc473eb3302,CreateTestContext,1,7,46,1,0,0,0,0,0
gin,context.go,68542126982eb2275ea0447c58b38cb38cff8ddc,reset,1,15,112,0,0,0,0,0,0
gin,context.go,5929d521715610c9dd14898ebbe1d188d5de8937,validateHeader,6,17,110,1,0,0,0,0,1
gin,context.go,5929d521715610c9dd14898ebbe1d188d5de8937,validateHeader,5,18,83,1,0,0,0,0,1
gin,context.go,5929d521715610c9dd14898ebbe1d188d5de8937,isTrustedProxy,4,10,48,1,0,0,0,0,1
gin,context.go,5929d521715610c9dd14898ebbe1d188d5de8937,RemoteIP,3,11,78,0,0,0,0,1,0
gin,context.go,5929d521715610c9dd14898ebbe1d188d5de8937,ClientIP,13,31,168,0,0,0,0,0,1
gin,tree.go,cbdd47a7e108217d4672f0e24d423b632a8cd900,getValue,55,175,1108,4,0,0,0,2,7
gin,tree.go,1c2aa59b20c8cff5b3c601708afe22100eac25e6,getValue,55,175,1108,4,0,0,0,2,7
gin,context.go,3fe928994b7ba7ed16b0c5114ca82a9dafa7a974,reset,1,14,107,0,0,0,0,0,0
