project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
gitea,routers/api/packages/maven/maven.go,5fadcf997e956d711dd3dc3fe7e7af2aeeac4cd1,serveMavenMetadata,11,55,436,2,0,0,0,4,0
gitea,routers/api/packages/maven/maven.go,45c4139134cfdb23fbeb85bb5c78811605f37dd5,serveMavenMetadata,11,55,436,2,0,0,0,4,0
gitea,routers/web/repo/view_file.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,prepareToRenderFile,62,239,2130,2,2,0,0,12,1
gitea,services/issue/issue.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,ChangeTitle,11,32,230,4,0,0,0,4,0
gitea,services/issue/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,PullRequestCodeOwnersReview,26,87,628,3,1,0,0,11,5
gitea,services/issue/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,PullRequestCodeOwnersReview,1,3,35,2,0,0,0,0,0
gitea,services/issue/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,PullRequestCodeOwnersReviewSpecialCommits,31,101,687,4,1,0,0,12,7
gitea,services/issue/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,IsCodeOwnerFile,1,3,18,1,0,0,0,0,0
gitea,services/pull/merge.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,Merge,12,50,410,8,2,0,1,9,0
gitea,services/pull/merge.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,,1,11,46,0,1,0,1,0,0
gitea,services/pull/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,AddTestPullRequestTask,1,4,32,1,0,0,0,17,3
gitea,services/pull/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,AddTestPullRequestTask,1,4,45,6,0,0,0,13,2
gitea,services/pull/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,NewPullRequest,27,90,673,2,2,0,0,22,5
gitea,services/pull/pull.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,,13,57,366,1,0,0,0,7,2
gitea,services/pull/update.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,,1,11,46,0,1,0,1,0,0
gitea,services/pull/update.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,Update,9,48,345,5,3,0,2,4,0
gitea,services/repository/push.go,1e7248047ce66c235faf53cd79b6513fb3aa1c50,pushUpdates,51,196,1598,1,2,0,1,21,2
gitea,modules/markup/markdown/markdown.go,9054a6670c8b80a9f0f558163f100143be3e2334,,2,9,60,0,1,0,0,1,0
gitea,modules/markup/markdown/markdown.go,9054a6670c8b80a9f0f558163f100143be3e2334,render,4,33,194,3,1,0,0,3,0
gitea,modules/markup/markdown/transform_blockquote.go,9054a6670c8b80a9f0f558163f100143be3e2334,transformBlockquote,7,34,311,2,0,0,0,0,1
gitea,modules/markup/markdown/markdown.go,8a0f7f0975d7d14160022ef94984b5c031220e6d,,2,9,60,0,1,0,0,1,0
gitea,modules/markup/markdown/markdown.go,8a0f7f0975d7d14160022ef94984b5c031220e6d,render,4,33,194,3,1,0,0,3,0
gitea,modules/markup/markdown/transform_blockquote.go,8a0f7f0975d7d14160022ef94984b5c031220e6d,transformBlockquote,7,34,311,2,0,0,0,0,1
gitea,services/convert/pull.go,2eecd58bbe8dddb6d1f8f07ea43db6c89c9277d4,ToAPIPullRequests,44,185,1344,4,1,0,0,20,5
gitea,services/convert/pull.go,fbc3796f9e26e38e1ab8624d5d9ab24ccf1ba6ac,ToAPIPullRequests,44,185,1344,4,1,0,0,20,5
gitea,models/renderhelper/repo_comment.go,3290aff964a15cf6e2336df2841464077fe24250,NewRenderContextRepoComment,3,23,192,3,0,0,0,0,0
gitea,modules/markup/html.go,3290aff964a15cf6e2336df2841464077fe24250,postProcess,14,45,301,4,1,0,0,3,3
gitea,modules/templates/util_render.go,3290aff964a15cf6e2336df2841464077fe24250,RenderCommitMessage,3,13,106,2,0,0,0,1,0
gitea,models/renderhelper/repo_comment.go,1610a63bfd9e243a0d1ad8a5d05a5ae011a957a9,NewRenderContextRepoComment,3,23,192,3,0,0,0,0,0
gitea,modules/markup/html.go,1610a63bfd9e243a0d1ad8a5d05a5ae011a957a9,postProcess,14,45,301,4,1,0,0,3,3
gitea,modules/templates/util_render.go,1610a63bfd9e243a0d1ad8a5d05a5ae011a957a9,RenderCommitMessage,3,13,106,2,0,0,0,1,0
gitea,models/user/user.go,cc942e2a86152939305b30373b618536d46aedca,GetUsersByEmails,12,46,374,2,0,0,0,3,4
gitea,models/user/user.go,cc942e2a86152939305b30373b618536d46aedca,,1,3,27,1,0,0,0,0,0
gitea,models/user/user.go,cc942e2a86152939305b30373b618536d46aedca,ValidateCommitsWithEmails,6,29,179,2,0,0,0,1,2
gitea,services/git/commit.go,cc942e2a86152939305b30373b618536d46aedca,ParseCommitsWithSignature,6,31,240,4,0,0,0,1,2
gitea,routers/api/v1/admin/user.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,EditUser,12,63,564,1,0,0,0,4,0
gitea,routers/web/admin/users.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,EditUserPost,32,135,1119,1,0,0,0,9,1
gitea,routers/web/auth/auth.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,handleUserCreated,8,27,178,3,0,0,0,2,0
gitea,routers/web/auth/oauth.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,SignInOAuthCallback,28,121,841,1,0,0,0,7,2
gitea,routers/web/auth/oauth.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,getUserAdminAndRestrictedFromGroupClaims,3,10,97,2,0,0,0,0,0
gitea,services/auth/source/ldap/source_authenticate.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,Authenticate,35,90,655,4,0,0,0,9,0
gitea,services/auth/source/ldap/source_sync.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,Sync,56,169,1245,2,0,0,0,12,3
gitea,services/user/update.go,0082cb51fa381338c8f96076f90f9e7a49909f8e,UpdateUser,26,96,736,3,0,0,0,0,0
gitea,modules/packages/container/metadata.go,7b39c8258779363e2071b6171726166c58f843ae,parseOCIImageConfig,13,47,355,1,0,0,0,1,1
gitea,routers/api/packages/container/container.go,7b39c8258779363e2071b6171726166c58f843ae,serveBlob,4,27,220,2,1,0,0,2,0
gitea,routers/api/packages/container/container.go,7b39c8258779363e2071b6171726166c58f843ae,HeadBlob,3,16,101,1,0,0,0,2,0
gitea,routers/api/packages/container/container.go,7b39c8258779363e2071b6171726166c58f843ae,HeadManifest,3,17,114,1,0,0,0,2,0
gitea,routers/api/packages/container/container.go,7b39c8258779363e2071b6171726166c58f843ae,setResponseHeaders,7,23,200,2,0,0,0,0,0
gitea,routers/api/v1/admin/user.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,EditUser,12,63,564,1,0,0,0,4,0
gitea,routers/web/admin/users.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,EditUserPost,32,135,1119,1,0,0,0,9,1
gitea,routers/web/auth/auth.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,handleUserCreated,8,27,178,3,0,0,0,2,0
gitea,routers/web/auth/oauth.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,SignInOAuthCallback,28,121,841,1,0,0,0,7,2
gitea,routers/web/auth/oauth.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,getUserAdminAndRestrictedFromGroupClaims,3,10,97,2,0,0,0,0,0
gitea,services/auth/source/ldap/source_authenticate.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,Authenticate,35,90,655,4,0,0,0,9,0
gitea,services/auth/source/ldap/source_sync.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,Sync,56,169,1245,2,0,0,0,12,3
gitea,services/user/update.go,a3b25436f2d576f92e2932e0ee0af9973bbdd19c,UpdateUser,26,96,736,3,0,0,0,0,0
gitea,models/issues/comment_code.go,b947bc436367f9d9ed6a3488f977ee51ea104242,findCodeComments,22,64,462,6,0,0,0,8,2
gitea,models/renderhelper/repo_comment.go,b947bc436367f9d9ed6a3488f977ee51ea104242,NewRenderContextRepoComment,2,25,188,3,0,0,0,0,0
gitea,modules/markup/common/footnote.go,b947bc436367f9d9ed6a3488f977ee51ea104242,renderFootnoteLink,2,14,137,4,0,0,0,0,0
gitea,modules/markup/html.go,b947bc436367f9d9ed6a3488f977ee51ea104242,visitNode,11,30,183,3,0,0,0,0,2
gitea,modules/markup/html_node.go,b947bc436367f9d9ed6a3488f977ee51ea104242,processFootnoteNode,7,11,92,2,0,0,0,0,1
gitea,modules/markup/html_node.go,b947bc436367f9d9ed6a3488f977ee51ea104242,isAnchorHrefFootnote,2,3,27,1,0,0,0,0,0
gitea,modules/markup/html_node.go,b947bc436367f9d9ed6a3488f977ee51ea104242,isAnchorIDFootnote,2,3,27,1,0,0,0,0,0
gitea,routers/common/markup.go,b947bc436367f9d9ed6a3488f977ee51ea104242,RenderMarkup,18,66,573,6,0,0,0,3,0
gitea,routers/web/repo/issue.go,b947bc436367f9d9ed6a3488f977ee51ea104242,UpdateIssueContent,12,43,319,1,0,0,0,5,0
gitea,routers/web/repo/issue_comment.go,b947bc436367f9d9ed6a3488f977ee51ea104242,UpdateCommentContent,18,72,511,1,0,0,0,8,0
gitea,routers/web/repo/issue_view.go,b947bc436367f9d9ed6a3488f977ee51ea104242,prepareIssueViewContent,3,15,119,2,0,0,0,2,0
gitea,routers/web/repo/issue_view.go,b947bc436367f9d9ed6a3488f977ee51ea104242,prepareIssueViewCommentsAndSidebarParticipants,59,190,1320,2,0,0,0,20,5
gitea,routers/web/repo/release.go,b947bc436367f9d9ed6a3488f977ee51ea104242,getReleaseInfos,14,58,414,2,0,0,0,7,2
gitea,modules/packages/container/metadata.go,18dc41d6f8491711339be0bd538eadef0fda123f,parseOCIImageConfig,13,47,355,1,0,0,0,1,1
gitea,routers/api/packages/container/container.go,18dc41d6f8491711339be0bd538eadef0fda123f,serveBlob,4,27,220,2,1,0,0,2,0
gitea,routers/api/packages/container/container.go,18dc41d6f8491711339be0bd538eadef0fda123f,HeadBlob,3,16,101,1,0,0,0,2,0
gitea,routers/api/packages/container/container.go,18dc41d6f8491711339be0bd538eadef0fda123f,HeadManifest,3,17,114,1,0,0,0,2,0
gitea,routers/api/packages/container/container.go,18dc41d6f8491711339be0bd538eadef0fda123f,setResponseHeaders,7,23,200,2,0,0,0,0,0
gitea,modules/actions/workflows.go,b408bf2f0bb6e76e73421e63128f08d42047e7c0,matchPushEvent,31,101,540,3,0,0,0,8,1
gitea,routers/api/v1/repo/pull.go,51aafb427802803e9a97806afed07f488e032d83,GetPullRequestFiles,11,75,587,1,0,0,0,8,1
gitea,routers/web/repo/compare.go,41f3d062a2c3bb42cbcc75f1d8a6a68246e417ff,ParseCompareInfo,76,278,1845,1,0,0,0,14,0
gitea,routers/web/repo/compare.go,41f3d062a2c3bb42cbcc75f1d8a6a68246e417ff,,3,5,24,0,0,0,0,0,0
gitea,routers/web/repo/compare.go,41f3d062a2c3bb42cbcc75f1d8a6a68246e417ff,CompareDiff,27,113,827,1,0,0,0,7,1
gitea,routers/web/repo/pull.go,41f3d062a2c3bb42cbcc75f1d8a6a68246e417ff,,3,5,24,0,0,0,0,0,0
gitea,routers/web/repo/pull.go,41f3d062a2c3bb42cbcc75f1d8a6a68246e417ff,CompareAndPullRequestPost,21,129,868,1,0,0,0,7,0
gitea,routers/api/v1/repo/issue.go,34281bc198a5ad9a1faa5285d4648b05d7218aaa,EditIssue,40,127,822,1,0,0,0,15,0
