project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
grafana,pkg/cmd/grafana-cli/commands/datamigrations/to_unified_storage.go,4918d8720c6171062c3bcd72a3a1a84dd4c086bf,ToUnifiedStorage,24,121,716,3,0,0,0,14,1
grafana,pkg/registry/apis/dashboard/legacy/migrate.go,4918d8720c6171062c3bcd72a3a1a84dd4c086bf,ProvideLegacyMigrator,1,7,44,2,0,0,0,0,0
grafana,pkg/registry/apis/dashboard/register.go,4918d8720c6171062c3bcd72a3a1a84dd4c086bf,RegisterAPIService,1,35,192,14,0,0,0,0,0
grafana,pkg/registry/apis/folders/legacy_storage.go,5e61ec12580d780f088230dd8a865b98a58af500,List,8,33,203,2,0,0,0,5,1
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,40ee9e10e2a5dbba9e2dc40e332e60b2e1a7da65,ResourceRequest,11,53,460,3,1,0,0,6,0
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,844c854d75b0a74478ecce295285b8255c204d3f,ResourceRequest,11,53,460,3,1,0,0,6,0
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,3b73ebb21096f69f4dcb287896e2cbfec65e48d7,ResourceRequest,9,46,379,3,1,0,0,6,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,68479d844bed475ce8e258a66d4a230e048768dc,ProvideDeletionService,1,14,81,3,0,0,0,0,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,68479d844bed475ce8e258a66d4a230e048768dc,Delete,2,7,55,2,0,0,0,1,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,68479d844bed475ce8e258a66d4a230e048768dc,ProvideDeletionService,1,14,81,3,0,0,0,0,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,68479d844bed475ce8e258a66d4a230e048768dc,Delete,2,7,55,2,0,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,profileTypes,9,38,311,3,0,0,0,6,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,labelNames,8,40,339,3,0,0,0,5,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,labelValues,5,28,266,3,0,0,0,4,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,CheckHealth,2,15,138,2,0,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,ProfileTypes,4,26,213,3,1,0,0,1,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,GetSeries,5,46,362,7,1,0,0,1,3
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,GetProfile,3,24,213,6,1,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,GetSpanProfile,3,24,222,7,1,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,profileQuery,2,17,118,5,0,0,0,0,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,LabelNames,4,22,185,4,1,0,0,1,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,e64cb8541f33cf1891c74ea64bcaf5e13d5b50c3,LabelValues,2,17,155,5,1,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/query.go,473898e47ceae0d09bd28a3bcc819c42488e3a33,,5,37,265,0,0,0,0,3,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/query.go,473898e47ceae0d09bd28a3bcc819c42488e3a33,,6,42,333,0,0,0,0,2,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/query.go,473898e47ceae0d09bd28a3bcc819c42488e3a33,query,7,29,247,3,1,0,0,7,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/query.go,473898e47ceae0d09bd28a3bcc819c42488e3a33,,1,6,43,1,0,0,0,0,0
grafana,pkg/tsdb/parca/resources.go,0845ac2f53ca17cf698341b382af5262335e295c,callProfileTypes,6,33,251,3,0,0,0,3,1
grafana,pkg/tsdb/parca/resources.go,0845ac2f53ca17cf698341b382af5262335e295c,callLabelNames,4,15,117,3,0,0,0,3,0
grafana,pkg/tsdb/parca/resources.go,0845ac2f53ca17cf698341b382af5262335e295c,callLabelValues,6,23,168,3,0,0,0,4,0
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,,1,4,67,1,0,0,0,0,0
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,,1,3,17,1,0,0,0,0,0
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,,1,7,154,1,0,0,0,0,0
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,,1,9,138,1,0,0,0,0,0
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,,5,51,413,2,0,0,0,0,0
grafana,pkg/api/folder.go,feaaf96269090c885c0a132093e091ae0672b0c3,newToFolderDto,6,25,235,2,0,0,0,3,1
grafana,pkg/registry/apis/folders/sub_access.go,feaaf96269090c885c0a132093e091ae0672b0c3,,1,14,183,2,0,0,0,0,0
grafana,pkg/registry/apis/folders/sub_access.go,feaaf96269090c885c0a132093e091ae0672b0c3,Connect,4,19,130,4,0,0,0,3,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,ProvideUserAuthTokenService,3,24,131,4,0,0,0,2,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,4,24,1,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,7,33,1,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,8,45,1,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,7,41,1,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,4,14,85,0,0,0,0,3,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,RotateToken,3,10,81,2,0,0,0,4,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,2,8,69,1,0,0,0,1,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,rotateToken,5,37,150,4,0,0,0,3,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,2,10,111,1,0,0,0,1,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,8,52,283,0,0,0,0,4,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,4,30,1,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,4,23,1,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,3,13,74,1,0,0,0,2,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,5,21,133,1,0,0,0,2,1
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,3,11,59,1,0,0,0,1,0
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,4,19,96,1,0,0,0,2,1
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,4,15,84,1,0,0,0,2,1
grafana,pkg/services/auth/authimpl/auth_token.go,382b24742ab8b124af072533f74027a1a103b037,,1,8,68,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/acimpl/service.go,88259da745a82adcc1776c29be810519b3abc0ec,getCachedUserPermissions,5,25,211,3,1,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,88259da745a82adcc1776c29be810519b3abc0ec,ClearUserPermissionCache,1,4,41,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/cacheutils.go,d89235aa8cba47205e5a8530def0ac5774a730f4,GetUserPermissionCacheKey,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/acimpl/service.go,88259da745a82adcc1776c29be810519b3abc0ec,getCachedUserPermissions,5,25,211,3,1,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,88259da745a82adcc1776c29be810519b3abc0ec,ClearUserPermissionCache,1,4,41,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/cacheutils.go,d89235aa8cba47205e5a8530def0ac5774a730f4,GetUserPermissionCacheKey,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/acimpl/service.go,88259da745a82adcc1776c29be810519b3abc0ec,getCachedUserPermissions,5,25,211,3,1,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,88259da745a82adcc1776c29be810519b3abc0ec,ClearUserPermissionCache,1,4,41,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/cacheutils.go,d89235aa8cba47205e5a8530def0ac5774a730f4,GetUserPermissionCacheKey,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,5,35,220,1,0,0,0,1,1
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,5,34,219,1,1,0,0,1,1
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,7,47,254,1,0,0,0,1,1
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,4,26,142,1,0,0,0,2,1
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,e0163c93c2fc7d436190335e7621cf4f1a7694de,,4,14,99,3,0,0,0,3,3
grafana,pkg/services/provisioning/dashboards/file_reader.go,7b4cea8151e27c1ccaca1d1577958f5daf0e03f1,walkDisk,6,29,199,1,1,0,0,4,0
grafana,pkg/services/provisioning/dashboards/file_reader.go,7b4cea8151e27c1ccaca1d1577958f5daf0e03f1,getProvisionedDashboardsByPath,3,12,85,3,0,0,0,1,1
grafana,pkg/registry/apis/dashboard/legacysearcher/search_client.go,42ae2fb02695281956e3787f7dbaa0cbb58e6d08,Search,50,198,1375,3,0,0,0,6,8
grafana,pkg/registry/apis/dashboard/legacysearcher/search_client.go,42ae2fb02695281956e3787f7dbaa0cbb58e6d08,formatQueryResult,4,25,175,1,0,0,0,0,1
grafana,pkg/services/dashboards/database/database.go,8c753999df89f67fe961a3f161ad81efa2a596b3,FindDashboards,14,59,475,2,0,0,0,1,1
grafana,pkg/services/dashboards/service/dashboard_service.go,3bda112c5f62e8bdc47190c2a4d090293f1e2a27,makeQueryResult,6,33,251,2,0,0,0,0,1
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,3b73ebb21096f69f4dcb287896e2cbfec65e48d7,ResourceRequest,9,46,379,3,1,0,0,6,0
grafana,pkg/plugins/repo/version.go,12dc56ad0cb5b6b982007d1498346fb03be05f41,SelectSystemCompatibleVersion,7,45,238,5,0,0,0,0,1
grafana,pkg/services/dashboards/service/dashboard_service.go,378bb6ea3fb9965a3467657ba7262cc4d2398502,FindDashboards,13,55,420,2,2,0,0,4,1
grafana,pkg/services/dashboards/service/dashboard_service.go,378bb6ea3fb9965a3467657ba7262cc4d2398502,fetchFolderNames,3,17,141,3,0,0,0,1,1
grafana,pkg/services/dashboards/service/dashboard_service.go,378bb6ea3fb9965a3467657ba7262cc4d2398502,makeQueryResult,8,45,329,2,0,0,0,0,1
grafana,pkg/registry/apis/dashboard/register.go,b2f80d4dca6dd40ef89a2d177713cef6e7a89818,validateUpdate,13,40,296,3,0,0,0,7,0
grafana,pkg/registry/apis/dashboard/register.go,b887e8aa058539df56845791baa58d4e81db54f0,validateUpdate,14,47,382,3,0,0,0,9,0
grafana,pkg/services/rendering/http_mode.go,5f6c172b5aa039708463a8b666afa84bf904eae1,getRemotePluginVersion,5,23,153,0,1,0,0,4,0
grafana,pkg/services/rendering/rendering.go,ec71919e7b10c2488e893a3095f640338249414d,remoteAvailable,1,3,20,0,0,0,0,0,0
grafana,pkg/services/ngalert/eval/validate.go,4c71cadd5fcc08f67de497035ffc81672c1dab91,Validate,13,39,272,2,0,0,0,2,2
grafana,pkg/api/admin_users.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,AdminUpdateUserPermissions,8,25,262,1,0,0,0,5,0
grafana,pkg/api/org_users.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,searchOrgUsersHelper,10,43,406,2,0,0,0,2,2
grafana,pkg/api/org_users.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,updateOrgUserHelper,11,35,336,2,0,0,0,4,0
grafana,pkg/api/password.go,814d62406e20687b18d6e7d6309fca549dee0252,SendResetPasswordEmail,9,32,337,1,0,0,0,4,0
grafana,pkg/api/user.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,getUserUserProfile,4,23,274,2,0,0,0,3,0
grafana,pkg/api/utils.go,1a6777cb93511e258e75ba6be41647c3c877fc53,isExternalUser,3,10,98,2,0,0,0,2,0
grafana,pkg/services/authn/authntest/fake.go,34e755d9f159cf9fa88f7dac92fe424ffb01832f,IsClientEnabled,1,3,16,1,0,0,0,0,0
grafana,pkg/services/login/authinfo.go,3cd952b8bad8d23daee10fcc303a6d19c8b6d0a0,IsExternallySynced,13,33,125,2,0,0,0,0,0
grafana,pkg/services/login/authinfo.go,3cd952b8bad8d23daee10fcc303a6d19c8b6d0a0,IsProviderEnabled,11,25,91,2,0,0,0,0,0
grafana,pkg/api/admin_users.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,AdminUpdateUserPermissions,8,25,262,1,0,0,0,5,0
grafana,pkg/api/org_users.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,searchOrgUsersHelper,10,43,406,2,0,0,0,2,2
grafana,pkg/api/org_users.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,updateOrgUserHelper,11,35,336,2,0,0,0,4,0
grafana,pkg/api/password.go,814d62406e20687b18d6e7d6309fca549dee0252,SendResetPasswordEmail,9,32,337,1,0,0,0,4,0
grafana,pkg/api/user.go,ce1450d4d3432cf268e83ffab39d57fdc635896f,getUserUserProfile,4,23,274,2,0,0,0,3,0
grafana,pkg/api/utils.go,1a6777cb93511e258e75ba6be41647c3c877fc53,isExternalUser,3,10,98,2,0,0,0,2,0
grafana,pkg/services/authn/authntest/fake.go,51da96d94e616ebf3f980e3bd46c7fd474a28977,IsClientEnabled,1,3,16,1,0,0,0,0,0
grafana,pkg/services/login/authinfo.go,3cd952b8bad8d23daee10fcc303a6d19c8b6d0a0,IsExternallySynced,13,33,125,2,0,0,0,0,0
grafana,pkg/services/login/authinfo.go,3cd952b8bad8d23daee10fcc303a6d19c8b6d0a0,IsProviderEnabled,11,25,91,2,0,0,0,0,0
