project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
grafana,pkg/cmd/grafana-cli/commands/datamigrations/to_unified_storage.go,feeced9618ee6c522e5b9a38298fff14a62aa407,ToUnifiedStorage,28,139,821,3,0,0,0,16,1
grafana,pkg/registry/apis/dashboard/legacy/migrate.go,feeced9618ee6c522e5b9a38298fff14a62aa407,ProvideLegacyMigrator,1,8,51,3,0,0,0,0,0
grafana,pkg/registry/apis/dashboard/legacy/migrate.go,feeced9618ee6c522e5b9a38298fff14a62aa407,ProvideLegacyMigrator,1,7,44,2,0,0,0,0,0
grafana,pkg/registry/apis/dashboard/legacy/sql_dashboards.go,feeced9618ee6c522e5b9a38298fff14a62aa407,SaveDashboard,14,43,326,4,0,0,0,6,0
grafana,pkg/registry/apis/dashboard/legacy/sql_dashboards.go,feeced9618ee6c522e5b9a38298fff14a62aa407,NewDashboardAccess,1,18,86,6,0,0,0,0,0
grafana,pkg/registry/apis/dashboard/register.go,feeced9618ee6c522e5b9a38298fff14a62aa407,RegisterAPIService,1,53,304,21,0,0,0,0,0
grafana,pkg/registry/apis/dashboard/register.go,feeced9618ee6c522e5b9a38298fff14a62aa407,RegisterAPIService,1,52,297,20,0,0,0,0,0
grafana,pkg/registry/apis/folders/legacy_storage.go,3fd8ad8476077b69c44172159852162fdf4dc605,List,12,47,297,2,0,0,0,5,1
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,3df3c4b650c72b97c3f6c82eb2410a6bed5a6f2d,ResourceRequest,11,53,465,3,1,0,0,6,0
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,e4c9d10bfb33f8b109374808668735b2a529295c,ResourceRequest,11,53,465,3,1,0,0,6,0
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,40ee9e10e2a5dbba9e2dc40e332e60b2e1a7da65,writeErrorResponse,10,50,389,3,0,0,0,3,0
grafana,pkg/tsdb/azuremonitor/loganalytics/azure-log-analytics-datasource.go,40ee9e10e2a5dbba9e2dc40e332e60b2e1a7da65,ResourceRequest,11,53,460,3,1,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,f593454e5468ebb06beb21316ffb13b7c98158aa,RoutePutAlertRuleGroup,6,23,201,4,0,0,0,5,0
grafana,pkg/services/ngalert/api/api_provisioning.go,f20d4895407a1b705f5ca6a69e1e0386eac2dc24,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,dd4a33adff0d7c317c1aab2dbe3db650393c368b,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,49f3fa91b36ec7558d052c2edfa61f03ef2dc420,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,003dc7763721f09c7daa6001e39be89ddcbfc2a5,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,e9a31cc36ab4bf52053bdab0011c3b2f12fbc9da,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,3f7a8e7966fa85f96463cc385ee25ac83c9d1d74,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,7439849323e9034ca50f9ac70290476255cfee7e,RoutePutAlertRuleGroup,7,26,225,4,0,0,0,6,0
grafana,pkg/services/ngalert/api/api_provisioning.go,1df888c51778ad3c02497d98d521435d990516ea,RoutePutAlertRuleGroup,6,23,201,4,0,0,0,5,0
grafana,pkg/services/ngalert/api/api_provisioning.go,6189120c1b0d700488f0fd5682962e6215d38422,RoutePutAlertRuleGroup,7,27,247,4,0,0,0,6,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,5303a1cc7eda648f65b37d677a67c8bb0ceaf649,Delete,5,19,130,2,0,0,0,3,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,5303a1cc7eda648f65b37d677a67c8bb0ceaf649,ProvideDeletionService,1,14,81,3,0,0,0,0,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,5303a1cc7eda648f65b37d677a67c8bb0ceaf649,ProvideDeletionService,1,15,90,4,0,0,0,0,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,c3ffd59702d5d36bb5c2dd4a7e4796c4d4d0f4f9,Delete,5,19,130,2,0,0,0,3,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,c3ffd59702d5d36bb5c2dd4a7e4796c4d4d0f4f9,ProvideDeletionService,1,14,81,3,0,0,0,0,0
grafana,pkg/services/org/orgimpl/org_delete_svc.go,c3ffd59702d5d36bb5c2dd4a7e4796c4d4d0f4f9,ProvideDeletionService,1,15,90,4,0,0,0,0,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,549511597c250173a35adcac82f3b53c591bc9d5,profileTypes,9,38,311,3,0,0,0,6,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,549511597c250173a35adcac82f3b53c591bc9d5,labelValues,5,28,266,3,0,0,0,4,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,549511597c250173a35adcac82f3b53c591bc9d5,labelNames,8,40,339,3,0,0,0,5,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/instance.go,549511597c250173a35adcac82f3b53c591bc9d5,CheckHealth,2,15,136,2,0,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,ProfileTypes,4,26,227,3,1,0,0,1,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,LabelNames,5,25,217,4,1,0,0,1,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,GetSeries,5,48,388,8,1,0,0,1,3
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,GetProfile,3,24,223,6,1,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,profileQuery,2,17,118,5,0,0,0,0,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,GetSpanProfile,3,24,232,7,1,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,profileQuery,2,17,99,2,0,0,0,0,1
grafana,pkg/tsdb/grafana-pyroscope-datasource/pyroscopeClient.go,549511597c250173a35adcac82f3b53c591bc9d5,LabelValues,3,20,187,5,1,0,0,1,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/query.go,549511597c250173a35adcac82f3b53c591bc9d5,,7,46,334,0,0,0,0,4,0
grafana,pkg/tsdb/grafana-pyroscope-datasource/query.go,549511597c250173a35adcac82f3b53c591bc9d5,query,7,29,241,3,1,0,0,8,0
grafana,pkg/tsdb/parca/resources.go,549511597c250173a35adcac82f3b53c591bc9d5,callLabelNames,4,29,281,3,1,0,0,3,0
grafana,pkg/tsdb/parca/resources.go,549511597c250173a35adcac82f3b53c591bc9d5,callLabelValues,6,41,384,3,1,0,0,4,0
grafana,pkg/tsdb/parca/resources.go,549511597c250173a35adcac82f3b53c591bc9d5,callProfileTypes,6,47,429,3,1,0,0,3,1
grafana,pkg/api/folder.go,d7a4f497bc2c361edc127b8246b819dd8f2dbc30,newToFolderDto,6,25,235,2,0,0,0,3,1
grafana,pkg/api/folder.go,d7a4f497bc2c361edc127b8246b819dd8f2dbc30,,5,51,413,2,0,0,0,0,0
grafana,pkg/registry/apis/folders/sub_access.go,d7a4f497bc2c361edc127b8246b819dd8f2dbc30,,1,14,183,2,0,0,0,0,0
grafana,pkg/registry/apis/folders/sub_access.go,d7a4f497bc2c361edc127b8246b819dd8f2dbc30,Connect,4,19,130,4,0,0,0,3,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,,2,8,52,0,0,0,0,0,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,ProvideUserAuthTokenService,3,28,167,7,0,0,0,2,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,RotateToken,3,13,104,2,1,0,0,4,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,ProvideUserAuthTokenService,3,26,154,6,0,0,0,1,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,rotateToken,6,41,181,4,0,0,0,3,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,,2,8,69,1,0,0,0,1,0
grafana,pkg/services/auth/authimpl/auth_token.go,86f2bf294044129e802ddeab6f4ac8e9f79dee9e,,6,24,223,1,0,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,e0ca1e5b1ca3eaf0338ebdcd238e40de710f67b0,getCachedUserPermissions,5,25,211,3,2,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,e0ca1e5b1ca3eaf0338ebdcd238e40de710f67b0,ClearUserPermissionCache,1,4,41,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/cacheutils.go,e0ca1e5b1ca3eaf0338ebdcd238e40de710f67b0,GetUserPermissionCacheKey,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/acimpl/service.go,6c0b0e87521a8f873ad066b65c12133a03c418d2,getCachedUserPermissions,5,25,211,3,2,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,6c0b0e87521a8f873ad066b65c12133a03c418d2,ClearUserPermissionCache,1,4,41,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/cacheutils.go,6c0b0e87521a8f873ad066b65c12133a03c418d2,GetUserPermissionCacheKey,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/acimpl/service.go,cfba630f5cab358cd9ce33ba249ba80d5377647f,getCachedUserPermissions,5,25,211,3,2,0,0,3,0
grafana,pkg/services/accesscontrol/acimpl/service.go,cfba630f5cab358cd9ce33ba249ba80d5377647f,ClearUserPermissionCache,1,4,41,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/cacheutils.go,cfba630f5cab358cd9ce33ba249ba80d5377647f,GetUserPermissionCacheKey,1,3,24,1,0,0,0,0,0
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,ef14992f00edbbc1e0cbc26ba60cd3f155d67cf8,managedPermissionsCollector,1,3,16,2,0,0,0,1,1
grafana,pkg/services/accesscontrol/dualwrite/collectors.go,ef14992f00edbbc1e0cbc26ba60cd3f155d67cf8,,12,63,392,2,0,0,0,1,1
grafana,pkg/services/accesscontrol/dualwrite/reconciler.go,ef14992f00edbbc1e0cbc26ba60cd3f155d67cf8,ProvideZanzanaReconciler,2,65,297,6,0,0,0,0,0
grafana,pkg/services/provisioning/dashboards/file_reader.go,745eda28480d6c83ee7ff15890e0db9818d39d76,getProvisionedDashboardsByPath,4,15,123,3,0,0,0,1,1
grafana,pkg/services/provisioning/dashboards/file_reader.go,745eda28480d6c83ee7ff15890e0db9818d39d76,getProvisionedDashboardsByPath,3,12,85,3,0,0,0,1,0
grafana,pkg/services/provisioning/dashboards/file_reader.go,745eda28480d6c83ee7ff15890e0db9818d39d76,walkDisk,6,29,201,1,1,0,0,4,0
grafana,pkg/registry/apis/dashboard/legacysearcher/search_client.go,5c0194955e054329a5468af553d288a5e09d47a3,formatQueryResult,4,25,175,1,0,0,0,2,0
grafana,pkg/registry/apis/dashboard/legacysearcher/search_client.go,5c0194955e054329a5468af553d288a5e09d47a3,Search,53,216,1452,3,0,0,0,6,8
grafana,pkg/services/dashboards/database/database.go,5c0194955e054329a5468af553d288a5e09d47a3,FindDashboards,25,94,810,2,1,0,0,2,2
grafana,pkg/services/dashboards/service/dashboard_service.go,5c0194955e054329a5468af553d288a5e09d47a3,makeQueryResult,7,36,262,2,0,0,0,0,1
