project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,1,18,0,1,0,1,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,1,17,0,1,0,1,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,4,15,100,2,0,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,4,15,119,2,0,0,0,2,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,5,44,0,1,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,19,39,286,4,0,0,0,6,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,5,44,0,1,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,7,22,141,0,1,0,0,4,1
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,5,19,0,1,0,0,0,1
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,3,27,2,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,8,34,1,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,10,30,232,1,0,0,0,1,2
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,3,8,68,2,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,8,28,160,1,0,0,0,0,2
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,3,18,1,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,4,13,89,1,0,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,4,6,48,2,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,4,6,47,2,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,8,50,0,0,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,8,56,0,1,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,5,18,93,0,1,0,0,3,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,5,19,0,1,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,2,7,32,0,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,compact,20,75,565,1,1,0,0,4,1
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,7,59,0,3,0,1,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,7,59,0,3,0,1,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,7,54,0,3,0,1,0,0
influxdb,tsdb/engine/tsm1/engine.go,f738344a81a913d8d93541423e7f29267f4f7735,,1,8,62,0,4,0,1,0,0
