project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
influxdb,tsdb/engine/tsm1/engine.go,0fdb6adcb2451a6ef3bfc8c63d621747de7aeef2,compact,20,79,571,1,1,0,0,4,1
influxdb,tsdb/engine/tsm1/engine.go,0fdb6adcb2451a6ef3bfc8c63d621747de7aeef2,,1,5,59,1,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,0fdb6adcb2451a6ef3bfc8c63d621747de7aeef2,StartOptHoldOff,1,4,32,3,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,7437f275ff88d203d369459d740d9addb2911298,compact,20,79,571,1,1,0,0,4,1
influxdb,tsdb/engine/tsm1/engine.go,7437f275ff88d203d369459d740d9addb2911298,,1,5,59,1,0,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,7437f275ff88d203d369459d740d9addb2911298,StartOptHoldOff,1,4,32,3,0,0,0,0,0
influxdb,tsdb/store.go,eab8a8a6e83c3142d11a464df13a99b9b6bdfea5,ClearBadShardList,1,9,67,0,2,0,0,0,0
influxdb,influxql/query/select.go,a2f1b41363c8faf1f725d96ce4509abfeb8dea02,,7,23,150,0,0,0,0,3,1
influxdb,tsdb/engine/tsm1/engine.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,addToIndexFromKey,3,16,181,2,0,0,0,1,1
influxdb,tsdb/field_validator.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,ValidateAndCreateFields,11,47,297,3,0,0,0,2,1
influxdb,tsdb/field_validator.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,ValidateFields,10,44,262,3,0,0,0,0,0
influxdb,tsdb/shard.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,,24,101,574,0,0,0,0,24,7
influxdb,tsdb/shard.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,,22,96,523,0,0,0,0,23,8
influxdb,tsdb/shard.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,WritePoints,6,27,182,2,2,0,0,4,0
influxdb,tsdb/shard.go,5900fcfb1757895eff0f1a7d4e4064f5ad60b42c,validateSeriesAndFields,11,58,410,1,0,0,0,2,1
influxdb,tsdb/engine/tsm1/compact.go,b0a47a02bcbcb5357c15a53e4eed237782b5e9dd,writeNewFiles,8,33,322,6,0,0,0,5,1
influxdb,tsdb/engine/tsm1/compact.go,b0a47a02bcbcb5357c15a53e4eed237782b5e9dd,RemoveTmpFilesOnErr,3,10,99,2,0,0,0,0,0
influxdb,tsdb/engine/tsm1/compact.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,removeTmpFiles,3,8,51,1,0,0,0,1,1
influxdb,tsdb/engine/tsm1/compact.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,CompactFull,5,23,144,2,1,0,0,1,0
influxdb,tsdb/engine/tsm1/compact.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,RemoveTmpFiles,3,9,70,1,0,0,0,1,1
influxdb,tsdb/engine/tsm1/compact.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,CompactFast,5,23,144,2,1,0,0,1,0
influxdb,tsdb/engine/tsm1/engine.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,,2,5,39,1,1,0,0,0,0
influxdb,tsdb/engine/tsm1/engine.go,a753a8b8d654f23a44ea30a0fb7c17ec505758e7,compactGroup,11,50,391,0,2,0,0,4,3
influxdb,pkg/data/gensyncmap/gensyncmap.go,eb1dd047062029e25311cfb8b429d1b27c2fb23f,,1,4,14,2,0,0,0,0,0
