project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
kubernetes,test/e2e/windows/eviction.go,3683010a7c6a3dc5372e1688d7b2995b745f5bea,,1,3,11,0,0,0,0,0,0
kubernetes,test/e2e/windows/eviction.go,3683010a7c6a3dc5372e1688d7b2995b745f5bea,,5,11,97,0,0,0,0,0,1
kubernetes,test/e2e/windows/eviction.go,3683010a7c6a3dc5372e1688d7b2995b745f5bea,,7,113,784,1,0,0,0,0,4
kubernetes,test/e2e/windows/eviction.go,3683010a7c6a3dc5372e1688d7b2995b745f5bea,,1,6,34,0,0,0,0,0,4
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,1,3,11,0,0,0,0,0,0
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,1,14,158,1,0,0,0,0,0
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,1,8,75,1,0,0,0,0,0
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,1,8,73,1,0,0,0,0,0
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,1,5,29,0,0,0,0,0,0
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,1,6,34,0,0,0,0,0,0
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,,3,12,81,0,0,0,0,1,1
kubernetes,test/e2e/windows/hybrid_network.go,8e5b959e1228c25a2df2301f80b22761460da6cf,assertConsistentConnectivity,1,5,75,6,0,0,0,1,1
kubernetes,test/e2e/windows/reboot_node.go,2f6c4f5eab85d3f15cd80d21f4a0c353a8ceb10b,,1,3,11,0,0,0,0,0,0
kubernetes,test/e2e/windows/reboot_node.go,2f6c4f5eab85d3f15cd80d21f4a0c353a8ceb10b,,5,185,1128,1,0,0,0,1,1
kubernetes,test/e2e/windows/reboot_node.go,2f6c4f5eab85d3f15cd80d21f4a0c353a8ceb10b,,1,6,34,0,0,0,0,1,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,1,5,50,2,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,1,4,31,1,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,1,1,20,2,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,7,27,163,2,0,0,0,3,2
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,6,23,142,2,0,0,0,4,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,Run,4,23,150,0,0,0,0,9,2
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,1,5,50,2,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,693e1299a6a75ffe358c41626532cdf2567c267b,,1,4,31,1,0,0,0,0,0
