project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
kubernetes,test/e2e/windows/eviction.go,b35c5c0a301d326fdfa353943fca077778544ac6,logNodeMemoryDebugInfo,18,58,513,5,0,0,0,0,0
kubernetes,test/e2e/windows/eviction.go,b35c5c0a301d326fdfa353943fca077778544ac6,,1,6,34,0,0,0,0,0,4
kubernetes,test/e2e/windows/eviction.go,b35c5c0a301d326fdfa353943fca077778544ac6,,5,110,802,1,0,0,0,0,4
kubernetes,test/e2e/windows/eviction.go,b35c5c0a301d326fdfa353943fca077778544ac6,cleanupImagePullerPods,4,17,176,2,0,0,0,1,1
kubernetes,test/e2e/windows/hybrid_network.go,b35c5c0a301d326fdfa353943fca077778544ac6,,3,14,87,0,0,0,0,1,1
kubernetes,test/e2e/windows/hybrid_network.go,b35c5c0a301d326fdfa353943fca077778544ac6,assertConsistentConnectivity,1,5,75,6,0,0,0,1,1
kubernetes,test/e2e/windows/kubelet_stats.go,b35c5c0a301d326fdfa353943fca077778544ac6,findWindowsNodes,5,14,130,2,0,0,0,1,1
kubernetes,test/e2e/windows/reboot_node.go,b35c5c0a301d326fdfa353943fca077778544ac6,cleanupContainers,6,98,416,4,0,0,0,2,1
kubernetes,test/e2e/windows/reboot_node.go,b35c5c0a301d326fdfa353943fca077778544ac6,,1,6,34,0,0,0,0,1,2
kubernetes,test/e2e/windows/reboot_node.go,b35c5c0a301d326fdfa353943fca077778544ac6,,8,208,1392,1,0,0,0,1,2
kubernetes,test/e2e/windows/reboot_node.go,b35c5c0a301d326fdfa353943fca077778544ac6,patchWindowsNodeIfNeeded,8,37,268,3,0,0,0,3,1
kubernetes,test/e2e/windows/reboot_node.go,b35c5c0a301d326fdfa353943fca077778544ac6,encodePowerShellCommand,2,8,66,1,0,0,0,0,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,609e4a9ba044e64a6244e053d2b1b7c545a2d2ed,,9,33,191,2,0,0,0,4,2
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,609e4a9ba044e64a6244e053d2b1b7c545a2d2ed,Run,4,23,150,0,0,0,0,10,2
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,cce99a8c73a32c6dff31768c4757968440ef91c3,,9,33,191,2,0,0,0,4,2
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/rollout/rollout_history.go,cce99a8c73a32c6dff31768c4757968440ef91c3,Run,4,23,150,0,0,0,0,10,2
kubernetes,pkg/controller/podautoscaler/horizontal.go,381ccf0f4c723f7164d4363d2bcd76f4e34e5441,computeStatusForObjectMetric,7,35,495,7,0,0,0,2,0
kubernetes,plugin/pkg/auth/authorizer/rbac/bootstrappolicy/controller_policy.go,20cecaee97f34f874a84902bf8dbe2bc359db9f0,buildControllerRoles,9,354,4481,0,0,0,0,0,0
kubernetes,plugin/pkg/auth/authorizer/rbac/bootstrappolicy/controller_policy.go,20cecaee97f34f874a84902bf8dbe2bc359db9f0,,1,13,148,0,0,0,0,0,0
kubernetes,pkg/apis/apps/validation/validation.go,7c887412c882afc130d78e4bb6efad056b0fe376,ValidateStatefulSetUpdate,2,16,192,3,0,0,0,0,0
kubernetes,pkg/registry/apps/statefulset/strategy.go,7c887412c882afc130d78e4bb6efad056b0fe376,WarningsOnUpdate,5,15,166,3,0,0,0,0,1
kubernetes,pkg/registry/apps/statefulset/strategy.go,7c887412c882afc130d78e4bb6efad056b0fe376,WarningsOnCreate,4,11,129,2,0,0,0,0,1
kubernetes,staging/src/k8s.io/kubectl/pkg/describe/describe.go,4114a9b4e45a4df96f0383d87b2649640a6ffbf1,printProjectedVolumeSource,8,21,159,2,0,0,0,0,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/wait/wait.go,0cc926220067cd814cecd8f3d0c3b9235e6a68db,,3,11,59,1,0,0,0,1,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/wait/wait.go,0cc926220067cd814cecd8f3d0c3b9235e6a68db,,1,4,19,2,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/wait/wait.go,0cc926220067cd814cecd8f3d0c3b9235e6a68db,RunWait,9,27,189,0,1,0,0,6,0
kubernetes,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/get.go,ae35048cb0b9b177891aab41346b6d6cc504582f,,24,103,802,2,5,0,0,9,0
kubernetes,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/get.go,ae35048cb0b9b177891aab41346b6d6cc504582f,isListWatchRequest,3,3,37,1,0,0,0,0,0
kubernetes,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/get.go,ae35048cb0b9b177891aab41346b6d6cc504582f,ListResource,1,3,32,5,5,0,0,9,0
kubernetes,staging/src/k8s.io/apiserver/pkg/endpoints/handlers/get.go,ae35048cb0b9b177891aab41346b6d6cc504582f,AllowsMediaTypeTransform,3,6,49,3,0,0,0,0,0
kubernetes,staging/src/k8s.io/client-go/util/consistencydetector/list_data_consistency_detector.go,ae35048cb0b9b177891aab41346b6d6cc504582f,IsDataConsistencyDetectionForListEnabled,1,3,9,0,0,0,0,0,0
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,addWellKnownUnstructuredSecrets,2,11,135,2,0,0,0,0,1
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,,1,9,61,0,1,1,1,0,1
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,getExpectedRequestMadeByClientFor,2,9,45,1,0,0,0,0,0
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,getExpectedRequestMadeByClientWhenFallbackToListFor,2,10,47,1,0,0,0,0,0
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,,1,17,200,1,0,0,0,0,0
kubernetes,test/e2e/apimachinery/watchlist.go,ae35048cb0b9b177891aab41346b6d6cc504582f,RoundTrip,2,8,76,1,0,0,0,0,0
kubernetes,pkg/controller/deployment/sync.go,05bc2708700a09a477eff902ad7f9189ab0ac4be,scale,17,59,457,4,0,0,0,2,3
kubernetes,pkg/controller/deployment/util/deployment_util.go,05bc2708700a09a477eff902ad7f9189ab0ac4be,GetProportion,6,11,93,5,0,0,0,0,0
kubernetes,pkg/controller/deployment/util/deployment_util.go,05bc2708700a09a477eff902ad7f9189ab0ac4be,GetReplicaSetProportion,6,11,93,5,0,0,0,0,0
kubernetes,pkg/controller/deployment/util/deployment_util.go,05bc2708700a09a477eff902ad7f9189ab0ac4be,getReplicaSetFraction,5,16,138,3,0,0,0,0,0
kubernetes,cmd/kube-controller-manager/app/core.go,442183a9298e37cb655b4a3f48462ee30e475069,startCloudNodeLifecycleController,3,19,138,3,0,0,1,1,0
kubernetes,cmd/kube-controller-manager/app/core.go,442183a9298e37cb655b4a3f48462ee30e475069,startServiceLBController,3,21,167,3,0,0,1,1,0
kubernetes,staging/src/k8s.io/cloud-provider/controllers/service/controller.go,442183a9298e37cb655b4a3f48462ee30e475069,New,2,48,273,6,0,0,0,1,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/debug/debug.go,5826868586d501060a6151d04c511236b11a26d4,logOpts,5,16,109,3,0,0,0,3,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/debug/debug.go,5826868586d501060a6151d04c511236b11a26d4,,7,42,272,1,0,0,0,3,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/debug/debug.go,5826868586d501060a6151d04c511236b11a26d4,logOpts,5,16,116,4,0,0,0,3,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,parallelConsumeRequest,2,11,88,2,1,0,2,1,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,,3,6,37,0,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,RunLogs,6,24,174,0,1,0,0,1,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,sequentialConsumeRequest,4,12,89,2,0,0,0,1,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,sequentialConsumeRequest,4,12,82,1,0,0,0,0,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,DefaultConsumeRequest,6,20,103,3,1,0,0,4,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,,3,11,73,2,1,0,1,1,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,DefaultConsumeRequest,6,20,102,2,1,0,0,2,0
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/logs/logs.go,5826868586d501060a6151d04c511236b11a26d4,parallelConsumeRequest,2,11,83,1,1,0,1,1,1
kubernetes,staging/src/k8s.io/kubectl/pkg/cmd/run/run.go,5826868586d501060a6151d04c511236b11a26d4,logOpts,5,16,115,3,0,0,0,3,1
kubernetes,pkg/controller/statefulset/stateful_set.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,NewStatefulSetController,1,47,292,6,0,0,0,0,0
kubernetes,pkg/controller/statefulset/stateful_set.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,updatePod,15,42,394,2,0,0,0,0,1
kubernetes,pkg/controller/statefulset/stateful_set_control.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,processReplica,25,71,546,6,0,0,0,6,0
kubernetes,pkg/controller/statefulset/stateful_set_control.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,updateStatefulSet,32,123,886,6,0,0,0,9,5
kubernetes,pkg/controller/statefulset/stateful_set_control.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,NewDefaultStatefulSetControl,1,6,28,3,0,0,0,0,0
kubernetes,pkg/controller/statefulset/stateful_set_control.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,,1,3,29,1,0,0,0,0,0
kubernetes,pkg/controller/statefulset/stateful_set_control.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,NewDefaultStatefulSetControl,1,7,35,4,0,0,0,0,0
kubernetes,pkg/controller/statefulset/stateful_set_control.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,processReplica,25,91,653,9,0,0,0,5,0
kubernetes,test/e2e/framework/statefulset/rest.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,,3,13,106,0,0,0,0,1,0
kubernetes,test/e2e/framework/statefulset/rest.go,85d55b67371bae83aa73a3a65b23520e0f22a74b,update,2,8,62,5,0,0,0,2,0
