project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
minio,cmd/storage-rest-client.go,0506d9e83d93575aba78ea81eccc02b6a176e814,isNetworkError,3,9,59,1,0,0,0,1,0
minio,cmd/auth-handler.go,43a3778b4553e54afc6bac7920f23f581afdcb54,validateSignature,8,28,190,2,0,0,0,0,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,2,12,71,2,0,0,0,0,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,2,9,71,0,0,0,0,1,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,1,3,24,2,0,0,0,0,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,PutObjectHandler,62,230,1894,2,2,0,0,11,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,1,3,24,2,0,0,0,0,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,5,18,88,0,0,0,1,0,1
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,2,13,127,4,0,0,0,0,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,11,57,482,1,1,0,0,3,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,14,74,669,1,1,0,0,4,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,9,49,412,1,1,0,0,3,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,5,26,236,1,1,0,0,2,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,6,31,285,1,1,0,0,3,0
minio,cmd/object-handlers.go,43a3778b4553e54afc6bac7920f23f581afdcb54,,5,26,229,1,1,0,0,2,0
minio,cmd/object-multipart-handlers.go,76913a9fd5c6e5c2dbd4e8c7faf56ed9e9e24091,PutObjectPartHandler,54,223,1731,2,2,0,0,19,0
minio,cmd/streaming-v4-unsigned.go,76913a9fd5c6e5c2dbd4e8c7faf56ed9e9e24091,newUnsignedV4ChunkedReader,3,16,109,2,0,0,0,0,1
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,authenticateSSHConnection,12,45,278,3,0,0,0,1,0
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,processLDAPAuthentication,21,93,627,3,0,0,0,8,1
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,,1,3,29,1,0,0,0,0,0
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,validateKey,4,16,89,2,0,0,0,0,0
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,,1,5,47,2,1,0,0,0,0
minio,cmd/sftp-server.go,e404abf103dbc5e553ca7efdabd4584fb07d322b,startSFTPServer,25,104,626,1,1,0,0,8,1
minio,cmd/admin-handlers-users.go,580d9db85e04f1b63cc2909af50f0ed08afa965f,ExportIAM,43,212,1636,2,2,0,0,30,3
