project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
minio,cmd/storage-rest-client.go,ffd57fde900457b1e8df9d948757c84fdf5327da,isNetworkError,5,15,88,1,0,0,0,1,0
minio,cmd/auth-handler.go,8c70975283f9f4ce80f331a25c7475a36279e519,validateSignature,7,24,152,2,0,0,0,0,0
minio,cmd/auth-handler.go,8c70975283f9f4ce80f331a25c7475a36279e519,isRequestUnsignedTrailerV4,2,4,33,1,0,0,0,0,0
minio,cmd/auth-handler.go,8c70975283f9f4ce80f331a25c7475a36279e519,authenticateRequest,12,49,320,3,0,0,0,1,0
minio,cmd/object-handlers.go,8c70975283f9f4ce80f331a25c7475a36279e519,,4,19,224,2,0,0,0,1,0
minio,cmd/object-handlers.go,8c70975283f9f4ce80f331a25c7475a36279e519,PutObjectHandler,76,302,2489,2,3,0,0,18,0
minio,cmd/object-handlers.go,8c70975283f9f4ce80f331a25c7475a36279e519,PutObjectRetentionHandler,11,70,531,2,1,0,0,6,0
minio,cmd/object-multipart-handlers.go,8c70975283f9f4ce80f331a25c7475a36279e519,PutObjectPartHandler,61,243,1902,2,2,0,0,19,0
minio,cmd/streaming-v4-unsigned.go,8c70975283f9f4ce80f331a25c7475a36279e519,newUnsignedV4ChunkedReader,5,21,143,3,0,0,0,1,1
minio,cmd/streaming-v4-unsigned.go,8c70975283f9f4ce80f331a25c7475a36279e519,newUnsignedV4ChunkedReader,3,16,109,2,0,0,0,1,1
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,authenticateSSHConnection,13,48,293,3,0,0,0,1,0
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,,1,3,29,1,0,0,0,0,0
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,validateClientKeyIsTrusted,4,16,89,2,0,0,0,0,0
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,validateKey,4,16,89,2,0,0,0,0,0
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,startSFTPServer,25,104,626,1,1,0,0,9,1
minio,cmd/sftp-server.go,4c71f1b4ec0fb2a473ddaac18c20ec9e63f267ec,processLDAPAuthentication,23,97,645,3,0,0,0,8,1
minio,cmd/object-handlers.go,437dd4e32a5262ab48579ffcbcdc296ac76c46c0,PutObjectRetentionHandler,12,75,574,2,1,0,0,6,0
minio,cmd/bucket-replication.go,e029f8a9d75cbe68c54ba2e7e83de4bd289875de,putReplicationOpts,33,114,734,4,0,0,0,5,3
minio,cmd/bucket-replication.go,e029f8a9d75cbe68c54ba2e7e83de4bd289875de,,2,111,323,0,15,4,5,38,26
minio,cmd/admin-handlers-users.go,f246c9053f9603e610d98439799bdd2a6b293427,importIAM,81,369,2813,3,7,0,0,35,7
minio,cmd/admin-handlers-users.go,f246c9053f9603e610d98439799bdd2a6b293427,ExportIAM,38,171,1388,2,1,0,0,27,3
minio,cmd/data-usage-cache.go,7472818d940356070e98098ba574a153e2448556,,1,5,19,0,1,0,0,0,0
minio,cmd/data-usage-cache.go,7472818d940356070e98098ba574a153e2448556,,3,17,117,2,1,0,0,2,0
minio,cmd/admin-handlers-idp-ldap.go,f5d2fbc84c6311826b75335b92c24e5227853daa,ListAccessKeysLDAPBulk,40,155,930,2,0,0,0,7,5
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,ListPolicyMappings,7,18,172,4,1,0,0,0,0
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,listUserPolicyMappings,7,28,217,4,0,0,0,0,2
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,listPolicyMappings,13,61,445,4,0,0,0,1,5
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,,6,21,100,2,0,0,0,0,0
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,listPolicyMappings,14,65,467,5,0,0,0,1,8
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,listUserPolicyMappings,6,24,193,3,0,0,0,0,1
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,,6,19,94,2,0,0,0,0,0
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,listGroupPolicyMappings,1,8,57,3,0,0,0,0,0
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,listGroupPolicyMappings,1,8,64,4,0,0,0,0,0
minio,cmd/iam-store.go,f5d2fbc84c6311826b75335b92c24e5227853daa,ListPolicyMappings,7,18,159,3,0,0,0,0,2
minio,cmd/iam.go,f5d2fbc84c6311826b75335b92c24e5227853daa,QueryLDAPPolicyEntities,5,17,133,2,0,0,0,0,0
minio,cmd/iam.go,f5d2fbc84c6311826b75335b92c24e5227853daa,QueryPolicyEntities,4,15,111,2,0,0,0,0,0
minio,cmd/iam.go,f5d2fbc84c6311826b75335b92c24e5227853daa,createCleanEntitiesQuery,10,35,242,2,0,0,0,1,3
minio,cmd/iam.go,f5d2fbc84c6311826b75335b92c24e5227853daa,PolicyDBUpdateLDAP,18,82,450,3,0,0,0,4,1
minio,internal/config/identity/ldap/ldap.go,f5d2fbc84c6311826b75335b92c24e5227853daa,DecodeDN,2,6,34,1,0,0,0,1,0
minio,internal/config/identity/ldap/ldap.go,f5d2fbc84c6311826b75335b92c24e5227853daa,QuickNormalizeDN,2,6,34,1,0,0,0,1,0
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,,19,82,476,0,1,0,1,11,3
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,updateState,5,16,135,1,1,0,0,0,0
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,handleMuxServerMsg,10,39,255,2,0,0,0,0,0
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,debugMsg,16,55,340,2,4,0,0,0,0
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,handlePong,5,19,159,2,0,0,0,0,0
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,Stats,2,23,161,0,0,0,0,0,0
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,handleMessages,35,150,943,2,4,0,2,23,6
minio,internal/grid/connection.go,f00187033d7977ee2da95e3b8542bd720b52628f,handlePing,3,16,122,2,0,0,0,0,0
minio,internal/grid/debugmsg_string.go,f00187033d7977ee2da95e3b8542bd720b52628f,_,1,12,86,0,0,0,0,0,0
minio,internal/grid/muxclient.go,f00187033d7977ee2da95e3b8542bd720b52628f,handleTwowayRequests,26,102,475,2,2,0,0,5,3
minio,internal/grid/muxclient.go,f00187033d7977ee2da95e3b8542bd720b52628f,,1,4,23,0,1,0,0,0,0
