project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
nomad,client/allocrunner/taskrunner/vault_hook.go,349c032369373555a0ccf7835184c633cc80b01b,run,15,79,473,1,0,0,0,5,1
nomad,client/allocrunner/taskrunner/vault_hook.go,349c032369373555a0ccf7835184c633cc80b01b,deriveVaultToken,7,34,237,0,0,0,0,3,1
nomad,client/allocrunner/taskrunner/vault_hook.go,349c032369373555a0ccf7835184c633cc80b01b,deriveVaultTokenJWT,4,30,167,0,0,0,0,2,0
nomad,client/vaultclient/vaultclient.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,DeriveTokenWithJWT,8,34,258,2,1,0,0,1,1
nomad,client/vaultclient/vaultclient.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,renew,24,80,549,1,2,0,0,5,0
nomad,client/vaultclient/vaultclient_testing.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,NewMockVaultClient,1,3,23,1,0,0,0,0,0
nomad,client/vaultclient/vaultclient_testing.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,DeriveTokenWithJWT,4,16,124,2,1,0,0,0,0
nomad,client/vaultclient/vaultclient_testing.go,0935f443dcf0f3e872f9f530fcf208ad4b8d8981,SetDeriveTokenWithJWTFn,1,5,47,4,1,0,0,0,0
nomad,client/allocrunner/cni/bridge.go,73ce56ba27055bb0c805ad1d25a701a73d28c22b,NewNomadBridgeConflist,2,49,186,1,0,0,0,0,0
nomad,nomad/csi_endpoint.go,730c22656bc334ca239e0041c1ad50e944293056,DeleteSnapshot,12,47,350,2,1,0,0,4,1
nomad,client/vaultclient/vaultclient.go,6be9a50626098cfc545233b5b68f0e3dc8c7ccf4,renew,30,98,624,1,1,0,0,7,0
nomad,drivers/docker/coordinator.go,98b295d61713be89a78f43b8263f2ef799b2363c,pullImageImpl,5,41,298,3,3,0,0,2,0
nomad,drivers/docker/coordinator.go,98b295d61713be89a78f43b8263f2ef799b2363c,recoverablePullError,2,7,49,2,0,0,0,1,0
nomad,drivers/docker/coordinator.go,98b295d61713be89a78f43b8263f2ef799b2363c,wait,1,4,20,0,0,0,0,0,0
nomad,drivers/docker/coordinator.go,98b295d61713be89a78f43b8263f2ef799b2363c,PullImage,5,21,168,4,1,0,1,1,0
nomad,drivers/docker/coordinator.go,98b295d61713be89a78f43b8263f2ef799b2363c,pullImageImpl,5,41,298,3,3,0,0,2,0
nomad,client/heartbeatstop.go,74059611447fd20b1a4099de6dd1eb728ddcf40d,newHeartbeatStop,4,22,124,4,0,1,0,1,0
nomad,client/heartbeatstop.go,74059611447fd20b1a4099de6dd1eb728ddcf40d,allocHook,2,6,36,1,0,0,0,0,0
nomad,client/heartbeatstop.go,74059611447fd20b1a4099de6dd1eb728ddcf40d,shouldStop,2,8,57,1,0,0,0,0,0
nomad,client/heartbeatstop.go,74059611447fd20b1a4099de6dd1eb728ddcf40d,watch,13,43,225,0,0,1,0,1,3
nomad,client/heartbeatstop.go,74059611447fd20b1a4099de6dd1eb728ddcf40d,setLastOk,1,7,48,0,1,0,0,0,0
nomad,client/heartbeatstop.go,74059611447fd20b1a4099de6dd1eb728ddcf40d,allocTaskGroup,3,8,42,1,0,0,0,0,1
nomad,nomad/state/events.go,6318a8ac7bf8f7e3236017a2fe3e0f02263b8ad7,eventFromChange,22,146,761,1,0,0,0,0,0
nomad,client/allocrunner/taskrunner/dynamic_users_hook.go,67554b8f9144ee3c3116b4bdee248cb73b717cff,Prestart,6,27,177,3,1,0,0,1,0
nomad,command/volume_create_host.go,298460dcd96e027a37cbbbe7734ff23e58d7e3ec,ttyMonitor,6,60,451,4,1,0,1,2,1
nomad,nomad/structs/csi.go,7d0f87b9106a8557896c6cc09576c846235495a5,Merge,4,11,51,1,0,0,0,0,0
nomad,nomad/structs/csi.go,7d0f87b9106a8557896c6cc09576c846235495a5,Merge,24,68,432,1,0,0,0,0,1
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,2,10,42,0,0,0,0,0,0
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,4,14,75,0,0,0,0,0,0
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,8,51,339,0,0,0,0,1,2
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,8,27,155,0,0,0,0,1,2
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,4,14,85,0,0,0,0,0,1
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,7,25,148,0,0,0,0,0,2
nomad,scheduler/rank.go,5cd8d1fe82e31474be918b24924d21798032180d,Next,4,14,98,0,0,0,0,0,1
nomad,nomad/structs/host_volumes.go,2b04d47ac2e3f1d6911eddbb9fb9dfffab3f1eef,Validate,11,36,255,0,0,0,0,2,2
nomad,nomad/structs/host_volumes.go,2b04d47ac2e3f1d6911eddbb9fb9dfffab3f1eef,ValidateUpdate,8,25,177,1,0,0,0,0,0
nomad,nomad/structs/host_volumes.go,2b04d47ac2e3f1d6911eddbb9fb9dfffab3f1eef,Validate,4,21,81,0,0,0,0,0,0
nomad,client/allocrunner/network_hook.go,e17901d6679a0baa366c82e47af01a1d075e92b1,Prerun,10,24,181,0,0,0,0,2,0
nomad,client/allocrunner/networking.go,756aa11654cedf47fb577ac2b81c23680d35ff73,Setup,1,3,36,3,0,0,0,0,0
nomad,client/allocrunner/networking_bridge_linux.go,756aa11654cedf47fb577ac2b81c23680d35ff73,Setup,2,6,73,3,0,0,0,1,0
nomad,client/allocrunner/networking_cni.go,756aa11654cedf47fb577ac2b81c23680d35ff73,Setup,9,39,307,3,0,0,0,2,2
nomad,drivers/docker/util/stats_posix.go,3ad0df71a83f2a8a31894aef100227c9c7b64b12,DockerStatsToTaskResourceUsage,3,41,336,2,0,0,0,0,0
nomad,command/operator_debug.go,1bd132f09d6b387e731fc609ac8d4beb5d0b7616,Run,38,197,1751,1,1,0,0,12,2
nomad,scheduler/generic_sched.go,fa70267787dbc4fc8e94a5b77e6db5a5cc3d03f3,computePlacements,32,144,926,3,0,0,0,5,2
nomad,scheduler/reconcile.go,cf539c405e5e0821910fad9a8bb014bebdcd3e54,computeGroup,25,103,920,2,0,0,0,0,0
nomad,scheduler/reconcile.go,cf539c405e5e0821910fad9a8bb014bebdcd3e54,appendUnknownDisconnectingUpdates,2,10,80,2,0,0,0,0,1
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,TaskGroup,1,1,18,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,Name,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,Canary,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,PreviousAllocation,1,1,18,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,IsRescheduling,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,StopPreviousAlloc,1,1,19,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,DowngradeNonCanary,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,MinJobVersion,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,PreviousLost,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,TaskGroup,1,1,18,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,d50fb2a00e5d1823829b174736f615f3700a72b4,Name,1,1,15,0,0,0,0,0,0
