project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
nomad,client/allocrunner/taskrunner/vault_hook.go,26004c54076ef4bb6e75711f5fd39287d44749d6,deriveVaultTokenJWT,6,38,219,0,0,0,0,2,0
nomad,client/allocrunner/taskrunner/vault_hook.go,26004c54076ef4bb6e75711f5fd39287d44749d6,run,17,87,509,1,0,0,0,5,1
nomad,client/allocrunner/taskrunner/vault_hook.go,26004c54076ef4bb6e75711f5fd39287d44749d6,deriveVaultToken,6,29,200,0,1,0,0,2,1
nomad,client/vaultclient/vaultclient.go,26004c54076ef4bb6e75711f5fd39287d44749d6,DeriveTokenWithJWT,8,34,269,2,1,0,0,1,1
nomad,client/vaultclient/vaultclient.go,26004c54076ef4bb6e75711f5fd39287d44749d6,renew,30,99,629,1,1,0,0,7,0
nomad,client/vaultclient/vaultclient_testing.go,26004c54076ef4bb6e75711f5fd39287d44749d6,SetDeriveTokenWithJWTFn,1,5,49,5,1,0,0,0,0
nomad,client/vaultclient/vaultclient_testing.go,26004c54076ef4bb6e75711f5fd39287d44749d6,DeriveTokenWithJWT,4,16,130,2,1,0,0,0,0
nomad,client/vaultclient/vaultclient_testing.go,26004c54076ef4bb6e75711f5fd39287d44749d6,NewMockVaultClient,1,3,27,1,0,0,0,0,0
nomad,client/vaultclient/vaultclient_testing.go,26004c54076ef4bb6e75711f5fd39287d44749d6,SetDeriveTokenWithJWTFn,1,5,47,4,1,0,0,0,0
nomad,client/client.go,716df52788a0b36a8220b4060737dc7a7f499c08,init,21,83,587,0,0,0,0,14,0
nomad,helper/escapingfs/copydir.go,716df52788a0b36a8220b4060737dc7a7f499c08,CopyDir,1,4,30,2,1,0,0,6,0
nomad,helper/escapingfs/copydir.go,716df52788a0b36a8220b4060737dc7a7f499c08,,9,34,229,3,1,0,0,6,0
nomad,client/allocrunner/cni/bridge.go,24fa7439dffdccc0e4071d09dbc47e8325b4eae2,NewNomadBridgeConflist,3,54,230,1,0,0,0,0,0
nomad,nomad/csi_endpoint.go,8164d9e1d4939771a8d230ba6fd8f4f54442f6fe,DeleteSnapshot,13,55,388,2,1,0,0,4,1
nomad,client/vaultclient/vaultclient.go,b5faeff233933f550c84875b08d22bd55a083f74,renew,30,98,624,1,1,0,0,7,0
nomad,client/rpc.go,5d09d7ad0723c133f71a742b1e143d86f9332f92,rpc,15,60,420,3,2,0,0,0,0
nomad,drivers/docker/coordinator.go,3493551c38bcaa41d015de09e63eed54bd8fb08a,recoverablePullError,2,7,49,2,0,0,0,1,0
nomad,drivers/docker/coordinator.go,3493551c38bcaa41d015de09e63eed54bd8fb08a,pullImageImpl,9,48,411,5,4,0,0,4,0
nomad,drivers/docker/coordinator.go,62ef621582d5e9d6da544d9baaadfb39b502fc07,wait,1,4,20,0,0,0,0,0,0
nomad,drivers/docker/coordinator.go,62ef621582d5e9d6da544d9baaadfb39b502fc07,pullImageImpl,9,48,399,5,4,0,0,4,0
nomad,drivers/docker/coordinator.go,62ef621582d5e9d6da544d9baaadfb39b502fc07,wait,3,8,54,1,0,0,0,0,0
nomad,drivers/docker/coordinator.go,62ef621582d5e9d6da544d9baaadfb39b502fc07,PullImage,4,20,173,6,1,0,1,1,0
nomad,nomad/eval_broker.go,beae92cd0be102fc56d82d7ad29079b24ae3fee0,DropWaiting,3,14,99,1,1,0,0,0,0
nomad,nomad/fsm.go,beae92cd0be102fc56d82d7ad29079b24ae3fee0,applyAllocClientUpdate,18,61,469,3,1,0,0,6,3
nomad,nomad/node_endpoint.go,beae92cd0be102fc56d82d7ad29079b24ae3fee0,UpdateAlloc,27,114,768,2,1,0,0,4,1
nomad,nomad/state/state_store.go,beae92cd0be102fc56d82d7ad29079b24ae3fee0,nestedUpdateAllocFromClient,19,65,503,3,0,0,0,9,0
nomad,nomad/state/state_store.go,beae92cd0be102fc56d82d7ad29079b24ae3fee0,cancelFollowupEvalsForReconnect,11,36,240,4,0,0,0,4,1
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,allocHook,2,5,35,1,0,0,0,0,0
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,setLastOk,2,9,52,1,1,0,0,0,0
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,watch,14,40,211,0,1,0,0,1,3
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,shouldStop,2,6,45,1,0,0,0,0,0
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,allocTaskGroup,3,8,42,1,0,0,0,0,0
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,newHeartbeatStop,1,16,103,4,0,2,0,0,0
nomad,client/heartbeatstop.go,48b1b01e69d31bab56fea8895e6713c1a012cf3a,getDisconnectStopTimeout,4,12,64,1,0,0,0,0,1
nomad,nomad/state/events.go,bfcbe83ab5fcabedba545a298c501e050df39464,eventFromChange,56,388,2060,1,0,0,0,0,0
nomad,client/allocrunner/taskrunner/dynamic_users_hook.go,e107d84c7823476b8c1a1abcf16a8ac1ee84d279,Prestart,6,27,177,3,1,0,0,1,0
nomad,command/volume_create_host.go,09eb47318948bbcc931e09b0bd7b20399260cbfe,ttyMonitor,6,60,451,4,1,0,1,2,1
nomad,nomad/state/state_store_host_volumes.go,09eb47318948bbcc931e09b0bd7b20399260cbfe,upsertHostVolumeForNode,14,43,243,3,0,0,0,3,1
nomad,nomad/state/state_store_host_volumes.go,09eb47318948bbcc931e09b0bd7b20399260cbfe,UpsertHostVolume,11,46,327,2,1,0,0,6,0
nomad,nomad/structs/csi.go,c1dc9ed75da559a0700a00e08b8b0df9fc9aecce,Merge,24,67,425,1,0,0,0,0,1
nomad,scheduler/rank.go,456d95a19e167f265cb220c654b66fff80f9d457,Next,6,24,164,0,0,0,0,0,2
nomad,nomad/structs/funcs.go,44d9c2a3d1e1a3f457ba384137646fa17e80da2d,AllocsFit,19,64,417,4,1,0,0,1,4
nomad,nomad/structs/host_volumes.go,87f1427d9e003a59f110aa992551006ed432cfba,Validate,11,36,259,0,0,0,0,2,2
nomad,nomad/structs/host_volumes.go,87f1427d9e003a59f110aa992551006ed432cfba,ValidateUpdate,9,26,183,1,0,0,0,0,0
nomad,client/allocrunner/network_hook.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Prerun,19,62,429,0,0,0,0,3,0
nomad,client/allocrunner/networking.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,1,3,36,3,0,0,0,0,0
nomad,client/allocrunner/networking.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,1,3,38,4,0,0,0,0,0
nomad,client/allocrunner/networking.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,1,5,64,4,1,0,0,0,0
nomad,client/allocrunner/networking.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,1,5,59,3,1,0,0,0,0
nomad,client/allocrunner/networking_bridge_linux.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,2,6,73,3,0,0,0,1,0
nomad,client/allocrunner/networking_bridge_linux.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,2,6,78,4,0,0,0,1,0
nomad,client/allocrunner/networking_cni.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,18,80,564,4,0,0,0,7,1
nomad,client/allocrunner/networking_cni.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,Setup,14,63,443,3,0,0,0,6,0
nomad,client/allocrunner/networking_cni.go,08a6f870ad2b96c2514e83e9f30eea6523ea0ea4,mustCNICheckConstraint,2,7,31,0,0,0,0,1,0
nomad,drivers/docker/util/stats_posix.go,374e987b9ba2885d401f301724e609fc7718c329,DockerStatsToTaskResourceUsage,5,49,374,2,0,0,0,0,0
nomad,drivers/shared/executor/executor_linux.go,374e987b9ba2885d401f301724e609fc7718c329,handleStats,11,75,466,3,1,0,0,1,1
nomad,command/meta.go,c46521a80dc0be4cc9f67c2714923d93b809137b,Namespace,1,3,20,0,0,0,0,0,0
nomad,command/meta.go,c46521a80dc0be4cc9f67c2714923d93b809137b,Region,1,3,20,0,0,0,0,0,0
nomad,command/operator_debug.go,c46521a80dc0be4cc9f67c2714923d93b809137b,Run,48,254,2240,1,1,0,0,16,2
nomad,scheduler/generic_sched.go,c205688857d92ec300d6c4f57be05794a811c35d,computePlacements,32,150,963,3,0,0,0,5,2
nomad,scheduler/generic_sched.go,c205688857d92ec300d6c4f57be05794a811c35d,swapAllocInPlan,5,14,99,3,0,0,0,0,2
nomad,scheduler/reconcile.go,c205688857d92ec300d6c4f57be05794a811c35d,computeGroup,24,101,914,2,0,0,0,0,0
nomad,scheduler/reconcile.go,c205688857d92ec300d6c4f57be05794a811c35d,appendUnknownDisconnectingUpdates,2,10,80,2,0,0,0,0,0
nomad,scheduler/reconcile.go,c205688857d92ec300d6c4f57be05794a811c35d,appendUnknownDisconnectingUpdates,4,15,108,3,0,0,0,0,2
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,TaskGroup,1,1,18,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,PreviousLost,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,PreviousAllocation,1,1,18,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,Canary,1,1,13,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,MinJobVersion,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,StopPreviousAlloc,1,1,19,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,SetPreviousAllocation,1,3,20,1,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,IsRescheduling,1,1,13,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,DowngradeNonCanary,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,SetPreviousAllocation,1,1,15,1,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,Name,1,1,15,0,0,0,0,0,0
nomad,scheduler/reconcile_util.go,c205688857d92ec300d6c4f57be05794a811c35d,IsRescheduling,1,1,15,0,0,0,0,0,0
nomad,client/rpc.go,30e57c39b03619143fbf122598440113774f0f4e,resolveServer,8,23,166,1,0,0,0,1,0
nomad,api/api.go,75b0202f7fe1243e751d7b89d550071938cae581,ClientConfig,4,21,128,3,0,0,0,0,0
nomad,command/agent/command.go,d28af58cbbf955f2270babb5c7101b19412919ff,handleSignals,17,55,304,0,1,2,1,3,0
nomad,command/agent/sdnotify_default.go,d28af58cbbf955f2270babb5c7101b19412919ff,sdNotifyReloading,1,1,10,1,0,0,0,0,0
nomad,command/agent/sdnotify_linux.go,d28af58cbbf955f2270babb5c7101b19412919ff,sdNotifyReloading,1,5,45,1,0,0,0,0,0
nomad,drivers/java/driver.go,48f304d0cab3ef3ba3e4030e3dd9633fe13fec26,,15,100,776,1,1,0,1,9,0
nomad,drivers/shared/executor/executor_windows.go,48f304d0cab3ef3ba3e4030e3dd9633fe13fec26,setCmdUser,5,19,120,2,0,0,0,1,0
nomad,api/acl.go,5c8e436de98b18bd3b7d0da05d8fa83c1529b4b2,,7,54,226,0,0,0,0,5,0
nomad,command/acl_auth_method.go,5c8e436de98b18bd3b7d0da05d8fa83c1529b4b2,formatAuthMethodConfig,1,27,335,1,0,0,0,0,0
nomad,nomad/acl_endpoint.go,5c8e436de98b18bd3b7d0da05d8fa83c1529b4b2,UpsertAuthMethods,23,83,564,2,1,0,0,7,2
nomad,nomad/acl_endpoint.go,5c8e436de98b18bd3b7d0da05d8fa83c1529b4b2,oidcRequest,8,34,224,3,0,0,0,3,0
nomad,nomad/mock/acl.go,5c8e436de98b18bd3b7d0da05d8fa83c1529b4b2,ACLOIDCAuthMethod,1,31,201,0,0,0,0,0,0
