project,file_path,sha,method_name,cyclomatic_complexity,nloc,token_count,parameter_count,defer_count,channel_count,goroutine_count,error_handling_count,loop_count
packer,hcl2template/types.build.hcp_packer_registry.go,dff49df12903a96597d46d6d3d4b46aa26e0aa03,decodeHCPRegistry,7,52,362,2,0,0,0,0,0
packer,internal/hcp/registry/metadata/vcs.go,aa6c5f8405a5aa3e85d8a026cb1f335fba78921b,Details,3,18,148,0,0,0,0,2,0
packer,command/configtype_enumer.go,bac9c744474fa4da797fcb9037d53d5c81813000,configTypeString,2,6,41,1,0,0,0,0,0
packer,packer/fixconfigmode_enumer.go,7e45a1e950aa5abb82778e3d90b2f88a5adc273f,FixConfigModeString,2,6,41,1,0,0,0,0,0
packer,provisioner/powershell/executionpolicy_enumer.go,e62aba37888b6a7bf21883f88c1ed6c788a3effd,ExecutionPolicyString,2,6,41,1,0,0,0,0,0
packer,datasource/http/data.go,805225a1133e2f425bc11a77a7bbcf78d6a0e776,Execute,9,44,325,0,1,0,0,3,2
packer,packer/plugin_folders.go,f80ba2821b7881bd520778b3737747a987df2286,PluginFolder,4,16,110,0,0,0,0,1,0
packer,packer/build.go,595b45e67c83ac02f7c3810da6c80c28a95a4feb,getPluginsMetadata,7,22,151,0,0,0,0,0,3
packer,packer/plugin.go,595b45e67c83ac02f7c3810da6c80c28a95a4feb,DiscoverMultiPlugin,15,65,401,2,0,0,0,2,4
packer,version/version.go,cdaad0cde2170ece81273fb64523c8656749634c,init,1,8,50,0,0,0,0,0,0
packer,packer/plugin-getter/plugins.go,ed091163be017ad7bd16bc8e99351fc03ef93489,ListInstallations,12,60,401,1,0,0,0,5,3
packer,internal/hcp/registry/types.bucket.go,548893bbee4e5a49bbbb07a81d19b2e2641fa421,completeBuild,11,68,367,4,0,0,0,4,1
packer,packer/plugin-getter/plugins.go,ed091163be017ad7bd16bc8e99351fc03ef93489,ListInstallations,12,60,401,1,0,0,0,5,3
packer,packer/plugin-getter/plugins.go,ed091163be017ad7bd16bc8e99351fc03ef93489,,1,1,22,1,0,0,0,0,0
packer,packer/plugin-getter/plugins.go,ed091163be017ad7bd16bc8e99351fc03ef93489,InsertSortedUniq,3,9,98,1,0,0,0,0,0
packer,hcl2template/utils.go,d9259d6d12873360755f699d911ec8d0d3f680f9,GetVarsByType,5,16,95,2,0,0,0,0,3
packer,packer/plugin.go,4347e8cee80729e85fadca9b2dcc6fd564115ce9,Discover,15,45,259,0,0,0,0,5,3
packer,internal/hcp/api/client.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,NewClient,5,35,202,0,0,0,0,3,0
packer,internal/hcp/api/client.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,loadOrganizationID,3,13,89,0,0,0,0,1,0
packer,internal/hcp/api/client.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,loadProjectID,6,28,167,0,0,0,0,3,0
packer,internal/hcp/api/client.go,925cb5e5411d670af9f9e729b8a61daeb4f8b62d,findProjectByID,3,8,56,2,0,0,0,0,1
packer,packer/plugin.go,f7a0df4bd189b556bf5321178c17ef47e42471a1,Discover,15,45,259,0,0,0,0,5,3
packer,packer/plugin_folders.go,ed091163be017ad7bd16bc8e99351fc03ef93489,PluginFolders,4,18,143,1,0,0,0,2,0
packer,packer/core.go,ca197afe9b70398bc0e9ee6f27fd6e6cc6ef7f83,Build,20,89,513,1,0,0,0,4,4
packer,internal/hcp/registry/types.bucket.go,606e6c48f1dc005db58902e73d0d3f2d6caa5d67,ReadFromHCLBuildBlock,5,15,77,1,0,0,0,0,0
packer,hcl2template/types.packer_config.go,774c5903f6b4f6a5c6a862afedbf51674e495b95,getCoreBuildPostProcessors,10,41,234,3,0,0,0,0,3
packer,hcl2template/types.packer_config.go,774c5903f6b4f6a5c6a862afedbf51674e495b95,GetBuilds,22,110,713,1,0,0,0,1,5
packer,hcl2template/types.build.go,77a29fc2f8797a962e3c00218bdcc822d8f3e170,decodeBuildConfig,22,101,606,2,0,0,0,1,3
packer,packer/plugin-getter/plugins.go,a766d59d82c129a40f8612e648cde2d051a91fba,InstallLatest,47,263,1859,1,2,0,0,27,10
packer,command/hcl2_upgrade.go,eb8e3029416665c7f62d85792bee07c7a1dc99ff,jsonBodyToHCL2Body,10,32,188,1,0,0,0,0,2
packer,command/hcl2_upgrade.go,17ec88246fc33c50702480182d6423ff05038c56,,1,1,17,0,0,0,0,0,0
packer,command/hcl2_upgrade.go,17ec88246fc33c50702480182d6423ff05038c56,,1,3,24,2,0,0,0,0,0
packer,command/hcl2_upgrade.go,17ec88246fc33c50702480182d6423ff05038c56,,1,3,38,2,0,0,0,0,0
packer,command/hcl2_upgrade.go,17ec88246fc33c50702480182d6423ff05038c56,RunContext,33,151,1229,2,1,0,0,4,8
packer,command/hcl2_upgrade.go,17ec88246fc33c50702480182d6423ff05038c56,,2,6,65,1,0,0,0,1,0
packer,command/hcl2_upgrade.go,17ec88246fc33c50702480182d6423ff05038c56,,1,3,8,0,0,0,0,0,0
